Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
298.02,Main Camera,-2.05,125.32,73.54,0.00,-0.01,0.02,1.00
298.02,R_Palm,34.24,77.26,99.50,0.03,0.14,-0.11,0.98
298.02,R_ThumbTip,28.24,76.86,105.94,0.00,-0.14,0.44,0.88
298.02,R_IndexTip,34.60,75.59,111.21,0.10,0.12,-0.12,0.98
298.02,R_MiddleTip,37.75,75.72,111.47,0.04,0.15,-0.17,0.97
298.02,R_RingTip,39.44,75.48,109.70,0.04,0.13,-0.20,0.97
298.02,R_LittleTip,40.38,74.60,106.44,0.04,0.16,-0.27,0.95
298.02,R_ThumbDistal,28.92,77.04,103.59,0.00,-0.14,0.44,0.88
298.02,R_IndexIntermediate,33.70,76.50,106.75,0.10,0.09,-0.11,0.98
298.02,R_MiddleIntermediate,36.32,76.49,106.51,0.09,0.14,-0.13,0.98
298.02,R_RingIntermediate,37.96,76.04,104.88,0.04,0.16,-0.19,0.97
298.02,R_LittleIntermediate,39.01,75.28,102.52,0.06,0.20,-0.27,0.94
298.02,R_IndexProximal,33.12,77.16,103.07,0.08,0.08,-0.08,0.99
298.02,R_MiddleProximal,35.25,77.19,102.43,0.07,0.14,-0.12,0.98
298.02,R_ThumbProximal,29.22,77.37,100.25,0.03,-0.06,0.37,0.92
298.02,R_RingProximal,36.77,76.48,101.21,0.03,0.16,-0.16,0.97
298.02,L_LittleProximal,-17.45,73.27,91.53,0.14,0.10,-0.17,-0.97
298.02,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
298.03,Main Camera,-2.06,125.32,73.54,0.00,-0.01,0.03,1.00
298.03,R_Palm,34.25,77.25,99.50,0.03,0.14,-0.11,0.98
298.03,R_ThumbTip,28.25,76.86,105.94,0.00,-0.14,0.44,0.88
298.03,R_IndexTip,34.60,75.59,111.21,0.10,0.12,-0.13,0.98
298.03,R_MiddleTip,37.76,75.71,111.47,0.04,0.15,-0.17,0.97
298.03,R_RingTip,39.45,75.48,109.70,0.04,0.13,-0.20,0.97
298.03,R_LittleTip,40.38,74.60,106.44,0.04,0.16,-0.27,0.95
