Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
394.81,Main Camera,-3.15,124.54,74.83,0.00,-0.01,0.04,1.00
394.81,R_Palm,33.10,77.77,103.46,0.03,0.13,-0.07,0.99
394.81,R_ThumbTip,29.01,76.26,109.82,0.16,-0.04,0.48,0.86
394.81,R_IndexTip,34.07,75.59,114.88,0.11,0.16,-0.09,0.98
394.81,R_MiddleTip,36.06,76.08,115.51,0.04,0.12,-0.13,0.98
394.81,R_RingTip,37.59,75.96,113.86,0.06,0.10,-0.17,0.98
394.81,R_LittleTip,38.39,75.93,110.77,0.03,0.08,-0.24,0.97
394.81,R_ThumbDistal,28.84,76.92,107.46,0.16,-0.04,0.48,0.86
394.81,R_IndexIntermediate,32.78,76.70,110.55,0.13,0.13,-0.08,0.98
394.81,R_MiddleIntermediate,34.87,76.87,110.49,0.10,0.11,-0.10,0.98
394.81,R_RingIntermediate,36.51,76.63,108.95,0.07,0.13,-0.16,0.98
394.81,R_LittleIntermediate,37.57,76.32,106.67,0.05,0.13,-0.24,0.96
394.81,R_IndexProximal,31.90,77.59,106.99,0.11,0.12,-0.05,0.98
394.81,R_MiddleProximal,34.04,77.77,106.39,0.10,0.11,-0.09,0.99
394.81,R_ThumbProximal,28.33,77.63,104.21,0.13,0.03,0.41,0.90
394.81,R_RingProximal,35.62,77.17,105.21,0.05,0.12,-0.13,0.98
394.81,L_LittleProximal,-17.41,74.10,91.21,0.14,0.07,-0.19,-0.97
394.81,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
394.83,Main Camera,-3.04,124.53,74.90,0.00,-0.01,0.03,1.00
394.83,R_Palm,33.13,77.76,103.46,0.03,0.13,-0.07,0.99
394.83,R_ThumbTip,29.03,76.23,109.82,0.16,-0.04,0.48,0.86
394.83,R_IndexTip,34.10,75.58,114.88,0.11,0.16,-0.09,0.98
394.83,R_MiddleTip,36.10,76.07,115.51,0.04,0.13,-0.13,0.98
394.83,R_RingTip,37.63,75.95,113.86,0.06,0.10,-0.17,0.98
394.83,R_LittleTip,38.42,75.90,110.77,0.03,0.08,-0.24,0.97
394.83,R_ThumbDistal,28.86,76.90,107.47,0.16,-0.04,0.48,0.86
394.83,R_IndexIntermediate,32.81,76.69,110.56,0.13,0.13,-0.08,0.98
394.83,R_MiddleIntermediate,34.90,76.86,110.50,0.10,0.11,-0.10,0.98
394.83,R_RingIntermediate,36.54,76.61,108.95,0.07,0.13,-0.16,0.98
394.83,R_LittleIntermediate,37.59,76.30,106.67,0.05,0.13,-0.24,0.96
394.83,R_IndexProximal,31.93,77.58,107.00,0.11,0.12,-0.05,0.98
394.83,R_MiddleProximal,34.06,77.75,106.40,0.10,0.11,-0.09,0.99
394.83,R_ThumbProximal,28.35,77.61,104.22,0.13,0.02,0.41,0.90
394.83,R_RingProximal,35.65,77.15,105.21,0.05,0.12,-0.13,0.98
394.83,L_LittleProximal,-17.44,74.07,91.21,0.14,0.07,-0.19,-0.97
394.83,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
394.86,Main Camera,-2.93,124.53,74.99,0.00,-0.01,0.03,1.00
394.86,R_Palm,33.14,77.75,103.48,0.03,0.13,-0.07,0.99
394.86,R_ThumbTip,29.03,76.22,109.84,0.16,-0.04,0.48,0.86
394.86,R_IndexTip,34.10,75.57,114.90,0.11,0.16,-0.09,0.98
394.86,R_MiddleTip,36.12,76.06,115.53,0.04,0.13,-0.13,0.98
394.86,R_RingTip,37.64,75.94,113.88,0.06,0.10,-0.17,0.98
394.86,R_LittleTip,38.43,75.88,110.79,0.03,0.08,-0.24,0.97
394.86,R_ThumbDistal,28.86,76.89,107.49,0.16,-0.04,0.48,0.86
394.86,R_IndexIntermediate,32.82,76.68,110.58,0.13,0.13,-0.08,0.98
394.86,R_MiddleIntermediate,34.92,76.85,110.51,0.10,0.11,-0.10,0.98
394.86,R_RingIntermediate,36.55,76.60,108.97,0.06,0.13,-0.16,0.98
394.86,R_LittleIntermediate,37.60,76.29,106.69,0.05,0.13,-0.24,0.96
394.86,R_IndexProximal,31.94,77.57,107.01,0.11,0.12,-0.05,0.98
394.86,R_MiddleProximal,34.08,77.75,106.42,0.10,0.11,-0.09,0.99
394.86,R_ThumbProximal,28.36,77.61,104.24,0.13,0.02,0.41,0.90
394.86,R_RingProximal,35.66,77.15,105.23,0.06,0.12,-0.13,0.98
394.86,L_LittleProximal,-17.43,74.08,91.21,0.14,0.07,-0.18,-0.97
394.86,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
394.87,Main Camera,-2.88,124.53,75.05,0.00,-0.01,0.03,1.00
394.87,R_Palm,33.13,77.75,103.48,0.03,0.13,-0.07,0.99
394.87,R_ThumbTip,29.01,76.21,109.84,0.16,-0.04,0.48,0.86
394.87,R_IndexTip,34.09,75.57,114.91,0.11,0.16,-0.09,0.98
394.87,R_MiddleTip,36.11,76.06,115.53,0.04,0.13,-0.13,0.98
394.87,R_RingTip,37.63,75.94,113.88,0.06,0.10,-0.17,0.98
394.87,R_LittleTip,38.41,75.88,110.79,0.03,0.08,-0.24,0.97
394.87,R_ThumbDistal,28.85,76.88,107.49,0.16,-0.04,0.48,0.86
394.87,R_IndexIntermediate,32.80,76.68,110.58,0.13,0.13,-0.08,0.98
394.87,R_MiddleIntermediate,34.91,76.85,110.52,0.10,0.11,-0.10,0.98
394.87,R_RingIntermediate,36.54,76.60,108.97,0.06,0.13,-0.16,0.98
394.87,R_LittleIntermediate,37.59,76.28,106.69,0.05,0.13,-0.24,0.96
394.87,R_IndexProximal,31.93,77.57,107.02,0.11,0.12,-0.05,0.98
394.87,R_MiddleProximal,34.07,77.75,106.42,0.10,0.11,-0.09,0.99
394.87,R_ThumbProximal,28.34,77.60,104.24,0.13,0.02,0.41,0.90
394.87,R_RingProximal,35.65,77.15,105.23,0.06,0.12,-0.13,0.98
394.87,L_LittleProximal,-17.43,74.08,91.22,0.14,0.07,-0.18,-0.97
394.87,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
394.89,Main Camera,-2.84,124.51,75.10,0.00,-0.01,0.03,1.00
394.89,R_Palm,33.14,77.77,103.48,0.03,0.13,-0.07,0.99
394.89,R_ThumbTip,29.02,76.22,109.84,0.16,-0.04,0.48,0.86
394.89,R_IndexTip,34.09,75.58,114.91,0.11,0.16,-0.09,0.98
394.89,R_MiddleTip,36.12,76.08,115.53,0.04,0.13,-0.13,0.98
394.89,R_RingTip,37.64,75.96,113.87,0.06,0.10,-0.17,0.98
394.89,R_LittleTip,38.42,75.89,110.78,0.03,0.08,-0.24,0.97
394.89,R_ThumbDistal,28.85,76.89,107.48,0.16,-0.04,0.48,0.86
394.89,R_IndexIntermediate,32.81,76.69,110.58,0.13,0.13,-0.08,0.98
394.89,R_MiddleIntermediate,34.92,76.87,110.51,0.10,0.11,-0.10,0.98
394.89,R_RingIntermediate,36.55,76.61,108.97,0.06,0.13,-0.16,0.98
394.89,R_LittleIntermediate,37.60,76.29,106.68,0.05,0.13,-0.24,0.96
394.89,R_IndexProximal,31.94,77.58,107.01,0.11,0.12,-0.05,0.98
394.89,R_MiddleProximal,34.08,77.76,106.41,0.10,0.11,-0.09,0.99
394.89,R_ThumbProximal,28.35,77.61,104.23,0.13,0.02,0.41,0.90
394.89,R_RingProximal,35.66,77.16,105.22,0.06,0.12,-0.13,0.98
394.89,L_LittleProximal,-17.44,74.10,91.22,0.15,0.07,-0.18,-0.97
394.89,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
394.90,Main Camera,-2.80,124.51,75.16,0.00,-0.01,0.02,1.00
394.90,R_Palm,33.14,77.78,103.47,0.03,0.13,-0.07,0.99
394.90,R_ThumbTip,29.02,76.23,109.83,0.16,-0.04,0.48,0.86
394.90,R_IndexTip,34.10,75.60,114.90,0.11,0.16,-0.09,0.98
394.90,R_MiddleTip,36.13,76.10,115.52,0.04,0.13,-0.13,0.98
394.90,R_RingTip,37.65,75.98,113.87,0.06,0.10,-0.17,0.98
394.90,R_LittleTip,38.42,75.90,110.78,0.03,0.08,-0.24,0.97
394.90,R_ThumbDistal,28.86,76.90,107.48,0.16,-0.04,0.48,0.86
394.90,R_IndexIntermediate,32.82,76.71,110.58,0.13,0.13,-0.08,0.98
394.90,R_MiddleIntermediate,34.93,76.89,110.51,0.10,0.11,-0.10,0.98
394.90,R_RingIntermediate,36.56,76.63,108.96,0.06,0.13,-0.16,0.98
394.90,R_LittleIntermediate,37.60,76.30,106.68,0.05,0.13,-0.24,0.96
394.90,R_IndexProximal,31.95,77.59,107.01,0.11,0.12,-0.05,0.98
394.90,R_MiddleProximal,34.08,77.77,106.41,0.10,0.11,-0.09,0.99
394.90,R_ThumbProximal,28.36,77.62,104.23,0.13,0.02,0.41,0.90
394.90,R_RingProximal,35.67,77.17,105.22,0.05,0.12,-0.13,0.98
394.90,L_LittleProximal,-17.44,74.13,91.21,0.15,0.07,-0.18,-0.97
394.90,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
394.91,Main Camera,-2.76,124.51,75.23,0.00,-0.01,0.02,1.00
394.91,R_Palm,33.13,77.79,103.47,0.03,0.13,-0.07,0.99
394.91,R_ThumbTip,29.00,76.24,109.83,0.16,-0.04,0.48,0.86
394.91,R_IndexTip,34.08,75.62,114.90,0.11,0.16,-0.09,0.98
394.91,R_MiddleTip,36.12,76.12,115.52,0.04,0.13,-0.13,0.98
394.91,R_RingTip,37.64,75.99,113.87,0.06,0.10,-0.17,0.98
394.91,R_LittleTip,38.40,75.91,110.78,0.03,0.08,-0.24,0.97
394.91,R_ThumbDistal,28.84,76.91,107.48,0.16,-0.04,0.48,0.86
394.91,R_IndexIntermediate,32.80,76.73,110.57,0.13,0.13,-0.08,0.98
394.91,R_MiddleIntermediate,34.91,76.90,110.50,0.10,0.11,-0.10,0.98
394.91,R_RingIntermediate,36.54,76.64,108.96,0.06,0.13,-0.16,0.98
394.91,R_LittleIntermediate,37.59,76.31,106.67,0.05,0.13,-0.24,0.96
394.91,R_IndexProximal,31.93,77.61,107.00,0.11,0.12,-0.05,0.98
394.91,R_MiddleProximal,34.07,77.79,106.41,0.09,0.11,-0.09,0.99
394.91,R_ThumbProximal,28.34,77.63,104.23,0.13,0.02,0.41,0.90
394.91,R_RingProximal,35.65,77.18,105.21,0.05,0.12,-0.13,0.98
394.91,L_LittleProximal,-17.44,74.14,91.21,0.15,0.07,-0.18,-0.97
394.91,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
394.93,Main Camera,-2.73,124.51,75.29,0.00,0.00,0.02,1.00
394.93,R_Palm,33.12,77.80,103.47,0.03,0.13,-0.07,0.99
394.93,R_ThumbTip,28.97,76.24,109.83,0.16,-0.04,0.48,0.86
394.93,R_IndexTip,34.07,75.64,114.91,0.11,0.16,-0.09,0.98
394.93,R_MiddleTip,36.12,76.13,115.52,0.04,0.13,-0.13,0.98
394.93,R_RingTip,37.63,76.01,113.87,0.06,0.10,-0.17,0.98
394.93,R_LittleTip,38.39,75.91,110.78,0.03,0.08,-0.24,0.97
394.93,R_ThumbDistal,28.82,76.91,107.48,0.16,-0.04,0.48,0.86
394.93,R_IndexIntermediate,32.79,76.74,110.58,0.13,0.13,-0.08,0.98
394.93,R_MiddleIntermediate,34.91,76.92,110.50,0.10,0.11,-0.10,0.98
394.93,R_RingIntermediate,36.53,76.65,108.96,0.06,0.13,-0.17,0.98
394.93,R_LittleIntermediate,37.57,76.32,106.67,0.05,0.13,-0.24,0.96
394.93,R_IndexProximal,31.93,77.63,107.01,0.11,0.12,-0.05,0.98
394.93,R_MiddleProximal,34.06,77.80,106.41,0.09,0.11,-0.09,0.99
394.93,R_ThumbProximal,28.32,77.64,104.23,0.13,0.02,0.41,0.90
394.93,R_RingProximal,35.64,77.20,105.21,0.05,0.12,-0.13,0.98
394.93,L_LittleProximal,-17.44,74.14,91.21,0.15,0.07,-0.18,-0.97
394.93,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
394.94,Main Camera,-2.69,124.50,75.34,0.00,0.00,0.02,1.00
394.94,R_Palm,33.14,77.81,103.49,0.03,0.13,-0.07,0.99
