Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
356.07,Main Camera,-4.07,125.17,74.68,0.01,0.01,0.03,1.00
356.07,R_Palm,34.34,77.70,100.36,-0.02,0.11,-0.11,0.99
356.07,R_ThumbTip,27.67,76.86,106.33,0.01,-0.18,0.47,0.86
356.07,R_IndexTip,33.73,75.82,111.94,0.19,0.07,-0.13,0.97
356.07,R_MiddleTip,36.69,75.89,112.47,0.12,0.10,-0.19,0.97
356.07,R_RingTip,38.55,75.66,110.88,0.13,0.08,-0.23,0.96
356.07,R_LittleTip,40.19,75.21,107.67,0.10,0.12,-0.31,0.94
356.07,R_ThumbDistal,28.45,77.19,104.03,0.01,-0.18,0.47,0.86
356.07,R_IndexIntermediate,33.37,77.43,107.59,0.17,0.05,-0.12,0.98
356.07,R_MiddleIntermediate,35.92,77.30,107.49,0.14,0.09,-0.15,0.97
356.07,R_RingIntermediate,37.76,76.86,106.01,0.10,0.11,-0.22,0.96
356.07,R_LittleIntermediate,39.21,76.17,103.70,0.08,0.18,-0.30,0.93
356.07,R_IndexProximal,33.05,77.97,103.87,0.07,0.05,-0.09,0.99
356.07,R_MiddleProximal,35.21,77.94,103.33,0.06,0.09,-0.13,0.99
356.07,R_ThumbProximal,29.03,77.61,100.74,0.02,-0.10,0.40,0.91
356.07,R_RingProximal,36.78,77.10,102.26,0.01,0.13,-0.17,0.98
356.07,L_LittleProximal,-17.35,73.65,91.42,0.13,0.09,-0.18,-0.97
356.07,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
356.08,Main Camera,-4.07,125.18,74.67,0.01,0.01,0.03,1.00
356.08,R_Palm,34.34,77.72,100.36,-0.02,0.11,-0.11,0.99
356.08,R_ThumbTip,27.67,76.89,106.33,0.01,-0.18,0.47,0.86
356.08,R_IndexTip,33.74,75.85,111.94,0.19,0.07,-0.13,0.97
356.08,R_MiddleTip,36.69,75.91,112.47,0.12,0.10,-0.19,0.97
356.08,R_RingTip,38.55,75.68,110.88,0.13,0.08,-0.23,0.96
356.08,R_LittleTip,40.20,75.23,107.67,0.10,0.12,-0.31,0.94
356.08,R_ThumbDistal,28.45,77.22,104.03,0.01,-0.18,0.47,0.86
356.08,R_IndexIntermediate,33.37,77.45,107.59,0.16,0.05,-0.12,0.98
356.08,R_MiddleIntermediate,35.92,77.33,107.49,0.14,0.09,-0.15,0.97
356.08,R_RingIntermediate,37.77,76.88,106.01,0.10,0.11,-0.22,0.96
356.08,R_LittleIntermediate,39.21,76.19,103.70,0.08,0.18,-0.30,0.93
356.08,R_IndexProximal,33.05,78.00,103.87,0.07,0.05,-0.09,0.99
356.08,R_MiddleProximal,35.21,77.96,103.33,0.06,0.09,-0.13,0.98
356.08,R_ThumbProximal,29.03,77.63,100.74,0.02,-0.10,0.40,0.91
356.08,R_RingProximal,36.78,77.12,102.26,0.01,0.13,-0.17,0.98
356.08,L_LittleProximal,-17.35,73.64,91.41,0.13,0.09,-0.18,-0.97
356.08,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
356.09,Main Camera,-4.08,125.18,74.67,0.01,0.01,0.03,1.00
356.09,R_Palm,34.35,77.73,100.35,-0.02,0.11,-0.11,0.99
356.09,R_ThumbTip,27.68,76.90,106.31,0.01,-0.18,0.47,0.86
356.09,R_IndexTip,33.74,75.86,111.93,0.19,0.07,-0.13,0.97
356.09,R_MiddleTip,36.70,75.92,112.46,0.12,0.10,-0.19,0.97
356.09,R_RingTip,38.56,75.68,110.87,0.13,0.08,-0.23,0.96
356.09,R_LittleTip,40.20,75.23,107.66,0.10,0.12,-0.31,0.94
356.09,R_ThumbDistal,28.46,77.23,104.01,0.01,-0.18,0.47,0.86
