Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
30.06,Main Camera,-1.66,122.65,71.80,0.00,-0.02,0.03,1.00
30.06,R_Palm,35.93,77.36,102.77,0.02,0.07,-0.07,1.00
30.06,R_ThumbTip,29.76,76.05,108.33,0.09,-0.15,0.49,0.86
30.06,R_IndexTip,34.60,75.91,114.45,0.09,0.04,-0.08,0.99
30.06,R_MiddleTip,36.88,75.71,115.16,0.06,0.04,-0.13,0.99
30.06,R_RingTip,39.02,75.78,113.73,0.07,0.03,-0.16,0.98
30.06,R_LittleTip,40.72,75.54,110.70,0.05,0.05,-0.24,0.97
30.06,R_ThumbDistal,30.22,76.65,105.99,0.09,-0.15,0.49,0.86
30.06,R_IndexIntermediate,34.34,76.64,109.87,0.09,0.02,-0.07,0.99
30.06,R_MiddleIntermediate,36.60,76.53,110.01,0.11,0.03,-0.09,0.99
30.06,R_RingIntermediate,38.61,76.36,108.70,0.06,0.06,-0.16,0.98
30.06,R_LittleIntermediate,40.19,75.98,106.56,0.05,0.10,-0.23,0.97
30.06,R_IndexProximal,34.29,77.21,106.13,0.08,0.01,-0.04,1.00
30.06,R_MiddleProximal,36.49,77.40,105.82,0.10,0.02,-0.08,0.99
30.06,R_ThumbProximal,30.82,77.15,102.72,0.03,-0.11,0.41,0.90
30.06,R_RingProximal,38.22,76.80,104.86,0.05,0.06,-0.12,0.99
30.06,L_LittleProximal,-17.49,73.99,91.40,0.21,0.05,-0.19,-0.96
30.06,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
30.07,Main Camera,-1.66,122.65,71.80,0.00,-0.02,0.03,1.00
30.07,R_Palm,35.95,77.35,102.78,0.02,0.07,-0.07,1.00
30.07,R_ThumbTip,29.77,76.04,108.33,0.09,-0.15,0.49,0.86
30.07,R_IndexTip,34.62,75.90,114.46,0.09,0.04,-0.08,0.99
30.07,R_MiddleTip,36.90,75.70,115.16,0.06,0.04,-0.13,0.99
30.07,R_RingTip,39.04,75.77,113.73,0.07,0.03,-0.16,0.98
30.07,R_LittleTip,40.74,75.53,110.71,0.05,0.05,-0.24,0.97
30.07,R_ThumbDistal,30.24,76.64,106.00,0.09,-0.15,0.49,0.86
30.07,R_IndexIntermediate,34.35,76.63,109.87,0.09,0.02,-0.07,0.99
30.07,R_MiddleIntermediate,36.61,76.52,110.01,0.11,0.03,-0.09,0.99
30.07,R_RingIntermediate,38.62,76.35,108.71,0.06,0.06,-0.16,0.98
30.07,R_LittleIntermediate,40.21,75.98,106.56,0.05,0.10,-0.23,0.97
30.07,R_IndexProximal,34.31,77.20,106.14,0.08,0.01,-0.04,1.00
30.07,R_MiddleProximal,36.50,77.39,105.83,0.10,0.02,-0.08,0.99
30.07,R_ThumbProximal,30.84,77.13,102.73,0.03,-0.11,0.41,0.90
30.07,R_RingProximal,38.24,76.79,104.87,0.05,0.06,-0.12,0.99
30.07,L_LittleProximal,-17.48,74.00,91.40,0.21,0.05,-0.19,-0.96
30.07,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
30.09,Main Camera,-1.66,122.65,71.81,0.00,-0.02,0.03,1.00
30.09,R_Palm,35.96,77.33,102.79,0.02,0.07,-0.07,1.00
30.09,R_ThumbTip,29.78,76.00,108.34,0.09,-0.15,0.49,0.86
30.09,R_IndexTip,34.62,75.88,114.47,0.09,0.04,-0.08,0.99
30.09,R_MiddleTip,36.90,75.68,115.17,0.06,0.04,-0.13,0.99
30.09,R_RingTip,39.04,75.75,113.74,0.07,0.03,-0.16,0.98
30.09,R_LittleTip,40.75,75.52,110.72,0.05,0.05,-0.23,0.97
30.09,R_ThumbDistal,30.24,76.61,106.01,0.09,-0.15,0.49,0.86
30.09,R_IndexIntermediate,34.36,76.60,109.88,0.09,0.02,-0.07,0.99
30.09,R_MiddleIntermediate,36.62,76.50,110.02,0.11,0.03,-0.09,0.99
30.09,R_RingIntermediate,38.63,76.33,108.72,0.06,0.06,-0.15,0.98
30.09,R_LittleIntermediate,40.22,75.97,106.57,0.05,0.10,-0.23,0.97
30.09,R_IndexProximal,34.31,77.18,106.15,0.08,0.01,-0.04,1.00
30.09,R_MiddleProximal,36.51,77.38,105.84,0.10,0.02,-0.08,0.99
30.09,R_ThumbProximal,30.85,77.11,102.73,0.03,-0.11,0.42,0.90
30.09,R_RingProximal,38.24,76.77,104.88,0.05,0.06,-0.12,0.99
30.09,L_LittleProximal,-17.49,74.01,91.39,0.21,0.05,-0.19,-0.96
30.09,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
30.10,Main Camera,-1.66,122.65,71.81,0.00,-0.02,0.03,1.00
30.10,R_Palm,35.94,77.34,102.79,0.02,0.07,-0.06,1.00
30.10,R_ThumbTip,29.76,76.00,108.35,0.08,-0.15,0.49,0.85
30.10,R_IndexTip,34.62,75.88,114.47,0.09,0.04,-0.08,0.99
30.10,R_MiddleTip,36.89,75.69,115.18,0.06,0.04,-0.13,0.99
30.10,R_RingTip,39.03,75.77,113.75,0.07,0.03,-0.16,0.98
30.10,R_LittleTip,40.74,75.54,110.73,0.05,0.05,-0.23,0.97
30.10,R_ThumbDistal,30.23,76.60,106.01,0.08,-0.15,0.49,0.85
30.10,R_IndexIntermediate,34.35,76.61,109.89,0.09,0.02,-0.06,0.99
30.10,R_MiddleIntermediate,36.61,76.51,110.03,0.11,0.03,-0.09,0.99
30.10,R_RingIntermediate,38.62,76.35,108.73,0.06,0.06,-0.15,0.98
30.10,R_LittleIntermediate,40.21,75.99,106.58,0.05,0.10,-0.23,0.97
30.10,R_IndexProximal,34.30,77.18,106.15,0.08,0.01,-0.04,1.00
30.10,R_MiddleProximal,36.50,77.38,105.84,0.10,0.02,-0.08,0.99
30.10,R_ThumbProximal,30.84,77.10,102.74,0.03,-0.11,0.42,0.90
30.10,R_RingProximal,38.23,76.79,104.88,0.05,0.06,-0.12,0.99
30.10,L_LittleProximal,-17.49,74.02,91.38,0.21,0.05,-0.20,-0.96
30.10,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
30.11,Main Camera,-1.67,122.64,71.78,0.00,-0.02,0.03,1.00
30.11,R_Palm,35.93,77.35,102.80,0.02,0.07,-0.06,1.00
30.11,R_ThumbTip,29.75,75.99,108.35,0.08,-0.15,0.49,0.85
30.11,R_IndexTip,34.61,75.89,114.48,0.09,0.04,-0.08,0.99
30.11,R_MiddleTip,36.89,75.70,115.18,0.06,0.04,-0.12,0.99
30.11,R_RingTip,39.03,75.79,113.75,0.07,0.03,-0.16,0.98
30.11,R_LittleTip,40.73,75.57,110.73,0.05,0.05,-0.23,0.97
30.11,R_ThumbDistal,30.23,76.59,106.02,0.08,-0.15,0.49,0.85
