Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
17.23,Main Camera,-3.18,124.01,70.66,0.02,0.01,0.02,1.00
17.23,R_Palm,35.91,77.81,100.50,0.03,0.07,-0.06,0.99
17.23,R_ThumbTip,29.84,76.06,106.01,0.13,-0.15,0.49,0.85
17.23,R_IndexTip,34.71,76.01,112.15,0.12,0.05,-0.08,0.99
17.23,R_MiddleTip,37.35,75.97,112.83,0.08,0.06,-0.13,0.99
17.23,R_RingTip,39.38,75.92,111.34,0.10,0.05,-0.16,0.98
17.23,R_LittleTip,41.06,75.59,108.26,0.08,0.08,-0.24,0.97
17.23,R_ThumbDistal,30.19,76.85,103.71,0.13,-0.15,0.49,0.85
17.23,R_IndexIntermediate,34.41,76.96,107.61,0.10,0.02,-0.07,0.99
17.23,R_MiddleIntermediate,36.84,76.97,107.73,0.12,0.05,-0.09,0.99
17.23,R_RingIntermediate,38.80,76.75,106.37,0.08,0.08,-0.16,0.98
17.23,R_LittleIntermediate,40.36,76.32,104.18,0.08,0.13,-0.23,0.96
17.23,R_IndexProximal,34.32,77.59,103.89,0.08,0.02,-0.04,1.00
17.23,R_MiddleProximal,36.51,77.80,103.55,0.09,0.05,-0.08,0.99
17.23,R_ThumbProximal,30.71,77.56,100.46,0.06,-0.12,0.42,0.90
17.23,R_RingProximal,38.23,77.21,102.55,0.05,0.08,-0.12,0.99
17.23,L_LittleProximal,-17.70,74.32,90.88,0.25,0.03,-0.18,-0.95
17.23,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
17.25,Main Camera,-3.20,123.99,70.62,0.02,0.01,0.02,1.00
17.25,R_Palm,35.97,77.61,100.65,0.03,0.08,-0.07,0.99
17.25,R_ThumbTip,29.92,75.87,106.17,0.13,-0.15,0.49,0.85
17.25,R_IndexTip,34.81,75.79,112.30,0.12,0.05,-0.08,0.99
17.25,R_MiddleTip,37.44,75.77,112.98,0.08,0.06,-0.13,0.99
17.25,R_RingTip,39.45,75.69,111.47,0.10,0.05,-0.17,0.98
17.25,R_LittleTip,41.14,75.39,108.38,0.08,0.08,-0.24,0.96
17.25,R_ThumbDistal,30.27,76.66,103.88,0.13,-0.15,0.49,0.85
17.25,R_IndexIntermediate,34.50,76.76,107.76,0.11,0.02,-0.07,0.99
17.25,R_MiddleIntermediate,36.93,76.77,107.87,0.12,0.05,-0.09,0.99
17.25,R_RingIntermediate,38.87,76.52,106.50,0.08,0.08,-0.16,0.98
17.25,R_LittleIntermediate,40.42,76.10,104.30,0.08,0.13,-0.24,0.96
17.25,R_IndexProximal,34.40,77.39,104.04,0.08,0.02,-0.04,1.00
17.25,R_MiddleProximal,36.59,77.58,103.69,0.09,0.05,-0.08,0.99
17.25,R_ThumbProximal,30.78,77.39,100.63,0.07,-0.11,0.42,0.90
17.25,R_RingProximal,38.31,76.99,102.68,0.05,0.08,-0.12,0.99
17.25,L_LittleProximal,-17.74,74.50,90.93,0.24,0.03,-0.18,-0.95
17.25,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
17.27,Main Camera,-3.20,123.99,70.61,0.02,0.01,0.02,1.00
17.27,R_Palm,35.99,77.59,100.66,0.03,0.08,-0.07,0.99
17.27,R_ThumbTip,29.93,75.85,106.18,0.13,-0.15,0.49,0.85
17.27,R_IndexTip,34.83,75.77,112.31,0.12,0.05,-0.08,0.99
17.27,R_MiddleTip,37.46,75.75,112.99,0.08,0.06,-0.13,0.99
17.27,R_RingTip,39.46,75.68,111.48,0.10,0.05,-0.17,0.98
17.27,R_LittleTip,41.15,75.38,108.39,0.08,0.08,-0.24,0.96
17.27,R_ThumbDistal,30.29,76.64,103.89,0.13,-0.15,0.49,0.85
17.27,R_IndexIntermediate,34.52,76.74,107.78,0.11,0.02,-0.07,0.99
17.27,R_MiddleIntermediate,36.94,76.75,107.88,0.12,0.05,-0.09,0.99
17.27,R_RingIntermediate,38.88,76.51,106.51,0.08,0.08,-0.16,0.98
17.27,R_LittleIntermediate,40.44,76.09,104.30,0.08,0.13,-0.23,0.96
17.27,R_IndexProximal,34.42,77.37,104.05,0.08,0.02,-0.04,1.00
17.27,R_MiddleProximal,36.61,77.56,103.70,0.09,0.05,-0.08,0.99
17.27,R_ThumbProximal,30.79,77.37,100.64,0.07,-0.11,0.42,0.90
17.27,R_RingProximal,38.32,76.98,102.69,0.05,0.08,-0.12,0.99
17.27,L_LittleProximal,-17.73,74.51,90.93,0.24,0.03,-0.18,-0.95
17.27,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
17.28,Main Camera,-3.21,123.99,70.62,0.02,0.01,0.02,1.00
17.28,R_Palm,35.97,77.60,100.66,0.03,0.08,-0.07,0.99
17.28,R_ThumbTip,29.93,75.85,106.18,0.13,-0.15,0.49,0.85
17.28,R_IndexTip,34.82,75.77,112.31,0.12,0.05,-0.08,0.99
17.28,R_MiddleTip,37.44,75.76,112.99,0.08,0.06,-0.13,0.99
17.28,R_RingTip,39.45,75.68,111.48,0.10,0.05,-0.17,0.98
17.28,R_LittleTip,41.14,75.38,108.38,0.08,0.08,-0.24,0.96
17.28,R_ThumbDistal,30.27,76.64,103.89,0.13,-0.15,0.49,0.85
17.28,R_IndexIntermediate,34.51,76.74,107.77,0.11,0.02,-0.07,0.99
17.28,R_MiddleIntermediate,36.93,76.76,107.88,0.12,0.05,-0.09,0.99
17.28,R_RingIntermediate,38.87,76.51,106.51,0.08,0.08,-0.16,0.98
17.28,R_LittleIntermediate,40.43,76.09,104.30,0.08,0.13,-0.23,0.96
17.28,R_IndexProximal,34.40,77.37,104.05,0.08,0.02,-0.04,1.00
17.28,R_MiddleProximal,36.59,77.57,103.70,0.09,0.05,-0.08,0.99
17.28,R_ThumbProximal,30.78,77.38,100.64,0.07,-0.11,0.42,0.90
17.28,R_RingProximal,38.31,76.98,102.69,0.05,0.08,-0.12,0.99
17.28,L_LittleProximal,-17.72,74.51,90.92,0.24,0.03,-0.18,-0.95
17.28,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
17.29,Main Camera,-3.22,123.99,70.64,0.02,0.01,0.02,1.00
17.29,R_Palm,35.98,77.62,100.64,0.03,0.08,-0.07,0.99
17.29,R_ThumbTip,29.94,75.87,106.16,0.13,-0.15,0.49,0.85
17.29,R_IndexTip,34.83,75.80,112.29,0.12,0.05,-0.08,0.99
