Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
247.47,Main Camera,-3.23,125.20,74.20,0.02,0.00,0.03,1.00
247.47,R_Palm,36.06,77.89,99.10,0.02,0.09,-0.06,0.99
247.47,R_ThumbTip,29.55,76.26,104.74,0.06,-0.18,0.50,0.85
247.47,R_IndexTip,35.85,76.04,110.70,0.11,0.10,-0.07,0.99
247.47,R_MiddleTip,38.19,76.57,111.41,0.04,0.09,-0.12,0.99
247.47,R_RingTip,39.90,76.55,109.88,0.05,0.06,-0.15,0.98
247.47,R_LittleTip,41.04,76.24,106.84,0.03,0.06,-0.22,0.97
247.47,R_ThumbDistal,30.22,76.84,102.45,0.06,-0.18,0.50,0.85
247.47,R_IndexIntermediate,35.07,77.00,106.22,0.11,0.07,-0.06,0.99
247.47,R_MiddleIntermediate,37.35,77.25,106.30,0.09,0.08,-0.08,0.99
247.47,R_RingIntermediate,39.13,77.02,104.89,0.05,0.09,-0.15,0.98
247.47,R_LittleIntermediate,40.40,76.56,102.70,0.04,0.11,-0.22,0.97
247.47,R_IndexProximal,34.60,77.71,102.54,0.09,0.07,-0.03,0.99
247.47,R_MiddleProximal,36.77,77.95,102.12,0.08,0.07,-0.07,0.99
247.47,R_ThumbProximal,30.82,77.47,99.20,0.05,-0.12,0.43,0.89
247.47,R_RingProximal,38.47,77.38,101.08,0.04,0.09,-0.11,0.99
247.47,L_LittleProximal,-17.34,74.23,91.18,0.14,0.09,-0.17,-0.97
247.47,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
247.49,Main Camera,-3.24,125.20,74.21,0.02,0.00,0.03,1.00
247.49,R_Palm,36.03,77.92,99.09,0.02,0.09,-0.06,0.99
247.49,R_ThumbTip,29.52,76.29,104.73,0.06,-0.18,0.50,0.85
247.49,R_IndexTip,35.82,76.07,110.69,0.11,0.10,-0.07,0.99
247.49,R_MiddleTip,38.16,76.60,111.40,0.04,0.09,-0.12,0.99
247.49,R_RingTip,39.87,76.58,109.87,0.05,0.06,-0.15,0.98
247.49,R_LittleTip,41.01,76.26,106.83,0.03,0.06,-0.22,0.97
247.49,R_ThumbDistal,30.19,76.87,102.45,0.06,-0.18,0.50,0.85
247.49,R_IndexIntermediate,35.04,77.04,106.22,0.11,0.07,-0.06,0.99
247.49,R_MiddleIntermediate,37.32,77.28,106.29,0.09,0.08,-0.08,0.99
247.49,R_RingIntermediate,39.10,77.05,104.88,0.05,0.09,-0.15,0.98
247.49,R_LittleIntermediate,40.37,76.59,102.69,0.04,0.11,-0.22,0.97
247.49,R_IndexProximal,34.56,77.74,102.54,0.09,0.07,-0.03,0.99
247.49,R_MiddleProximal,36.74,77.98,102.11,0.08,0.07,-0.07,0.99
247.49,R_ThumbProximal,30.78,77.51,99.19,0.05,-0.12,0.43,0.89
247.49,R_RingProximal,38.43,77.41,101.07,0.04,0.09,-0.11,0.99
247.49,L_LittleProximal,-17.33,74.23,91.17,0.14,0.09,-0.17,-0.97
247.49,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
247.50,Main Camera,-3.24,125.20,74.21,0.02,0.00,0.03,1.00
247.50,R_Palm,36.02,77.94,99.10,0.02,0.09,-0.06,0.99
