Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
387.75,Main Camera,2.12,122.61,61.80,-0.03,0.00,0.00,-1.00
387.75,R_Palm,37.71,77.04,101.79,-0.02,0.02,-0.06,1.00
387.75,R_ThumbTip,30.58,75.67,107.82,-0.08,-0.19,0.55,0.81
387.75,R_IndexTip,35.86,75.67,114.47,0.14,0.04,-0.07,0.99
387.75,R_MiddleTip,38.91,76.16,115.53,0.07,0.05,-0.12,0.99
387.75,R_RingTip,40.77,75.87,114.15,0.07,0.02,-0.15,0.99
387.75,R_LittleTip,42.78,75.29,111.04,0.03,0.05,-0.22,0.97
387.75,R_ThumbDistal,31.73,75.79,105.36,-0.08,-0.19,0.55,0.81
387.75,R_IndexIntermediate,35.61,76.88,109.47,0.11,0.01,-0.05,0.99
387.75,R_MiddleIntermediate,38.39,77.11,109.84,0.10,0.04,-0.08,0.99
387.75,R_RingIntermediate,40.41,76.51,108.58,0.06,0.05,-0.15,0.99
387.75,R_LittleIntermediate,42.20,75.67,106.44,0.05,0.09,-0.22,0.97
387.75,R_IndexProximal,35.54,77.24,105.30,0.04,0.01,-0.03,1.00
387.75,R_MiddleProximal,37.98,77.49,105.13,0.04,0.05,-0.07,1.00
387.75,R_ThumbProximal,32.57,75.91,101.73,-0.04,-0.11,0.49,0.86
387.75,R_RingProximal,40.00,76.78,104.30,0.03,0.05,-0.11,0.99
387.75,L_LittleProximal,-16.56,60.44,77.40,-0.44,-0.23,-0.52,-0.70
387.75,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
387.76,Main Camera,2.13,122.59,61.81,-0.03,0.00,0.00,-1.00
387.76,R_Palm,37.68,77.06,101.77,-0.02,0.02,-0.06,1.00
387.76,R_ThumbTip,30.56,75.68,107.80,-0.08,-0.19,0.55,0.81
387.76,R_IndexTip,35.82,75.69,114.45,0.14,0.04,-0.07,0.99
387.76,R_MiddleTip,38.87,76.18,115.51,0.07,0.05,-0.12,0.99
387.76,R_RingTip,40.74,75.90,114.14,0.07,0.02,-0.15,0.99
387.76,R_LittleTip,42.75,75.31,111.02,0.03,0.05,-0.22,0.97
387.76,R_ThumbDistal,31.71,75.81,105.35,-0.08,-0.19,0.55,0.81
387.76,R_IndexIntermediate,35.58,76.90,109.45,0.11,0.01,-0.05,0.99
387.76,R_MiddleIntermediate,38.36,77.14,109.82,0.10,0.04,-0.08,0.99
387.76,R_RingIntermediate,40.38,76.53,108.56,0.06,0.05,-0.15,0.99
387.76,R_LittleIntermediate,42.17,75.69,106.42,0.05,0.09,-0.22,0.97
387.76,R_IndexProximal,35.51,77.26,105.28,0.04,0.01,-0.03,1.00
387.76,R_MiddleProximal,37.95,77.51,105.11,0.04,0.04,-0.07,1.00
387.76,R_ThumbProximal,32.54,75.93,101.71,-0.04,-0.11,0.49,0.86
387.76,R_RingProximal,39.97,76.80,104.28,0.03,0.05,-0.11,0.99
387.76,L_LittleProximal,-16.51,60.53,77.38,-0.44,-0.23,-0.52,-0.70
387.76,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
387.78,Main Camera,2.14,122.58,61.80,-0.03,0.00,0.00,-1.00
387.78,R_Palm,37.69,77.08,101.75,-0.02,0.02,-0.06,1.00
387.78,R_ThumbTip,30.56,75.69,107.79,-0.08,-0.19,0.55,0.81
387.78,R_IndexTip,35.82,75.70,114.43,0.14,0.04,-0.07,0.99
387.78,R_MiddleTip,38.87,76.19,115.49,0.07,0.05,-0.12,0.99
387.78,R_RingTip,40.74,75.92,114.11,0.07,0.02,-0.15,0.99
387.78,R_LittleTip,42.75,75.32,111.00,0.03,0.05,-0.22,0.97
387.78,R_ThumbDistal,31.71,75.82,105.33,-0.08,-0.19,0.55,0.81
