Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
149.73,Main Camera,1.51,118.67,60.69,0.01,0.01,-0.01,-1.00
149.73,R_Palm,37.22,77.30,104.11,-0.11,0.07,-0.08,0.99
149.73,R_ThumbTip,32.68,75.85,110.46,0.03,-0.05,0.60,0.80
149.73,R_IndexTip,36.18,75.20,114.72,0.25,0.07,-0.10,0.96
149.73,R_MiddleTip,38.28,75.47,115.54,0.17,0.05,-0.16,0.97
149.73,R_RingTip,40.03,75.48,114.39,0.18,0.02,-0.21,0.96
149.73,R_LittleTip,41.84,75.23,111.71,0.14,0.05,-0.30,0.94
149.73,R_ThumbDistal,32.85,76.02,108.12,0.03,-0.05,0.60,0.80
149.73,R_IndexIntermediate,35.87,77.24,110.76,0.23,0.04,-0.09,0.97
149.73,R_MiddleIntermediate,38.02,77.27,110.85,0.20,0.04,-0.12,0.97
149.73,R_RingIntermediate,39.88,76.98,109.75,0.14,0.06,-0.19,0.97
149.73,R_LittleIntermediate,41.52,76.35,107.84,0.13,0.10,-0.29,0.94
149.73,R_IndexProximal,35.63,78.09,107.23,0.12,0.04,-0.06,0.99
149.73,R_MiddleProximal,37.74,78.14,106.85,0.10,0.05,-0.10,0.99
149.73,R_ThumbProximal,33.01,75.95,104.88,-0.02,-0.02,0.53,0.84
149.73,R_RingProximal,39.37,77.32,106.06,0.03,0.08,-0.15,0.99
149.73,L_LittleProximal,-0.55,52.94,86.24,-0.40,-0.06,-0.55,-0.73
149.73,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
149.74,Main Camera,1.52,118.68,60.68,0.01,0.01,-0.01,-1.00
149.74,R_Palm,37.21,77.31,104.11,-0.11,0.07,-0.08,0.99
149.74,R_ThumbTip,32.67,75.85,110.46,0.03,-0.05,0.60,0.80
149.74,R_IndexTip,36.18,75.20,114.72,0.25,0.07,-0.10,0.96
149.74,R_MiddleTip,38.28,75.47,115.53,0.17,0.05,-0.16,0.97
149.74,R_RingTip,40.02,75.49,114.39,0.18,0.02,-0.21,0.96
149.74,R_LittleTip,41.82,75.24,111.71,0.14,0.05,-0.30,0.94
149.74,R_ThumbDistal,32.85,76.02,108.12,0.03,-0.05,0.60,0.80
149.74,R_IndexIntermediate,35.87,77.25,110.75,0.23,0.04,-0.09,0.97
149.74,R_MiddleIntermediate,38.02,77.28,110.85,0.20,0.04,-0.12,0.97
149.74,R_RingIntermediate,39.88,76.98,109.74,0.14,0.06,-0.19,0.97
149.74,R_LittleIntermediate,41.51,76.36,107.84,0.13,0.10,-0.29,0.94
149.74,R_IndexProximal,35.63,78.09,107.23,0.12,0.04,-0.06,0.99
149.74,R_MiddleProximal,37.73,78.15,106.84,0.10,0.05,-0.10,0.99
149.74,R_ThumbProximal,33.00,75.96,104.88,-0.02,-0.02,0.53,0.84
149.74,R_RingProximal,39.37,77.32,106.06,0.03,0.07,-0.15,0.99
149.74,L_LittleProximal,-0.55,52.96,86.23,-0.40,-0.06,-0.55,-0.73
149.74,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
149.76,Main Camera,1.52,118.70,60.68,0.01,0.01,-0.01,-1.00
149.76,R_Palm,37.21,77.31,104.11,-0.11,0.07,-0.08,0.99
149.76,R_ThumbTip,32.66,75.86,110.46,0.03,-0.05,0.60,0.80
149.76,R_IndexTip,36.17,75.21,114.71,0.25,0.07,-0.10,0.96
149.76,R_MiddleTip,38.27,75.47,115.53,0.17,0.05,-0.16,0.97
149.76,R_RingTip,40.01,75.49,114.38,0.18,0.02,-0.21,0.96
149.76,R_LittleTip,41.80,75.21,111.71,0.14,0.05,-0.30,0.94
149.76,R_ThumbDistal,32.84,76.02,108.11,0.03,-0.05,0.60,0.80
149.76,R_IndexIntermediate,35.87,77.25,110.75,0.23,0.04,-0.09,0.97
149.76,R_MiddleIntermediate,38.01,77.29,110.85,0.20,0.04,-0.12,0.97
149.76,R_RingIntermediate,39.87,76.99,109.74,0.15,0.06,-0.19,0.97
149.76,R_LittleIntermediate,41.50,76.35,107.84,0.14,0.10,-0.29,0.94
149.76,R_IndexProximal,35.63,78.10,107.23,0.12,0.04,-0.06,0.99
149.76,R_MiddleProximal,37.73,78.16,106.84,0.10,0.05,-0.10,0.99
149.76,R_ThumbProximal,33.00,75.96,104.88,-0.02,-0.02,0.53,0.84
