Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
477.62,Main Camera,3.11,119.00,59.61,0.01,-0.01,0.01,-1.00
477.62,R_Palm,38.37,77.73,103.17,-0.14,-0.04,-0.12,0.98
477.62,R_ThumbTip,32.93,75.96,108.78,-0.07,-0.15,0.63,0.76
477.62,R_IndexTip,34.50,74.97,112.60,0.31,-0.07,-0.07,0.94
477.62,R_MiddleTip,36.09,74.98,113.80,0.26,-0.09,-0.14,0.95
477.62,R_RingTip,38.15,75.60,113.56,0.23,-0.12,-0.20,0.95
477.62,R_LittleTip,40.73,75.62,111.72,0.14,-0.07,-0.30,0.94
477.62,R_ThumbDistal,33.78,76.07,106.58,-0.07,-0.15,0.63,0.76
477.62,R_IndexIntermediate,35.35,77.44,108.98,0.30,-0.10,-0.06,0.95
477.62,R_MiddleIntermediate,37.30,77.33,109.53,0.27,-0.11,-0.10,0.95
477.62,R_RingIntermediate,39.38,77.24,109.13,0.19,-0.08,-0.19,0.96
477.62,R_LittleIntermediate,41.35,76.51,107.83,0.15,-0.02,-0.29,0.94
477.62,R_IndexProximal,36.15,78.91,105.75,0.21,-0.10,-0.05,0.97
477.62,R_MiddleProximal,38.29,78.85,105.84,0.20,-0.10,-0.10,0.97
477.62,R_ThumbProximal,34.30,76.04,103.38,-0.05,-0.06,0.57,0.82
477.62,R_RingProximal,40.00,77.88,105.51,0.10,-0.07,-0.16,0.98
477.62,L_LittleProximal,-0.35,60.58,81.48,-0.67,-0.44,-0.41,-0.43
477.62,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
477.63,Main Camera,3.10,119.01,59.61,0.01,-0.01,0.01,-1.00
477.63,R_Palm,38.38,77.73,103.18,-0.14,-0.04,-0.12,0.98
477.63,R_ThumbTip,32.94,75.96,108.78,-0.07,-0.15,0.63,0.76
477.63,R_IndexTip,34.52,74.97,112.61,0.31,-0.07,-0.07,0.94
477.63,R_MiddleTip,36.11,74.98,113.81,0.26,-0.09,-0.14,0.95
477.63,R_RingTip,38.17,75.60,113.57,0.23,-0.12,-0.20,0.95
477.63,R_LittleTip,40.74,75.62,111.73,0.14,-0.07,-0.30,0.94
477.63,R_ThumbDistal,33.79,76.07,106.59,-0.07,-0.15,0.63,0.76
