Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
320.67,Main Camera,2.66,118.31,62.60,-0.01,-0.02,0.03,-1.00
320.67,R_Palm,38.25,77.04,102.67,-0.11,-0.01,-0.07,0.99
320.67,R_ThumbTip,32.46,76.22,108.11,-0.04,-0.08,0.60,0.79
320.67,R_IndexTip,35.19,74.74,112.87,0.28,-0.04,-0.04,0.96
320.67,R_MiddleTip,37.34,74.79,113.91,0.24,-0.03,-0.12,0.96
320.67,R_RingTip,39.43,75.49,113.18,0.24,-0.06,-0.17,0.95
320.67,R_LittleTip,41.79,75.27,110.68,0.25,-0.04,-0.28,0.93
320.67,R_ThumbDistal,32.96,76.18,105.81,-0.04,-0.08,0.60,0.79
320.67,R_IndexIntermediate,35.66,76.87,108.97,0.24,-0.06,-0.03,0.97
320.67,R_MiddleIntermediate,37.90,76.98,109.42,0.24,-0.05,-0.07,0.97
320.67,R_RingIntermediate,40.09,77.21,108.67,0.16,-0.02,-0.16,0.97
320.67,R_LittleIntermediate,42.22,76.72,106.94,0.16,0.04,-0.27,0.95
320.67,R_IndexProximal,36.17,77.78,105.50,0.13,-0.07,-0.01,0.99
320.67,R_MiddleProximal,38.30,77.94,105.44,0.12,-0.04,-0.07,0.99
320.67,R_ThumbProximal,34.04,75.71,102.79,-0.15,-0.10,0.52,0.83
320.67,R_RingProximal,40.08,77.18,104.94,0.00,0.00,-0.12,0.99
320.67,L_LittleProximal,-0.47,51.50,85.68,0.40,-0.05,0.60,0.69
320.67,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
320.68,Main Camera,2.66,118.32,62.61,-0.01,-0.02,0.03,-1.00
320.68,R_Palm,38.28,77.00,102.66,-0.11,-0.01,-0.07,0.99
320.68,R_ThumbTip,32.49,76.19,108.10,-0.05,-0.08,0.60,0.79
320.68,R_IndexTip,35.21,74.71,112.86,0.28,-0.04,-0.04,0.96
320.68,R_MiddleTip,37.36,74.77,113.91,0.24,-0.03,-0.12,0.96
320.68,R_RingTip,39.46,75.47,113.18,0.24,-0.06,-0.17,0.95
320.68,R_LittleTip,41.83,75.24,110.67,0.25,-0.04,-0.28,0.93
320.68,R_ThumbDistal,32.99,76.15,105.80,-0.05,-0.08,0.60,0.79
320.68,R_IndexIntermediate,35.69,76.84,108.96,0.24,-0.06,-0.03,0.97
320.68,R_MiddleIntermediate,37.92,76.95,109.41,0.24,-0.05,-0.07,0.97
320.68,R_RingIntermediate,40.12,77.17,108.66,0.16,-0.02,-0.16,0.97
320.68,R_LittleIntermediate,42.25,76.69,106.93,0.16,0.04,-0.27,0.95
320.68,R_IndexProximal,36.20,77.75,105.49,0.13,-0.07,-0.01,0.99
320.68,R_MiddleProximal,38.33,77.91,105.43,0.12,-0.04,-0.07,0.99
320.68,R_ThumbProximal,34.07,75.67,102.79,-0.15,-0.10,0.52,0.83
320.68,R_RingProximal,40.10,77.14,104.93,0.00,0.00,-0.12,0.99
320.68,L_LittleProximal,-0.46,51.52,85.68,0.40,-0.05,0.60,0.69
320.68,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
320.69,Main Camera,2.66,118.33,62.61,-0.01,-0.02,0.03,-1.00
320.69,R_Palm,38.29,77.02,102.64,-0.11,-0.01,-0.07,0.99
320.69,R_ThumbTip,32.50,76.21,108.09,-0.05,-0.08,0.60,0.79
320.69,R_IndexTip,35.21,74.73,112.85,0.28,-0.04,-0.04,0.96
320.69,R_MiddleTip,37.36,74.79,113.89,0.24,-0.03,-0.12,0.96
320.69,R_RingTip,39.46,75.49,113.16,0.24,-0.06,-0.17,0.95
320.69,R_LittleTip,41.83,75.26,110.66,0.25,-0.04,-0.28,0.93
320.69,R_ThumbDistal,32.99,76.17,105.78,-0.05,-0.08,0.60,0.79
320.69,R_IndexIntermediate,35.69,76.86,108.95,0.24,-0.06,-0.03,0.97
320.69,R_MiddleIntermediate,37.93,76.97,109.39,0.24,-0.05,-0.07,0.97
320.69,R_RingIntermediate,40.12,77.19,108.65,0.16,-0.02,-0.16,0.97
320.69,R_LittleIntermediate,42.26,76.70,106.92,0.16,0.04,-0.27,0.95
320.69,R_IndexProximal,36.21,77.77,105.47,0.13,-0.07,-0.01,0.99
320.69,R_MiddleProximal,38.34,77.92,105.41,0.12,-0.04,-0.07,0.99
320.69,R_ThumbProximal,34.08,75.69,102.77,-0.15,-0.10,0.52,0.83
320.69,R_RingProximal,40.11,77.16,104.91,0.00,0.00,-0.12,0.99
320.69,L_LittleProximal,-0.47,51.53,85.67,0.40,-0.05,0.60,0.69
320.69,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
320.71,Main Camera,2.66,118.34,62.61,-0.01,-0.02,0.03,-1.00
320.71,R_Palm,38.29,77.03,102.65,-0.11,-0.01,-0.07,0.99
320.71,R_ThumbTip,32.50,76.21,108.08,-0.05,-0.08,0.60,0.79
320.71,R_IndexTip,35.20,74.74,112.84,0.28,-0.04,-0.04,0.96
320.71,R_MiddleTip,37.35,74.80,113.89,0.24,-0.04,-0.12,0.96
320.71,R_RingTip,39.46,75.50,113.16,0.24,-0.06,-0.17,0.95
320.71,R_LittleTip,41.82,75.26,110.66,0.25,-0.04,-0.28,0.93
320.71,R_ThumbDistal,33.00,76.18,105.78,-0.05,-0.08,0.60,0.79
320.71,R_IndexIntermediate,35.69,76.87,108.95,0.24,-0.06,-0.03,0.97
320.71,R_MiddleIntermediate,37.92,76.98,109.39,0.24,-0.05,-0.07,0.97
320.71,R_RingIntermediate,40.12,77.20,108.65,0.16,-0.02,-0.16,0.97
320.71,R_LittleIntermediate,42.26,76.71,106.93,0.16,0.04,-0.27,0.95
320.71,R_IndexProximal,36.21,77.78,105.47,0.13,-0.07,-0.01,0.99
320.71,R_MiddleProximal,38.34,77.93,105.41,0.12,-0.04,-0.07,0.99
320.71,R_ThumbProximal,34.08,75.70,102.77,-0.15,-0.10,0.52,0.83
320.71,R_RingProximal,40.11,77.17,104.91,0.00,0.00,-0.12,0.99
320.71,L_LittleProximal,-0.48,51.55,85.67,0.40,-0.04,0.60,0.69
320.71,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
