Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
231.60,Main Camera,5.93,118.30,62.74,0.02,-0.07,0.08,-0.99
231.60,R_Palm,38.78,76.77,104.70,-0.04,-0.03,-0.14,0.99
231.60,R_ThumbTip,31.48,76.58,109.04,-0.20,-0.26,0.50,0.80
231.60,R_IndexTip,33.98,74.99,114.76,0.19,-0.13,-0.10,0.97
231.60,R_MiddleTip,36.54,74.70,116.06,0.16,-0.09,-0.17,0.97
231.60,R_RingTip,39.46,74.90,115.49,0.15,-0.07,-0.23,0.96
231.60,R_LittleTip,43.00,73.99,112.98,0.11,0.07,-0.31,0.94
231.60,R_ThumbDistal,32.98,76.35,107.23,-0.20,-0.26,0.50,0.80
231.60,R_IndexIntermediate,35.37,76.44,110.76,0.19,-0.16,-0.09,0.96
231.60,R_MiddleIntermediate,37.72,76.12,111.38,0.18,-0.11,-0.13,0.97
231.60,R_RingIntermediate,40.14,75.89,110.76,0.11,-0.03,-0.22,0.97
231.60,R_LittleIntermediate,42.54,74.95,109.08,0.11,0.12,-0.31,0.94
231.60,R_IndexProximal,36.63,77.39,107.50,0.15,-0.17,-0.07,0.97
231.60,R_MiddleProximal,38.76,77.27,107.58,0.16,-0.11,-0.12,0.97
231.60,R_ThumbProximal,34.30,76.14,104.28,-0.12,-0.17,0.44,0.87
231.60,R_RingProximal,40.46,76.35,107.07,0.07,-0.03,-0.19,0.98
231.60,L_LittleProximal,-0.55,53.39,85.63,-0.31,0.03,-0.48,-0.82
231.60,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
231.62,Main Camera,5.94,118.31,62.74,0.02,-0.07,0.08,-0.99
231.62,R_Palm,38.85,76.67,104.76,-0.04,-0.03,-0.14,0.99
231.62,R_ThumbTip,31.55,76.47,109.10,-0.20,-0.26,0.50,0.80
231.62,R_IndexTip,34.04,74.88,114.82,0.19,-0.13,-0.10,0.97
231.62,R_MiddleTip,36.61,74.60,116.12,0.16,-0.09,-0.17,0.97
231.62,R_RingTip,39.52,74.81,115.56,0.15,-0.07,-0.23,0.96
231.62,R_LittleTip,43.07,73.89,113.05,0.11,0.07,-0.31,0.94
231.62,R_ThumbDistal,33.05,76.25,107.30,-0.20,-0.26,0.50,0.80
231.62,R_IndexIntermediate,35.43,76.33,110.83,0.19,-0.16,-0.09,0.96
231.62,R_MiddleIntermediate,37.79,76.02,111.45,0.18,-0.11,-0.13,0.97
231.62,R_RingIntermediate,40.21,75.79,110.83,0.11,-0.03,-0.22,0.97
231.62,R_LittleIntermediate,42.60,74.85,109.15,0.11,0.12,-0.31,0.94
231.62,R_IndexProximal,36.70,77.29,107.56,0.15,-0.17,-0.07,0.97
231.62,R_MiddleProximal,38.83,77.17,107.64,0.16,-0.11,-0.12,0.97
231.62,R_ThumbProximal,34.37,76.04,104.35,-0.12,-0.17,0.44,0.87
231.62,R_RingProximal,40.53,76.25,107.13,0.07,-0.03,-0.19,0.98
231.62,L_LittleProximal,-0.48,53.38,85.63,-0.31,0.03,-0.49,-0.81
231.62,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
231.64,Main Camera,5.97,118.33,62.74,0.02,-0.07,0.08,-0.99
231.64,R_Palm,39.05,76.48,104.91,-0.04,-0.03,-0.14,0.99
231.64,R_ThumbTip,31.74,76.29,109.24,-0.20,-0.26,0.50,0.80
231.64,R_IndexTip,34.23,74.70,114.96,0.19,-0.13,-0.10,0.97
231.64,R_MiddleTip,36.80,74.43,116.27,0.16,-0.09,-0.17,0.97
231.64,R_RingTip,39.72,74.63,115.71,0.15,-0.07,-0.23,0.96
231.64,R_LittleTip,43.26,73.71,113.20,0.11,0.07,-0.31,0.94
231.64,R_ThumbDistal,33.24,76.06,107.44,-0.20,-0.26,0.50,0.80
231.64,R_IndexIntermediate,35.63,76.15,110.97,0.19,-0.16,-0.09,0.96
231.64,R_MiddleIntermediate,37.98,75.84,111.60,0.18,-0.11,-0.13,0.97
231.64,R_RingIntermediate,40.40,75.61,110.98,0.11,-0.03,-0.22,0.97
231.64,R_LittleIntermediate,42.80,74.67,109.30,0.11,0.12,-0.31,0.94
231.64,R_IndexProximal,36.89,77.11,107.71,0.15,-0.17,-0.07,0.97
231.64,R_MiddleProximal,39.03,76.99,107.79,0.16,-0.11,-0.12,0.97
231.64,R_ThumbProximal,34.56,75.86,104.49,-0.12,-0.17,0.44,0.87
231.64,R_RingProximal,40.72,76.07,107.28,0.07,-0.03,-0.19,0.98
231.64,L_LittleProximal,-0.30,53.34,85.65,-0.32,0.02,-0.50,-0.81
231.64,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
231.65,Main Camera,5.98,118.35,62.74,0.02,-0.07,0.08,-0.99
231.65,R_Palm,39.05,76.46,104.92,-0.04,-0.03,-0.14,0.99
231.65,R_ThumbTip,31.74,76.27,109.25,-0.20,-0.26,0.50,0.80
231.65,R_IndexTip,34.23,74.68,114.97,0.19,-0.13,-0.10,0.97
231.65,R_MiddleTip,36.80,74.41,116.29,0.16,-0.09,-0.17,0.97
231.65,R_RingTip,39.72,74.62,115.72,0.15,-0.07,-0.23,0.96
231.65,R_LittleTip,43.26,73.70,113.22,0.11,0.06,-0.31,0.94
231.65,R_ThumbDistal,33.24,76.05,107.45,-0.20,-0.26,0.50,0.80
231.65,R_IndexIntermediate,35.63,76.13,110.98,0.19,-0.16,-0.09,0.96
231.65,R_MiddleIntermediate,37.98,75.83,111.61,0.18,-0.11,-0.13,0.97
231.65,R_RingIntermediate,40.41,75.59,110.99,0.11,-0.03,-0.22,0.97
231.65,R_LittleIntermediate,42.80,74.66,109.32,0.11,0.12,-0.31,0.94
231.65,R_IndexProximal,36.90,77.09,107.72,0.15,-0.17,-0.07,0.97
231.65,R_MiddleProximal,39.03,76.97,107.80,0.16,-0.11,-0.12,0.97
231.65,R_ThumbProximal,34.56,75.84,104.50,-0.12,-0.17,0.44,0.87
231.65,R_RingProximal,40.73,76.05,107.30,0.07,-0.03,-0.19,0.98
231.65,L_LittleProximal,-0.24,53.32,85.71,-0.32,0.02,-0.50,-0.80
231.65,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
231.67,Main Camera,5.99,118.36,62.74,0.02,-0.07,0.08,-0.99
231.67,R_Palm,39.06,76.45,104.93,-0.04,-0.03,-0.14,0.99
231.67,R_ThumbTip,31.74,76.26,109.25,-0.20,-0.26,0.50,0.80
231.67,R_IndexTip,34.22,74.67,114.97,0.19,-0.13,-0.10,0.97
231.67,R_MiddleTip,36.79,74.40,116.29,0.16,-0.10,-0.17,0.97
231.67,R_RingTip,39.71,74.61,115.73,0.15,-0.07,-0.23,0.96
231.67,R_LittleTip,43.25,73.69,113.23,0.11,0.06,-0.31,0.94
231.67,R_ThumbDistal,33.24,76.04,107.45,-0.20,-0.26,0.50,0.80
231.67,R_IndexIntermediate,35.62,76.12,110.99,0.19,-0.16,-0.09,0.96
231.67,R_MiddleIntermediate,37.98,75.82,111.62,0.18,-0.11,-0.13,0.97
231.67,R_RingIntermediate,40.40,75.59,111.00,0.11,-0.04,-0.22,0.97
231.67,R_LittleIntermediate,42.80,74.65,109.33,0.11,0.12,-0.31,0.94
231.67,R_IndexProximal,36.90,77.08,107.73,0.15,-0.17,-0.07,0.97
231.67,R_MiddleProximal,39.03,76.96,107.81,0.16,-0.11,-0.12,0.97
231.67,R_ThumbProximal,34.57,75.83,104.51,-0.12,-0.17,0.44,0.87
231.67,R_RingProximal,40.73,76.04,107.31,0.07,-0.03,-0.19,0.98
231.67,L_LittleProximal,-0.20,53.29,85.77,-0.32,0.01,-0.50,-0.80
231.67,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
231.68,Main Camera,6.00,118.37,62.74,0.02,-0.07,0.08,-0.99
231.68,R_Palm,39.05,76.45,104.95,-0.04,-0.03,-0.14,0.99
231.68,R_ThumbTip,31.72,76.25,109.26,-0.20,-0.27,0.50,0.80
231.68,R_IndexTip,34.20,74.66,114.98,0.19,-0.13,-0.10,0.97
231.68,R_MiddleTip,36.77,74.40,116.31,0.16,-0.10,-0.17,0.97
231.68,R_RingTip,39.70,74.61,115.75,0.15,-0.07,-0.23,0.96
231.68,R_LittleTip,43.24,73.69,113.25,0.11,0.06,-0.31,0.94
231.68,R_ThumbDistal,33.23,76.03,107.46,-0.20,-0.27,0.50,0.80
231.68,R_IndexIntermediate,35.61,76.11,111.00,0.19,-0.16,-0.09,0.96
