Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
94.18,Main Camera,-3.02,113.97,78.37,0.05,-0.01,-0.03,-1.00
94.18,R_Palm,37.77,76.07,102.67,0.00,0.04,-0.04,1.00
94.18,R_ThumbTip,30.86,75.51,107.58,-0.15,-0.24,0.50,0.82
94.18,R_IndexTip,35.20,74.89,113.77,0.10,-0.03,-0.05,0.99
94.18,R_MiddleTip,38.05,74.56,114.57,0.08,0.01,-0.10,0.99
94.18,R_RingTip,40.52,74.51,113.27,0.13,0.02,-0.14,0.98
94.18,R_LittleTip,43.71,74.45,110.11,0.10,0.14,-0.22,0.96
94.18,R_ThumbDistal,32.21,75.40,105.64,-0.15,-0.24,0.50,0.82
94.18,R_IndexIntermediate,35.57,75.69,109.40,0.11,-0.06,-0.03,0.99
94.18,R_MiddleIntermediate,38.05,75.54,109.65,0.13,0.00,-0.06,0.99
94.18,R_RingIntermediate,40.27,75.53,108.50,0.10,0.05,-0.13,0.98
94.18,R_LittleIntermediate,42.54,75.27,106.33,0.06,0.20,-0.21,0.96
94.18,R_IndexProximal,36.02,75.99,105.81,0.04,-0.06,-0.01,1.00
94.18,R_MiddleProximal,38.13,76.28,105.61,0.09,0.00,-0.05,0.99
94.18,R_ThumbProximal,33.08,75.47,102.53,-0.05,-0.13,0.44,0.89
94.18,R_RingProximal,39.87,75.76,104.80,0.02,0.06,-0.09,0.99
94.18,L_LittleProximal,-3.94,68.24,90.71,-0.75,-0.12,-0.37,-0.53
94.18,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
94.19,Main Camera,-3.02,113.97,78.37,0.05,-0.01,-0.03,-1.00
94.19,R_Palm,37.77,76.06,102.67,0.00,0.04,-0.04,1.00
94.19,R_ThumbTip,30.86,75.50,107.57,-0.15,-0.24,0.50,0.82
94.19,R_IndexTip,35.20,74.88,113.77,0.10,-0.03,-0.05,0.99
94.19,R_MiddleTip,38.06,74.55,114.56,0.08,0.01,-0.10,0.99
94.19,R_RingTip,40.52,74.50,113.26,0.13,0.02,-0.14,0.98
94.19,R_LittleTip,43.71,74.44,110.10,0.10,0.14,-0.22,0.96
94.19,R_ThumbDistal,32.21,75.39,105.64,-0.15,-0.24,0.50,0.82
94.19,R_IndexIntermediate,35.57,75.68,109.39,0.11,-0.06,-0.03,0.99
94.19,R_MiddleIntermediate,38.05,75.53,109.64,0.13,0.00,-0.06,0.99
94.19,R_RingIntermediate,40.28,75.52,108.50,0.10,0.05,-0.13,0.98
94.19,R_LittleIntermediate,42.54,75.26,106.33,0.06,0.20,-0.21,0.96
94.19,R_IndexProximal,36.02,75.98,105.80,0.04,-0.06,-0.01,1.00
94.19,R_MiddleProximal,38.13,76.27,105.60,0.09,0.00,-0.05,0.99
94.19,R_ThumbProximal,33.08,75.46,102.53,-0.05,-0.13,0.44,0.89
94.19,R_RingProximal,39.87,75.75,104.79,0.02,0.06,-0.09,0.99
94.19,L_LittleProximal,-3.94,68.24,90.71,-0.75,-0.12,-0.37,-0.53
94.19,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
94.21,Main Camera,-3.03,113.97,78.37,0.05,-0.01,-0.03,-1.00
94.21,R_Palm,37.77,76.06,102.67,0.00,0.04,-0.04,1.00
94.21,R_ThumbTip,30.86,75.50,107.57,-0.15,-0.24,0.50,0.82
94.21,R_IndexTip,35.21,74.87,113.77,0.10,-0.03,-0.05,0.99
94.21,R_MiddleTip,38.06,74.53,114.56,0.08,0.01,-0.10,0.99
94.21,R_RingTip,40.53,74.48,113.25,0.13,0.02,-0.14,0.98
94.21,R_LittleTip,43.72,74.42,110.09,0.10,0.14,-0.22,0.96
94.21,R_ThumbDistal,32.21,75.39,105.64,-0.15,-0.24,0.50,0.82
94.21,R_IndexIntermediate,35.58,75.67,109.39,0.11,-0.05,-0.04,0.99
94.21,R_MiddleIntermediate,38.06,75.52,109.64,0.13,0.00,-0.06,0.99
94.21,R_RingIntermediate,40.28,75.51,108.49,0.10,0.05,-0.13,0.98
94.21,R_LittleIntermediate,42.55,75.24,106.32,0.06,0.20,-0.21,0.96
94.21,R_IndexProximal,36.02,75.97,105.80,0.04,-0.06,-0.01,1.00
94.21,R_MiddleProximal,38.13,76.26,105.60,0.09,0.00,-0.05,0.99
