Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
218.15,Main Camera,-0.98,115.33,76.33,0.11,0.00,-0.03,-0.99
218.15,R_Palm,34.87,78.20,102.80,-0.07,0.04,-0.12,0.99
218.15,R_ThumbTip,29.97,76.47,108.53,0.10,-0.08,0.55,0.82
218.15,R_IndexTip,32.33,75.61,113.20,0.28,-0.02,-0.11,0.95
218.15,R_MiddleTip,34.91,75.46,114.10,0.23,0.01,-0.19,0.95
218.15,R_RingTip,36.88,75.82,113.07,0.26,-0.03,-0.24,0.93
218.15,R_LittleTip,38.61,75.59,110.34,0.28,-0.03,-0.33,0.90
218.15,R_ThumbDistal,30.09,77.00,106.24,0.10,-0.08,0.55,0.82
218.15,R_IndexIntermediate,32.77,77.76,109.31,0.25,-0.04,-0.10,0.96
218.15,R_MiddleIntermediate,35.19,77.62,109.57,0.23,0.00,-0.14,0.96
218.15,R_RingIntermediate,37.29,77.72,108.61,0.18,0.02,-0.22,0.96
218.15,R_LittleIntermediate,39.02,77.15,106.67,0.15,0.06,-0.32,0.93
218.15,R_IndexProximal,33.18,78.88,105.88,0.16,-0.04,-0.08,0.98
218.15,R_MiddleProximal,35.30,78.80,105.63,0.15,0.01,-0.13,0.98
218.15,R_ThumbProximal,30.25,77.39,103.03,0.04,-0.05,0.48,0.87
218.15,R_RingProximal,36.91,77.90,104.90,0.01,0.05,-0.18,0.98
218.15,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.15,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.16,Main Camera,-0.98,115.32,76.33,0.11,0.00,-0.03,-0.99
218.16,R_Palm,34.88,78.19,102.81,-0.07,0.04,-0.12,0.99
218.16,R_ThumbTip,29.98,76.47,108.55,0.10,-0.08,0.55,0.82
218.16,R_IndexTip,32.34,75.59,113.21,0.28,-0.02,-0.11,0.95
218.16,R_MiddleTip,34.92,75.44,114.11,0.24,0.01,-0.19,0.95
218.16,R_RingTip,36.89,75.81,113.08,0.26,-0.03,-0.24,0.93
218.16,R_LittleTip,38.62,75.58,110.35,0.28,-0.03,-0.33,0.90
218.16,R_ThumbDistal,30.10,76.99,106.25,0.10,-0.08,0.55,0.82
218.16,R_IndexIntermediate,32.78,77.75,109.32,0.25,-0.04,-0.10,0.96
218.16,R_MiddleIntermediate,35.20,77.61,109.58,0.23,0.00,-0.15,0.96
218.16,R_RingIntermediate,37.30,77.70,108.62,0.18,0.02,-0.22,0.96
218.16,R_LittleIntermediate,39.03,77.14,106.68,0.15,0.06,-0.32,0.93
218.16,R_IndexProximal,33.18,78.87,105.89,0.16,-0.04,-0.08,0.98
218.16,R_MiddleProximal,35.31,78.79,105.64,0.15,0.01,-0.13,0.98
218.16,R_ThumbProximal,30.26,77.38,103.04,0.04,-0.05,0.48,0.87
218.16,R_RingProximal,36.92,77.89,104.91,0.02,0.05,-0.18,0.98
218.16,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.16,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.17,Main Camera,-0.99,115.31,76.34,0.11,0.00,-0.03,-0.99
218.17,R_Palm,34.88,78.20,102.81,-0.07,0.04,-0.12,0.99
218.17,R_ThumbTip,29.98,76.48,108.55,0.10,-0.08,0.55,0.82
218.17,R_IndexTip,32.34,75.60,113.21,0.28,-0.02,-0.11,0.95
218.17,R_MiddleTip,34.92,75.45,114.11,0.24,0.01,-0.19,0.95
218.17,R_RingTip,36.89,75.81,113.08,0.26,-0.03,-0.24,0.93
218.17,R_LittleTip,38.62,75.59,110.35,0.28,-0.03,-0.33,0.90
218.17,R_ThumbDistal,30.09,77.00,106.25,0.10,-0.08,0.55,0.82
218.17,R_IndexIntermediate,32.78,77.76,109.32,0.25,-0.04,-0.10,0.96
218.17,R_MiddleIntermediate,35.20,77.62,109.58,0.23,0.00,-0.15,0.96
218.17,R_RingIntermediate,37.30,77.71,108.62,0.18,0.02,-0.22,0.96
218.17,R_LittleIntermediate,39.03,77.15,106.68,0.16,0.06,-0.32,0.93
218.17,R_IndexProximal,33.18,78.89,105.90,0.16,-0.04,-0.08,0.98
218.17,R_MiddleProximal,35.30,78.80,105.65,0.15,0.01,-0.13,0.98
218.17,R_ThumbProximal,30.26,77.40,103.05,0.04,-0.05,0.48,0.87
218.17,R_RingProximal,36.92,77.90,104.91,0.02,0.05,-0.18,0.98
218.17,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.17,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.19,Main Camera,-1.00,115.30,76.34,0.11,0.00,-0.03,-0.99
218.19,R_Palm,34.86,78.21,102.80,-0.07,0.05,-0.12,0.99
218.19,R_ThumbTip,29.97,76.49,108.53,0.10,-0.08,0.55,0.82
218.19,R_IndexTip,32.33,75.61,113.19,0.28,-0.01,-0.11,0.95
218.19,R_MiddleTip,34.91,75.45,114.09,0.24,0.01,-0.19,0.95
218.19,R_RingTip,36.88,75.82,113.06,0.26,-0.03,-0.24,0.93
218.19,R_LittleTip,38.61,75.60,110.33,0.28,-0.03,-0.33,0.90
218.19,R_ThumbDistal,30.08,77.01,106.23,0.10,-0.08,0.55,0.82
218.19,R_IndexIntermediate,32.77,77.77,109.31,0.25,-0.04,-0.10,0.96
218.19,R_MiddleIntermediate,35.18,77.63,109.56,0.23,0.00,-0.15,0.96
218.19,R_RingIntermediate,37.29,77.72,108.60,0.18,0.02,-0.22,0.96
218.19,R_LittleIntermediate,39.02,77.16,106.66,0.16,0.06,-0.32,0.93
218.19,R_IndexProximal,33.17,78.90,105.88,0.16,-0.04,-0.08,0.98
218.19,R_MiddleProximal,35.29,78.81,105.63,0.15,0.01,-0.13,0.98
218.19,R_ThumbProximal,30.24,77.41,103.03,0.04,-0.05,0.48,0.87
218.19,R_RingProximal,36.91,77.91,104.89,0.02,0.06,-0.18,0.98
218.19,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.19,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.21,Main Camera,-1.01,115.30,76.36,0.11,0.00,-0.03,-0.99
218.21,R_Palm,34.84,78.24,102.78,-0.07,0.05,-0.12,0.99
218.21,R_ThumbTip,29.95,76.51,108.52,0.10,-0.08,0.55,0.82
218.21,R_IndexTip,32.32,75.63,113.18,0.28,-0.01,-0.11,0.95
218.21,R_MiddleTip,34.90,75.47,114.07,0.24,0.01,-0.19,0.95
218.21,R_RingTip,36.86,75.84,113.05,0.26,-0.03,-0.24,0.93
218.21,R_LittleTip,38.59,75.62,110.31,0.28,-0.03,-0.33,0.90
218.21,R_ThumbDistal,30.06,77.04,106.22,0.10,-0.08,0.55,0.82
218.21,R_IndexIntermediate,32.75,77.79,109.30,0.25,-0.04,-0.10,0.96
218.21,R_MiddleIntermediate,35.17,77.65,109.55,0.23,0.00,-0.15,0.96
218.21,R_RingIntermediate,37.27,77.74,108.59,0.18,0.02,-0.22,0.96
218.21,R_LittleIntermediate,39.00,77.18,106.64,0.16,0.06,-0.32,0.93
218.21,R_IndexProximal,33.15,78.92,105.87,0.16,-0.04,-0.08,0.98
218.21,R_MiddleProximal,35.27,78.84,105.62,0.15,0.01,-0.13,0.98
218.21,R_ThumbProximal,30.22,77.44,103.02,0.04,-0.05,0.48,0.87
218.21,R_RingProximal,36.89,77.93,104.88,0.02,0.06,-0.18,0.98
218.21,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.21,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.23,Main Camera,-1.03,115.29,76.37,0.11,0.00,-0.03,-0.99
218.23,R_Palm,34.66,78.38,102.71,-0.07,0.05,-0.12,0.99
218.23,R_ThumbTip,29.77,76.66,108.46,0.11,-0.08,0.55,0.82
218.23,R_IndexTip,32.15,75.77,113.12,0.28,-0.01,-0.11,0.95
218.23,R_MiddleTip,34.73,75.62,114.01,0.23,0.01,-0.19,0.95
218.23,R_RingTip,36.70,75.98,112.98,0.26,-0.03,-0.24,0.93
218.23,R_LittleTip,38.42,75.76,110.24,0.28,-0.03,-0.33,0.90
218.23,R_ThumbDistal,29.88,77.19,106.16,0.11,-0.08,0.55,0.82
218.23,R_IndexIntermediate,32.58,77.93,109.23,0.25,-0.04,-0.10,0.96
218.23,R_MiddleIntermediate,34.99,77.79,109.48,0.23,0.00,-0.15,0.96
218.23,R_RingIntermediate,37.10,77.88,108.51,0.18,0.02,-0.22,0.96
218.23,R_LittleIntermediate,38.82,77.32,106.57,0.15,0.06,-0.32,0.93
218.23,R_IndexProximal,32.97,79.06,105.80,0.16,-0.04,-0.08,0.98
218.23,R_MiddleProximal,35.09,78.98,105.55,0.15,0.01,-0.13,0.98
218.23,R_ThumbProximal,30.04,77.59,102.95,0.04,-0.05,0.48,0.87
218.23,R_RingProximal,36.71,78.08,104.81,0.02,0.06,-0.18,0.98
218.23,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.23,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.24,Main Camera,-1.04,115.29,76.38,0.11,0.00,-0.03,-0.99
218.24,R_Palm,34.64,78.39,102.71,-0.07,0.05,-0.12,0.99
218.24,R_ThumbTip,29.76,76.68,108.45,0.11,-0.08,0.55,0.82
218.24,R_IndexTip,32.14,75.79,113.11,0.28,-0.01,-0.11,0.95
218.24,R_MiddleTip,34.73,75.64,114.00,0.23,0.01,-0.19,0.95
218.24,R_RingTip,36.69,75.99,112.97,0.26,-0.02,-0.24,0.93
218.24,R_LittleTip,38.42,75.77,110.23,0.27,-0.03,-0.33,0.90
218.24,R_ThumbDistal,29.87,77.20,106.16,0.11,-0.08,0.55,0.82
218.24,R_IndexIntermediate,32.57,77.94,109.22,0.25,-0.04,-0.10,0.96
218.24,R_MiddleIntermediate,34.99,77.80,109.47,0.23,0.00,-0.15,0.96
218.24,R_RingIntermediate,37.09,77.89,108.50,0.18,0.02,-0.22,0.96
218.24,R_LittleIntermediate,38.81,77.32,106.55,0.15,0.07,-0.32,0.93
218.24,R_IndexProximal,32.96,79.07,105.80,0.16,-0.04,-0.08,0.98
218.24,R_MiddleProximal,35.08,78.99,105.54,0.15,0.01,-0.14,0.98
218.24,R_ThumbProximal,30.02,77.60,102.95,0.04,-0.05,0.48,0.87
218.24,R_RingProximal,36.69,78.08,104.80,0.02,0.06,-0.18,0.98
218.24,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.24,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.26,Main Camera,-1.05,115.29,76.39,0.11,0.00,-0.03,-0.99
218.26,R_Palm,34.62,78.41,102.69,-0.07,0.05,-0.12,0.99
218.26,R_ThumbTip,29.74,76.70,108.45,0.11,-0.08,0.55,0.83
218.26,R_IndexTip,32.12,75.82,113.11,0.28,-0.01,-0.11,0.95
218.26,R_MiddleTip,34.71,75.67,114.00,0.23,0.01,-0.19,0.95
218.26,R_RingTip,36.67,76.02,112.96,0.26,-0.02,-0.24,0.93
218.26,R_LittleTip,38.40,75.79,110.22,0.27,-0.03,-0.33,0.90
218.26,R_ThumbDistal,29.85,77.23,106.15,0.11,-0.08,0.55,0.83
218.26,R_IndexIntermediate,32.55,77.97,109.21,0.25,-0.04,-0.10,0.96
218.26,R_MiddleIntermediate,34.96,77.82,109.46,0.23,0.00,-0.15,0.96
218.26,R_RingIntermediate,37.06,77.91,108.49,0.17,0.02,-0.23,0.96
218.26,R_LittleIntermediate,38.78,77.34,106.54,0.15,0.07,-0.32,0.93
218.26,R_IndexProximal,32.94,79.10,105.79,0.16,-0.04,-0.08,0.98
218.26,R_MiddleProximal,35.06,79.01,105.53,0.15,0.01,-0.14,0.98
218.26,R_ThumbProximal,30.00,77.63,102.94,0.04,-0.05,0.48,0.87
218.26,R_RingProximal,36.67,78.10,104.78,0.02,0.06,-0.18,0.98
218.26,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.26,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.27,Main Camera,-1.06,115.29,76.39,0.11,0.00,-0.03,-0.99
218.27,R_Palm,34.62,78.42,102.68,-0.07,0.05,-0.12,0.99
218.27,R_ThumbTip,29.75,76.71,108.44,0.11,-0.08,0.55,0.83
218.27,R_IndexTip,32.13,75.83,113.10,0.28,-0.01,-0.11,0.95
218.27,R_MiddleTip,34.72,75.67,113.99,0.23,0.01,-0.19,0.95
218.27,R_RingTip,36.68,76.02,112.95,0.26,-0.02,-0.24,0.93
218.27,R_LittleTip,38.41,75.79,110.21,0.27,-0.03,-0.33,0.90
218.27,R_ThumbDistal,29.85,77.24,106.14,0.11,-0.08,0.55,0.83
218.27,R_IndexIntermediate,32.56,77.98,109.20,0.25,-0.04,-0.10,0.96
218.27,R_MiddleIntermediate,34.97,77.82,109.45,0.23,0.00,-0.15,0.96
218.27,R_RingIntermediate,37.07,77.90,108.48,0.17,0.02,-0.23,0.96
218.27,R_LittleIntermediate,38.78,77.33,106.52,0.15,0.07,-0.32,0.93
218.27,R_IndexProximal,32.94,79.10,105.78,0.16,-0.04,-0.08,0.98
218.27,R_MiddleProximal,35.06,79.01,105.51,0.15,0.01,-0.14,0.98
218.27,R_ThumbProximal,30.00,77.64,102.94,0.04,-0.05,0.48,0.87
218.27,R_RingProximal,36.67,78.10,104.77,0.02,0.06,-0.18,0.98
218.27,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.27,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.28,Main Camera,-1.08,115.28,76.40,0.11,0.00,-0.03,-0.99
218.28,R_Palm,34.62,78.42,102.67,-0.07,0.05,-0.13,0.99
218.28,R_ThumbTip,29.75,76.72,108.43,0.11,-0.08,0.55,0.83
218.28,R_IndexTip,32.14,75.84,113.09,0.28,-0.01,-0.11,0.95
218.28,R_MiddleTip,34.73,75.68,113.98,0.23,0.01,-0.19,0.95
218.28,R_RingTip,36.69,76.02,112.93,0.26,-0.02,-0.24,0.93
218.28,R_LittleTip,38.42,75.79,110.20,0.27,-0.03,-0.33,0.90
218.28,R_ThumbDistal,29.86,77.25,106.14,0.11,-0.08,0.55,0.83
218.28,R_IndexIntermediate,32.56,77.98,109.20,0.25,-0.04,-0.10,0.96
218.28,R_MiddleIntermediate,34.98,77.83,109.44,0.23,0.00,-0.15,0.96
218.28,R_RingIntermediate,37.08,77.90,108.46,0.17,0.03,-0.23,0.96
218.28,R_LittleIntermediate,38.79,77.32,106.51,0.15,0.07,-0.32,0.93
218.28,R_IndexProximal,32.95,79.11,105.77,0.16,-0.04,-0.08,0.98
218.28,R_MiddleProximal,35.07,79.01,105.50,0.15,0.01,-0.14,0.98
218.28,R_ThumbProximal,30.00,77.65,102.93,0.04,-0.05,0.48,0.88
218.28,R_RingProximal,36.68,78.10,104.76,0.02,0.06,-0.18,0.98
218.28,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.28,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.30,Main Camera,-1.09,115.27,76.40,0.11,0.00,-0.03,-0.99
218.30,R_Palm,34.62,78.40,102.68,-0.07,0.05,-0.13,0.99
218.30,R_ThumbTip,29.75,76.71,108.44,0.11,-0.08,0.55,0.83
218.30,R_IndexTip,32.14,75.83,113.10,0.28,-0.01,-0.11,0.95
218.30,R_MiddleTip,34.73,75.66,113.98,0.23,0.01,-0.19,0.95
218.30,R_RingTip,36.69,76.00,112.94,0.26,-0.02,-0.24,0.93
218.30,R_LittleTip,38.43,75.78,110.21,0.27,-0.02,-0.33,0.90
218.30,R_ThumbDistal,29.86,77.23,106.14,0.11,-0.08,0.55,0.83
218.30,R_IndexIntermediate,32.57,77.97,109.20,0.25,-0.04,-0.10,0.96
218.30,R_MiddleIntermediate,34.98,77.81,109.44,0.23,0.00,-0.15,0.96
218.30,R_RingIntermediate,37.08,77.88,108.47,0.17,0.03,-0.23,0.96
218.30,R_LittleIntermediate,38.79,77.30,106.51,0.15,0.07,-0.32,0.93
218.30,R_IndexProximal,32.95,79.09,105.77,0.16,-0.04,-0.08,0.98
218.30,R_MiddleProximal,35.07,79.00,105.51,0.15,0.01,-0.14,0.98
218.30,R_ThumbProximal,30.00,77.64,102.94,0.04,-0.05,0.48,0.88
218.30,R_RingProximal,36.68,78.08,104.76,0.02,0.06,-0.18,0.98
218.30,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
218.30,Parallelepiped,2.05,80.26,145.00,-0.50,-0.50,-0.50,0.50
218.31,Main Camera,-1.10,115.26,76.41,0.11,0.00,-0.03,-0.99
218.31,R_Palm,34.63,78.40,102.70,-0.07,0.05,-0.13,0.99
218.31,R_ThumbTip,29.76,76.69,108.46,0.11,-0.08,0.55,0.83
218.31,R_IndexTip,32.14,75.82,113.12,0.28,-0.01,-0.11,0.95
218.31,R_MiddleTip,34.74,75.65,114.00,0.23,0.01,-0.19,0.95
218.31,R_RingTip,36.70,75.99,112.96,0.26,-0.02,-0.24,0.93
218.31,R_LittleTip,38.43,75.77,110.23,0.27,-0.02,-0.33,0.90
218.31,R_ThumbDistal,29.87,77.22,106.17,0.11,-0.08,0.55,0.83
218.31,R_IndexIntermediate,32.57,77.96,109.22,0.25,-0.04,-0.10,0.96
218.31,R_MiddleIntermediate,34.99,77.80,109.46,0.23,0.00,-0.15,0.96
218.31,R_RingIntermediate,37.09,77.87,108.49,0.17,0.03,-0.23,0.96
218.31,R_LittleIntermediate,38.79,77.29,106.53,0.15,0.07,-0.32,0.93
218.31,R_IndexProximal,32.96,79.09,105.79,0.16,-0.04,-0.08,0.98
218.31,R_MiddleProximal,35.08,78.99,105.53,0.15,0.01,-0.14,0.98
218.31,R_ThumbProximal,30.01,77.63,102.96,0.04,-0.05,0.48,0.88
218.31,R_RingProximal,36.68,78.07,104.78,0.02,0.06,-0.18,0.98
