Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
405.20,Main Camera,-2.88,114.64,82.90,0.11,0.01,-0.03,-0.99
405.20,R_Palm,34.16,76.10,107.25,0.02,0.03,-0.06,1.00
405.20,R_ThumbTip,27.38,75.30,112.14,-0.07,-0.23,0.49,0.84
405.20,R_IndexTip,31.68,74.14,118.19,0.17,-0.02,-0.07,0.98
405.20,R_MiddleTip,34.43,74.35,119.13,0.10,0.01,-0.12,0.99
405.20,R_RingTip,36.80,74.47,117.87,0.13,0.01,-0.17,0.98
405.20,R_LittleTip,39.97,74.31,114.72,0.10,0.13,-0.24,0.96
405.20,R_ThumbDistal,28.51,75.44,110.08,-0.07,-0.23,0.49,0.84
405.20,R_IndexIntermediate,32.00,75.47,113.94,0.16,-0.04,-0.06,0.98
405.20,R_MiddleIntermediate,34.44,75.48,114.24,0.14,0.00,-0.09,0.99
405.20,R_RingIntermediate,36.62,75.46,113.10,0.10,0.05,-0.16,0.98
405.20,R_LittleIntermediate,38.86,75.11,110.92,0.06,0.19,-0.23,0.95
405.20,R_IndexProximal,32.37,76.02,110.37,0.08,-0.05,-0.04,1.00
405.20,R_MiddleProximal,34.50,76.20,110.20,0.09,0.00,-0.08,0.99
405.20,R_ThumbProximal,29.36,75.74,106.98,-0.01,-0.14,0.42,0.89
405.20,R_RingProximal,36.22,75.61,109.40,0.01,0.06,-0.12,0.99
405.20,L_LittleProximal,-73.13,89.47,46.33,-0.02,-0.93,0.04,0.37
405.20,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
405.21,Main Camera,-2.88,114.64,82.90,0.11,0.01,-0.03,-0.99
405.21,R_Palm,34.16,76.11,107.24,0.02,0.03,-0.06,1.00
405.21,R_ThumbTip,27.37,75.30,112.13,-0.07,-0.23,0.49,0.84
405.21,R_IndexTip,31.68,74.14,118.17,0.17,-0.02,-0.07,0.98
405.21,R_MiddleTip,34.43,74.36,119.12,0.10,0.01,-0.12,0.99
405.21,R_RingTip,36.80,74.48,117.86,0.13,0.01,-0.17,0.98
405.21,R_LittleTip,39.97,74.31,114.71,0.10,0.13,-0.24,0.96
405.21,R_ThumbDistal,28.51,75.44,110.07,-0.07,-0.23,0.49,0.84
405.21,R_IndexIntermediate,32.00,75.48,113.92,0.16,-0.04,-0.06,0.98
405.21,R_MiddleIntermediate,34.44,75.49,114.23,0.14,0.00,-0.09,0.99
405.21,R_RingIntermediate,36.62,75.47,113.09,0.10,0.05,-0.16,0.98
405.21,R_LittleIntermediate,38.86,75.12,110.91,0.06,0.19,-0.23,0.95
405.21,R_IndexProximal,32.37,76.02,110.35,0.08,-0.05,-0.04,1.00
405.21,R_MiddleProximal,34.49,76.21,110.19,0.09,0.00,-0.08,0.99
405.21,R_ThumbProximal,29.36,75.74,106.96,-0.01,-0.14,0.42,0.89
405.21,R_RingProximal,36.22,75.62,109.38,0.01,0.06,-0.12,0.99
405.21,L_LittleProximal,-73.13,89.47,46.33,-0.02,-0.93,0.04,0.37
405.21,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
405.23,Main Camera,-2.89,114.63,82.90,0.11,0.01,-0.03,-0.99
405.23,R_Palm,34.16,76.11,107.23,0.02,0.03,-0.06,1.00
405.23,R_ThumbTip,27.38,75.30,112.13,-0.07,-0.23,0.49,0.84
405.23,R_IndexTip,31.68,74.13,118.16,0.17,-0.02,-0.07,0.98
405.23,R_MiddleTip,34.43,74.36,119.11,0.10,0.01,-0.12,0.99
405.23,R_RingTip,36.80,74.47,117.85,0.13,0.01,-0.17,0.98
405.23,R_LittleTip,39.97,74.32,114.69,0.10,0.13,-0.24,0.96
405.23,R_ThumbDistal,28.51,75.44,110.07,-0.07,-0.23,0.49,0.84
405.23,R_IndexIntermediate,32.00,75.47,113.91,0.16,-0.04,-0.06,0.98
405.23,R_MiddleIntermediate,34.44,75.48,114.22,0.14,0.00,-0.09,0.99
405.23,R_RingIntermediate,36.62,75.47,113.08,0.10,0.05,-0.16,0.98
405.23,R_LittleIntermediate,38.86,75.12,110.90,0.06,0.19,-0.23,0.95
405.23,R_IndexProximal,32.37,76.02,110.34,0.08,-0.05,-0.04,1.00
405.23,R_MiddleProximal,34.49,76.21,110.18,0.09,0.00,-0.07,0.99
405.23,R_ThumbProximal,29.36,75.74,106.96,-0.01,-0.14,0.42,0.89
405.23,R_RingProximal,36.22,75.62,109.37,0.01,0.06,-0.12,0.99
405.23,L_LittleProximal,-73.13,89.47,46.33,-0.02,-0.93,0.04,0.37
405.23,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
405.24,Main Camera,-2.90,114.63,82.91,0.11,0.01,-0.03,-0.99
405.24,R_Palm,34.16,76.11,107.22,0.02,0.03,-0.06,1.00
405.24,R_ThumbTip,27.38,75.29,112.12,-0.07,-0.23,0.49,0.84
405.24,R_IndexTip,31.69,74.12,118.15,0.17,-0.02,-0.07,0.98
405.24,R_MiddleTip,34.44,74.34,119.10,0.10,0.01,-0.12,0.99
405.24,R_RingTip,36.81,74.47,117.84,0.13,0.01,-0.17,0.98
405.24,R_LittleTip,39.98,74.31,114.68,0.10,0.13,-0.24,0.96
405.24,R_ThumbDistal,28.51,75.43,110.06,-0.07,-0.23,0.49,0.84
405.24,R_IndexIntermediate,32.00,75.46,113.91,0.16,-0.04,-0.06,0.98
405.24,R_MiddleIntermediate,34.44,75.47,114.21,0.14,0.00,-0.09,0.99
405.24,R_RingIntermediate,36.62,75.47,113.07,0.10,0.05,-0.16,0.98
405.24,R_LittleIntermediate,38.86,75.12,110.88,0.06,0.19,-0.23,0.95
405.24,R_IndexProximal,32.37,76.02,110.34,0.08,-0.05,-0.04,1.00
405.24,R_MiddleProximal,34.49,76.21,110.17,0.09,0.00,-0.07,0.99
405.24,R_ThumbProximal,29.36,75.74,106.95,-0.01,-0.14,0.43,0.89
405.24,R_RingProximal,36.22,75.62,109.36,0.01,0.06,-0.12,0.99
405.24,L_LittleProximal,-73.13,89.47,46.33,-0.02,-0.93,0.04,0.37
405.24,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
405.26,Main Camera,-2.90,114.62,82.91,0.11,0.01,-0.03,-0.99
405.26,R_Palm,34.17,76.09,107.23,0.02,0.04,-0.06,1.00
405.26,R_ThumbTip,27.40,75.26,112.14,-0.07,-0.23,0.49,0.84
405.26,R_IndexTip,31.72,74.08,118.16,0.17,-0.01,-0.07,0.98
405.26,R_MiddleTip,34.47,74.31,119.11,0.10,0.01,-0.12,0.99
405.26,R_RingTip,36.83,74.44,117.84,0.13,0.01,-0.17,0.98
405.26,R_LittleTip,40.00,74.29,114.68,0.10,0.13,-0.24,0.96
405.26,R_ThumbDistal,28.53,75.41,110.07,-0.07,-0.23,0.49,0.84
405.26,R_IndexIntermediate,32.03,75.43,113.91,0.16,-0.04,-0.06,0.98
405.26,R_MiddleIntermediate,34.46,75.45,114.22,0.14,0.00,-0.09,0.99
405.26,R_RingIntermediate,36.64,75.44,113.07,0.10,0.05,-0.16,0.98
405.26,R_LittleIntermediate,38.88,75.10,110.88,0.06,0.19,-0.23,0.95
405.26,R_IndexProximal,32.39,75.99,110.35,0.08,-0.05,-0.04,1.00
405.26,R_MiddleProximal,34.51,76.18,110.18,0.09,0.00,-0.07,0.99
405.26,R_ThumbProximal,29.37,75.72,106.96,-0.01,-0.14,0.43,0.89
405.26,R_RingProximal,36.23,75.60,109.37,0.01,0.06,-0.12,0.99
405.26,L_LittleProximal,-73.13,89.47,46.33,-0.02,-0.93,0.04,0.37
405.26,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
405.27,Main Camera,-2.90,114.62,82.91,0.11,0.01,-0.03,-0.99
405.27,R_Palm,34.18,76.09,107.24,0.02,0.04,-0.06,1.00
405.27,R_ThumbTip,27.41,75.25,112.15,-0.07,-0.23,0.49,0.84
405.27,R_IndexTip,31.73,74.06,118.17,0.17,-0.01,-0.07,0.98
405.27,R_MiddleTip,34.48,74.30,119.12,0.10,0.01,-0.12,0.99
405.27,R_RingTip,36.84,74.43,117.85,0.13,0.01,-0.17,0.98
405.27,R_LittleTip,40.01,74.28,114.69,0.10,0.13,-0.24,0.96
