Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
242.33,Main Camera,-2.50,115.00,76.85,0.10,-0.02,-0.04,-0.99
242.33,R_Palm,36.36,76.74,103.49,0.01,0.08,-0.07,0.99
242.33,R_ThumbTip,30.56,75.70,109.17,-0.01,-0.16,0.51,0.85
242.33,R_IndexTip,34.82,74.76,114.59,0.16,0.03,-0.08,0.98
242.33,R_MiddleTip,37.59,74.62,115.21,0.12,0.05,-0.13,0.98
242.33,R_RingTip,39.81,74.82,113.80,0.14,0.05,-0.18,0.97
242.33,R_LittleTip,42.53,74.79,110.50,0.10,0.16,-0.25,0.95
242.33,R_ThumbDistal,31.27,75.94,106.94,-0.01,-0.16,0.51,0.85
242.33,R_IndexIntermediate,34.77,76.07,110.32,0.15,0.00,-0.07,0.99
242.33,R_MiddleIntermediate,37.20,75.93,110.37,0.15,0.04,-0.09,0.98
242.33,R_RingIntermediate,39.26,75.95,109.09,0.10,0.09,-0.16,0.98
242.33,R_LittleIntermediate,41.25,75.68,106.77,0.06,0.21,-0.24,0.95
242.33,R_IndexProximal,34.84,76.69,106.74,0.09,-0.01,-0.04,1.00
242.33,R_MiddleProximal,36.94,76.87,106.38,0.11,0.04,-0.08,0.99
242.33,R_ThumbProximal,31.69,76.24,103.75,0.01,-0.08,0.44,0.89
242.33,R_RingProximal,38.58,76.27,105.43,0.03,0.10,-0.12,0.99
242.33,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
242.33,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.34,Main Camera,-2.49,115.01,76.84,0.10,-0.02,-0.04,-0.99
242.34,R_Palm,36.39,76.69,103.51,0.01,0.08,-0.07,0.99
242.34,R_ThumbTip,30.59,75.65,109.19,-0.01,-0.16,0.51,0.85
242.34,R_IndexTip,34.85,74.72,114.61,0.16,0.03,-0.08,0.98
242.34,R_MiddleTip,37.62,74.57,115.23,0.12,0.05,-0.13,0.98
242.34,R_RingTip,39.84,74.77,113.82,0.14,0.05,-0.18,0.97
242.34,R_LittleTip,42.56,74.75,110.52,0.10,0.16,-0.25,0.95
242.34,R_ThumbDistal,31.30,75.89,106.96,-0.01,-0.16,0.51,0.85
242.34,R_IndexIntermediate,34.80,76.02,110.34,0.15,0.00,-0.07,0.99
242.34,R_MiddleIntermediate,37.23,75.88,110.40,0.15,0.04,-0.09,0.98
242.34,R_RingIntermediate,39.29,75.90,109.11,0.10,0.09,-0.16,0.98
242.34,R_LittleIntermediate,41.28,75.63,106.79,0.06,0.21,-0.24,0.95
242.34,R_IndexProximal,34.87,76.64,106.76,0.09,-0.01,-0.04,1.00
242.34,R_MiddleProximal,36.97,76.82,106.40,0.11,0.04,-0.08,0.99
242.34,R_ThumbProximal,31.73,76.19,103.77,0.01,-0.08,0.44,0.89
242.34,R_RingProximal,38.62,76.22,105.45,0.03,0.10,-0.12,0.99
242.34,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
242.34,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.35,Main Camera,-2.49,115.01,76.84,0.10,-0.02,-0.04,-0.99
242.35,R_Palm,36.43,76.64,103.54,0.01,0.08,-0.07,0.99
242.35,R_ThumbTip,30.63,75.59,109.22,-0.01,-0.16,0.51,0.85
242.35,R_IndexTip,34.89,74.66,114.63,0.16,0.03,-0.08,0.98
242.35,R_MiddleTip,37.66,74.52,115.25,0.12,0.05,-0.13,0.98
242.35,R_RingTip,39.88,74.72,113.85,0.14,0.05,-0.18,0.97
242.35,R_LittleTip,42.60,74.70,110.55,0.10,0.16,-0.25,0.95
242.35,R_ThumbDistal,31.34,75.83,106.98,-0.01,-0.16,0.51,0.85
242.35,R_IndexIntermediate,34.84,75.97,110.36,0.15,0.00,-0.07,0.99
242.35,R_MiddleIntermediate,37.27,75.83,110.42,0.15,0.04,-0.09,0.98
242.35,R_RingIntermediate,39.33,75.84,109.13,0.10,0.09,-0.16,0.98
242.35,R_LittleIntermediate,41.32,75.58,106.82,0.06,0.21,-0.24,0.95
242.35,R_IndexProximal,34.91,76.59,106.79,0.09,-0.01,-0.04,1.00
242.35,R_MiddleProximal,37.01,76.77,106.43,0.11,0.04,-0.08,0.99
242.35,R_ThumbProximal,31.76,76.13,103.79,0.01,-0.08,0.44,0.89
242.35,R_RingProximal,38.65,76.17,105.48,0.03,0.10,-0.12,0.99
242.35,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
242.35,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.37,Main Camera,-2.49,115.01,76.85,0.10,-0.02,-0.04,-0.99
242.37,R_Palm,36.43,76.64,103.53,0.01,0.08,-0.07,0.99
242.37,R_ThumbTip,30.63,75.59,109.21,-0.01,-0.16,0.51,0.85
242.37,R_IndexTip,34.89,74.66,114.63,0.16,0.03,-0.08,0.98
242.37,R_MiddleTip,37.66,74.52,115.24,0.12,0.05,-0.13,0.98
242.37,R_RingTip,39.88,74.71,113.84,0.14,0.05,-0.18,0.97
242.37,R_LittleTip,42.61,74.69,110.54,0.10,0.16,-0.25,0.95
242.37,R_ThumbDistal,31.34,75.83,106.98,-0.01,-0.16,0.51,0.85
242.37,R_IndexIntermediate,34.84,75.97,110.36,0.15,0.00,-0.07,0.99
242.37,R_MiddleIntermediate,37.27,75.82,110.41,0.15,0.04,-0.09,0.98
242.37,R_RingIntermediate,39.33,75.84,109.13,0.10,0.09,-0.16,0.98
242.37,R_LittleIntermediate,41.32,75.57,106.81,0.06,0.21,-0.24,0.95
242.37,R_IndexProximal,34.91,76.59,106.78,0.09,-0.01,-0.04,1.00
242.37,R_MiddleProximal,37.01,76.76,106.42,0.11,0.04,-0.08,0.99
242.37,R_ThumbProximal,31.77,76.13,103.78,0.01,-0.08,0.44,0.89
242.37,R_RingProximal,38.66,76.16,105.47,0.03,0.10,-0.12,0.99
242.37,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
242.37,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.38,Main Camera,-2.50,115.00,76.86,0.10,-0.02,-0.04,-0.99
242.38,R_Palm,36.42,76.65,103.53,0.01,0.08,-0.07,0.99
242.38,R_ThumbTip,30.62,75.60,109.21,-0.01,-0.16,0.51,0.85
242.38,R_IndexTip,34.88,74.67,114.63,0.16,0.03,-0.08,0.98
242.38,R_MiddleTip,37.65,74.53,115.24,0.12,0.05,-0.13,0.98
242.38,R_RingTip,39.88,74.72,113.83,0.14,0.05,-0.18,0.97
242.38,R_LittleTip,42.60,74.70,110.53,0.10,0.16,-0.25,0.95
242.38,R_ThumbDistal,31.34,75.84,106.98,-0.01,-0.16,0.51,0.85
242.38,R_IndexIntermediate,34.84,75.98,110.35,0.15,0.00,-0.07,0.99
242.38,R_MiddleIntermediate,37.27,75.84,110.41,0.15,0.04,-0.09,0.98
242.38,R_RingIntermediate,39.32,75.85,109.12,0.10,0.09,-0.16,0.98
242.38,R_LittleIntermediate,41.32,75.58,106.81,0.06,0.21,-0.24,0.95
242.38,R_IndexProximal,34.91,76.60,106.78,0.09,-0.01,-0.04,1.00
242.38,R_MiddleProximal,37.01,76.77,106.42,0.11,0.04,-0.08,0.99
242.38,R_ThumbProximal,31.76,76.14,103.78,0.01,-0.08,0.44,0.89
242.38,R_RingProximal,38.65,76.17,105.47,0.03,0.10,-0.12,0.99
242.38,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
242.38,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.39,Main Camera,-2.50,114.99,76.86,0.10,-0.02,-0.04,-0.99
242.39,R_Palm,36.40,76.68,103.52,0.01,0.08,-0.07,0.99
242.39,R_ThumbTip,30.59,75.64,109.20,-0.01,-0.16,0.51,0.85
242.39,R_IndexTip,34.85,74.71,114.62,0.16,0.03,-0.08,0.98
242.39,R_MiddleTip,37.63,74.56,115.24,0.12,0.05,-0.13,0.98
242.39,R_RingTip,39.85,74.75,113.83,0.14,0.05,-0.18,0.97
242.39,R_LittleTip,42.57,74.73,110.53,0.10,0.16,-0.25,0.95
242.39,R_ThumbDistal,31.31,75.88,106.97,-0.01,-0.16,0.51,0.85
242.39,R_IndexIntermediate,34.81,76.01,110.35,0.15,0.00,-0.07,0.99
242.39,R_MiddleIntermediate,37.24,75.87,110.40,0.15,0.04,-0.10,0.98
242.39,R_RingIntermediate,39.30,75.88,109.12,0.10,0.09,-0.16,0.98
242.39,R_LittleIntermediate,41.29,75.61,106.80,0.06,0.21,-0.24,0.95
242.39,R_IndexProximal,34.88,76.63,106.77,0.09,-0.01,-0.04,1.00
242.39,R_MiddleProximal,36.98,76.80,106.41,0.11,0.04,-0.08,0.99
242.39,R_ThumbProximal,31.73,76.17,103.78,0.01,-0.08,0.44,0.89
242.39,R_RingProximal,38.62,76.20,105.46,0.03,0.10,-0.12,0.99
242.39,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
242.39,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.41,Main Camera,-2.50,114.99,76.87,0.10,-0.02,-0.04,-0.99
242.41,R_Palm,36.37,76.70,103.51,0.01,0.08,-0.07,0.99
242.41,R_ThumbTip,30.57,75.67,109.20,-0.01,-0.16,0.51,0.85
242.41,R_IndexTip,34.83,74.74,114.62,0.16,0.03,-0.08,0.98
242.41,R_MiddleTip,37.61,74.58,115.23,0.12,0.05,-0.13,0.98
242.41,R_RingTip,39.83,74.77,113.82,0.14,0.05,-0.18,0.97
242.41,R_LittleTip,42.55,74.75,110.52,0.10,0.16,-0.25,0.95
242.41,R_ThumbDistal,31.28,75.90,106.97,-0.01,-0.16,0.51,0.85
242.41,R_IndexIntermediate,34.79,76.04,110.34,0.15,0.00,-0.07,0.99
242.41,R_MiddleIntermediate,37.22,75.88,110.40,0.15,0.04,-0.10,0.98
242.41,R_RingIntermediate,39.28,75.89,109.11,0.10,0.09,-0.16,0.98
242.41,R_LittleIntermediate,41.26,75.62,106.79,0.06,0.21,-0.24,0.94
242.41,R_IndexProximal,34.86,76.65,106.77,0.09,-0.01,-0.04,1.00
242.41,R_MiddleProximal,36.96,76.82,106.41,0.11,0.04,-0.08,0.99
242.41,R_ThumbProximal,31.71,76.20,103.77,0.01,-0.08,0.44,0.89
242.41,R_RingProximal,38.60,76.22,105.45,0.03,0.10,-0.12,0.99
242.41,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
242.41,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.43,Main Camera,-2.49,114.97,76.86,0.09,-0.02,-0.04,-0.99
242.43,R_Palm,36.38,76.69,103.52,0.01,0.08,-0.07,0.99
242.43,R_ThumbTip,30.58,75.68,109.21,-0.01,-0.16,0.51,0.85
242.43,R_IndexTip,34.84,74.74,114.62,0.16,0.03,-0.08,0.98
242.43,R_MiddleTip,37.61,74.58,115.23,0.11,0.05,-0.13,0.98
242.43,R_RingTip,39.84,74.76,113.82,0.14,0.05,-0.18,0.97
242.43,R_LittleTip,42.56,74.73,110.52,0.10,0.16,-0.25,0.95
242.43,R_ThumbDistal,31.29,75.91,106.97,-0.01,-0.16,0.51,0.85
242.43,R_IndexIntermediate,34.80,76.04,110.35,0.15,0.00,-0.07,0.99
242.43,R_MiddleIntermediate,37.23,75.88,110.40,0.15,0.04,-0.10,0.98
242.43,R_RingIntermediate,39.28,75.88,109.11,0.10,0.09,-0.17,0.98
242.43,R_LittleIntermediate,41.27,75.60,106.79,0.06,0.22,-0.24,0.94
242.43,R_IndexProximal,34.87,76.65,106.77,0.08,-0.01,-0.04,1.00
242.43,R_MiddleProximal,36.97,76.82,106.41,0.11,0.04,-0.08,0.99
242.43,R_ThumbProximal,31.72,76.20,103.78,0.01,-0.08,0.44,0.90
242.43,R_RingProximal,38.61,76.21,105.45,0.03,0.10,-0.12,0.99
242.43,L_LittleProximal,-3.20,71.12,87.20,-0.59,0.10,-0.27,-0.75
242.43,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.45,Main Camera,-2.47,114.95,76.84,0.09,-0.02,-0.04,-0.99
242.45,R_Palm,36.38,76.68,103.52,0.01,0.08,-0.07,0.99
242.45,R_ThumbTip,30.58,75.70,109.21,-0.01,-0.16,0.50,0.85
242.45,R_IndexTip,34.83,74.75,114.63,0.16,0.03,-0.08,0.98
