Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
379.71,Main Camera,-0.34,127.58,83.24,0.06,-0.03,-0.01,1.00
379.71,R_Palm,37.22,76.21,101.75,0.03,-0.09,0.06,-0.99
379.71,R_ThumbTip,30.02,75.78,107.89,0.07,0.18,-0.48,-0.85
379.71,R_IndexTip,37.07,74.73,114.21,-0.11,-0.11,0.08,-0.98
379.71,R_MiddleTip,39.83,74.82,114.86,-0.06,-0.11,0.13,-0.98
379.71,R_RingTip,41.75,74.28,113.20,-0.11,-0.09,0.18,-0.97
379.71,R_LittleTip,43.80,74.20,109.87,-0.05,-0.14,0.24,-0.96
379.71,R_ThumbDistal,31.08,75.79,105.47,0.07,0.18,-0.48,-0.85
379.71,R_IndexIntermediate,36.20,75.85,109.43,-0.12,-0.08,0.07,-0.99
379.71,R_MiddleIntermediate,38.76,75.82,109.44,-0.11,-0.10,0.09,-0.98
379.71,R_RingIntermediate,40.77,75.42,107.97,-0.10,-0.12,0.16,-0.97
379.71,R_LittleIntermediate,42.50,74.91,105.61,-0.06,-0.19,0.24,-0.95
379.71,R_IndexProximal,35.62,76.36,105.44,-0.06,-0.07,0.04,-0.99
379.71,R_MiddleProximal,37.96,76.56,104.98,-0.07,-0.09,0.08,-0.99
379.71,R_ThumbProximal,31.68,75.96,101.91,0.01,0.08,-0.42,-0.90
379.71,R_RingProximal,39.79,75.85,103.93,-0.04,-0.12,0.12,-0.98
379.71,L_LittleProximal,-22.48,56.46,79.17,0.61,0.26,0.52,0.54
379.71,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
379.73,Main Camera,-0.34,127.58,83.24,0.06,-0.03,-0.01,1.00
379.73,R_Palm,37.19,76.23,101.74,0.03,-0.09,0.06,-0.99
379.73,R_ThumbTip,29.99,75.80,107.88,0.07,0.18,-0.48,-0.85
379.73,R_IndexTip,37.05,74.74,114.20,-0.11,-0.11,0.08,-0.98
379.73,R_MiddleTip,39.80,74.83,114.85,-0.06,-0.11,0.13,-0.98
379.73,R_RingTip,41.73,74.29,113.20,-0.11,-0.09,0.18,-0.97
379.73,R_LittleTip,43.78,74.20,109.86,-0.05,-0.14,0.24,-0.96
379.73,R_ThumbDistal,31.06,75.81,105.47,0.07,0.18,-0.48,-0.85
379.73,R_IndexIntermediate,36.18,75.86,109.42,-0.12,-0.08,0.07,-0.99
379.73,R_MiddleIntermediate,38.73,75.84,109.44,-0.11,-0.10,0.09,-0.98
379.73,R_RingIntermediate,40.74,75.43,107.96,-0.10,-0.12,0.16,-0.97
379.73,R_LittleIntermediate,42.47,74.92,105.60,-0.06,-0.19,0.24,-0.95
379.73,R_IndexProximal,35.60,76.37,105.44,-0.06,-0.07,0.04,-0.99
379.73,R_MiddleProximal,37.94,76.58,104.98,-0.07,-0.09,0.08,-0.99
379.73,R_ThumbProximal,31.65,75.98,101.91,0.01,0.09,-0.42,-0.90
379.73,R_RingProximal,39.76,75.86,103.93,-0.04,-0.12,0.12,-0.98
379.73,L_LittleProximal,-22.70,56.44,78.89,0.61,0.25,0.52,0.54
379.73,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
379.74,Main Camera,-0.34,127.58,83.24,0.06,-0.03,-0.01,1.00
379.74,R_Palm,37.11,76.32,101.69,0.03,-0.09,0.06,-0.99
379.74,R_ThumbTip,29.91,75.90,107.83,0.07,0.18,-0.48,-0.85
