Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
95.22,Main Camera,2.76,116.41,63.63,0.00,-0.02,-0.08,1.00
95.22,R_Palm,36.12,77.60,102.65,0.01,-0.05,0.11,-0.99
95.22,R_ThumbTip,30.57,78.00,108.51,0.03,0.08,-0.49,-0.87
95.22,R_IndexTip,33.30,76.07,114.01,-0.14,0.03,0.11,-0.98
95.22,R_MiddleTip,36.43,76.10,114.93,-0.09,-0.01,0.17,-0.98
95.22,R_RingTip,38.79,76.14,113.64,-0.08,-0.01,0.21,-0.98
95.22,R_LittleTip,41.43,75.77,110.60,-0.02,-0.10,0.27,-0.96
95.22,R_ThumbDistal,31.02,77.94,106.11,0.03,0.08,-0.49,-0.87
95.22,R_IndexIntermediate,33.78,77.10,109.53,-0.12,0.06,0.10,-0.99
95.22,R_MiddleIntermediate,36.44,77.05,109.82,-0.11,0.00,0.13,-0.99
95.22,R_RingIntermediate,38.53,76.71,108.64,-0.05,-0.05,0.20,-0.98
95.22,R_LittleIntermediate,40.45,76.06,106.54,-0.01,-0.15,0.27,-0.95
95.22,R_IndexProximal,34.34,77.88,105.89,-0.11,0.07,0.07,-0.99
95.22,R_MiddleProximal,36.54,77.88,105.65,-0.10,0.00,0.12,-0.99
95.22,R_ThumbProximal,31.63,77.50,102.85,0.10,0.06,-0.41,-0.91
95.22,R_RingProximal,38.24,77.08,104.80,-0.04,-0.05,0.16,-0.98
95.22,L_LittleProximal,2.92,57.50,87.39,0.41,-0.08,0.89,0.18
95.22,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
95.24,Main Camera,2.75,116.40,63.66,0.00,-0.02,-0.08,1.00
95.24,R_Palm,36.11,77.62,102.66,0.01,-0.05,0.11,-0.99
95.24,R_ThumbTip,30.56,78.03,108.52,0.03,0.08,-0.49,-0.87
95.24,R_IndexTip,33.29,76.08,114.02,-0.14,0.03,0.11,-0.98
95.24,R_MiddleTip,36.42,76.11,114.94,-0.09,-0.01,0.17,-0.98
95.24,R_RingTip,38.77,76.14,113.65,-0.08,-0.01,0.21,-0.98
95.24,R_LittleTip,41.41,75.79,110.61,-0.02,-0.10,0.27,-0.96
95.24,R_ThumbDistal,31.02,77.96,106.12,0.03,0.08,-0.49,-0.87
95.24,R_IndexIntermediate,33.77,77.11,109.54,-0.12,0.06,0.10,-0.99
95.24,R_MiddleIntermediate,36.43,77.06,109.83,-0.11,0.00,0.13,-0.99
95.24,R_RingIntermediate,38.52,76.72,108.64,-0.05,-0.05,0.20,-0.98
95.24,R_LittleIntermediate,40.44,76.08,106.55,-0.01,-0.15,0.27,-0.95
95.24,R_IndexProximal,34.33,77.89,105.90,-0.11,0.07,0.07,-0.99
95.24,R_MiddleProximal,36.53,77.89,105.66,-0.10,0.00,0.12,-0.99
95.24,R_ThumbProximal,31.62,77.51,102.86,0.10,0.06,-0.41,-0.91
95.24,R_RingProximal,38.23,77.09,104.81,-0.04,-0.05,0.16,-0.98
95.24,L_LittleProximal,2.87,57.49,87.37,0.41,-0.08,0.89,0.18
95.24,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
95.25,Main Camera,2.75,116.40,63.68,0.00,-0.02,-0.08,1.00
95.25,R_Palm,36.12,77.62,102.65,0.01,-0.05,0.11,-0.99
95.25,R_ThumbTip,30.55,78.06,108.51,0.04,0.08,-0.49,-0.87
95.25,R_IndexTip,33.31,76.09,114.01,-0.14,0.03,0.11,-0.98
95.25,R_MiddleTip,36.43,76.11,114.93,-0.09,-0.01,0.17,-0.98
95.25,R_RingTip,38.78,76.15,113.64,-0.08,-0.01,0.21,-0.98
95.25,R_LittleTip,41.42,75.79,110.60,-0.02,-0.10,0.27,-0.96
95.25,R_ThumbDistal,31.04,77.97,106.12,0.04,0.08,-0.49,-0.87
95.25,R_IndexIntermediate,33.79,77.12,109.53,-0.12,0.06,0.10,-0.99
95.25,R_MiddleIntermediate,36.44,77.07,109.82,-0.11,0.00,0.13,-0.99
95.25,R_RingIntermediate,38.53,76.73,108.63,-0.05,-0.05,0.20,-0.98
95.25,R_LittleIntermediate,40.45,76.08,106.54,-0.01,-0.15,0.27,-0.95
95.25,R_IndexProximal,34.34,77.90,105.90,-0.11,0.07,0.07,-0.99
95.25,R_MiddleProximal,36.54,77.90,105.65,-0.10,0.00,0.12,-0.99
95.25,R_ThumbProximal,31.63,77.52,102.86,0.10,0.05,-0.41,-0.91
95.25,R_RingProximal,38.24,77.10,104.80,-0.04,-0.05,0.16,-0.98
95.25,L_LittleProximal,2.90,57.47,87.36,0.41,-0.08,0.89,0.18
