Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
289.68,Main Camera,1.81,117.36,79.76,0.01,0.00,-0.10,0.99
289.68,R_Palm,36.02,77.42,101.92,0.00,-0.12,0.12,-0.99
289.68,R_ThumbTip,30.18,77.19,108.26,0.05,0.14,-0.47,-0.87
289.68,R_IndexTip,35.29,75.66,113.53,-0.13,-0.07,0.14,-0.98
289.68,R_MiddleTip,38.33,75.43,113.94,-0.10,-0.10,0.19,-0.97
289.68,R_RingTip,40.27,75.10,112.30,-0.10,-0.09,0.23,-0.96
289.68,R_LittleTip,42.12,74.40,108.97,-0.07,-0.17,0.30,-0.94
289.68,R_ThumbDistal,30.93,77.21,105.94,0.05,0.14,-0.47,-0.87
289.68,R_IndexIntermediate,34.93,76.86,109.08,-0.14,-0.04,0.12,-0.98
289.68,R_MiddleIntermediate,37.52,76.70,108.97,-0.14,-0.09,0.16,-0.97
289.68,R_RingIntermediate,39.34,76.18,107.46,-0.09,-0.12,0.22,-0.96
289.68,R_LittleIntermediate,40.78,75.35,105.12,-0.08,-0.21,0.30,-0.93
289.68,R_IndexProximal,34.75,77.62,105.41,-0.10,-0.03,0.10,-0.99
289.68,R_MiddleProximal,36.89,77.56,104.85,-0.09,-0.09,0.14,-0.98
289.68,R_ThumbProximal,31.20,77.37,102.61,-0.01,0.05,-0.40,-0.92
289.68,R_RingProximal,38.42,76.73,103.74,-0.05,-0.13,0.18,-0.97
289.68,L_LittleProximal,-1.75,54.81,84.93,0.52,0.18,0.83,0.10
289.68,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
289.69,Main Camera,1.77,117.36,79.76,0.01,0.00,-0.10,0.99
289.69,R_Palm,36.02,77.44,101.91,0.00,-0.12,0.12,-0.99
289.69,R_ThumbTip,30.18,77.20,108.26,0.05,0.14,-0.47,-0.87
289.69,R_IndexTip,35.29,75.67,113.52,-0.13,-0.07,0.14,-0.98
289.69,R_MiddleTip,38.32,75.44,113.93,-0.10,-0.10,0.19,-0.97
289.69,R_RingTip,40.26,75.12,112.29,-0.10,-0.09,0.23,-0.96
289.69,R_LittleTip,42.12,74.42,108.96,-0.07,-0.17,0.30,-0.94
289.69,R_ThumbDistal,30.92,77.22,105.93,0.05,0.14,-0.47,-0.87
289.69,R_IndexIntermediate,34.92,76.87,109.07,-0.14,-0.04,0.12,-0.98
289.69,R_MiddleIntermediate,37.52,76.72,108.96,-0.14,-0.09,0.16,-0.97
289.69,R_RingIntermediate,39.33,76.20,107.45,-0.09,-0.12,0.22,-0.96
289.69,R_LittleIntermediate,40.77,75.37,105.11,-0.08,-0.21,0.30,-0.93
289.69,R_IndexProximal,34.74,77.64,105.40,-0.10,-0.03,0.10,-0.99
289.69,R_MiddleProximal,36.88,77.57,104.84,-0.09,-0.09,0.14,-0.98
289.69,R_ThumbProximal,31.19,77.38,102.60,-0.01,0.05,-0.40,-0.92
289.69,R_RingProximal,38.42,76.75,103.73,-0.05,-0.13,0.18,-0.97
289.69,L_LittleProximal,-1.75,54.81,84.93,0.52,0.18,0.83,0.10
289.69,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
289.70,Main Camera,1.73,117.35,79.75,0.01,0.00,-0.10,0.99
289.70,R_Palm,36.01,77.46,101.90,0.00,-0.12,0.12,-0.99
289.70,R_ThumbTip,30.18,77.21,108.25,0.04,0.14,-0.47,-0.87
289.70,R_IndexTip,35.28,75.69,113.51,-0.13,-0.07,0.14,-0.98
