Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
221.97,Main Camera,7.70,113.88,59.37,0.04,-0.03,0.01,1.00
221.97,R_Palm,37.43,76.70,104.67,-0.03,-0.03,0.10,-0.99
221.97,R_ThumbTip,30.28,77.12,109.05,0.25,0.28,-0.44,-0.81
221.97,R_IndexTip,35.88,75.43,115.42,-0.12,-0.04,0.11,-0.99
221.97,R_MiddleTip,38.76,75.47,116.26,-0.05,-0.07,0.16,-0.98
221.97,R_RingTip,40.45,75.45,115.04,-0.05,-0.05,0.19,-0.98
221.97,R_LittleTip,42.87,75.08,112.07,0.01,-0.13,0.24,-0.96
221.97,R_ThumbDistal,31.87,76.65,107.47,0.25,0.28,-0.44,-0.81
221.97,R_IndexIntermediate,35.67,76.31,111.16,-0.10,-0.02,0.10,-0.99
221.97,R_MiddleIntermediate,38.13,76.22,111.47,-0.10,-0.06,0.12,-0.99
221.97,R_RingIntermediate,39.90,75.92,110.34,-0.05,-0.08,0.19,-0.98
221.97,R_LittleIntermediate,41.68,75.29,108.33,-0.02,-0.18,0.25,-0.95
221.97,R_IndexProximal,35.60,76.71,107.65,-0.06,-0.01,0.07,-1.00
221.97,R_MiddleProximal,37.68,76.74,107.53,-0.06,-0.06,0.11,-0.99
221.97,R_ThumbProximal,33.01,76.44,104.54,0.11,0.15,-0.40,-0.90
221.97,R_RingProximal,39.33,76.07,106.76,-0.01,-0.08,0.15,-0.99
221.97,L_LittleProximal,-4.91,64.36,80.58,-0.28,-0.20,-0.36,-0.87
221.97,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
221.99,Main Camera,7.70,113.87,59.37,0.04,-0.03,0.01,1.00
221.99,R_Palm,37.44,76.68,104.70,-0.03,-0.03,0.10,-0.99
221.99,R_ThumbTip,30.29,77.10,109.08,0.25,0.28,-0.44,-0.81
221.99,R_IndexTip,35.90,75.41,115.44,-0.12,-0.04,0.11,-0.99
221.99,R_MiddleTip,38.77,75.45,116.28,-0.05,-0.07,0.16,-0.98
221.99,R_RingTip,40.47,75.44,115.06,-0.05,-0.05,0.19,-0.98
221.99,R_LittleTip,42.88,75.06,112.09,0.01,-0.13,0.24,-0.96
221.99,R_ThumbDistal,31.88,76.63,107.49,0.25,0.28,-0.44,-0.81
221.99,R_IndexIntermediate,35.69,76.29,111.19,-0.10,-0.02,0.10,-0.99
221.99,R_MiddleIntermediate,38.15,76.20,111.49,-0.10,-0.06,0.12,-0.99
221.99,R_RingIntermediate,39.91,75.90,110.37,-0.05,-0.08,0.19,-0.98
221.99,R_LittleIntermediate,41.69,75.27,108.35,-0.02,-0.18,0.25,-0.95
221.99,R_IndexProximal,35.62,76.69,107.68,-0.06,-0.01,0.07,-1.00
221.99,R_MiddleProximal,37.69,76.72,107.55,-0.06,-0.06,0.11,-0.99
221.99,R_ThumbProximal,33.02,76.42,104.56,0.11,0.15,-0.40,-0.90
221.99,R_RingProximal,39.34,76.05,106.78,-0.01,-0.08,0.15,-0.99
221.99,L_LittleProximal,-4.91,64.34,80.59,-0.28,-0.20,-0.36,-0.87
221.99,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
222.00,Main Camera,7.70,113.87,59.37,0.04,-0.03,0.01,1.00
222.00,R_Palm,37.45,76.64,104.73,-0.03,-0.03,0.10,-0.99
222.00,R_ThumbTip,30.31,77.06,109.12,0.25,0.28,-0.44,-0.81
222.00,R_IndexTip,35.92,75.38,115.48,-0.12,-0.04,0.11,-0.99
222.00,R_MiddleTip,38.79,75.42,116.32,-0.05,-0.07,0.16,-0.98
222.00,R_RingTip,40.49,75.41,115.10,-0.05,-0.05,0.19,-0.98
222.00,R_LittleTip,42.90,75.03,112.13,0.01,-0.13,0.24,-0.96
222.00,R_ThumbDistal,31.90,76.60,107.53,0.25,0.28,-0.44,-0.81
222.00,R_IndexIntermediate,35.71,76.26,111.23,-0.10,-0.02,0.10,-0.99
222.00,R_MiddleIntermediate,38.17,76.17,111.53,-0.10,-0.06,0.12,-0.99
222.00,R_RingIntermediate,39.93,75.87,110.40,-0.05,-0.08,0.19,-0.98
222.00,R_LittleIntermediate,41.71,75.24,108.39,-0.02,-0.18,0.25,-0.95
222.00,R_IndexProximal,35.64,76.66,107.71,-0.06,-0.01,0.07,-1.00
222.00,R_MiddleProximal,37.71,76.69,107.59,-0.06,-0.06,0.11,-0.99
222.00,R_ThumbProximal,33.04,76.38,104.60,0.11,0.15,-0.40,-0.90
222.00,R_RingProximal,39.36,76.01,106.82,-0.01,-0.08,0.15,-0.99
222.00,L_LittleProximal,-4.91,64.32,80.59,-0.28,-0.20,-0.36,-0.87
222.00,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
222.01,Main Camera,7.70,113.87,59.37,0.04,-0.03,0.02,1.00
222.01,R_Palm,37.46,76.64,104.74,-0.03,-0.03,0.10,-0.99
222.01,R_ThumbTip,30.31,77.07,109.12,0.25,0.28,-0.44,-0.81
222.01,R_IndexTip,35.92,75.38,115.48,-0.12,-0.04,0.11,-0.99
222.01,R_MiddleTip,38.80,75.42,116.32,-0.05,-0.07,0.16,-0.98
222.01,R_RingTip,40.49,75.40,115.10,-0.05,-0.05,0.19,-0.98
222.01,R_LittleTip,42.90,75.02,112.13,0.01,-0.13,0.25,-0.96
222.01,R_ThumbDistal,31.90,76.60,107.53,0.25,0.28,-0.44,-0.81
222.01,R_IndexIntermediate,35.71,76.26,111.23,-0.10,-0.02,0.10,-0.99
222.01,R_MiddleIntermediate,38.17,76.17,111.53,-0.10,-0.06,0.12,-0.99
222.01,R_RingIntermediate,39.93,75.86,110.41,-0.05,-0.08,0.19,-0.98
222.01,R_LittleIntermediate,41.71,75.23,108.39,-0.02,-0.18,0.25,-0.95
222.01,R_IndexProximal,35.64,76.66,107.72,-0.06,-0.01,0.07,-1.00
222.01,R_MiddleProximal,37.72,76.69,107.59,-0.06,-0.06,0.11,-0.99
222.01,R_ThumbProximal,33.04,76.38,104.60,0.11,0.15,-0.40,-0.90
222.01,R_RingProximal,39.36,76.01,106.82,-0.01,-0.08,0.15,-0.99
222.01,L_LittleProximal,-4.91,64.31,80.59,-0.28,-0.20,-0.36,-0.87
222.01,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
222.03,Main Camera,7.70,113.87,59.38,0.04,-0.03,0.02,1.00
222.03,R_Palm,37.46,76.64,104.74,-0.03,-0.03,0.10,-0.99
222.03,R_ThumbTip,30.32,77.08,109.12,0.25,0.28,-0.44,-0.81
222.03,R_IndexTip,35.93,75.39,115.49,-0.12,-0.04,0.11,-0.99
222.03,R_MiddleTip,38.80,75.42,116.32,-0.05,-0.08,0.16,-0.98
222.03,R_RingTip,40.50,75.41,115.10,-0.05,-0.05,0.19,-0.98
222.03,R_LittleTip,42.90,75.02,112.14,0.01,-0.13,0.25,-0.96
222.03,R_ThumbDistal,31.91,76.60,107.54,0.25,0.28,-0.44,-0.81
222.03,R_IndexIntermediate,35.72,76.26,111.23,-0.10,-0.02,0.10,-0.99
222.03,R_MiddleIntermediate,38.18,76.17,111.53,-0.10,-0.06,0.12,-0.99
222.03,R_RingIntermediate,39.94,75.86,110.41,-0.05,-0.08,0.19,-0.98
222.03,R_LittleIntermediate,41.71,75.23,108.39,-0.02,-0.18,0.25,-0.95
222.03,R_IndexProximal,35.64,76.66,107.72,-0.05,-0.01,0.07,-1.00
222.03,R_MiddleProximal,37.72,76.69,107.59,-0.06,-0.06,0.11,-0.99
222.03,R_ThumbProximal,33.05,76.38,104.61,0.11,0.15,-0.40,-0.90
222.03,R_RingProximal,39.37,76.01,106.82,-0.01,-0.08,0.15,-0.99
222.03,L_LittleProximal,-4.91,64.31,80.59,-0.28,-0.20,-0.36,-0.87
222.03,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
222.04,Main Camera,7.71,113.87,59.39,0.04,-0.03,0.02,1.00
