Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
501.55,Main Camera,-2.51,115.41,69.63,0.03,-0.03,0.00,1.00
501.55,R_Palm,38.00,76.60,105.24,-0.06,-0.05,0.12,-0.99
501.55,R_ThumbTip,30.59,77.23,109.67,0.19,0.29,-0.39,-0.85
501.55,R_IndexTip,36.13,75.31,116.10,-0.10,-0.01,0.13,-0.99
501.55,R_MiddleTip,39.02,75.31,116.90,-0.04,-0.05,0.18,-0.98
501.55,R_RingTip,40.99,75.15,115.52,-0.05,-0.04,0.21,-0.98
501.55,R_LittleTip,43.79,74.88,112.31,0.02,-0.16,0.25,-0.96
501.55,R_ThumbDistal,32.08,76.88,107.96,0.19,0.29,-0.39,-0.85
501.55,R_IndexIntermediate,36.18,76.06,111.82,-0.09,0.01,0.12,-0.99
501.55,R_MiddleIntermediate,38.63,75.90,112.06,-0.08,-0.04,0.14,-0.99
501.55,R_RingIntermediate,40.49,75.55,110.82,-0.04,-0.07,0.20,-0.98
501.55,R_LittleIntermediate,42.38,74.99,108.64,0.01,-0.20,0.25,-0.95
501.55,R_IndexProximal,36.33,76.44,108.31,-0.06,0.02,0.09,-0.99
501.55,R_MiddleProximal,38.40,76.42,108.10,-0.06,-0.04,0.13,-0.99
501.55,R_ThumbProximal,33.29,76.85,105.06,0.07,0.18,-0.34,-0.92
501.55,R_RingProximal,39.99,75.74,107.22,-0.01,-0.07,0.17,-0.98
501.55,L_LittleProximal,-24.43,46.41,60.27,-0.29,0.32,-0.66,-0.61
501.55,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
501.56,Main Camera,-2.52,115.40,69.63,0.03,-0.03,0.00,1.00
501.56,R_Palm,38.01,76.60,105.25,-0.06,-0.05,0.12,-0.99
501.56,R_ThumbTip,30.59,77.23,109.69,0.19,0.29,-0.39,-0.85
501.56,R_IndexTip,36.14,75.31,116.12,-0.10,-0.01,0.13,-0.99
501.56,R_MiddleTip,39.03,75.31,116.91,-0.04,-0.05,0.18,-0.98
501.56,R_RingTip,40.99,75.15,115.54,-0.05,-0.04,0.21,-0.98
