Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
134.02,Main Camera,-0.26,116.00,78.31,-0.09,0.07,0.03,-0.99
134.02,R_Palm,36.06,77.75,103.10,0.00,0.22,-0.05,0.97
134.02,R_ThumbTip,32.18,77.46,110.06,-0.09,-0.07,0.55,0.83
134.02,R_IndexTip,37.37,76.40,114.19,0.07,0.15,-0.07,0.98
134.02,R_MiddleTip,40.56,76.29,113.86,0.04,0.20,-0.12,0.97
134.02,R_RingTip,42.32,76.68,111.90,0.04,0.20,-0.15,0.97
134.02,R_LittleTip,44.01,76.54,108.01,-0.03,0.31,-0.20,0.93
134.02,R_ThumbDistal,32.73,77.18,107.82,-0.09,-0.07,0.55,0.83
134.02,R_IndexIntermediate,36.24,77.06,110.01,0.09,0.12,-0.06,0.99
134.02,R_MiddleIntermediate,38.74,77.12,109.36,0.11,0.19,-0.09,0.97
134.02,R_RingIntermediate,40.31,77.18,107.58,0.03,0.23,-0.15,0.96
134.02,R_LittleIntermediate,41.52,76.76,104.92,-0.02,0.36,-0.20,0.91
134.02,R_IndexProximal,35.49,77.71,106.58,0.09,0.11,-0.03,0.99
134.02,R_MiddleProximal,37.36,77.96,105.66,0.09,0.18,-0.08,0.98
134.02,R_ThumbProximal,32.16,77.05,104.70,0.03,0.09,0.47,0.88
134.02,R_RingProximal,38.67,77.43,104.31,0.01,0.23,-0.10,0.97
134.02,L_LittleProximal,-3.24,55.18,91.51,-0.73,-0.31,-0.28,-0.54
134.02,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
134.03,Main Camera,-0.26,115.99,78.31,-0.09,0.07,0.02,-0.99
134.03,R_Palm,36.06,77.73,103.12,0.00,0.22,-0.05,0.97
134.03,R_ThumbTip,32.19,77.45,110.07,-0.09,-0.07,0.55,0.83
134.03,R_IndexTip,37.37,76.40,114.21,0.07,0.15,-0.07,0.98
134.03,R_MiddleTip,40.55,76.28,113.89,0.04,0.20,-0.12,0.97
134.03,R_RingTip,42.32,76.67,111.93,0.04,0.20,-0.15,0.97
134.03,R_LittleTip,44.01,76.52,108.03,-0.03,0.31,-0.20,0.93
134.03,R_ThumbDistal,32.74,77.17,107.84,-0.09,-0.07,0.55,0.83
134.03,R_IndexIntermediate,36.24,77.06,110.02,0.09,0.12,-0.06,0.99
134.03,R_MiddleIntermediate,38.74,77.11,109.38,0.11,0.19,-0.09,0.97
134.03,R_RingIntermediate,40.31,77.17,107.61,0.03,0.23,-0.15,0.96
134.03,R_LittleIntermediate,41.52,76.74,104.95,-0.02,0.35,-0.20,0.91
134.03,R_IndexProximal,35.49,77.70,106.59,0.09,0.11,-0.03,0.99
134.03,R_MiddleProximal,37.37,77.95,105.68,0.09,0.18,-0.08,0.98
134.03,R_ThumbProximal,32.16,77.04,104.71,0.03,0.09,0.47,0.88
134.03,R_RingProximal,38.68,77.41,104.33,0.01,0.23,-0.11,0.97
134.03,L_LittleProximal,-3.25,55.19,91.51,-0.73,-0.31,-0.28,-0.54
134.03,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
134.05,Main Camera,-0.27,115.98,78.31,-0.09,0.07,0.03,-0.99
134.05,R_Palm,36.08,77.71,103.14,-0.01,0.22,-0.05,0.97
134.05,R_ThumbTip,32.20,77.44,110.09,-0.09,-0.07,0.55,0.83
134.05,R_IndexTip,37.38,76.39,114.23,0.07,0.15,-0.07,0.98
134.05,R_MiddleTip,40.57,76.26,113.92,0.04,0.20,-0.12,0.97
134.05,R_RingTip,42.33,76.65,111.96,0.04,0.20,-0.15,0.97
134.05,R_LittleTip,44.02,76.49,108.07,-0.03,0.31,-0.20,0.93
134.05,R_ThumbDistal,32.76,77.16,107.86,-0.09,-0.07,0.55,0.83
134.05,R_IndexIntermediate,36.25,77.04,110.05,0.09,0.12,-0.06,0.99
134.05,R_MiddleIntermediate,38.76,77.09,109.41,0.11,0.19,-0.09,0.97
134.05,R_RingIntermediate,40.33,77.15,107.63,0.03,0.23,-0.15,0.96
134.05,R_LittleIntermediate,41.54,76.72,104.98,-0.02,0.35,-0.20,0.91
134.05,R_IndexProximal,35.51,77.68,106.62,0.09,0.11,-0.03,0.99
134.05,R_MiddleProximal,37.39,77.93,105.70,0.09,0.18,-0.08,0.98
134.05,R_ThumbProximal,32.18,77.03,104.74,0.02,0.09,0.47,0.88
134.05,R_RingProximal,38.70,77.39,104.36,0.01,0.23,-0.11,0.97
134.05,L_LittleProximal,-3.26,55.19,91.51,-0.73,-0.31,-0.28,-0.54
134.05,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
134.07,Main Camera,-0.27,115.97,78.34,-0.09,0.07,0.03,-0.99
134.07,R_Palm,36.21,77.59,103.25,0.00,0.22,-0.05,0.97
134.07,R_ThumbTip,32.33,77.31,110.20,-0.09,-0.07,0.55,0.83
134.07,R_IndexTip,37.51,76.26,114.34,0.07,0.15,-0.07,0.98
134.07,R_MiddleTip,40.69,76.14,114.02,0.04,0.20,-0.12,0.97
134.07,R_RingTip,42.45,76.52,112.07,0.04,0.20,-0.15,0.97
134.07,R_LittleTip,44.14,76.36,108.18,-0.03,0.31,-0.20,0.93
134.07,R_ThumbDistal,32.88,77.03,107.97,-0.09,-0.07,0.55,0.83
134.07,R_IndexIntermediate,36.38,76.92,110.16,0.09,0.12,-0.06,0.99
134.07,R_MiddleIntermediate,38.88,76.97,109.52,0.11,0.19,-0.09,0.97
134.07,R_RingIntermediate,40.45,77.02,107.74,0.03,0.23,-0.15,0.96
134.07,R_LittleIntermediate,41.66,76.58,105.09,-0.02,0.35,-0.21,0.91
134.07,R_IndexProximal,35.63,77.56,106.73,0.09,0.11,-0.03,0.99
134.07,R_MiddleProximal,37.51,77.81,105.81,0.09,0.18,-0.08,0.98
134.07,R_ThumbProximal,32.30,76.91,104.84,0.03,0.09,0.47,0.88
134.07,R_RingProximal,38.82,77.26,104.47,0.01,0.23,-0.11,0.97
134.07,L_LittleProximal,-3.26,55.15,91.51,-0.73,-0.31,-0.28,-0.54
134.07,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
134.09,Main Camera,-0.28,115.97,78.35,-0.09,0.07,0.03,-0.99
134.09,R_Palm,36.25,77.54,103.29,0.00,0.22,-0.05,0.97
134.09,R_ThumbTip,32.36,77.27,110.24,-0.09,-0.07,0.55,0.83
134.09,R_IndexTip,37.55,76.21,114.38,0.07,0.15,-0.07,0.98
134.09,R_MiddleTip,40.73,76.09,114.06,0.04,0.20,-0.12,0.97
134.09,R_RingTip,42.49,76.47,112.10,0.04,0.20,-0.16,0.97
134.09,R_LittleTip,44.18,76.30,108.22,-0.03,0.31,-0.20,0.93
134.09,R_ThumbDistal,32.91,76.99,108.00,-0.09,-0.07,0.55,0.83
134.09,R_IndexIntermediate,36.42,76.88,110.19,0.09,0.12,-0.06,0.99
134.09,R_MiddleIntermediate,38.92,76.92,109.55,0.11,0.19,-0.09,0.97
134.09,R_RingIntermediate,40.49,76.97,107.78,0.03,0.23,-0.15,0.96
134.09,R_LittleIntermediate,41.70,76.53,105.13,-0.02,0.35,-0.21,0.91
134.09,R_IndexProximal,35.67,77.51,106.76,0.09,0.11,-0.03,0.99
134.09,R_MiddleProximal,37.55,77.76,105.85,0.09,0.18,-0.08,0.98
134.09,R_ThumbProximal,32.34,76.86,104.88,0.03,0.09,0.47,0.88
134.09,R_RingProximal,38.86,77.22,104.50,0.01,0.23,-0.11,0.97
134.09,L_LittleProximal,-3.25,55.09,91.51,-0.73,-0.31,-0.28,-0.54
134.09,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
134.10,Main Camera,-0.28,115.97,78.36,-0.09,0.07,0.03,-0.99
134.10,R_Palm,36.24,77.54,103.29,0.00,0.22,-0.05,0.97
134.10,R_ThumbTip,32.36,77.26,110.24,-0.09,-0.07,0.55,0.83
134.10,R_IndexTip,37.55,76.21,114.38,0.07,0.15,-0.07,0.98
134.10,R_MiddleTip,40.73,76.09,114.06,0.04,0.20,-0.12,0.97
134.10,R_RingTip,42.49,76.47,112.11,0.04,0.20,-0.16,0.97
134.10,R_LittleTip,44.17,76.29,108.22,-0.03,0.31,-0.20,0.93
134.10,R_ThumbDistal,32.90,76.98,108.00,-0.09,-0.07,0.55,0.83
134.10,R_IndexIntermediate,36.41,76.87,110.19,0.09,0.12,-0.06,0.99
134.10,R_MiddleIntermediate,38.91,76.92,109.55,0.11,0.19,-0.09,0.97
134.10,R_RingIntermediate,40.48,76.96,107.78,0.03,0.23,-0.15,0.96
134.10,R_LittleIntermediate,41.69,76.53,105.13,-0.02,0.35,-0.21,0.91
134.10,R_IndexProximal,35.66,77.51,106.76,0.09,0.11,-0.03,0.99
134.10,R_MiddleProximal,37.54,77.75,105.85,0.09,0.18,-0.08,0.98
