Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
317.28,Main Camera,0.78,115.99,77.32,-0.10,0.00,0.01,-1.00
317.28,R_Palm,37.92,76.89,101.01,-0.06,0.22,-0.08,0.97
317.28,R_ThumbTip,33.42,76.89,108.07,-0.10,-0.07,0.53,0.84
317.28,R_IndexTip,39.04,75.89,112.11,0.08,0.13,-0.10,0.98
317.28,R_MiddleTip,41.48,75.93,112.09,0.03,0.14,-0.15,0.98
317.28,R_RingTip,43.50,76.05,110.16,0.03,0.15,-0.19,0.97
317.28,R_LittleTip,44.64,76.45,106.77,-0.06,0.18,-0.25,0.95
317.28,R_ThumbDistal,33.97,76.58,105.84,-0.10,-0.07,0.53,0.84
317.28,R_IndexIntermediate,38.03,76.64,107.91,0.09,0.11,-0.09,0.99
317.28,R_MiddleIntermediate,40.19,76.59,107.37,0.08,0.13,-0.12,0.98
317.28,R_RingIntermediate,41.87,76.41,105.66,0.01,0.19,-0.18,0.97
317.28,R_LittleIntermediate,42.86,76.14,103.23,-0.10,0.24,-0.24,0.93
317.28,R_IndexProximal,37.39,77.30,104.46,0.09,0.10,-0.06,0.99
317.28,R_MiddleProximal,39.27,77.36,103.52,0.08,0.13,-0.11,0.98
317.28,R_ThumbProximal,33.74,76.31,102.68,-0.02,0.05,0.46,0.89
317.28,R_RingProximal,40.55,76.60,102.25,0.00,0.19,-0.15,0.97
317.28,L_LittleProximal,-6.02,55.99,91.31,-0.71,-0.35,-0.32,-0.52
317.28,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
317.29,Main Camera,0.77,116.00,77.32,-0.10,0.00,0.01,-1.00
317.29,R_Palm,37.93,76.89,101.00,-0.06,0.22,-0.08,0.97
317.29,R_ThumbTip,33.43,76.90,108.06,-0.10,-0.07,0.53,0.84
317.29,R_IndexTip,39.04,75.90,112.11,0.08,0.13,-0.10,0.98
317.29,R_MiddleTip,41.49,75.94,112.08,0.03,0.14,-0.15,0.98
317.29,R_RingTip,43.50,76.06,110.15,0.03,0.15,-0.19,0.97
317.29,R_LittleTip,44.64,76.45,106.77,-0.06,0.18,-0.25,0.95
317.29,R_ThumbDistal,33.98,76.59,105.83,-0.10,-0.07,0.53,0.84
317.29,R_IndexIntermediate,38.04,76.65,107.90,0.09,0.11,-0.09,0.99
317.29,R_MiddleIntermediate,40.19,76.59,107.37,0.08,0.13,-0.12,0.98
317.29,R_RingIntermediate,41.88,76.41,105.65,0.01,0.19,-0.18,0.97
317.29,R_LittleIntermediate,42.87,76.15,103.23,-0.10,0.24,-0.24,0.93
317.29,R_IndexProximal,37.39,77.31,104.46,0.09,0.10,-0.06,0.99
317.29,R_MiddleProximal,39.27,77.36,103.51,0.08,0.13,-0.11,0.98
317.29,R_ThumbProximal,33.75,76.31,102.68,-0.02,0.05,0.46,0.89
317.29,R_RingProximal,40.55,76.61,102.24,0.00,0.19,-0.15,0.97
317.29,L_LittleProximal,-6.03,56.02,91.30,-0.71,-0.35,-0.32,-0.52
317.29,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
317.31,Main Camera,0.75,116.01,77.32,-0.10,0.00,0.01,-1.00
317.31,R_Palm,37.93,76.89,100.99,-0.06,0.22,-0.08,0.97
317.31,R_ThumbTip,33.43,76.90,108.06,-0.10,-0.07,0.53,0.84
317.31,R_IndexTip,39.04,75.91,112.10,0.08,0.13,-0.10,0.98
317.31,R_MiddleTip,41.49,75.94,112.07,0.03,0.14,-0.15,0.98
317.31,R_RingTip,43.50,76.06,110.15,0.03,0.15,-0.19,0.97
317.31,R_LittleTip,44.65,76.45,106.76,-0.06,0.18,-0.25,0.95
317.31,R_ThumbDistal,33.99,76.59,105.83,-0.10,-0.07,0.53,0.84
317.31,R_IndexIntermediate,38.04,76.65,107.90,0.09,0.11,-0.09,0.99
317.31,R_MiddleIntermediate,40.20,76.60,107.36,0.08,0.13,-0.12,0.98
317.31,R_RingIntermediate,41.88,76.41,105.65,0.01,0.19,-0.18,0.97
317.31,R_LittleIntermediate,42.88,76.15,103.22,-0.10,0.24,-0.24,0.93
317.31,R_IndexProximal,37.40,77.31,104.45,0.09,0.10,-0.06,0.99
317.31,R_MiddleProximal,39.28,77.37,103.50,0.08,0.13,-0.11,0.98
317.31,R_ThumbProximal,33.75,76.32,102.67,-0.02,0.05,0.46,0.89
317.31,R_RingProximal,40.56,76.61,102.23,0.00,0.19,-0.15,0.97
317.31,L_LittleProximal,-6.04,56.05,91.29,-0.71,-0.35,-0.32,-0.52
317.31,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
317.33,Main Camera,0.73,116.01,77.33,-0.10,0.00,0.01,-1.00
317.33,R_Palm,37.94,76.87,100.99,-0.06,0.22,-0.08,0.97
317.33,R_ThumbTip,33.44,76.90,108.06,-0.10,-0.07,0.53,0.84
317.33,R_IndexTip,39.04,75.91,112.11,0.08,0.13,-0.10,0.98
317.33,R_MiddleTip,41.50,75.94,112.08,0.03,0.14,-0.15,0.98
