Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
200.57,Main Camera,0.19,117.92,78.85,0.01,0.06,0.04,-1.00
200.57,R_Palm,36.80,77.27,104.18,-0.02,0.26,-0.07,0.96
200.57,R_ThumbTip,33.59,76.94,111.53,0.00,0.00,0.52,0.86
200.57,R_IndexTip,38.96,75.80,115.11,0.10,0.18,-0.10,0.97
200.57,R_MiddleTip,41.85,75.95,114.72,0.04,0.22,-0.15,0.96
200.57,R_RingTip,43.38,75.98,112.64,0.05,0.21,-0.19,0.96
200.57,R_LittleTip,44.57,75.64,108.86,0.00,0.29,-0.25,0.92
200.57,R_ThumbDistal,33.64,76.83,109.21,0.00,0.00,0.52,0.86
200.57,R_IndexIntermediate,37.55,76.68,111.05,0.10,0.16,-0.09,0.98
200.57,R_MiddleIntermediate,39.87,76.76,110.27,0.09,0.20,-0.12,0.97
200.57,R_RingIntermediate,41.26,76.58,108.38,0.03,0.25,-0.18,0.95
200.57,R_LittleIntermediate,42.19,76.11,105.71,-0.02,0.35,-0.24,0.90
200.57,R_IndexProximal,36.56,77.37,107.69,0.09,0.15,-0.06,0.98
200.57,R_MiddleProximal,38.35,77.50,106.61,0.07,0.20,-0.10,0.97
200.57,R_ThumbProximal,32.84,76.81,106.13,0.05,0.11,0.44,0.89
200.57,R_RingProximal,39.51,76.85,105.17,0.00,0.25,-0.14,0.96
200.57,L_LittleProximal,-3.21,55.50,91.19,-0.58,-0.26,-0.31,-0.70
200.57,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
200.59,Main Camera,0.21,117.92,78.87,0.01,0.06,0.04,-1.00
200.59,R_Palm,36.79,77.26,104.20,-0.02,0.26,-0.07,0.96
200.59,R_ThumbTip,33.59,76.93,111.55,0.00,0.00,0.52,0.86
200.59,R_IndexTip,38.95,75.79,115.14,0.10,0.18,-0.10,0.97
200.59,R_MiddleTip,41.84,75.95,114.74,0.04,0.22,-0.15,0.96
200.59,R_RingTip,43.37,75.97,112.66,0.04,0.21,-0.19,0.96
200.59,R_LittleTip,44.56,75.64,108.89,0.00,0.29,-0.25,0.92
200.59,R_ThumbDistal,33.63,76.83,109.24,0.00,0.00,0.52,0.86
200.59,R_IndexIntermediate,37.54,76.68,111.07,0.10,0.16,-0.09,0.98
200.59,R_MiddleIntermediate,39.87,76.76,110.30,0.09,0.20,-0.12,0.97
200.59,R_RingIntermediate,41.25,76.58,108.41,0.03,0.25,-0.18,0.95
200.59,R_LittleIntermediate,42.18,76.10,105.74,-0.02,0.35,-0.24,0.90
200.59,R_IndexProximal,36.55,77.37,107.72,0.09,0.15,-0.06,0.98
200.59,R_MiddleProximal,38.34,77.49,106.63,0.07,0.20,-0.11,0.97
200.59,R_ThumbProximal,32.83,76.80,106.16,0.05,0.11,0.44,0.89
200.59,R_RingProximal,39.50,76.84,105.19,0.00,0.25,-0.14,0.96
200.59,L_LittleProximal,-3.20,55.49,91.21,-0.58,-0.26,-0.31,-0.70
200.59,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
