StartTime,EndTime,Name,SessionId,SceneName
37.54,37.54,SmallCubeIsTouch,20250723173058,HandGestures
33.55,37.54,config0,20250723173058,HandGestures
38.55,38.55,SmallCubeIsDestroy,20250723173058,HandGestures
46.38,46.38,SmallCubeIsTouch,20250723173106,HandGestures
42.37,46.38,config1,20250723173106,HandGestures
47.38,47.38,SmallCubeIsDestroy,20250723173106,HandGestures
56.14,56.14,SmallCubeIsTouch,20250723173116,HandGestures
51.74,56.14,config2,20250723173116,HandGestures
57.15,57.15,SmallCubeIsDestroy,20250723173116,HandGestures
67.02,67.02,SmallCubeIsTouch,20250723173125,HandGestures
61.41,67.02,config3,20250723173125,HandGestures
68.02,68.02,SmallCubeIsDestroy,20250723173125,HandGestures
74.90,74.90,SmallCubeIsTouch,20250723173136,HandGestures
71.94,74.90,config4,20250723173136,HandGestures
75.91,75.91,SmallCubeIsDestroy,20250723173136,HandGestures
82.22,82.22,SmallCubeIsTouch,20250723173143,HandGestures
79.10,82.22,config5,20250723173143,HandGestures
83.23,83.23,SmallCubeIsDestroy,20250723173143,HandGestures
90.36,90.36,SmallCubeIsTouch,20250723173151,HandGestures
86.94,90.36,config6,20250723173151,HandGestures
91.37,91.37,SmallCubeIsDestroy,20250723173151,HandGestures
98.44,98.44,SmallCubeIsTouch,20250723173159,HandGestures
95.09,98.44,config7,20250723173159,HandGestures
99.45,99.45,SmallCubeIsDestroy,20250723173159,HandGestures
107.34,107.34,MediumCubeIsTouch,20250723173208,HandGestures
103.73,107.34,config8,20250723173208,HandGestures
108.35,108.35,MediumCubeIsDestroy,20250723173208,HandGestures
114.52,114.52,MediumCubeIsTouch,20250723173216,HandGestures
111.89,114.52,config9,20250723173216,HandGestures
115.53,115.53,MediumCubeIsDestroy,20250723173216,HandGestures
122.08,122.08,MediumCubeIsTouch,20250723173223,HandGestures
118.80,122.08,config10,20250723173223,HandGestures
123.09,123.09,MediumCubeIsDestroy,20250723173223,HandGestures
130.94,130.94,MediumCubeIsTouch,20250723173231,HandGestures
127.38,130.94,config11,20250723173231,HandGestures
131.95,131.95,MediumCubeIsDestroy,20250723173231,HandGestures
142.74,142.74,MediumCubeIsTouch,20250723173243,HandGestures
138.71,142.74,config12,20250723173243,HandGestures
143.74,143.74,MediumCubeIsDestroy,20250723173243,HandGestures
