Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
434.26,Main Camera,7.70,113.74,60.27,0.06,0.06,-0.01,-1.00
434.26,R_Palm,37.17,78.22,102.93,-0.05,0.05,-0.03,1.00
434.26,R_ThumbTip,31.84,76.94,108.77,-0.10,-0.15,0.60,0.78
434.26,R_IndexTip,36.70,75.90,113.64,0.22,0.11,-0.06,0.97
434.26,R_MiddleTip,38.42,76.62,114.68,0.11,0.06,-0.10,0.99
434.26,R_RingTip,39.72,76.62,113.50,0.10,0.02,-0.13,0.99
434.26,R_LittleTip,40.77,76.87,110.89,0.05,-0.01,-0.20,0.98
434.26,R_ThumbDistal,32.77,76.92,106.59,-0.10,-0.15,0.60,0.78
434.26,R_IndexIntermediate,35.92,77.69,109.59,0.19,0.08,-0.04,0.98
434.26,R_MiddleIntermediate,37.89,77.90,109.82,0.15,0.05,-0.06,0.99
434.26,R_RingIntermediate,39.49,77.49,108.68,0.10,0.04,-0.13,0.99
434.26,R_LittleIntermediate,40.75,77.16,106.83,0.05,0.04,-0.20,0.98
434.26,R_IndexProximal,35.39,78.46,106.06,0.11,0.08,-0.01,0.99
434.26,R_MiddleProximal,37.50,78.76,105.79,0.10,0.05,-0.05,0.99
434.26,R_ThumbProximal,33.08,76.85,103.35,-0.04,-0.03,0.54,0.84
434.26,R_RingProximal,39.25,78.19,104.99,0.09,0.04,-0.09,0.99
434.26,L_LittleProximal,-8.44,59.88,84.42,-0.59,-0.21,-0.27,-0.73
434.26,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
434.27,Main Camera,7.70,113.73,60.30,0.06,0.06,-0.01,-1.00
434.27,R_Palm,37.18,78.21,102.93,-0.04,0.05,-0.03,1.00
434.27,R_ThumbTip,31.87,76.89,108.78,-0.10,-0.15,0.60,0.78
434.27,R_IndexTip,36.76,75.90,113.66,0.22,0.11,-0.06,0.97
434.27,R_MiddleTip,38.48,76.58,114.67,0.11,0.07,-0.10,0.99
434.27,R_RingTip,39.77,76.58,113.49,0.10,0.02,-0.13,0.99
434.27,R_LittleTip,40.81,76.84,110.87,0.05,-0.01,-0.20,0.98
434.27,R_ThumbDistal,32.79,76.88,106.60,-0.10,-0.15,0.60,0.78
434.27,R_IndexIntermediate,35.96,77.65,109.59,0.19,0.08,-0.04,0.98
434.27,R_MiddleIntermediate,37.92,77.87,109.81,0.15,0.06,-0.06,0.98
434.27,R_RingIntermediate,39.52,77.46,108.67,0.10,0.05,-0.13,0.99
434.27,R_LittleIntermediate,40.78,77.14,106.81,0.05,0.04,-0.20,0.98
