Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
399.78,Main Camera,7.56,113.13,63.32,0.03,0.05,-0.01,-1.00
399.78,R_Palm,37.35,77.65,103.87,-0.02,0.02,-0.05,1.00
399.78,R_ThumbTip,31.63,76.79,109.31,-0.13,-0.18,0.57,0.79
399.78,R_IndexTip,36.08,75.99,114.81,0.11,0.07,-0.06,0.99
399.78,R_MiddleTip,37.97,76.43,115.79,0.05,0.04,-0.11,0.99
399.78,R_RingTip,39.53,76.55,114.66,0.05,0.00,-0.15,0.99
399.78,R_LittleTip,41.06,76.42,112.00,0.01,0.00,-0.22,0.98
399.78,R_ThumbDistal,32.75,76.69,107.21,-0.13,-0.18,0.57,0.79
399.78,R_IndexIntermediate,35.62,77.02,110.46,0.13,0.04,-0.05,0.99
399.78,R_MiddleIntermediate,37.67,77.19,110.81,0.11,0.03,-0.08,0.99
399.78,R_RingIntermediate,39.42,76.99,109.78,0.06,0.03,-0.14,0.99
399.78,R_LittleIntermediate,40.92,76.52,107.94,0.03,0.04,-0.22,0.97
399.78,R_IndexProximal,35.41,77.82,106.90,0.11,0.03,-0.02,0.99
399.78,R_MiddleProximal,37.54,78.05,106.77,0.10,0.02,-0.07,0.99
399.78,R_ThumbProximal,33.18,76.63,103.98,-0.04,-0.05,0.51,0.86
399.78,R_RingProximal,39.31,77.44,106.05,0.06,0.02,-0.11,0.99
399.78,L_LittleProximal,-8.43,60.52,84.44,-0.57,-0.22,-0.28,-0.74
399.78,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
399.79,Main Camera,7.56,113.14,63.32,0.03,0.05,-0.01,-1.00
399.79,R_Palm,37.33,77.67,103.81,-0.02,0.02,-0.05,1.00
399.79,R_ThumbTip,31.61,76.81,109.25,-0.13,-0.18,0.57,0.79
399.79,R_IndexTip,36.07,76.01,114.75,0.11,0.07,-0.06,0.99
399.79,R_MiddleTip,37.96,76.45,115.74,0.05,0.04,-0.11,0.99
399.79,R_RingTip,39.51,76.57,114.60,0.05,0.00,-0.15,0.99
399.79,R_LittleTip,41.05,76.44,111.94,0.01,0.00,-0.22,0.98
399.79,R_ThumbDistal,32.73,76.70,107.16,-0.13,-0.18,0.57,0.79
399.79,R_IndexIntermediate,35.60,77.04,110.41,0.13,0.04,-0.05,0.99
399.79,R_MiddleIntermediate,37.65,77.21,110.75,0.11,0.03,-0.08,0.99
399.79,R_RingIntermediate,39.41,77.01,109.72,0.06,0.03,-0.14,0.99
399.79,R_LittleIntermediate,40.90,76.54,107.88,0.03,0.04,-0.22,0.97
399.79,R_IndexProximal,35.39,77.85,106.85,0.11,0.03,-0.02,0.99
399.79,R_MiddleProximal,37.52,78.07,106.71,0.10,0.02,-0.07,0.99
399.79,R_ThumbProximal,33.16,76.64,103.93,-0.04,-0.05,0.51,0.86
399.79,R_RingProximal,39.29,77.46,105.99,0.06,0.02,-0.11,0.99
399.79,L_LittleProximal,-8.43,60.52,84.43,-0.57,-0.22,-0.28,-0.74
399.79,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
399.81,Main Camera,7.55,113.15,63.32,0.03,0.05,-0.01,-1.00
399.81,R_Palm,37.30,77.72,103.78,-0.02,0.02,-0.05,1.00
399.81,R_ThumbTip,31.58,76.84,109.23,-0.13,-0.18,0.57,0.79
399.81,R_IndexTip,36.05,76.05,114.73,0.11,0.07,-0.06,0.99
399.81,R_MiddleTip,37.93,76.49,115.71,0.05,0.04,-0.11,0.99
399.81,R_RingTip,39.49,76.61,114.57,0.05,0.00,-0.15,0.99
399.81,R_LittleTip,41.02,76.48,111.91,0.01,0.00,-0.22,0.98
399.81,R_ThumbDistal,32.70,76.74,107.14,-0.13,-0.18,0.57,0.79
399.81,R_IndexIntermediate,35.57,77.09,110.38,0.13,0.04,-0.05,0.99
399.81,R_MiddleIntermediate,37.62,77.26,110.73,0.11,0.03,-0.08,0.99
399.81,R_RingIntermediate,39.38,77.05,109.69,0.07,0.03,-0.14,0.99
399.81,R_LittleIntermediate,40.87,76.59,107.85,0.03,0.04,-0.22,0.97
399.81,R_IndexProximal,35.36,77.90,106.82,0.11,0.03,-0.02,0.99
399.81,R_MiddleProximal,37.49,78.12,106.68,0.10,0.02,-0.07,0.99
399.81,R_ThumbProximal,33.13,76.69,103.91,-0.04,-0.05,0.51,0.86
399.81,R_RingProximal,39.26,77.51,105.96,0.06,0.02,-0.11,0.99
399.81,L_LittleProximal,-8.44,60.50,84.44,-0.57,-0.22,-0.28,-0.74
399.81,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
399.82,Main Camera,7.54,113.17,63.31,0.03,0.05,-0.01,-1.00
399.82,R_Palm,37.26,77.76,103.77,-0.02,0.02,-0.05,1.00
399.82,R_ThumbTip,31.54,76.87,109.22,-0.13,-0.18,0.57,0.79
399.82,R_IndexTip,36.01,76.08,114.71,0.11,0.07,-0.06,0.99
399.82,R_MiddleTip,37.88,76.51,115.69,0.06,0.04,-0.11,0.99
399.82,R_RingTip,39.44,76.64,114.56,0.05,0.00,-0.15,0.99
