Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
506.46,Main Camera,6.60,113.85,61.61,0.06,0.06,0.01,-1.00
506.46,R_Palm,37.69,77.05,103.01,-0.06,0.06,-0.06,0.99
506.46,R_ThumbTip,32.36,76.47,108.94,-0.15,-0.15,0.58,0.78
506.46,R_IndexTip,36.88,75.35,113.96,0.15,0.08,-0.08,0.98
506.46,R_MiddleTip,38.64,75.53,114.76,0.10,0.05,-0.13,0.99
506.46,R_RingTip,40.35,75.94,113.61,0.07,0.02,-0.16,0.98
506.46,R_LittleTip,42.23,76.10,110.85,-0.01,0.04,-0.23,0.97
506.46,R_ThumbDistal,33.40,76.22,106.83,-0.15,-0.15,0.58,0.78
506.46,R_IndexIntermediate,36.32,76.73,109.72,0.17,0.06,-0.07,0.98
506.46,R_MiddleIntermediate,38.30,76.69,109.86,0.14,0.04,-0.09,0.98
506.46,R_RingIntermediate,40.07,76.51,108.75,0.07,0.05,-0.16,0.98
506.46,R_LittleIntermediate,41.66,76.11,106.83,0.01,0.09,-0.23,0.97
506.46,R_IndexProximal,35.99,77.50,106.16,0.10,0.05,-0.04,0.99
506.46,R_MiddleProximal,38.11,77.66,105.84,0.12,0.03,-0.08,0.99
506.46,R_ThumbProximal,33.60,75.97,103.59,-0.05,-0.01,0.52,0.85
506.46,R_RingProximal,39.80,76.96,105.02,0.06,0.04,-0.12,0.99
506.46,L_LittleProximal,-8.31,60.42,84.49,-0.56,-0.23,-0.27,-0.74
506.46,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
506.47,Main Camera,6.59,113.85,61.61,0.06,0.06,0.01,-1.00
506.47,R_Palm,37.69,77.05,102.99,-0.06,0.06,-0.06,0.99
506.47,R_ThumbTip,32.36,76.47,108.93,-0.15,-0.15,0.58,0.79
506.47,R_IndexTip,36.89,75.33,113.94,0.16,0.09,-0.08,0.98
506.47,R_MiddleTip,38.64,75.50,114.74,0.10,0.05,-0.13,0.99
506.47,R_RingTip,40.35,75.91,113.59,0.07,0.02,-0.16,0.98
506.47,R_LittleTip,42.23,76.08,110.83,-0.01,0.04,-0.23,0.97
506.47,R_ThumbDistal,33.41,76.22,106.81,-0.15,-0.15,0.58,0.79
506.47,R_IndexIntermediate,36.33,76.72,109.71,0.17,0.06,-0.07,0.98
506.47,R_MiddleIntermediate,38.30,76.67,109.84,0.14,0.04,-0.09,0.98
506.47,R_RingIntermediate,40.08,76.49,108.72,0.07,0.05,-0.16,0.98
506.47,R_LittleIntermediate,41.66,76.09,106.80,0.01,0.09,-0.23,0.97
506.47,R_IndexProximal,35.99,77.49,106.15,0.10,0.05,-0.04,0.99
506.47,R_MiddleProximal,38.12,77.65,105.82,0.12,0.03,-0.08,0.99
506.47,R_ThumbProximal,33.59,75.97,103.57,-0.05,0.00,0.52,0.86
506.47,R_RingProximal,39.80,76.95,105.00,0.06,0.04,-0.12,0.99
506.47,L_LittleProximal,-8.32,60.41,84.49,-0.56,-0.23,-0.27,-0.74
506.47,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
506.49,Main Camera,6.59,113.85,61.61,0.06,0.06,0.01,-1.00
506.49,R_Palm,37.69,77.04,102.97,-0.06,0.06,-0.07,0.99
506.49,R_ThumbTip,32.38,76.46,108.92,-0.15,-0.15,0.58,0.79
506.49,R_IndexTip,36.90,75.31,113.92,0.16,0.09,-0.08,0.98
506.49,R_MiddleTip,38.66,75.47,114.71,0.10,0.05,-0.13,0.99
506.49,R_RingTip,40.37,75.88,113.56,0.07,0.02,-0.17,0.98
506.49,R_LittleTip,42.24,76.04,110.80,-0.01,0.05,-0.23,0.97
506.49,R_ThumbDistal,33.41,76.22,106.80,-0.15,-0.15,0.58,0.79
506.49,R_IndexIntermediate,36.34,76.70,109.69,0.17,0.06,-0.07,0.98
506.49,R_MiddleIntermediate,38.32,76.65,109.81,0.15,0.04,-0.09,0.98
506.49,R_RingIntermediate,40.09,76.46,108.70,0.07,0.05,-0.16,0.98
506.49,R_LittleIntermediate,41.67,76.06,106.78,0.01,0.09,-0.23,0.97
506.49,R_IndexProximal,36.00,77.48,106.13,0.11,0.05,-0.04,0.99
506.49,R_MiddleProximal,38.12,77.64,105.80,0.12,0.03,-0.08,0.99
506.49,R_ThumbProximal,33.59,75.97,103.56,-0.05,0.00,0.52,0.86
506.49,R_RingProximal,39.81,76.93,104.98,0.06,0.04,-0.12,0.99
506.49,L_LittleProximal,-8.33,60.41,84.50,-0.56,-0.23,-0.27,-0.75
506.49,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
506.50,Main Camera,6.59,113.85,61.60,0.06,0.06,0.01,-1.00
506.50,R_Palm,37.70,77.06,103.00,-0.06,0.06,-0.07,0.99
506.50,R_ThumbTip,32.40,76.52,108.97,-0.15,-0.15,0.58,0.79
506.50,R_IndexTip,36.93,75.37,113.96,0.15,0.09,-0.08,0.98
506.50,R_MiddleTip,38.69,75.52,114.74,0.10,0.05,-0.13,0.99
506.50,R_RingTip,40.40,75.92,113.59,0.07,0.02,-0.17,0.98
506.50,R_LittleTip,42.26,76.08,110.82,-0.01,0.05,-0.24,0.97
506.50,R_ThumbDistal,33.43,76.27,106.84,-0.15,-0.15,0.58,0.79
506.50,R_IndexIntermediate,36.37,76.75,109.72,0.17,0.06,-0.07,0.98
506.50,R_MiddleIntermediate,38.34,76.69,109.84,0.14,0.04,-0.09,0.98
506.50,R_RingIntermediate,40.11,76.50,108.72,0.07,0.05,-0.16,0.98
506.50,R_LittleIntermediate,41.68,76.08,106.80,0.01,0.09,-0.24,0.97
506.50,R_IndexProximal,36.02,77.52,106.16,0.10,0.05,-0.04,0.99
506.50,R_MiddleProximal,38.14,77.67,105.83,0.12,0.03,-0.08,0.99
506.50,R_ThumbProximal,33.60,76.01,103.60,-0.05,0.00,0.51,0.86
506.50,R_RingProximal,39.82,76.96,105.00,0.06,0.05,-0.13,0.99
506.50,L_LittleProximal,-8.34,60.40,84.49,-0.56,-0.23,-0.27,-0.75
506.50,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
506.52,Main Camera,6.58,113.85,61.61,0.06,0.06,0.01,-1.00
506.52,R_Palm,37.72,77.06,103.01,-0.06,0.06,-0.07,0.99
506.52,R_ThumbTip,32.44,76.54,109.00,-0.15,-0.14,0.58,0.79
506.52,R_IndexTip,36.98,75.39,113.98,0.15,0.09,-0.08,0.98
506.52,R_MiddleTip,38.73,75.54,114.76,0.10,0.05,-0.13,0.99
506.52,R_RingTip,40.44,75.94,113.60,0.07,0.02,-0.17,0.98
506.52,R_LittleTip,42.30,76.08,110.83,-0.01,0.05,-0.24,0.97
506.52,R_ThumbDistal,33.47,76.28,106.87,-0.15,-0.14,0.58,0.79
506.52,R_IndexIntermediate,36.41,76.77,109.74,0.17,0.06,-0.07,0.98
506.52,R_MiddleIntermediate,38.38,76.70,109.86,0.14,0.04,-0.10,0.98
506.52,R_RingIntermediate,40.14,76.50,108.73,0.07,0.05,-0.16,0.98
506.52,R_LittleIntermediate,41.71,76.07,106.81,0.00,0.09,-0.24,0.97
506.52,R_IndexProximal,36.06,77.53,106.18,0.10,0.05,-0.04,0.99
506.52,R_MiddleProximal,38.18,77.67,105.84,0.12,0.03,-0.08,0.99
506.52,R_ThumbProximal,33.63,76.02,103.63,-0.05,0.00,0.51,0.86
506.52,R_RingProximal,39.85,76.95,105.01,0.06,0.05,-0.13,0.99
506.52,L_LittleProximal,-8.34,60.38,84.49,-0.56,-0.23,-0.27,-0.75
506.52,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
506.53,Main Camera,6.57,113.85,61.62,0.06,0.06,0.01,-1.00
506.53,R_Palm,37.72,77.05,103.02,-0.06,0.06,-0.07,0.99
506.53,R_ThumbTip,32.45,76.53,109.01,-0.15,-0.14,0.58,0.79
506.53,R_IndexTip,36.97,75.37,113.98,0.15,0.09,-0.08,0.98
506.53,R_MiddleTip,38.72,75.51,114.76,0.10,0.05,-0.13,0.99
506.53,R_RingTip,40.43,75.93,113.61,0.07,0.02,-0.17,0.98
506.53,R_LittleTip,42.29,76.07,110.84,-0.01,0.05,-0.24,0.97
506.53,R_ThumbDistal,33.47,76.27,106.88,-0.15,-0.14,0.58,0.79
506.53,R_IndexIntermediate,36.40,76.75,109.74,0.17,0.06,-0.07,0.98
506.53,R_MiddleIntermediate,38.37,76.68,109.86,0.14,0.04,-0.10,0.98
506.53,R_RingIntermediate,40.14,76.49,108.74,0.07,0.05,-0.16,0.98
506.53,R_LittleIntermediate,41.71,76.07,106.82,0.00,0.09,-0.24,0.97
506.53,R_IndexProximal,36.05,77.53,106.19,0.10,0.05,-0.04,0.99
506.53,R_MiddleProximal,38.18,77.67,105.85,0.12,0.03,-0.08,0.99
506.53,R_ThumbProximal,33.63,76.01,103.64,-0.05,0.00,0.51,0.86
506.53,R_RingProximal,39.85,76.95,105.02,0.06,0.05,-0.13,0.99
506.53,L_LittleProximal,-8.35,60.41,84.47,-0.56,-0.23,-0.27,-0.75
506.53,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
506.56,Main Camera,6.56,113.85,61.61,0.06,0.06,0.01,-1.00
506.56,R_Palm,37.74,77.05,103.00,-0.06,0.06,-0.07,0.99
506.56,R_ThumbTip,32.46,76.51,108.99,-0.15,-0.14,0.58,0.79
506.56,R_IndexTip,36.97,75.28,113.93,0.16,0.09,-0.08,0.98
506.56,R_MiddleTip,38.71,75.46,114.72,0.10,0.05,-0.13,0.98
506.56,R_RingTip,40.42,75.89,113.58,0.07,0.02,-0.17,0.98
506.56,R_LittleTip,42.27,76.03,110.83,-0.01,0.05,-0.24,0.97
506.56,R_ThumbDistal,33.48,76.26,106.86,-0.15,-0.14,0.58,0.79
506.56,R_IndexIntermediate,36.40,76.71,109.71,0.17,0.06,-0.07,0.98
506.56,R_MiddleIntermediate,38.37,76.66,109.83,0.15,0.04,-0.10,0.98
506.56,R_RingIntermediate,40.14,76.48,108.72,0.07,0.05,-0.16,0.98
506.56,R_LittleIntermediate,41.70,76.06,106.80,0.01,0.09,-0.24,0.97
506.56,R_IndexProximal,36.06,77.53,106.16,0.11,0.05,-0.04,0.99
506.56,R_MiddleProximal,38.19,77.68,105.82,0.12,0.03,-0.08,0.99
506.56,R_ThumbProximal,33.65,75.99,103.62,-0.05,0.00,0.52,0.86
506.56,R_RingProximal,39.86,76.95,105.00,0.06,0.04,-0.13,0.99
506.56,L_LittleProximal,-8.37,60.44,84.45,-0.56,-0.23,-0.27,-0.75
506.56,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
506.57,Main Camera,6.56,113.85,61.60,0.06,0.06,0.01,-1.00
506.57,R_Palm,37.74,77.05,102.99,-0.06,0.06,-0.07,0.99
506.57,R_ThumbTip,32.47,76.50,108.98,-0.15,-0.14,0.58,0.79
506.57,R_IndexTip,36.96,75.25,113.91,0.16,0.09,-0.08,0.98
506.57,R_MiddleTip,38.71,75.45,114.71,0.10,0.05,-0.13,0.98
506.57,R_RingTip,40.41,75.88,113.57,0.07,0.02,-0.17,0.98
506.57,R_LittleTip,42.26,76.02,110.82,0.00,0.04,-0.24,0.97
506.57,R_ThumbDistal,33.49,76.25,106.85,-0.15,-0.14,0.58,0.79
506.57,R_IndexIntermediate,36.40,76.70,109.69,0.17,0.06,-0.07,0.98
506.57,R_MiddleIntermediate,38.37,76.66,109.82,0.15,0.04,-0.09,0.98
506.57,R_RingIntermediate,40.14,76.47,108.71,0.07,0.05,-0.16,0.98
