Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
242.22,Main Camera,-3.00,119.20,84.73,0.02,0.01,0.02,1.00
242.22,R_Palm,35.24,79.66,102.68,0.05,0.05,0.07,-1.00
242.22,R_ThumbTip,26.14,77.55,105.29,0.18,0.42,-0.51,-0.73
242.22,R_IndexTip,31.55,76.33,112.59,-0.38,0.06,0.03,-0.92
242.22,R_MiddleTip,34.06,76.33,114.01,-0.31,0.03,0.12,-0.94
242.22,R_RingTip,36.04,76.14,113.06,-0.37,0.07,0.17,-0.91
242.22,R_LittleTip,39.06,76.63,111.00,-0.29,0.00,0.28,-0.92
242.22,R_ThumbDistal,28.11,77.84,103.92,0.18,0.42,-0.51,-0.73
242.22,R_IndexIntermediate,32.25,79.15,109.07,-0.31,0.09,0.03,-0.95
242.22,R_MiddleIntermediate,34.70,79.07,109.71,-0.28,0.04,0.08,-0.96
242.22,R_RingIntermediate,36.90,78.89,109.00,-0.27,0.02,0.16,-0.95
242.22,R_LittleIntermediate,39.29,78.57,107.36,-0.22,-0.08,0.26,-0.94
242.22,R_IndexProximal,32.92,80.01,105.51,-0.12,0.09,0.02,-0.99
242.22,R_MiddleProximal,35.10,80.18,105.67,-0.14,0.04,0.07,-0.99
242.22,R_ThumbProximal,30.16,78.31,101.36,0.10,0.32,-0.48,-0.81
242.22,R_RingProximal,36.96,79.47,105.23,-0.08,0.00,0.12,-0.99
242.22,L_LittleProximal,-12.12,66.02,89.46,0.50,-0.23,0.65,0.52
242.22,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.23,Main Camera,-3.03,119.20,84.74,0.02,0.01,0.02,1.00
242.23,R_Palm,35.22,79.67,102.67,0.05,0.05,0.07,-1.00
242.23,R_ThumbTip,26.13,77.58,105.28,0.18,0.42,-0.51,-0.73
242.23,R_IndexTip,31.52,76.36,112.58,-0.38,0.06,0.03,-0.92
242.23,R_MiddleTip,34.03,76.35,114.01,-0.31,0.04,0.12,-0.94
242.23,R_RingTip,36.01,76.16,113.06,-0.37,0.07,0.17,-0.91
242.23,R_LittleTip,39.04,76.65,111.00,-0.29,0.00,0.28,-0.92
242.23,R_ThumbDistal,28.09,77.86,103.91,0.18,0.42,-0.51,-0.73
242.23,R_IndexIntermediate,32.23,79.18,109.06,-0.30,0.09,0.03,-0.95
242.23,R_MiddleIntermediate,34.68,79.10,109.70,-0.28,0.05,0.08,-0.96
242.23,R_RingIntermediate,36.88,78.91,109.00,-0.27,0.02,0.16,-0.95
242.23,R_LittleIntermediate,39.27,78.58,107.36,-0.22,-0.08,0.26,-0.94
242.23,R_IndexProximal,32.91,80.03,105.50,-0.12,0.09,0.02,-0.99
242.23,R_MiddleProximal,35.08,80.19,105.66,-0.14,0.04,0.07,-0.99
242.23,R_ThumbProximal,30.14,78.33,101.35,0.10,0.32,-0.48,-0.81
242.23,R_RingProximal,36.94,79.48,105.22,-0.08,0.00,0.12,-0.99
242.23,L_LittleProximal,-12.12,66.02,89.46,0.50,-0.23,0.65,0.52
242.23,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.24,Main Camera,-3.05,119.21,84.76,0.02,0.01,0.02,1.00
242.24,R_Palm,35.23,79.68,102.66,0.05,0.05,0.07,-0.99
242.24,R_ThumbTip,26.13,77.59,105.26,0.18,0.42,-0.51,-0.73
242.24,R_IndexTip,31.51,76.38,112.56,-0.38,0.06,0.03,-0.92
242.24,R_MiddleTip,34.03,76.37,113.99,-0.31,0.04,0.12,-0.94
242.24,R_RingTip,36.01,76.18,113.04,-0.37,0.07,0.17,-0.91
242.24,R_LittleTip,39.04,76.67,110.99,-0.29,0.00,0.28,-0.92
242.24,R_ThumbDistal,28.10,77.87,103.89,0.18,0.42,-0.51,-0.73
242.24,R_IndexIntermediate,32.23,79.19,109.04,-0.30,0.09,0.03,-0.95
242.24,R_MiddleIntermediate,34.68,79.11,109.68,-0.28,0.05,0.08,-0.96
242.24,R_RingIntermediate,36.89,78.92,108.98,-0.27,0.02,0.16,-0.95
242.24,R_LittleIntermediate,39.28,78.60,107.35,-0.22,-0.07,0.26,-0.94
242.24,R_IndexProximal,32.91,80.04,105.49,-0.12,0.09,0.02,-0.99
242.24,R_MiddleProximal,35.09,80.21,105.64,-0.13,0.04,0.07,-0.99
242.24,R_ThumbProximal,30.15,78.34,101.34,0.10,0.32,-0.48,-0.81
242.24,R_RingProximal,36.95,79.49,105.21,-0.08,0.00,0.12,-0.99
242.24,L_LittleProximal,-12.12,66.02,89.46,0.50,-0.23,0.65,0.52
242.24,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.26,Main Camera,-3.08,119.21,84.78,0.02,0.01,0.02,1.00
242.26,R_Palm,35.23,79.69,102.65,0.05,0.05,0.07,-0.99
242.26,R_ThumbTip,26.12,77.60,105.26,0.18,0.42,-0.51,-0.73
242.26,R_IndexTip,31.51,76.39,112.56,-0.38,0.06,0.03,-0.92
242.26,R_MiddleTip,34.03,76.38,113.98,-0.31,0.04,0.12,-0.94
242.26,R_RingTip,36.01,76.19,113.04,-0.37,0.07,0.17,-0.91
242.26,R_LittleTip,39.04,76.68,110.98,-0.29,0.00,0.28,-0.92
242.26,R_ThumbDistal,28.09,77.88,103.89,0.18,0.42,-0.51,-0.73
242.26,R_IndexIntermediate,32.22,79.20,109.03,-0.30,0.09,0.03,-0.95
242.26,R_MiddleIntermediate,34.68,79.12,109.68,-0.28,0.05,0.08,-0.96
242.26,R_RingIntermediate,36.89,78.93,108.98,-0.27,0.02,0.16,-0.95
242.26,R_LittleIntermediate,39.28,78.60,107.34,-0.21,-0.08,0.26,-0.94
242.26,R_IndexProximal,32.91,80.05,105.48,-0.12,0.09,0.02,-0.99
242.26,R_MiddleProximal,35.09,80.22,105.64,-0.13,0.04,0.07,-0.99
242.26,R_ThumbProximal,30.14,78.34,101.33,0.10,0.32,-0.48,-0.81
242.26,R_RingProximal,36.94,79.50,105.20,-0.07,0.00,0.13,-0.99
242.26,L_LittleProximal,-12.12,66.02,89.46,0.50,-0.23,0.65,0.52
242.26,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
242.27,Main Camera,-3.10,119.20,84.78,0.02,0.01,0.02,1.00
242.27,R_Palm,35.22,79.69,102.65,0.05,0.05,0.07,-0.99
242.27,R_ThumbTip,26.12,77.61,105.26,0.18,0.42,-0.51,-0.73
242.27,R_IndexTip,31.51,76.39,112.55,-0.38,0.06,0.03,-0.92
242.27,R_MiddleTip,34.03,76.38,113.98,-0.31,0.04,0.12,-0.94
242.27,R_RingTip,36.02,76.20,113.03,-0.37,0.07,0.17,-0.91
242.27,R_LittleTip,39.04,76.68,110.97,-0.29,0.00,0.28,-0.92
242.27,R_ThumbDistal,28.09,77.89,103.89,0.18,0.42,-0.51,-0.73
242.27,R_IndexIntermediate,32.22,79.21,109.03,-0.30,0.09,0.03,-0.95
242.27,R_MiddleIntermediate,34.68,79.13,109.67,-0.28,0.05,0.08,-0.96
242.27,R_RingIntermediate,36.89,78.94,108.97,-0.27,0.02,0.16,-0.95
242.27,R_LittleIntermediate,39.28,78.61,107.33,-0.21,-0.08,0.27,-0.94
