Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
644.78,Main Camera,5.08,115.69,84.31,-0.04,-0.07,0.01,1.00
644.78,R_Palm,37.04,75.80,105.42,-0.03,-0.04,0.05,-1.00
644.78,R_ThumbTip,29.03,75.82,109.80,0.20,0.30,-0.44,-0.82
644.78,R_IndexTip,35.29,74.87,116.87,-0.04,-0.03,0.07,-1.00
644.78,R_MiddleTip,37.79,74.73,117.70,-0.02,-0.03,0.11,-0.99
644.78,R_RingTip,40.06,74.70,116.33,-0.06,-0.03,0.15,-0.99
644.78,R_LittleTip,42.72,74.19,113.15,-0.07,-0.11,0.22,-0.97
644.78,R_ThumbDistal,30.69,75.55,108.07,0.20,0.30,-0.44,-0.82
644.78,R_IndexIntermediate,35.18,75.31,112.33,-0.07,0.00,0.05,-1.00
644.78,R_MiddleIntermediate,37.52,75.21,112.60,-0.08,-0.02,0.08,-0.99
644.78,R_RingIntermediate,39.65,75.18,111.38,-0.05,-0.06,0.14,-0.99
644.78,R_LittleIntermediate,41.72,74.81,109.19,-0.05,-0.16,0.22,-0.96
644.78,R_IndexProximal,35.26,75.59,108.63,-0.04,0.01,0.03,-1.00
644.78,R_MiddleProximal,37.43,75.83,108.44,-0.07,-0.02,0.07,-1.00
644.78,R_ThumbProximal,31.98,75.60,105.03,0.07,0.19,-0.39,-0.90
644.78,R_RingProximal,39.19,75.28,107.60,-0.01,-0.06,0.11,-0.99
644.78,L_LittleProximal,-10.30,57.40,99.59,0.38,0.06,0.16,0.91
644.78,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
644.79,Main Camera,5.08,115.70,84.30,-0.04,-0.07,0.01,1.00
644.79,R_Palm,37.04,75.81,105.42,-0.03,-0.04,0.05,-1.00
644.79,R_ThumbTip,29.02,75.83,109.80,0.20,0.30,-0.43,-0.82
644.79,R_IndexTip,35.25,74.88,116.88,-0.04,-0.02,0.07,-1.00
644.79,R_MiddleTip,37.77,74.74,117.70,-0.02,-0.03,0.11,-0.99
644.79,R_RingTip,40.05,74.71,116.33,-0.06,-0.03,0.15,-0.99
644.79,R_LittleTip,42.71,74.20,113.16,-0.07,-0.11,0.22,-0.97
644.79,R_ThumbDistal,30.67,75.56,108.07,0.20,0.30,-0.43,-0.82
644.79,R_IndexIntermediate,35.16,75.32,112.34,-0.07,0.00,0.05,-1.00
644.79,R_MiddleIntermediate,37.51,75.21,112.60,-0.08,-0.02,0.08,-0.99
644.79,R_RingIntermediate,39.64,75.19,111.39,-0.05,-0.06,0.14,-0.99
644.79,R_LittleIntermediate,41.71,74.81,109.20,-0.05,-0.16,0.22,-0.96
644.79,R_IndexProximal,35.25,75.60,108.63,-0.04,0.01,0.03,-1.00
644.79,R_MiddleProximal,37.42,75.83,108.45,-0.07,-0.02,0.07,-1.00
644.79,R_ThumbProximal,31.98,75.61,105.03,0.07,0.19,-0.39,-0.90
644.79,R_RingProximal,39.18,75.28,107.60,-0.01,-0.06,0.11,-0.99
644.79,L_LittleProximal,-10.30,57.40,99.59,0.38,0.06,0.16,0.91
644.79,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
644.81,Main Camera,5.07,115.71,84.30,-0.04,-0.07,0.01,1.00
644.81,R_Palm,37.04,75.80,105.43,-0.03,-0.04,0.05,-1.00
644.81,R_ThumbTip,29.01,75.83,109.81,0.20,0.30,-0.43,-0.82
644.81,R_IndexTip,35.23,74.87,116.88,-0.04,-0.02,0.07,-1.00
644.81,R_MiddleTip,37.77,74.73,117.71,-0.02,-0.03,0.11,-0.99
644.81,R_RingTip,40.05,74.70,116.34,-0.06,-0.03,0.15,-0.99
644.81,R_LittleTip,42.72,74.20,113.17,-0.07,-0.11,0.22,-0.97
644.81,R_ThumbDistal,30.67,75.56,108.08,0.20,0.30,-0.43,-0.82
644.81,R_IndexIntermediate,35.15,75.31,112.34,-0.07,0.01,0.05,-1.00
644.81,R_MiddleIntermediate,37.51,75.21,112.61,-0.08,-0.02,0.08,-0.99
644.81,R_RingIntermediate,39.65,75.18,111.40,-0.05,-0.06,0.14,-0.99
644.81,R_LittleIntermediate,41.71,74.81,109.21,-0.05,-0.17,0.22,-0.96
644.81,R_IndexProximal,35.26,75.59,108.64,-0.04,0.01,0.03,-1.00
644.81,R_MiddleProximal,37.42,75.83,108.46,-0.07,-0.02,0.07,-1.00
644.81,R_ThumbProximal,31.98,75.60,105.04,0.07,0.19,-0.39,-0.90
644.81,R_RingProximal,39.19,75.27,107.61,-0.01,-0.06,0.11,-0.99
644.81,L_LittleProximal,-10.30,57.40,99.59,0.38,0.06,0.16,0.91
644.81,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
644.82,Main Camera,5.07,115.73,84.30,-0.04,-0.07,0.01,1.00
644.82,R_Palm,37.04,75.82,105.42,-0.03,-0.04,0.05,-1.00
644.82,R_ThumbTip,29.01,75.85,109.79,0.20,0.30,-0.43,-0.82
644.82,R_IndexTip,35.21,74.89,116.87,-0.04,-0.02,0.07,-1.00
644.82,R_MiddleTip,37.77,74.75,117.70,-0.02,-0.03,0.11,-0.99
644.82,R_RingTip,40.05,74.72,116.33,-0.06,-0.03,0.15,-0.99
644.82,R_LittleTip,42.72,74.22,113.15,-0.07,-0.11,0.22,-0.97
644.82,R_ThumbDistal,30.67,75.57,108.06,0.20,0.30,-0.43,-0.82
644.82,R_IndexIntermediate,35.14,75.32,112.33,-0.07,0.01,0.05,-1.00
