Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
612.32,Main Camera,3.61,113.20,86.72,0.06,-0.05,0.01,1.00
612.32,R_Palm,37.94,76.77,104.08,-0.04,-0.04,0.02,-1.00
612.32,R_ThumbTip,29.54,76.27,108.12,0.18,0.34,-0.44,-0.81
612.32,R_IndexTip,36.74,75.63,115.52,-0.06,-0.06,0.03,-1.00
612.32,R_MiddleTip,39.21,75.14,116.28,-0.06,-0.06,0.07,-0.99
612.32,R_RingTip,41.33,75.25,114.92,-0.09,-0.05,0.11,-0.99
612.32,R_LittleTip,44.11,75.20,111.72,-0.06,-0.15,0.18,-0.97
612.32,R_ThumbDistal,31.27,76.16,106.45,0.18,0.34,-0.44,-0.81
612.32,R_IndexIntermediate,36.34,76.14,111.00,-0.07,-0.03,0.01,-1.00
612.32,R_MiddleIntermediate,38.67,75.97,111.25,-0.12,-0.05,0.04,-0.99
612.32,R_RingIntermediate,40.72,76.04,110.03,-0.08,-0.08,0.10,-0.99
612.32,R_LittleIntermediate,42.79,75.79,107.85,-0.06,-0.20,0.17,-0.96
612.32,R_IndexProximal,36.18,76.33,107.30,-0.03,-0.02,-0.01,-1.00
612.32,R_MiddleProximal,38.32,76.73,107.13,-0.09,-0.04,0.03,-0.99
612.32,R_ThumbProximal,32.70,76.43,103.48,0.05,0.22,-0.40,-0.89
612.32,R_RingProximal,40.13,76.34,106.28,-0.03,-0.08,0.07,-0.99
612.32,L_LittleProximal,-10.00,57.78,100.62,0.13,0.08,0.12,0.98
612.32,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
612.33,Main Camera,3.60,113.21,86.71,0.06,-0.05,0.01,1.00
612.33,R_Palm,37.93,76.76,104.08,-0.04,-0.04,0.02,-1.00
612.33,R_ThumbTip,29.54,76.28,108.12,0.18,0.34,-0.44,-0.81
612.33,R_IndexTip,36.74,75.62,115.52,-0.06,-0.06,0.03,-1.00
612.33,R_MiddleTip,39.21,75.12,116.27,-0.06,-0.06,0.07,-0.99
612.33,R_RingTip,41.32,75.22,114.92,-0.09,-0.05,0.11,-0.99
612.33,R_LittleTip,44.10,75.17,111.72,-0.06,-0.15,0.18,-0.97
612.33,R_ThumbDistal,31.27,76.17,106.45,0.18,0.34,-0.44,-0.81
612.33,R_IndexIntermediate,36.33,76.13,111.00,-0.07,-0.03,0.02,-1.00
612.33,R_MiddleIntermediate,38.67,75.96,111.24,-0.12,-0.05,0.04,-0.99
612.33,R_RingIntermediate,40.72,76.02,110.03,-0.08,-0.08,0.11,-0.99
612.33,R_LittleIntermediate,42.78,75.76,107.85,-0.06,-0.20,0.17,-0.96
612.33,R_IndexProximal,36.17,76.32,107.30,-0.03,-0.02,-0.01,-1.00
612.33,R_MiddleProximal,38.32,76.72,107.13,-0.09,-0.04,0.03,-0.99
612.33,R_ThumbProximal,32.70,76.43,103.48,0.05,0.22,-0.40,-0.89
612.33,R_RingProximal,40.12,76.33,106.27,-0.03,-0.08,0.07,-0.99
612.33,L_LittleProximal,-9.98,57.76,100.63,0.13,0.08,0.12,0.98
612.33,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
612.35,Main Camera,3.59,113.22,86.70,0.06,-0.05,0.01,1.00
612.35,R_Palm,37.93,76.76,104.09,-0.04,-0.04,0.02,-1.00
612.35,R_ThumbTip,29.54,76.27,108.14,0.18,0.34,-0.44,-0.81
612.35,R_IndexTip,36.74,75.62,115.54,-0.06,-0.06,0.03,-1.00
612.35,R_MiddleTip,39.21,75.11,116.29,-0.06,-0.06,0.07,-0.99
612.35,R_RingTip,41.32,75.22,114.93,-0.09,-0.05,0.11,-0.99
612.35,R_LittleTip,44.09,75.17,111.74,-0.06,-0.15,0.18,-0.97
612.35,R_ThumbDistal,31.28,76.16,106.47,0.18,0.34,-0.44,-0.81
612.35,R_IndexIntermediate,36.34,76.13,111.02,-0.07,-0.03,0.02,-1.00
612.35,R_MiddleIntermediate,38.67,75.95,111.26,-0.12,-0.05,0.04,-0.99
612.35,R_RingIntermediate,40.72,76.02,110.05,-0.08,-0.08,0.11,-0.99
612.35,R_LittleIntermediate,42.78,75.76,107.87,-0.06,-0.20,0.17,-0.96
612.35,R_IndexProximal,36.18,76.32,107.31,-0.03,-0.02,-0.01,-1.00
612.35,R_MiddleProximal,38.32,76.72,107.14,-0.09,-0.04,0.03,-0.99
