Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
124.71,Main Camera,2.91,114.27,83.61,0.03,-0.06,0.03,1.00
124.71,R_Palm,38.08,76.29,104.30,-0.06,0.00,0.04,-1.00
124.71,R_ThumbTip,28.98,76.09,107.30,0.22,0.40,-0.39,-0.80
124.71,R_IndexTip,34.99,75.10,115.53,-0.06,0.04,0.06,-1.00
124.71,R_MiddleTip,38.07,74.62,116.57,-0.06,0.00,0.10,-0.99
124.71,R_RingTip,40.65,74.76,115.37,-0.07,-0.01,0.13,-0.99
124.71,R_LittleTip,44.01,74.44,112.23,-0.03,-0.15,0.18,-0.97
124.71,R_ThumbDistal,30.97,75.88,105.94,0.22,0.40,-0.39,-0.80
124.71,R_IndexIntermediate,35.49,75.61,111.03,-0.08,0.07,0.04,-0.99
124.71,R_MiddleIntermediate,38.10,75.41,111.51,-0.11,0.01,0.06,-0.99
124.71,R_RingIntermediate,40.38,75.36,110.43,-0.07,-0.04,0.12,-0.99
124.71,R_LittleIntermediate,42.69,74.87,108.35,-0.04,-0.19,0.18,-0.96
124.71,R_IndexProximal,36.06,75.81,107.36,-0.03,0.08,0.02,-1.00
124.71,R_MiddleProximal,38.23,76.12,107.37,-0.08,0.01,0.05,-1.00
124.71,R_ThumbProximal,32.83,76.14,103.22,0.08,0.29,-0.37,-0.88
124.71,R_RingProximal,40.07,75.66,106.64,-0.04,-0.04,0.09,-0.99
124.71,L_LittleProximal,-0.50,54.23,98.95,0.67,0.24,-0.09,0.69
124.71,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
124.72,Main Camera,2.91,114.31,83.59,0.03,-0.06,0.03,1.00
124.72,R_Palm,38.06,76.29,104.28,-0.06,0.00,0.04,-1.00
124.72,R_ThumbTip,28.97,76.10,107.28,0.22,0.40,-0.39,-0.80
124.72,R_IndexTip,34.98,75.11,115.51,-0.06,0.04,0.06,-1.00
124.72,R_MiddleTip,38.06,74.62,116.55,-0.06,0.00,0.10,-0.99
124.72,R_RingTip,40.64,74.77,115.35,-0.07,-0.01,0.13,-0.99
124.72,R_LittleTip,44.00,74.45,112.21,-0.03,-0.15,0.18,-0.97
124.72,R_ThumbDistal,30.95,75.89,105.93,0.22,0.40,-0.39,-0.80
124.72,R_IndexIntermediate,35.48,75.62,111.01,-0.08,0.07,0.04,-0.99
124.72,R_MiddleIntermediate,38.09,75.42,111.49,-0.11,0.01,0.06,-0.99
124.72,R_RingIntermediate,40.37,75.36,110.41,-0.07,-0.04,0.12,-0.99
124.72,R_LittleIntermediate,42.68,74.88,108.32,-0.04,-0.19,0.18,-0.96
124.72,R_IndexProximal,36.05,75.82,107.34,-0.03,0.08,0.02,-1.00
124.72,R_MiddleProximal,38.21,76.12,107.35,-0.08,0.01,0.05,-1.00
124.72,R_ThumbProximal,32.81,76.15,103.20,0.08,0.29,-0.37,-0.88
124.72,R_RingProximal,40.06,75.67,106.61,-0.04,-0.04,0.09,-0.99
124.72,L_LittleProximal,-0.49,54.21,98.95,0.67,0.24,-0.09,0.69
124.72,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
124.73,Main Camera,2.92,114.32,83.57,0.03,-0.06,0.03,1.00
124.73,R_Palm,38.05,76.30,104.29,-0.06,0.00,0.04,-1.00
124.73,R_ThumbTip,28.96,76.10,107.29,0.22,0.40,-0.39,-0.80
124.73,R_IndexTip,34.97,75.12,115.52,-0.06,0.04,0.06,-1.00
124.73,R_MiddleTip,38.05,74.63,116.56,-0.06,0.00,0.10,-0.99
124.73,R_RingTip,40.63,74.78,115.36,-0.07,-0.01,0.13,-0.99
124.73,R_LittleTip,43.99,74.45,112.22,-0.03,-0.15,0.18,-0.97
124.73,R_ThumbDistal,30.94,75.90,105.93,0.22,0.40,-0.39,-0.80
124.73,R_IndexIntermediate,35.47,75.62,111.01,-0.08,0.07,0.04,-0.99
124.73,R_MiddleIntermediate,38.08,75.42,111.49,-0.11,0.01,0.06,-0.99
124.73,R_RingIntermediate,40.36,75.37,110.41,-0.07,-0.04,0.12,-0.99
124.73,R_LittleIntermediate,42.67,74.88,108.33,-0.04,-0.19,0.18,-0.96
124.73,R_IndexProximal,36.04,75.83,107.35,-0.03,0.08,0.02,-1.00
