Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
146.75,Main Camera,3.26,115.48,83.54,-0.03,-0.05,-0.01,1.00
146.75,R_Palm,38.58,75.86,105.12,-0.03,0.01,0.00,-1.00
146.75,R_ThumbTip,30.38,75.30,108.80,0.18,0.33,-0.45,-0.81
146.75,R_IndexTip,35.76,75.03,116.37,-0.03,0.02,0.02,-1.00
146.75,R_MiddleTip,38.34,75.04,117.46,-0.02,0.01,0.06,-1.00
146.75,R_RingTip,40.92,75.18,116.30,-0.05,0.00,0.10,-0.99
146.75,R_LittleTip,44.39,74.85,113.23,-0.03,-0.13,0.16,-0.98
146.75,R_ThumbDistal,32.11,75.22,107.12,0.18,0.33,-0.45,-0.81
146.75,R_IndexIntermediate,36.08,75.37,111.83,-0.06,0.05,0.00,-1.00
146.75,R_MiddleIntermediate,38.46,75.43,112.36,-0.08,0.02,0.02,-1.00
146.75,R_RingIntermediate,40.77,75.50,111.33,-0.04,-0.03,0.09,-0.99
146.75,R_LittleIntermediate,43.22,75.19,109.29,-0.04,-0.17,0.16,-0.97
146.75,R_IndexProximal,36.52,75.42,108.15,-0.01,0.06,-0.02,-1.00
146.75,R_MiddleProximal,38.66,75.87,108.18,-0.05,0.02,0.01,-1.00
146.75,R_ThumbProximal,33.57,75.44,104.16,0.07,0.22,-0.41,-0.88
146.75,R_RingProximal,40.55,75.51,107.51,0.00,-0.03,0.05,-1.00
146.75,L_LittleProximal,-0.40,53.99,99.00,0.52,0.22,-0.05,0.83
146.75,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
146.76,Main Camera,3.25,115.48,83.54,-0.03,-0.05,-0.01,1.00
146.76,R_Palm,38.57,75.85,105.12,-0.03,0.01,0.00,-1.00
146.76,R_ThumbTip,30.38,75.30,108.81,0.18,0.33,-0.45,-0.81
146.76,R_IndexTip,35.76,75.02,116.37,-0.03,0.02,0.02,-1.00
146.76,R_MiddleTip,38.34,75.04,117.46,-0.02,0.01,0.06,-1.00
146.76,R_RingTip,40.92,75.18,116.30,-0.05,0.00,0.10,-0.99
146.76,R_LittleTip,44.39,74.85,113.23,-0.03,-0.13,0.16,-0.98
146.76,R_ThumbDistal,32.11,75.21,107.13,0.18,0.33,-0.45,-0.81
146.76,R_IndexIntermediate,36.08,75.37,111.84,-0.06,0.05,0.00,-1.00
146.76,R_MiddleIntermediate,38.46,75.42,112.36,-0.08,0.02,0.02,-1.00
146.76,R_RingIntermediate,40.77,75.50,111.32,-0.04,-0.03,0.09,-0.99
146.76,R_LittleIntermediate,43.22,75.19,109.28,-0.04,-0.17,0.16,-0.97
146.76,R_IndexProximal,36.52,75.42,108.15,-0.01,0.06,-0.02,-1.00
146.76,R_MiddleProximal,38.66,75.87,108.18,-0.05,0.02,0.01,-1.00
146.76,R_ThumbProximal,33.57,75.43,104.17,0.07,0.22,-0.41,-0.88
146.76,R_RingProximal,40.54,75.50,107.51,0.00,-0.03,0.05,-1.00
146.76,L_LittleProximal,-0.41,54.11,99.03,0.52,0.22,-0.05,0.83
146.76,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
146.77,Main Camera,3.24,115.49,83.54,-0.03,-0.05,-0.01,1.00
146.77,R_Palm,38.57,75.85,105.13,-0.03,0.01,0.00,-1.00
146.77,R_ThumbTip,30.39,75.28,108.82,0.18,0.33,-0.45,-0.81
146.77,R_IndexTip,35.77,75.01,116.39,-0.03,0.02,0.02,-1.00
146.77,R_MiddleTip,38.35,75.03,117.47,-0.02,0.01,0.06,-1.00
146.77,R_RingTip,40.92,75.18,116.30,-0.05,0.00,0.10,-0.99
146.77,R_LittleTip,44.40,74.86,113.23,-0.03,-0.13,0.16,-0.98
