Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
25.81,Main Camera,3.03,117.82,87.00,0.00,-0.06,0.00,1.00
25.81,R_Palm,38.37,76.86,104.56,-0.03,0.00,0.04,-1.00
25.81,R_ThumbTip,30.16,76.52,108.32,0.18,0.33,-0.44,-0.82
25.81,R_IndexTip,36.90,75.86,115.83,-0.04,-0.06,0.05,-1.00
25.81,R_MiddleTip,39.09,75.47,116.82,-0.05,-0.04,0.09,-0.99
25.81,R_RingTip,40.88,75.49,115.66,-0.09,-0.01,0.13,-0.99
25.81,R_LittleTip,43.18,75.40,112.84,-0.05,-0.06,0.20,-0.98
25.81,R_ThumbDistal,31.87,76.41,106.62,0.18,0.33,-0.44,-0.82
25.81,R_IndexIntermediate,36.49,76.31,111.31,-0.07,-0.03,0.03,-1.00
25.81,R_MiddleIntermediate,38.70,76.18,111.76,-0.10,-0.03,0.06,-0.99
25.81,R_RingIntermediate,40.66,76.19,110.73,-0.08,-0.04,0.13,-0.99
25.81,R_LittleIntermediate,42.59,75.87,108.78,-0.06,-0.11,0.20,-0.97
25.81,R_IndexProximal,36.32,76.56,107.61,-0.03,-0.02,0.01,-1.00
25.81,R_MiddleProximal,38.49,76.86,107.62,-0.08,-0.03,0.05,-1.00
25.81,R_ThumbProximal,33.32,76.65,103.65,0.06,0.22,-0.40,-0.89
25.81,R_RingProximal,40.34,76.37,106.93,-0.02,-0.04,0.09,-0.99
25.81,L_LittleProximal,-0.36,54.73,97.51,0.58,0.26,-0.01,0.77
25.81,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
25.82,Main Camera,3.03,117.83,86.97,0.00,-0.06,0.00,1.00
25.82,R_Palm,38.37,76.85,104.56,-0.03,0.00,0.04,-1.00
25.82,R_ThumbTip,30.16,76.50,108.32,0.18,0.33,-0.44,-0.82
25.82,R_IndexTip,36.91,75.84,115.83,-0.04,-0.06,0.05,-1.00
25.82,R_MiddleTip,39.09,75.45,116.82,-0.05,-0.04,0.09,-0.99
25.82,R_RingTip,40.88,75.47,115.66,-0.09,-0.01,0.13,-0.99
25.82,R_LittleTip,43.17,75.39,112.84,-0.05,-0.06,0.20,-0.98
25.82,R_ThumbDistal,31.87,76.40,106.62,0.18,0.33,-0.44,-0.82
25.82,R_IndexIntermediate,36.49,76.29,111.31,-0.07,-0.03,0.03,-1.00
25.82,R_MiddleIntermediate,38.70,76.17,111.76,-0.10,-0.03,0.06,-0.99
25.82,R_RingIntermediate,40.66,76.18,110.73,-0.08,-0.04,0.13,-0.99
25.82,R_LittleIntermediate,42.59,75.86,108.78,-0.06,-0.11,0.20,-0.97
25.82,R_IndexProximal,36.32,76.55,107.61,-0.03,-0.02,0.01,-1.00
25.82,R_MiddleProximal,38.48,76.85,107.62,-0.08,-0.03,0.05,-1.00
25.82,R_ThumbProximal,33.32,76.64,103.66,0.06,0.22,-0.40,-0.89
25.82,R_RingProximal,40.33,76.36,106.93,-0.02,-0.04,0.09,-0.99
25.82,L_LittleProximal,-0.36,54.73,97.51,0.58,0.26,-0.01,0.77
25.82,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
25.83,Main Camera,3.04,117.85,86.96,0.00,-0.06,0.00,1.00
25.83,R_Palm,38.36,76.84,104.56,-0.03,0.00,0.04,-1.00
25.83,R_ThumbTip,30.15,76.48,108.32,0.17,0.33,-0.44,-0.82
25.83,R_IndexTip,36.91,75.83,115.83,-0.04,-0.06,0.05,-1.00
25.83,R_MiddleTip,39.09,75.44,116.82,-0.05,-0.04,0.09,-0.99
25.83,R_RingTip,40.88,75.46,115.66,-0.09,-0.01,0.13,-0.99
25.83,R_LittleTip,43.16,75.38,112.84,-0.05,-0.06,0.20,-0.98
25.83,R_ThumbDistal,31.86,76.39,106.62,0.17,0.33,-0.44,-0.82
25.83,R_IndexIntermediate,36.49,76.28,111.31,-0.07,-0.03,0.03,-1.00
25.83,R_MiddleIntermediate,38.70,76.16,111.76,-0.10,-0.03,0.06,-0.99
25.83,R_RingIntermediate,40.66,76.17,110.73,-0.08,-0.04,0.12,-0.99
25.83,R_LittleIntermediate,42.58,75.85,108.78,-0.06,-0.11,0.20,-0.97
25.83,R_IndexProximal,36.31,76.54,107.61,-0.03,-0.02,0.01,-1.00
25.83,R_MiddleProximal,38.48,76.84,107.62,-0.08,-0.03,0.05,-1.00
25.83,R_ThumbProximal,33.31,76.63,103.66,0.06,0.22,-0.40,-0.89
25.83,R_RingProximal,40.33,76.35,106.93,-0.02,-0.04,0.09,-0.99
25.83,L_LittleProximal,-0.36,54.73,97.51,0.58,0.26,-0.01,0.77
25.83,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
25.84,Main Camera,3.04,117.86,86.95,0.00,-0.06,0.00,1.00
25.84,R_Palm,38.35,76.84,104.56,-0.03,0.00,0.04,-1.00
25.84,R_ThumbTip,30.15,76.47,108.32,0.17,0.33,-0.44,-0.82
25.84,R_IndexTip,36.91,75.83,115.83,-0.04,-0.06,0.05,-1.00
25.84,R_MiddleTip,39.09,75.44,116.82,-0.05,-0.04,0.09,-0.99
25.84,R_RingTip,40.87,75.46,115.66,-0.09,-0.01,0.13,-0.99
25.84,R_LittleTip,43.15,75.38,112.84,-0.05,-0.06,0.20,-0.98
25.84,R_ThumbDistal,31.86,76.37,106.62,0.17,0.33,-0.44,-0.82
25.84,R_IndexIntermediate,36.48,76.27,111.31,-0.07,-0.03,0.03,-1.00
25.84,R_MiddleIntermediate,38.69,76.15,111.76,-0.10,-0.03,0.06,-0.99
25.84,R_RingIntermediate,40.65,76.16,110.73,-0.08,-0.04,0.12,-0.99
25.84,R_LittleIntermediate,42.57,75.85,108.78,-0.06,-0.11,0.20,-0.97
25.84,R_IndexProximal,36.31,76.53,107.61,-0.03,-0.02,0.01,-1.00
25.84,R_MiddleProximal,38.47,76.84,107.62,-0.08,-0.03,0.05,-1.00
25.84,R_ThumbProximal,33.30,76.62,103.66,0.06,0.22,-0.40,-0.89
25.84,R_RingProximal,40.32,76.35,106.93,-0.02,-0.04,0.09,-0.99
25.84,L_LittleProximal,-0.36,54.73,97.51,0.58,0.26,-0.01,0.77
25.84,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
25.86,Main Camera,3.04,117.87,86.94,0.00,-0.06,0.00,1.00
25.86,R_Palm,38.35,76.85,104.56,-0.03,0.00,0.04,-1.00
25.86,R_ThumbTip,30.13,76.47,108.31,0.17,0.33,-0.44,-0.82
25.86,R_IndexTip,36.90,75.84,115.82,-0.04,-0.06,0.05,-1.00
25.86,R_MiddleTip,39.08,75.45,116.82,-0.05,-0.04,0.09,-0.99
25.86,R_RingTip,40.86,75.47,115.65,-0.08,-0.01,0.13,-0.99
25.86,R_LittleTip,43.14,75.39,112.84,-0.05,-0.06,0.20,-0.98
25.86,R_ThumbDistal,31.84,76.38,106.62,0.17,0.33,-0.44,-0.82
25.86,R_IndexIntermediate,36.47,76.28,111.31,-0.07,-0.03,0.03,-1.00
25.86,R_MiddleIntermediate,38.68,76.16,111.75,-0.10,-0.03,0.06,-0.99
25.86,R_RingIntermediate,40.64,76.17,110.72,-0.08,-0.04,0.12,-0.99
25.86,R_LittleIntermediate,42.56,75.86,108.78,-0.06,-0.11,0.20,-0.97
