Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
151.24,Main Camera,0.10,118.06,84.71,-0.02,0.02,-0.01,-1.00
151.24,R_Palm,32.85,77.12,104.81,-0.06,0.06,-0.13,0.99
151.24,R_ThumbTip,26.38,77.02,110.65,-0.12,-0.17,0.50,0.84
151.24,R_IndexTip,31.24,74.99,115.95,0.22,0.04,-0.14,0.96
151.24,R_MiddleTip,34.13,74.72,116.69,0.16,0.07,-0.21,0.96
151.24,R_RingTip,36.05,74.42,115.44,0.18,0.05,-0.26,0.95
151.24,R_LittleTip,37.73,73.69,112.59,0.15,0.09,-0.34,0.92
151.24,R_ThumbDistal,27.43,76.85,108.45,-0.12,-0.17,0.50,0.84
151.24,R_IndexIntermediate,31.23,76.88,111.72,0.21,0.01,-0.13,0.97
151.24,R_MiddleIntermediate,33.77,76.54,111.83,0.19,0.06,-0.17,0.97
151.24,R_RingIntermediate,35.69,76.02,110.66,0.14,0.09,-0.24,0.96
151.24,R_LittleIntermediate,37.18,75.07,108.68,0.15,0.15,-0.33,0.92
151.24,R_IndexProximal,31.24,77.82,108.08,0.12,0.01,-0.10,0.99
151.24,R_MiddleProximal,33.42,77.68,107.74,0.13,0.06,-0.16,0.98
151.24,R_ThumbProximal,28.02,76.73,105.15,-0.05,-0.07,0.43,0.90
151.24,R_RingProximal,35.04,76.71,106.91,0.07,0.10,-0.20,0.97
151.24,L_LittleProximal,-4.68,57.53,96.43,-0.69,-0.29,-0.17,-0.64
151.24,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
151.25,Main Camera,0.10,118.06,84.71,-0.02,0.02,-0.01,-1.00
151.25,R_Palm,32.85,77.10,104.83,-0.06,0.06,-0.13,0.99
151.25,R_ThumbTip,26.39,77.01,110.67,-0.12,-0.17,0.50,0.84
151.25,R_IndexTip,31.24,74.97,115.96,0.22,0.04,-0.14,0.96
151.25,R_MiddleTip,34.13,74.71,116.71,0.16,0.07,-0.21,0.96
151.25,R_RingTip,36.06,74.40,115.45,0.18,0.05,-0.26,0.95
151.25,R_LittleTip,37.73,73.66,112.61,0.15,0.09,-0.34,0.92
151.25,R_ThumbDistal,27.43,76.83,108.47,-0.12,-0.17,0.50,0.84
151.25,R_IndexIntermediate,31.24,76.86,111.74,0.21,0.01,-0.13,0.97
151.25,R_MiddleIntermediate,33.77,76.52,111.85,0.19,0.06,-0.17,0.97
151.25,R_RingIntermediate,35.70,76.00,110.68,0.14,0.09,-0.24,0.96
151.25,R_LittleIntermediate,37.18,75.05,108.70,0.15,0.15,-0.33,0.92
151.25,R_IndexProximal,31.24,77.80,108.10,0.12,0.01,-0.10,0.99
151.25,R_MiddleProximal,33.43,77.66,107.76,0.13,0.06,-0.16,0.98
151.25,R_ThumbProximal,28.03,76.72,105.17,-0.05,-0.07,0.43,0.90
151.25,R_RingProximal,35.05,76.69,106.93,0.07,0.10,-0.20,0.97
151.25,L_LittleProximal,-4.70,57.54,96.42,-0.69,-0.29,-0.17,-0.64
151.25,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
151.27,Main Camera,0.10,118.06,84.70,-0.02,0.02,-0.01,-1.00
151.27,R_Palm,32.87,77.09,104.83,-0.06,0.06,-0.13,0.99
151.27,R_ThumbTip,26.40,77.01,110.66,-0.12,-0.17,0.50,0.84
151.27,R_IndexTip,31.26,74.97,115.97,0.22,0.04,-0.14,0.96
151.27,R_MiddleTip,34.15,74.70,116.71,0.16,0.07,-0.21,0.96
151.27,R_RingTip,36.07,74.39,115.45,0.18,0.05,-0.26,0.95
151.27,R_LittleTip,37.75,73.66,112.61,0.15,0.09,-0.34,0.92
151.27,R_ThumbDistal,27.45,76.83,108.47,-0.12,-0.17,0.50,0.84
151.27,R_IndexIntermediate,31.25,76.86,111.74,0.21,0.01,-0.13,0.97
151.27,R_MiddleIntermediate,33.79,76.52,111.85,0.19,0.06,-0.17,0.97
151.27,R_RingIntermediate,35.71,75.99,110.68,0.14,0.09,-0.24,0.96
151.27,R_LittleIntermediate,37.19,75.04,108.70,0.15,0.14,-0.33,0.92
151.27,R_IndexProximal,31.26,77.79,108.10,0.12,0.01,-0.10,0.99
151.27,R_MiddleProximal,33.44,77.65,107.76,0.13,0.06,-0.16,0.98
151.27,R_ThumbProximal,28.04,76.71,105.17,-0.05,-0.07,0.43,0.90
151.27,R_RingProximal,35.06,76.68,106.93,0.07,0.10,-0.20,0.97
151.27,L_LittleProximal,-4.68,57.54,96.42,-0.69,-0.29,-0.17,-0.64
151.27,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
151.29,Main Camera,0.11,118.06,84.70,-0.02,0.02,-0.01,-1.00
151.29,R_Palm,32.87,77.10,104.82,-0.06,0.06,-0.13,0.99
151.29,R_ThumbTip,26.40,77.03,110.65,-0.12,-0.17,0.50,0.84
151.29,R_IndexTip,31.26,74.99,115.96,0.22,0.04,-0.14,0.96
151.29,R_MiddleTip,34.15,74.72,116.70,0.16,0.07,-0.21,0.96
151.29,R_RingTip,36.08,74.41,115.45,0.18,0.05,-0.26,0.95
151.29,R_LittleTip,37.74,73.67,112.60,0.15,0.09,-0.34,0.92
151.29,R_ThumbDistal,27.44,76.85,108.45,-0.12,-0.17,0.50,0.84
151.29,R_IndexIntermediate,31.25,76.87,111.73,0.21,0.01,-0.13,0.97
151.29,R_MiddleIntermediate,33.79,76.53,111.84,0.19,0.06,-0.17,0.97
151.29,R_RingIntermediate,35.71,76.01,110.67,0.14,0.09,-0.24,0.96
151.29,R_LittleIntermediate,37.19,75.05,108.69,0.15,0.14,-0.33,0.92
151.29,R_IndexProximal,31.26,77.80,108.09,0.12,0.01,-0.10,0.99
151.29,R_MiddleProximal,33.44,77.66,107.75,0.13,0.06,-0.16,0.98
151.29,R_ThumbProximal,28.04,76.73,105.16,-0.05,-0.07,0.43,0.90
151.29,R_RingProximal,35.06,76.69,106.92,0.07,0.10,-0.20,0.97
151.29,L_LittleProximal,-4.68,57.55,96.42,-0.69,-0.29,-0.17,-0.64
151.29,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
151.30,Main Camera,0.11,118.06,84.70,-0.02,0.02,-0.01,-1.00
151.30,R_Palm,32.84,77.11,104.80,-0.06,0.06,-0.13,0.99
151.30,R_ThumbTip,26.36,77.04,110.63,-0.12,-0.17,0.50,0.84
151.30,R_IndexTip,31.23,75.00,115.95,0.22,0.04,-0.14,0.96
151.30,R_MiddleTip,34.11,74.73,116.69,0.16,0.07,-0.21,0.96
151.30,R_RingTip,36.04,74.42,115.43,0.18,0.05,-0.26,0.95
151.30,R_LittleTip,37.71,73.68,112.59,0.15,0.09,-0.34,0.92
151.30,R_ThumbDistal,27.41,76.86,108.43,-0.12,-0.17,0.50,0.84
151.30,R_IndexIntermediate,31.22,76.87,111.72,0.21,0.01,-0.13,0.97
151.30,R_MiddleIntermediate,33.75,76.53,111.82,0.19,0.06,-0.17,0.97
151.30,R_RingIntermediate,35.68,76.01,110.65,0.14,0.09,-0.24,0.96
151.30,R_LittleIntermediate,37.16,75.06,108.68,0.15,0.14,-0.33,0.92
151.30,R_IndexProximal,31.23,77.80,108.07,0.12,0.01,-0.10,0.99
151.30,R_MiddleProximal,33.41,77.67,107.73,0.13,0.06,-0.16,0.98
151.30,R_ThumbProximal,28.01,76.74,105.14,-0.06,-0.07,0.43,0.90
151.30,R_RingProximal,35.04,76.70,106.90,0.07,0.10,-0.20,0.97
151.30,L_LittleProximal,-4.69,57.54,96.45,-0.69,-0.29,-0.17,-0.64
151.30,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
151.32,Main Camera,0.11,118.07,84.71,-0.02,0.02,-0.01,-1.00
151.32,R_Palm,32.84,77.12,104.79,-0.06,0.06,-0.13,0.99
151.32,R_ThumbTip,26.35,77.05,110.61,-0.12,-0.17,0.50,0.84
151.32,R_IndexTip,31.22,75.01,115.93,0.22,0.04,-0.14,0.96
151.32,R_MiddleTip,34.11,74.74,116.68,0.16,0.07,-0.21,0.96
151.32,R_RingTip,36.04,74.44,115.43,0.18,0.05,-0.26,0.95
151.32,R_LittleTip,37.70,73.70,112.58,0.15,0.09,-0.34,0.92
151.32,R_ThumbDistal,27.40,76.87,108.42,-0.12,-0.17,0.50,0.84
151.32,R_IndexIntermediate,31.22,76.88,111.70,0.21,0.01,-0.13,0.97
151.32,R_MiddleIntermediate,33.75,76.55,111.81,0.19,0.06,-0.17,0.97
151.32,R_RingIntermediate,35.67,76.03,110.64,0.14,0.09,-0.24,0.96
151.32,R_LittleIntermediate,37.15,75.07,108.67,0.15,0.14,-0.33,0.92
151.32,R_IndexProximal,31.23,77.82,108.06,0.12,0.01,-0.10,0.99
151.32,R_MiddleProximal,33.41,77.68,107.72,0.13,0.06,-0.16,0.98
151.32,R_ThumbProximal,28.01,76.75,105.12,-0.06,-0.07,0.43,0.90
151.32,R_RingProximal,35.03,76.71,106.89,0.07,0.10,-0.20,0.97
151.32,L_LittleProximal,-4.69,57.54,96.45,-0.69,-0.30,-0.17,-0.64
151.32,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
151.33,Main Camera,0.10,118.07,84.72,-0.02,0.02,-0.01,-1.00
151.33,R_Palm,32.83,77.14,104.78,-0.06,0.06,-0.13,0.99
151.33,R_ThumbTip,26.35,77.07,110.60,-0.12,-0.17,0.50,0.84
151.33,R_IndexTip,31.21,75.03,115.92,0.22,0.04,-0.14,0.96
151.33,R_MiddleTip,34.10,74.76,116.67,0.16,0.07,-0.21,0.96
151.33,R_RingTip,36.03,74.46,115.42,0.18,0.05,-0.26,0.95
151.33,R_LittleTip,37.69,73.72,112.58,0.15,0.09,-0.34,0.93
151.33,R_ThumbDistal,27.40,76.88,108.40,-0.12,-0.17,0.50,0.84
151.33,R_IndexIntermediate,31.21,76.90,111.69,0.21,0.01,-0.13,0.97
151.33,R_MiddleIntermediate,33.74,76.56,111.80,0.19,0.06,-0.17,0.97
151.33,R_RingIntermediate,35.67,76.04,110.63,0.14,0.09,-0.24,0.96
151.33,R_LittleIntermediate,37.15,75.09,108.66,0.15,0.14,-0.33,0.92
151.33,R_IndexProximal,31.22,77.83,108.05,0.12,0.01,-0.10,0.99
151.33,R_MiddleProximal,33.41,77.69,107.71,0.13,0.06,-0.16,0.98
151.33,R_ThumbProximal,28.00,76.76,105.11,-0.06,-0.07,0.43,0.90
151.33,R_RingProximal,35.03,76.73,106.88,0.07,0.10,-0.20,0.97
151.33,L_LittleProximal,-4.68,57.53,96.44,-0.69,-0.30,-0.17,-0.64
151.33,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
151.35,Main Camera,0.10,118.07,84.72,-0.02,0.02,-0.01,-1.00
151.35,R_Palm,32.82,77.13,104.76,-0.06,0.06,-0.13,0.99
151.35,R_ThumbTip,26.34,77.06,110.58,-0.12,-0.17,0.50,0.84
151.35,R_IndexTip,31.20,75.02,115.90,0.22,0.04,-0.14,0.96
151.35,R_MiddleTip,34.08,74.75,116.65,0.16,0.07,-0.21,0.96
