Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
396.76,Main Camera,-0.27,117.96,86.35,-0.01,0.03,-0.04,-1.00
396.76,R_Palm,38.83,77.44,105.62,0.04,-0.05,0.12,-0.99
396.76,R_ThumbTip,31.84,77.47,111.05,0.18,0.22,-0.49,-0.83
396.76,R_IndexTip,37.32,75.30,116.83,-0.15,-0.05,0.12,-0.98
396.76,R_MiddleTip,39.52,75.05,117.62,-0.12,-0.04,0.18,-0.97
396.76,R_RingTip,41.58,75.36,116.52,-0.11,-0.03,0.22,-0.97
396.76,R_LittleTip,43.24,75.09,113.74,-0.06,-0.05,0.29,-0.95
396.76,R_ThumbDistal,33.20,77.17,109.04,0.18,0.22,-0.49,-0.83
396.76,R_IndexIntermediate,37.11,76.75,112.45,-0.17,-0.02,0.11,-0.98
396.76,R_MiddleIntermediate,39.32,76.49,112.63,-0.17,-0.03,0.15,-0.98
396.76,R_RingIntermediate,41.30,76.31,111.56,-0.10,-0.06,0.21,-0.97
396.76,R_LittleIntermediate,42.79,75.65,109.62,-0.07,-0.09,0.29,-0.95
396.76,R_IndexProximal,37.12,77.93,108.88,-0.16,-0.01,0.09,-0.98
396.76,R_MiddleProximal,39.31,77.87,108.60,-0.16,-0.02,0.13,-0.98
396.76,R_ThumbProximal,34.02,77.04,105.79,0.07,0.10,-0.43,-0.90
396.76,R_RingProximal,40.98,76.98,107.77,-0.08,-0.06,0.18,-0.98
396.76,L_LittleProximal,-14.70,62.66,97.26,0.13,-0.10,0.36,0.92
396.76,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
396.77,Main Camera,-0.31,117.95,86.34,-0.01,0.03,-0.04,-1.00
396.77,R_Palm,38.85,77.42,105.62,0.04,-0.05,0.12,-0.99
396.77,R_ThumbTip,31.83,77.39,111.05,0.17,0.22,-0.49,-0.83
396.77,R_IndexTip,37.35,75.28,116.83,-0.15,-0.05,0.13,-0.98
396.77,R_MiddleTip,39.55,75.03,117.61,-0.12,-0.04,0.18,-0.97
396.77,R_RingTip,41.60,75.33,116.51,-0.11,-0.03,0.22,-0.97
396.77,R_LittleTip,43.26,75.06,113.73,-0.06,-0.05,0.29,-0.95
396.77,R_ThumbDistal,33.19,77.11,109.04,0.17,0.22,-0.49,-0.83
