Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
157.19,Main Camera,-0.15,118.21,84.53,-0.01,0.02,-0.01,-1.00
157.19,R_Palm,35.32,76.84,103.99,-0.02,0.07,-0.08,0.99
157.19,R_ThumbTip,28.49,76.90,109.55,-0.16,-0.20,0.49,0.84
157.19,R_IndexTip,33.86,75.09,115.46,0.13,0.04,-0.09,0.99
157.19,R_MiddleTip,36.41,74.54,116.04,0.12,0.05,-0.15,0.98
157.19,R_RingTip,38.68,74.59,114.72,0.13,0.05,-0.19,0.97
157.19,R_LittleTip,40.65,73.87,111.67,0.12,0.11,-0.28,0.95
157.19,R_ThumbDistal,29.74,76.62,107.47,-0.16,-0.20,0.49,0.84
157.19,R_IndexIntermediate,33.68,76.31,111.00,0.15,0.01,-0.08,0.99
157.19,R_MiddleIntermediate,36.07,76.01,111.07,0.17,0.04,-0.11,0.98
157.19,R_RingIntermediate,38.15,75.79,109.85,0.12,0.08,-0.18,0.97
157.19,R_LittleIntermediate,39.83,75.06,107.75,0.13,0.16,-0.27,0.94
157.19,R_IndexProximal,33.69,77.09,107.32,0.10,0.01,-0.05,0.99
157.19,R_MiddleProximal,35.87,77.18,106.98,0.14,0.04,-0.10,0.98
157.19,R_ThumbProximal,30.47,76.48,104.20,-0.07,-0.09,0.42,0.90
157.19,R_RingProximal,37.57,76.44,106.08,0.07,0.09,-0.15,0.98
157.19,L_LittleProximal,-4.61,55.69,96.28,-0.72,-0.26,-0.17,-0.62
157.19,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
157.20,Main Camera,-0.15,118.20,84.52,-0.01,0.02,-0.01,-1.00
157.20,R_Palm,35.32,76.84,104.00,-0.02,0.07,-0.08,0.99
157.20,R_ThumbTip,28.49,76.90,109.56,-0.16,-0.20,0.49,0.83
157.20,R_IndexTip,33.85,75.08,115.47,0.13,0.04,-0.09,0.99
157.20,R_MiddleTip,36.40,74.53,116.05,0.12,0.05,-0.15,0.98
157.20,R_RingTip,38.67,74.58,114.73,0.13,0.05,-0.19,0.97
157.20,R_LittleTip,40.65,73.86,111.68,0.12,0.11,-0.28,0.95
157.20,R_ThumbDistal,29.74,76.62,107.47,-0.16,-0.20,0.49,0.83
157.20,R_IndexIntermediate,33.68,76.31,111.01,0.15,0.01,-0.08,0.99
157.20,R_MiddleIntermediate,36.07,76.01,111.08,0.17,0.04,-0.11,0.98
157.20,R_RingIntermediate,38.15,75.79,109.86,0.12,0.08,-0.18,0.97
