Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
40.25,Main Camera,0.12,118.21,85.03,0.00,-0.01,-0.01,-1.00
40.25,R_Palm,37.85,76.64,105.49,-0.01,0.02,-0.07,1.00
40.25,R_ThumbTip,31.81,76.83,110.85,-0.11,-0.16,0.49,0.85
40.25,R_IndexTip,36.20,75.28,116.86,0.08,0.05,-0.08,0.99
40.25,R_MiddleTip,38.14,75.22,117.81,0.05,0.02,-0.13,0.99
40.25,R_RingTip,39.95,75.51,116.67,0.06,-0.01,-0.17,0.98
40.25,R_LittleTip,41.41,75.24,113.89,0.03,-0.03,-0.24,0.97
40.25,R_ThumbDistal,32.77,76.62,108.62,-0.11,-0.16,0.49,0.85
40.25,R_IndexIntermediate,35.92,76.07,112.32,0.11,0.02,-0.07,0.99
40.25,R_MiddleIntermediate,38.03,76.02,112.68,0.12,0.01,-0.09,0.99
40.25,R_RingIntermediate,39.96,75.96,111.64,0.06,0.01,-0.16,0.98
40.25,R_LittleIntermediate,41.49,75.46,109.72,0.05,0.02,-0.24,0.97
40.25,R_IndexProximal,35.87,76.79,108.63,0.09,0.01,-0.04,0.99
40.25,R_MiddleProximal,38.08,76.93,108.52,0.11,0.00,-0.08,0.99
40.25,R_ThumbProximal,33.28,76.47,105.31,-0.05,-0.06,0.42,0.90
40.25,R_RingProximal,39.88,76.25,107.78,0.04,0.02,-0.13,0.99
40.25,L_LittleProximal,-5.61,57.28,95.36,-0.72,-0.24,-0.17,-0.62
40.25,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
40.27,Main Camera,0.12,118.21,85.04,0.00,-0.01,-0.01,-1.00
40.27,R_Palm,37.83,76.67,105.47,-0.01,0.02,-0.07,1.00
40.27,R_ThumbTip,31.79,76.87,110.83,-0.11,-0.16,0.49,0.85
40.27,R_IndexTip,36.18,75.32,116.85,0.08,0.05,-0.08,0.99
40.27,R_MiddleTip,38.12,75.25,117.79,0.05,0.02,-0.13,0.99
40.27,R_RingTip,39.93,75.55,116.65,0.05,-0.01,-0.17,0.98
40.27,R_LittleTip,41.39,75.27,113.87,0.03,-0.03,-0.24,0.97
40.27,R_ThumbDistal,32.75,76.65,108.60,-0.11,-0.16,0.49,0.85
40.27,R_IndexIntermediate,35.90,76.11,112.30,0.11,0.02,-0.07,0.99
40.27,R_MiddleIntermediate,38.01,76.06,112.66,0.11,0.01,-0.09,0.99
40.27,R_RingIntermediate,39.94,75.99,111.62,0.06,0.01,-0.16,0.98
40.27,R_LittleIntermediate,41.47,75.49,109.70,0.05,0.02,-0.24,0.97
40.27,R_IndexProximal,35.85,76.82,108.61,0.09,0.01,-0.04,0.99
40.27,R_MiddleProximal,38.06,76.96,108.50,0.11,0.00,-0.08,0.99
40.27,R_ThumbProximal,33.26,76.50,105.29,-0.05,-0.06,0.42,0.90
40.27,R_RingProximal,39.86,76.28,107.76,0.03,0.01,-0.13,0.99
