Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
169.09,Main Camera,-4.57,117.98,86.00,-0.08,-0.04,0.00,-1.00
169.09,R_Palm,36.78,75.95,103.84,0.03,0.13,-0.01,0.99
169.09,R_ThumbTip,31.37,74.60,109.70,-0.04,-0.17,0.52,0.83
169.09,R_IndexTip,37.44,74.75,114.78,0.04,0.14,-0.02,0.99
169.09,R_MiddleTip,39.45,75.31,115.29,-0.01,0.11,-0.06,0.99
169.09,R_RingTip,41.13,75.40,113.68,0.01,0.10,-0.10,0.99
169.09,R_LittleTip,42.60,75.62,110.54,-0.06,0.13,-0.16,0.98
169.09,R_ThumbDistal,32.20,74.75,107.56,-0.04,-0.17,0.52,0.83
169.09,R_IndexIntermediate,36.35,75.19,110.58,0.08,0.11,-0.01,0.99
169.09,R_MiddleIntermediate,38.38,75.52,110.52,0.06,0.10,-0.03,0.99
169.09,R_RingIntermediate,40.05,75.50,109.05,0.02,0.12,-0.10,0.99
169.09,R_LittleIntermediate,41.35,75.31,106.81,-0.04,0.18,-0.16,0.97
169.09,R_IndexProximal,35.63,75.58,107.13,0.06,0.10,0.02,0.99
169.09,R_MiddleProximal,37.61,76.00,106.61,0.06,0.10,-0.02,0.99
169.09,R_ThumbProximal,32.25,75.18,104.43,0.06,-0.04,0.47,0.88
169.09,R_RingProximal,39.17,75.64,105.51,0.01,0.12,-0.06,0.99
169.09,L_LittleProximal,2.74,64.11,93.51,-0.29,-0.56,-0.28,-0.73
169.09,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
169.10,Main Camera,-4.59,117.98,86.01,-0.08,-0.04,0.00,-1.00
169.10,R_Palm,36.78,75.97,103.81,0.03,0.13,-0.01,0.99
169.10,R_ThumbTip,31.37,74.62,109.67,-0.04,-0.17,0.52,0.83
169.10,R_IndexTip,37.45,74.73,114.74,0.04,0.14,-0.02,0.99
169.10,R_MiddleTip,39.44,75.32,115.27,-0.01,0.11,-0.06,0.99
169.10,R_RingTip,41.13,75.41,113.66,0.01,0.10,-0.10,0.99
169.10,R_LittleTip,42.58,75.65,110.52,-0.06,0.13,-0.16,0.98
