Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
185.16,Main Camera,-3.06,118.30,80.91,-0.05,-0.04,0.02,-1.00
185.16,R_Palm,35.88,75.91,103.58,0.03,0.17,-0.01,0.99
185.16,R_ThumbTip,31.35,74.57,109.93,-0.02,-0.12,0.54,0.83
185.16,R_IndexTip,37.07,74.65,114.51,0.04,0.16,-0.03,0.99
185.16,R_MiddleTip,39.22,74.79,114.78,0.01,0.14,-0.07,0.99
185.16,R_RingTip,40.95,75.27,113.04,0.01,0.13,-0.10,0.99
185.16,R_LittleTip,42.69,75.47,109.56,-0.05,0.21,-0.15,0.96
185.16,R_ThumbDistal,31.95,74.69,107.71,-0.02,-0.12,0.54,0.83
185.16,R_IndexIntermediate,35.83,75.12,110.36,0.08,0.13,-0.02,0.99
185.16,R_MiddleIntermediate,37.89,75.25,110.10,0.09,0.13,-0.04,0.99
185.16,R_RingIntermediate,39.53,75.44,108.50,0.02,0.16,-0.10,0.98
185.16,R_LittleIntermediate,40.87,75.28,106.06,-0.04,0.26,-0.16,0.95
185.16,R_IndexProximal,34.99,75.54,106.94,0.06,0.12,0.01,0.99
185.16,R_MiddleProximal,36.92,75.96,106.27,0.09,0.13,-0.03,0.99
185.16,R_ThumbProximal,31.60,75.06,104.59,0.08,0.02,0.48,0.88
185.16,R_RingProximal,38.39,75.61,105.04,0.01,0.16,-0.06,0.98
185.16,L_LittleProximal,11.88,65.49,91.95,-0.18,-0.52,0.00,-0.84
185.16,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
185.17,Main Camera,-3.09,118.31,80.97,-0.05,-0.04,0.02,-1.00
185.17,R_Palm,35.89,75.89,103.57,0.03,0.17,-0.01,0.99
185.17,R_ThumbTip,31.35,74.55,109.93,-0.02,-0.13,0.54,0.83
185.17,R_IndexTip,37.07,74.63,114.51,0.04,0.16,-0.03,0.99
185.17,R_MiddleTip,39.22,74.77,114.78,0.01,0.14,-0.07,0.99
185.17,R_RingTip,40.96,75.25,113.04,0.01,0.13,-0.10,0.99
185.17,R_LittleTip,42.69,75.45,109.56,-0.05,0.21,-0.15,0.96
185.17,R_ThumbDistal,31.95,74.67,107.71,-0.02,-0.13,0.54,0.83
185.17,R_IndexIntermediate,35.83,75.10,110.36,0.08,0.13,-0.02,0.99
185.17,R_MiddleIntermediate,37.89,75.23,110.09,0.09,0.13,-0.04,0.99
185.17,R_RingIntermediate,39.53,75.41,108.50,0.02,0.16,-0.10,0.98
185.17,R_LittleIntermediate,40.88,75.26,106.06,-0.04,0.25,-0.16,0.95
185.17,R_IndexProximal,34.99,75.52,106.94,0.06,0.12,0.01,0.99
185.17,R_MiddleProximal,36.92,75.94,106.26,0.09,0.13,-0.03,0.99
185.17,R_ThumbProximal,31.61,75.04,104.59,0.08,0.02,0.48,0.88
185.17,R_RingProximal,38.39,75.59,105.04,0.01,0.16,-0.06,0.99
185.17,L_LittleProximal,11.48,64.53,92.11,-0.21,-0.52,0.00,-0.83
185.17,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
185.18,Main Camera,-3.12,118.33,81.03,-0.05,-0.04,0.02,-1.00
185.18,R_Palm,35.91,75.88,103.62,0.03,0.17,-0.01,0.99
185.18,R_ThumbTip,31.36,74.55,109.98,-0.03,-0.13,0.54,0.83
185.18,R_IndexTip,37.09,74.64,114.56,0.04,0.16,-0.03,0.99
185.18,R_MiddleTip,39.23,74.78,114.83,0.01,0.14,-0.07,0.99
185.18,R_RingTip,40.97,75.25,113.09,0.01,0.13,-0.10,0.99
185.18,R_LittleTip,42.69,75.45,109.61,-0.05,0.21,-0.15,0.97
185.18,R_ThumbDistal,31.97,74.67,107.76,-0.03,-0.13,0.54,0.83
185.18,R_IndexIntermediate,35.85,75.10,110.41,0.08,0.13,-0.02,0.99
185.18,R_MiddleIntermediate,37.91,75.23,110.14,0.09,0.13,-0.04,0.99
185.18,R_RingIntermediate,39.55,75.41,108.55,0.02,0.16,-0.10,0.98
185.18,R_LittleIntermediate,40.89,75.25,106.11,-0.04,0.25,-0.16,0.95
185.18,R_IndexProximal,35.01,75.51,106.99,0.06,0.12,0.01,0.99
