Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
174.42,Main Camera,-4.31,118.11,84.14,-0.08,-0.03,0.00,-1.00
174.42,R_Palm,35.48,76.33,103.22,0.03,0.14,-0.03,0.99
174.42,R_ThumbTip,29.66,75.74,109.14,-0.12,-0.19,0.50,0.84
174.42,R_IndexTip,36.31,75.41,114.19,0.02,0.14,-0.04,0.99
174.42,R_MiddleTip,38.41,75.69,114.61,-0.02,0.12,-0.08,0.99
174.42,R_RingTip,39.98,75.85,112.98,0.00,0.10,-0.12,0.99
174.42,R_LittleTip,41.82,76.17,109.59,-0.09,0.17,-0.17,0.97
174.42,R_ThumbDistal,30.70,75.61,107.10,-0.12,-0.19,0.50,0.84
174.42,R_IndexIntermediate,35.17,75.70,110.00,0.06,0.12,-0.03,0.99
174.42,R_MiddleIntermediate,37.23,75.88,109.87,0.06,0.11,-0.06,0.99
174.42,R_RingIntermediate,38.83,75.86,108.36,0.01,0.13,-0.12,0.98
174.42,R_LittleIntermediate,40.26,75.70,106.01,-0.07,0.21,-0.17,0.96
174.42,R_IndexProximal,34.40,76.03,106.55,0.05,0.11,0.00,0.99
174.42,R_MiddleProximal,36.38,76.37,105.97,0.06,0.11,-0.04,0.99
174.42,R_ThumbProximal,30.99,75.74,103.95,0.00,-0.05,0.44,0.90
174.42,R_RingProximal,37.90,75.95,104.84,0.00,0.13,-0.08,0.99
174.42,L_LittleProximal,2.67,64.78,93.36,-0.38,-0.56,-0.27,-0.69
174.42,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
174.43,Main Camera,-4.33,118.12,84.17,-0.08,-0.03,0.00,-1.00
174.43,R_Palm,35.50,76.32,103.23,0.03,0.14,-0.03,0.99
174.43,R_ThumbTip,29.67,75.73,109.15,-0.12,-0.19,0.50,0.84
174.43,R_IndexTip,36.32,75.40,114.20,0.02,0.14,-0.04,0.99
174.43,R_MiddleTip,38.41,75.68,114.62,-0.02,0.12,-0.08,0.99
174.43,R_RingTip,39.99,75.84,112.99,0.00,0.10,-0.12,0.99
174.43,R_LittleTip,41.83,76.17,109.61,-0.09,0.17,-0.17,0.97
174.43,R_ThumbDistal,30.72,75.59,107.10,-0.12,-0.19,0.50,0.84
174.43,R_IndexIntermediate,35.18,75.69,110.00,0.06,0.12,-0.03,0.99
174.43,R_MiddleIntermediate,37.24,75.87,109.88,0.06,0.11,-0.05,0.99
174.43,R_RingIntermediate,38.84,75.86,108.38,0.01,0.13,-0.12,0.98
174.43,R_LittleIntermediate,40.27,75.70,106.02,-0.07,0.21,-0.17,0.96
174.43,R_IndexProximal,34.42,76.02,106.56,0.05,0.11,0.00,0.99
174.43,R_MiddleProximal,36.40,76.37,105.98,0.06,0.11,-0.04,0.99
174.43,R_ThumbProximal,31.01,75.72,103.96,0.00,-0.05,0.44,0.89
174.43,R_RingProximal,37.92,75.94,104.85,0.00,0.13,-0.08,0.99
174.43,L_LittleProximal,2.66,64.74,93.35,-0.38,-0.56,-0.27,-0.69
174.43,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
174.44,Main Camera,-4.35,118.13,84.19,-0.08,-0.03,0.00,-1.00
174.44,R_Palm,35.50,76.32,103.26,0.03,0.14,-0.03,0.99
174.44,R_ThumbTip,29.66,75.73,109.17,-0.12,-0.19,0.50,0.84
174.44,R_IndexTip,36.30,75.41,114.23,0.02,0.14,-0.04,0.99
174.44,R_MiddleTip,38.39,75.68,114.65,-0.02,0.12,-0.08,0.99
174.44,R_RingTip,39.97,75.85,113.03,0.00,0.10,-0.12,0.99
174.44,R_LittleTip,41.82,76.17,109.65,-0.09,0.17,-0.17,0.97
174.44,R_ThumbDistal,30.71,75.60,107.12,-0.12,-0.19,0.50,0.84
174.44,R_IndexIntermediate,35.16,75.69,110.03,0.06,0.11,-0.03,0.99
174.44,R_MiddleIntermediate,37.23,75.87,109.91,0.06,0.11,-0.05,0.99
174.44,R_RingIntermediate,38.83,75.86,108.41,0.01,0.13,-0.12,0.98
174.44,R_LittleIntermediate,40.27,75.70,106.05,-0.07,0.21,-0.17,0.96
174.44,R_IndexProximal,34.41,76.02,106.58,0.05,0.11,0.00,0.99
