Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
179.91,Main Camera,-5.07,117.78,84.44,-0.06,-0.04,0.00,-1.00
179.91,R_Palm,36.95,75.91,103.43,0.03,0.12,-0.01,0.99
179.91,R_ThumbTip,32.11,74.83,109.38,-0.02,-0.12,0.53,0.84
179.91,R_IndexTip,37.25,74.23,114.33,0.06,0.12,-0.02,0.99
179.91,R_MiddleTip,39.08,75.18,114.97,-0.01,0.08,-0.07,0.99
179.91,R_RingTip,41.03,75.55,113.36,-0.01,0.08,-0.10,0.99
179.91,R_LittleTip,42.30,75.63,110.32,-0.05,0.10,-0.16,0.98
179.91,R_ThumbDistal,32.69,74.96,107.16,-0.02,-0.12,0.53,0.84
179.91,R_IndexIntermediate,36.31,74.88,110.12,0.10,0.09,-0.01,0.99
179.91,R_MiddleIntermediate,38.26,75.41,110.15,0.07,0.08,-0.04,0.99
179.91,R_RingIntermediate,40.07,75.52,108.70,0.01,0.11,-0.10,0.99
179.91,R_LittleIntermediate,41.31,75.32,106.51,-0.04,0.14,-0.17,0.97
179.91,R_IndexProximal,35.72,75.53,106.69,0.09,0.08,0.01,0.99
179.91,R_MiddleProximal,37.71,75.95,106.21,0.07,0.07,-0.03,0.99
179.91,R_ThumbProximal,32.61,75.24,104.01,0.04,-0.01,0.46,0.88
179.91,R_RingProximal,39.29,75.60,105.14,0.00,0.11,-0.06,0.99
179.91,L_LittleProximal,1.96,63.82,92.87,-0.22,-0.53,-0.36,-0.74
179.91,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
179.92,Main Camera,-5.09,117.77,84.47,-0.06,-0.04,0.00,-1.00
179.92,R_Palm,36.91,75.90,103.34,0.03,0.12,-0.01,0.99
179.92,R_ThumbTip,32.07,74.85,109.30,-0.02,-0.12,0.53,0.84
179.92,R_IndexTip,37.24,74.21,114.24,0.06,0.12,-0.03,0.99
179.92,R_MiddleTip,39.06,75.16,114.87,-0.01,0.09,-0.07,0.99
179.92,R_RingTip,41.01,75.52,113.26,-0.01,0.08,-0.10,0.99
179.92,R_LittleTip,42.27,75.60,110.21,-0.05,0.10,-0.16,0.98
179.92,R_ThumbDistal,32.65,74.97,107.08,-0.02,-0.12,0.53,0.84
179.92,R_IndexIntermediate,36.29,74.87,110.04,0.10,0.09,-0.02,0.99
179.92,R_MiddleIntermediate,38.24,75.39,110.06,0.07,0.08,-0.04,0.99
179.92,R_RingIntermediate,40.04,75.50,108.61,0.01,0.11,-0.10,0.99
179.92,R_LittleIntermediate,41.28,75.29,106.41,-0.04,0.14,-0.17,0.97
179.92,R_IndexProximal,35.69,75.52,106.60,0.09,0.08,0.01,0.99
179.92,R_MiddleProximal,37.68,75.94,106.12,0.07,0.07,-0.03,0.99
179.92,R_ThumbProximal,32.57,75.25,103.93,0.04,-0.01,0.46,0.89
179.92,R_RingProximal,39.26,75.58,105.05,0.00,0.11,-0.06,0.99
179.92,L_LittleProximal,1.97,63.80,92.90,-0.22,-0.53,-0.36,-0.74
179.92,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
179.93,Main Camera,-5.10,117.75,84.50,-0.06,-0.04,0.00,-1.00
179.93,R_Palm,36.91,75.89,103.36,0.03,0.12,-0.01,0.99
179.93,R_ThumbTip,32.06,74.86,109.33,-0.02,-0.12,0.53,0.84
179.93,R_IndexTip,37.25,74.20,114.26,0.06,0.12,-0.03,0.99
179.93,R_MiddleTip,39.07,75.15,114.89,-0.01,0.09,-0.07,0.99
179.93,R_RingTip,41.03,75.51,113.28,-0.01,0.08,-0.10,0.99
179.93,R_LittleTip,42.28,75.59,110.23,-0.05,0.10,-0.17,0.98
179.93,R_ThumbDistal,32.65,74.98,107.11,-0.02,-0.12,0.53,0.84
179.93,R_IndexIntermediate,36.30,74.85,110.06,0.10,0.09,-0.02,0.99
179.93,R_MiddleIntermediate,38.25,75.38,110.08,0.07,0.08,-0.04,0.99
179.93,R_RingIntermediate,40.05,75.48,108.62,0.01,0.11,-0.10,0.99
179.93,R_LittleIntermediate,41.28,75.27,106.43,-0.04,0.14,-0.17,0.97
179.93,R_IndexProximal,35.70,75.51,106.63,0.09,0.08,0.01,0.99
179.93,R_MiddleProximal,37.69,75.92,106.14,0.07,0.07,-0.03,0.99
179.93,R_ThumbProximal,32.58,75.24,103.96,0.04,-0.01,0.46,0.89
179.93,R_RingProximal,39.27,75.56,105.07,0.00,0.11,-0.07,0.99
179.93,L_LittleProximal,1.97,63.79,92.92,-0.23,-0.53,-0.36,-0.73
179.93,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
179.94,Main Camera,-5.12,117.74,84.52,-0.06,-0.04,0.00,-1.00
179.94,R_Palm,36.90,75.90,103.35,0.03,0.12,-0.01,0.99
179.94,R_ThumbTip,32.04,74.89,109.33,-0.02,-0.12,0.53,0.84
179.94,R_IndexTip,37.23,74.21,114.25,0.06,0.12,-0.03,0.99
179.94,R_MiddleTip,39.05,75.17,114.89,-0.01,0.09,-0.07,0.99
179.94,R_RingTip,41.01,75.53,113.27,-0.01,0.08,-0.10,0.99
179.94,R_LittleTip,42.26,75.60,110.22,-0.05,0.10,-0.17,0.98
179.94,R_ThumbDistal,32.63,75.01,107.10,-0.02,-0.12,0.53,0.84
179.94,R_IndexIntermediate,36.28,74.87,110.05,0.10,0.09,-0.02,0.99
179.94,R_MiddleIntermediate,38.23,75.39,110.07,0.07,0.08,-0.04,0.99
179.94,R_RingIntermediate,40.04,75.49,108.62,0.01,0.11,-0.10,0.99
179.94,R_LittleIntermediate,41.27,75.28,106.42,-0.04,0.14,-0.17,0.97
179.94,R_IndexProximal,35.68,75.53,106.62,0.09,0.08,0.01,0.99
179.94,R_MiddleProximal,37.67,75.93,106.13,0.07,0.07,-0.03,0.99
179.94,R_ThumbProximal,32.56,75.27,103.95,0.04,-0.01,0.46,0.89
179.94,R_RingProximal,39.25,75.56,105.06,0.00,0.11,-0.07,0.99
179.94,L_LittleProximal,1.98,63.80,92.94,-0.23,-0.53,-0.36,-0.73
179.94,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
179.96,Main Camera,-5.13,117.72,84.55,-0.07,-0.04,0.00,-1.00
179.96,R_Palm,36.89,75.90,103.35,0.03,0.12,-0.02,0.99
179.96,R_ThumbTip,32.03,74.91,109.33,-0.02,-0.12,0.52,0.84
179.96,R_IndexTip,37.21,74.22,114.25,0.06,0.12,-0.03,0.99
179.96,R_MiddleTip,39.04,75.18,114.89,-0.01,0.09,-0.07,0.99
179.96,R_RingTip,41.00,75.54,113.27,-0.01,0.08,-0.10,0.99
179.96,R_LittleTip,42.24,75.60,110.22,-0.06,0.10,-0.17,0.98
179.96,R_ThumbDistal,32.61,75.03,107.10,-0.02,-0.12,0.52,0.84
179.96,R_IndexIntermediate,36.27,74.88,110.05,0.10,0.09,-0.02,0.99
179.96,R_MiddleIntermediate,38.22,75.40,110.07,0.06,0.08,-0.04,0.99
179.96,R_RingIntermediate,40.03,75.49,108.62,0.01,0.11,-0.10,0.99
179.96,R_LittleIntermediate,41.25,75.28,106.42,-0.04,0.14,-0.17,0.97
179.96,R_IndexProximal,35.67,75.54,106.62,0.09,0.08,0.01,0.99
179.96,R_MiddleProximal,37.66,75.93,106.13,0.06,0.07,-0.03,0.99
179.96,R_ThumbProximal,32.55,75.28,103.95,0.04,-0.01,0.46,0.89
179.96,R_RingProximal,39.24,75.56,105.06,0.00,0.11,-0.07,0.99
179.96,L_LittleProximal,1.93,63.86,92.97,-0.22,-0.53,-0.36,-0.73
179.96,BigCube,0.00,80.20,145.00,0.00,0.00,0.00,1.00
179.97,Main Camera,-5.14,117.72,84.58,-0.07,-0.04,0.00,-1.00
179.97,R_Palm,36.88,75.91,103.33,0.03,0.12,-0.02,0.99
179.97,R_ThumbTip,32.03,74.93,109.31,-0.02,-0.12,0.52,0.84
179.97,R_IndexTip,37.22,74.22,114.23,0.06,0.12,-0.03,0.99
179.97,R_MiddleTip,39.04,75.18,114.86,-0.01,0.09,-0.07,0.99
179.97,R_RingTip,41.00,75.53,113.25,-0.01,0.08,-0.11,0.99
179.97,R_LittleTip,42.24,75.60,110.19,-0.05,0.10,-0.17,0.98
179.97,R_ThumbDistal,32.61,75.04,107.09,-0.02,-0.12,0.52,0.84
179.97,R_IndexIntermediate,36.27,74.87,110.03,0.10,0.09,-0.02,0.99
179.97,R_MiddleIntermediate,38.21,75.39,110.05,0.06,0.08,-0.04,0.99
179.97,R_RingIntermediate,40.02,75.49,108.59,0.01,0.11,-0.10,0.99
179.97,R_LittleIntermediate,41.24,75.27,106.39,-0.04,0.14,-0.17,0.97
179.97,R_IndexProximal,35.67,75.54,106.60,0.09,0.08,0.01,0.99
