Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
365.28,Main Camera,-8.25,117.94,86.28,-0.07,-0.05,0.01,-1.00
365.28,R_Palm,37.30,76.00,104.44,0.06,0.17,-0.01,0.98
365.28,R_ThumbTip,32.70,73.81,110.61,0.04,-0.15,0.54,0.83
365.28,R_IndexTip,38.78,73.67,115.10,0.11,0.18,-0.03,0.98
365.28,R_MiddleTip,40.99,74.35,115.48,0.04,0.16,-0.07,0.98
365.28,R_RingTip,42.47,74.69,113.80,0.04,0.15,-0.10,0.98
365.28,R_LittleTip,43.46,74.20,110.62,0.05,0.17,-0.18,0.97
365.28,R_ThumbDistal,33.25,74.24,108.42,0.04,-0.15,0.54,0.83
365.28,R_IndexIntermediate,37.38,74.68,111.09,0.14,0.15,-0.02,0.98
365.28,R_MiddleIntermediate,39.46,75.02,110.88,0.10,0.15,-0.04,0.98
365.28,R_RingIntermediate,40.98,75.13,109.30,0.06,0.17,-0.10,0.98
365.28,R_LittleIntermediate,42.02,74.76,106.99,0.06,0.22,-0.18,0.96
365.28,R_IndexProximal,36.39,75.46,107.78,0.11,0.14,0.01,0.98
365.28,R_MiddleProximal,38.33,75.89,107.13,0.10,0.15,-0.03,0.98
365.28,R_ThumbProximal,32.95,74.97,105.36,0.13,-0.01,0.48,0.87
365.28,R_RingProximal,39.80,75.58,105.88,0.05,0.17,-0.07,0.98
365.28,L_LittleProximal,-3.35,61.06,93.45,-0.60,-0.44,-0.17,-0.64
365.28,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
365.29,Main Camera,-8.26,117.94,86.29,-0.07,-0.05,0.01,-1.00
365.29,R_Palm,37.30,76.00,104.45,0.06,0.17,-0.01,0.98
365.29,R_ThumbTip,32.71,73.80,110.64,0.04,-0.15,0.54,0.83
365.29,R_IndexTip,38.78,73.66,115.11,0.11,0.18,-0.03,0.98
365.29,R_MiddleTip,40.99,74.35,115.50,0.04,0.16,-0.07,0.98
365.29,R_RingTip,42.47,74.69,113.82,0.03,0.15,-0.10,0.98
365.29,R_LittleTip,43.45,74.19,110.64,0.05,0.17,-0.18,0.97
365.29,R_ThumbDistal,33.26,74.23,108.44,0.04,-0.15,0.54,0.83
365.29,R_IndexIntermediate,37.38,74.67,111.11,0.14,0.15,-0.02,0.98
365.29,R_MiddleIntermediate,39.47,75.02,110.90,0.10,0.15,-0.04,0.98
365.29,R_RingIntermediate,40.98,75.13,109.32,0.06,0.17,-0.10,0.98
365.29,R_LittleIntermediate,42.01,74.76,107.01,0.06,0.22,-0.18,0.96
365.29,R_IndexProximal,36.40,75.45,107.80,0.11,0.14,0.01,0.98
365.29,R_MiddleProximal,38.34,75.88,107.14,0.10,0.15,-0.03,0.98
365.29,R_ThumbProximal,32.95,74.96,105.38,0.13,-0.01,0.48,0.87
365.29,R_RingProximal,39.80,75.58,105.90,0.05,0.17,-0.07,0.98
365.29,L_LittleProximal,-3.35,61.05,93.44,-0.60,-0.44,-0.17,-0.64
365.29,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
365.30,Main Camera,-8.28,117.93,86.30,-0.07,-0.05,0.01,-1.00
365.30,R_Palm,37.30,75.99,104.47,0.06,0.17,-0.01,0.98
365.30,R_ThumbTip,32.71,73.80,110.66,0.04,-0.15,0.54,0.83
