Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
338.00,Main Camera,-5.97,118.26,83.96,-0.03,-0.05,0.02,-1.00
338.00,R_Palm,37.63,76.24,102.69,0.07,0.13,0.02,0.99
338.00,R_ThumbTip,32.03,74.10,108.32,-0.03,-0.22,0.53,0.82
338.00,R_IndexTip,37.63,73.12,113.36,0.18,0.10,-0.01,0.98
338.00,R_MiddleTip,40.32,74.11,113.95,0.09,0.11,-0.05,0.99
338.00,R_RingTip,42.27,74.26,112.27,0.11,0.12,-0.09,0.98
338.00,R_LittleTip,44.33,73.79,108.77,0.12,0.22,-0.16,0.96
338.00,R_ThumbDistal,33.00,74.44,106.26,-0.03,-0.22,0.53,0.82
338.00,R_IndexIntermediate,36.91,74.61,109.32,0.19,0.07,0.00,0.98
338.00,R_MiddleIntermediate,39.24,75.17,109.28,0.14,0.11,-0.01,0.98
338.00,R_RingIntermediate,41.05,75.25,107.78,0.11,0.15,-0.08,0.98
338.00,R_LittleIntermediate,42.64,74.92,105.40,0.13,0.27,-0.15,0.94
338.00,R_IndexProximal,36.49,75.52,105.92,0.13,0.06,0.03,0.99
338.00,R_MiddleProximal,38.45,76.07,105.45,0.11,0.10,0.00,0.99
338.00,R_ThumbProximal,33.18,75.12,103.18,0.08,-0.08,0.49,0.87
338.00,R_RingProximal,40.03,75.87,104.34,0.08,0.14,-0.04,0.99
338.00,L_LittleProximal,-2.79,60.87,92.26,-0.54,-0.40,-0.17,-0.71
338.00,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
338.01,Main Camera,-6.01,118.26,84.00,-0.03,-0.05,0.02,-1.00
338.01,R_Palm,37.64,76.21,102.67,0.07,0.13,0.02,0.99
338.01,R_ThumbTip,32.05,74.00,108.29,-0.03,-0.23,0.54,0.81
338.01,R_IndexTip,37.66,73.04,113.33,0.18,0.10,0.00,0.98
338.01,R_MiddleTip,40.33,74.06,113.93,0.09,0.11,-0.04,0.99
338.01,R_RingTip,42.28,74.23,112.26,0.11,0.12,-0.08,0.98
338.01,R_LittleTip,44.33,73.78,108.76,0.12,0.22,-0.15,0.96
338.01,R_ThumbDistal,33.02,74.36,106.23,-0.03,-0.23,0.54,0.81
338.01,R_IndexIntermediate,36.93,74.54,109.30,0.19,0.07,0.01,0.98
338.01,R_MiddleIntermediate,39.26,75.12,109.27,0.15,0.11,-0.01,0.98
338.01,R_RingIntermediate,41.06,75.23,107.77,0.11,0.15,-0.07,0.98
338.01,R_LittleIntermediate,42.65,74.92,105.38,0.14,0.27,-0.15,0.94
338.01,R_IndexProximal,36.50,75.47,105.90,0.14,0.06,0.04,0.99
338.01,R_MiddleProximal,38.46,76.03,105.44,0.12,0.10,0.00,0.99
338.01,R_ThumbProximal,33.20,75.06,103.16,0.08,-0.08,0.49,0.86
338.01,R_RingProximal,40.04,75.86,104.32,0.08,0.14,-0.03,0.99
338.01,L_LittleProximal,-2.76,60.88,92.26,-0.54,-0.40,-0.17,-0.71
338.01,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
338.02,Main Camera,-6.04,118.26,84.04,-0.03,-0.05,0.02,-1.00
338.02,R_Palm,37.64,76.20,102.65,0.08,0.13,0.02,0.99
338.02,R_ThumbTip,32.07,73.98,108.28,-0.03,-0.22,0.54,0.81
338.02,R_IndexTip,37.69,73.00,113.30,0.18,0.10,0.00,0.98
338.02,R_MiddleTip,40.35,74.03,113.90,0.09,0.12,-0.04,0.99
338.02,R_RingTip,42.30,74.22,112.23,0.11,0.12,-0.08,0.98
338.02,R_LittleTip,44.33,73.76,108.73,0.12,0.22,-0.15,0.96
338.02,R_ThumbDistal,33.03,74.34,106.22,-0.03,-0.22,0.54,0.81
338.02,R_IndexIntermediate,36.94,74.51,109.28,0.20,0.07,0.01,0.98
338.02,R_MiddleIntermediate,39.27,75.10,109.24,0.15,0.11,-0.01,0.98
338.02,R_RingIntermediate,41.07,75.21,107.74,0.11,0.15,-0.07,0.98
338.02,R_LittleIntermediate,42.65,74.90,105.35,0.14,0.27,-0.15,0.94
338.02,R_IndexProximal,36.50,75.45,105.88,0.14,0.06,0.04,0.99
338.02,R_MiddleProximal,38.46,76.01,105.42,0.12,0.10,0.00,0.99
338.02,R_ThumbProximal,33.20,75.04,103.14,0.08,-0.08,0.49,0.86
338.02,R_RingProximal,40.04,75.84,104.30,0.08,0.15,-0.03,0.99
338.02,L_LittleProximal,-2.77,60.87,92.27,-0.54,-0.40,-0.17,-0.72
338.02,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
338.04,Main Camera,-6.08,118.25,84.07,-0.02,-0.05,0.02,-1.00
338.04,R_Palm,37.63,76.20,102.66,0.08,0.13,0.02,0.99
338.04,R_ThumbTip,32.06,73.98,108.29,-0.03,-0.22,0.54,0.81
338.04,R_IndexTip,37.69,73.00,113.30,0.18,0.10,0.00,0.98
338.04,R_MiddleTip,40.35,74.04,113.91,0.09,0.12,-0.04,0.99
338.04,R_RingTip,42.30,74.23,112.23,0.11,0.12,-0.08,0.98
338.04,R_LittleTip,44.32,73.76,108.73,0.12,0.22,-0.15,0.96
338.04,R_ThumbDistal,33.03,74.35,106.23,-0.03,-0.22,0.54,0.81
338.04,R_IndexIntermediate,36.94,74.51,109.28,0.20,0.07,0.01,0.98
338.04,R_MiddleIntermediate,39.26,75.10,109.25,0.15,0.11,-0.01,0.98
338.04,R_RingIntermediate,41.06,75.22,107.74,0.11,0.15,-0.07,0.98
338.04,R_LittleIntermediate,42.63,74.91,105.36,0.14,0.27,-0.15,0.94
338.04,R_IndexProximal,36.49,75.46,105.89,0.14,0.06,0.04,0.99
338.04,R_MiddleProximal,38.45,76.02,105.42,0.12,0.10,0.00,0.99
338.04,R_ThumbProximal,33.19,75.04,103.15,0.08,-0.08,0.49,0.86
338.04,R_RingProximal,40.03,75.85,104.30,0.08,0.15,-0.03,0.99
338.04,L_LittleProximal,-2.77,60.87,92.29,-0.54,-0.41,-0.17,-0.71
338.04,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
338.05,Main Camera,-6.12,118.25,84.11,-0.02,-0.05,0.02,-1.00
338.05,R_Palm,37.62,76.21,102.67,0.08,0.13,0.02,0.99
338.05,R_ThumbTip,32.06,73.99,108.31,-0.02,-0.22,0.54,0.81
338.05,R_IndexTip,37.69,73.01,113.31,0.18,0.10,0.00,0.98
338.05,R_MiddleTip,40.34,74.06,113.91,0.09,0.12,-0.04,0.99
338.05,R_RingTip,42.29,74.25,112.24,0.11,0.12,-0.08,0.98
338.05,R_LittleTip,44.30,73.76,108.74,0.12,0.22,-0.15,0.96
338.05,R_ThumbDistal,33.02,74.35,106.24,-0.02,-0.22,0.54,0.81
338.05,R_IndexIntermediate,36.94,74.52,109.29,0.20,0.07,0.01,0.98
338.05,R_MiddleIntermediate,39.25,75.11,109.26,0.14,0.11,-0.01,0.98
338.05,R_RingIntermediate,41.05,75.22,107.75,0.11,0.15,-0.07,0.98
338.05,R_LittleIntermediate,42.62,74.91,105.36,0.14,0.27,-0.15,0.94
338.05,R_IndexProximal,36.48,75.46,105.90,0.14,0.06,0.04,0.99
338.05,R_MiddleProximal,38.44,76.02,105.43,0.12,0.10,0.00,0.99
338.05,R_ThumbProximal,33.18,75.05,103.17,0.08,-0.08,0.49,0.86
338.05,R_RingProximal,40.02,75.85,104.31,0.08,0.15,-0.03,0.99
338.05,L_LittleProximal,-2.77,60.87,92.30,-0.54,-0.41,-0.17,-0.71
338.05,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
