Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
327.79,Main Camera,-6.51,117.41,85.53,-0.07,-0.03,-0.01,-1.00
327.79,R_Palm,36.77,75.77,102.94,0.04,0.09,0.00,1.00
327.79,R_ThumbTip,31.67,73.97,108.53,-0.01,-0.18,0.54,0.82
327.79,R_IndexTip,36.28,73.12,113.65,0.17,0.08,-0.02,0.98
327.79,R_MiddleTip,38.63,74.11,114.42,0.06,0.08,-0.06,0.99
327.79,R_RingTip,40.53,74.87,113.02,0.03,0.07,-0.10,0.99
327.79,R_LittleTip,42.19,74.62,110.01,0.02,0.11,-0.16,0.98
327.79,R_ThumbDistal,32.43,74.27,106.38,-0.01,-0.18,0.54,0.82
327.79,R_IndexIntermediate,35.69,74.50,109.56,0.17,0.05,-0.01,0.98
327.79,R_MiddleIntermediate,37.89,74.93,109.65,0.12,0.07,-0.03,0.99
327.79,R_RingIntermediate,39.71,75.19,108.34,0.05,0.10,-0.09,0.99
327.79,R_LittleIntermediate,41.18,74.91,106.21,0.04,0.16,-0.16,0.97
327.79,R_IndexProximal,35.37,75.32,106.12,0.12,0.04,0.02,0.99
327.79,R_MiddleProximal,37.38,75.76,105.76,0.10,0.07,-0.02,0.99
327.79,R_ThumbProximal,32.41,74.84,103.27,0.08,-0.04,0.49,0.87
327.79,R_RingProximal,39.02,75.45,104.77,0.03,0.10,-0.06,0.99
327.79,L_LittleProximal,-3.31,61.92,92.69,-0.59,-0.43,-0.20,-0.65
327.79,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
327.80,Main Camera,-6.52,117.40,85.57,-0.06,-0.03,-0.01,-1.00
327.80,R_Palm,36.77,75.78,102.94,0.04,0.09,0.00,1.00
327.80,R_ThumbTip,31.65,73.98,108.51,-0.01,-0.18,0.54,0.82
327.80,R_IndexTip,36.27,73.10,113.64,0.17,0.08,-0.02,0.98
327.80,R_MiddleTip,38.60,74.12,114.42,0.06,0.08,-0.06,0.99
327.80,R_RingTip,40.50,74.89,113.02,0.03,0.07,-0.10,0.99
327.80,R_LittleTip,42.17,74.65,110.02,0.02,0.11,-0.16,0.98
327.80,R_ThumbDistal,32.42,74.28,106.37,-0.01,-0.18,0.54,0.82
327.80,R_IndexIntermediate,35.68,74.49,109.55,0.18,0.05,-0.01,0.98
327.80,R_MiddleIntermediate,37.87,74.93,109.65,0.12,0.07,-0.03,0.99
327.80,R_RingIntermediate,39.69,75.20,108.34,0.05,0.10,-0.09,0.99
327.80,R_LittleIntermediate,41.17,74.93,106.21,0.04,0.16,-0.16,0.97
327.80,R_IndexProximal,35.36,75.32,106.11,0.12,0.04,0.02,0.99
327.80,R_MiddleProximal,37.36,75.77,105.76,0.10,0.07,-0.02,0.99
327.80,R_ThumbProximal,32.41,74.83,103.25,0.08,-0.04,0.49,0.87
327.80,R_RingProximal,39.01,75.45,104.77,0.03,0.10,-0.06,0.99
327.80,L_LittleProximal,-3.32,61.91,92.71,-0.59,-0.43,-0.20,-0.65
327.80,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
327.82,Main Camera,-6.53,117.39,85.61,-0.06,-0.03,-0.01,-1.00
327.82,R_Palm,36.76,75.78,102.93,0.04,0.09,0.00,1.00
327.82,R_ThumbTip,31.63,73.98,108.50,-0.02,-0.18,0.55,0.82
327.82,R_IndexTip,36.25,73.07,113.62,0.17,0.08,-0.02,0.98
327.82,R_MiddleTip,38.57,74.12,114.42,0.06,0.08,-0.06,0.99
327.82,R_RingTip,40.46,74.91,113.03,0.03,0.07,-0.09,0.99
