Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
333.08,Main Camera,-6.53,117.42,82.36,-0.07,-0.04,0.00,-1.00
333.08,R_Palm,37.15,75.90,104.11,0.04,0.09,0.00,1.00
333.08,R_ThumbTip,31.87,74.09,109.63,-0.02,-0.19,0.54,0.82
333.08,R_IndexTip,36.66,73.87,114.98,0.11,0.08,-0.02,0.99
333.08,R_MiddleTip,39.04,74.70,115.67,0.03,0.08,-0.06,0.99
333.08,R_RingTip,40.90,74.98,114.19,0.04,0.07,-0.10,0.99
333.08,R_LittleTip,42.91,74.84,111.09,0.01,0.14,-0.16,0.98
333.08,R_ThumbDistal,32.72,74.39,107.51,-0.02,-0.19,0.54,0.82
333.08,R_IndexIntermediate,36.07,74.83,110.77,0.13,0.05,-0.01,0.99
333.08,R_MiddleIntermediate,38.28,75.25,110.86,0.09,0.07,-0.03,0.99
333.08,R_RingIntermediate,40.09,75.33,109.51,0.05,0.10,-0.09,0.99
333.08,R_LittleIntermediate,41.70,75.04,107.34,0.03,0.18,-0.16,0.97
333.08,R_IndexProximal,35.76,75.44,107.29,0.09,0.04,0.02,1.00
333.08,R_MiddleProximal,37.77,75.89,106.93,0.08,0.07,-0.02,0.99
333.08,R_ThumbProximal,32.72,74.98,104.41,0.08,-0.05,0.49,0.87
333.08,R_RingProximal,39.41,75.57,105.94,0.03,0.10,-0.06,0.99
333.08,L_LittleProximal,-3.55,61.53,92.04,-0.55,-0.41,-0.21,-0.69
333.08,CrackerBox,1.50,76.32,146.00,-0.50,-0.50,-0.50,0.50
333.10,Main Camera,-6.55,117.43,82.36,-0.07,-0.04,0.00,-1.00
333.10,R_Palm,37.16,75.87,104.07,0.04,0.09,0.00,0.99
333.10,R_ThumbTip,31.89,74.05,109.60,-0.02,-0.19,0.54,0.82
333.10,R_IndexTip,36.68,73.82,114.95,0.11,0.08,-0.02,0.99
333.10,R_MiddleTip,39.06,74.66,115.63,0.03,0.08,-0.06,0.99
333.10,R_RingTip,40.92,74.95,114.15,0.04,0.07,-0.10,0.99
333.10,R_LittleTip,42.93,74.82,111.04,0.01,0.14,-0.16,0.98
333.10,R_ThumbDistal,32.73,74.35,107.48,-0.02,-0.19,0.54,0.82
333.10,R_IndexIntermediate,36.09,74.80,110.74,0.13,0.05,-0.01,0.99
333.10,R_MiddleIntermediate,38.30,75.22,110.82,0.10,0.07,-0.03,0.99
