Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
430.80,Main Camera,-9.38,118.01,85.76,-0.04,-0.05,0.00,-1.00
430.80,R_Palm,37.51,76.07,103.91,0.07,0.15,0.00,0.99
430.80,R_ThumbTip,32.35,74.05,109.85,0.00,-0.18,0.53,0.83
430.80,R_IndexTip,38.48,74.23,114.75,0.06,0.15,-0.02,0.99
430.80,R_MiddleTip,40.67,74.78,115.18,0.01,0.13,-0.06,0.99
430.80,R_RingTip,42.29,75.03,113.51,0.02,0.12,-0.09,0.99
430.80,R_LittleTip,43.43,74.78,110.38,0.01,0.15,-0.16,0.98
430.80,R_ThumbDistal,33.10,74.42,107.70,0.00,-0.18,0.53,0.83
430.80,R_IndexIntermediate,37.29,74.84,110.61,0.09,0.12,-0.01,0.99
430.80,R_MiddleIntermediate,39.39,75.21,110.48,0.08,0.13,-0.03,0.99
430.80,R_RingIntermediate,40.99,75.30,108.94,0.04,0.15,-0.09,0.98
430.80,R_LittleIntermediate,42.12,75.02,106.67,0.03,0.20,-0.16,0.97
430.80,R_IndexProximal,36.48,75.43,107.20,0.09,0.11,0.02,0.99
430.80,R_MiddleProximal,38.44,75.90,106.64,0.08,0.12,-0.02,0.99
430.80,R_ThumbProximal,33.07,75.10,104.62,0.10,-0.05,0.47,0.87
430.80,R_RingProximal,39.96,75.64,105.46,0.04,0.15,-0.06,0.99
430.80,L_LittleProximal,-3.76,61.46,93.35,-0.61,-0.45,-0.18,-0.62
430.80,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
430.82,Main Camera,-9.40,118.01,85.79,-0.04,-0.05,0.00,-1.00
430.82,R_Palm,37.53,76.06,103.90,0.07,0.15,0.00,0.99
430.82,R_ThumbTip,32.38,74.04,109.85,0.01,-0.18,0.53,0.83
430.82,R_IndexTip,38.52,74.22,114.74,0.06,0.15,-0.02,0.99
430.82,R_MiddleTip,40.71,74.77,115.16,0.01,0.14,-0.06,0.99
430.82,R_RingTip,42.33,75.02,113.48,0.02,0.12,-0.09,0.99
430.82,R_LittleTip,43.45,74.77,110.36,0.01,0.15,-0.16,0.98
430.82,R_ThumbDistal,33.13,74.40,107.70,0.01,-0.18,0.53,0.83
430.82,R_IndexIntermediate,37.32,74.83,110.59,0.09,0.12,-0.01,0.99
430.82,R_MiddleIntermediate,39.42,75.20,110.46,0.08,0.13,-0.03,0.99
430.82,R_RingIntermediate,41.02,75.29,108.92,0.04,0.15,-0.09,0.98
430.82,R_LittleIntermediate,42.14,75.01,106.64,0.03,0.20,-0.16,0.97
