Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
425.28,Main Camera,-8.60,118.03,83.94,-0.03,-0.05,0.02,-1.00
425.28,R_Palm,36.13,76.34,102.30,0.02,0.08,-0.03,1.00
425.28,R_ThumbTip,29.82,75.36,107.58,-0.12,-0.23,0.51,0.82
425.28,R_IndexTip,35.85,74.06,113.02,0.14,0.10,-0.04,0.98
425.28,R_MiddleTip,38.16,74.80,113.77,0.06,0.09,-0.09,0.99
425.28,R_RingTip,39.88,74.95,112.38,0.07,0.08,-0.13,0.99
425.28,R_LittleTip,41.81,75.32,109.40,-0.02,0.13,-0.18,0.97
425.28,R_ThumbDistal,31.04,75.35,105.62,-0.12,-0.23,0.51,0.82
425.28,R_IndexIntermediate,35.11,75.31,108.90,0.16,0.07,-0.03,0.98
425.28,R_MiddleIntermediate,37.30,75.61,109.01,0.12,0.08,-0.06,0.99
425.28,R_RingIntermediate,39.06,75.60,107.74,0.08,0.10,-0.12,0.98
425.28,R_LittleIntermediate,40.60,75.37,105.65,0.00,0.18,-0.18,0.97
425.28,R_IndexProximal,34.67,76.09,105.47,0.11,0.06,0.00,0.99
425.28,R_MiddleProximal,36.70,76.43,105.13,0.10,0.08,-0.04,0.99
425.28,R_ThumbProximal,31.61,75.59,102.52,-0.01,-0.10,0.46,0.88
425.28,R_RingProximal,38.34,75.99,104.19,0.05,0.10,-0.08,0.99
425.28,L_LittleProximal,-3.79,60.82,92.95,-0.62,-0.44,-0.17,-0.63
425.28,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
425.29,Main Camera,-8.64,118.03,83.96,-0.03,-0.05,0.02,-1.00
425.29,R_Palm,36.23,76.33,102.43,0.02,0.08,-0.03,1.00
425.29,R_ThumbTip,29.91,75.35,107.68,-0.12,-0.23,0.51,0.82
425.29,R_IndexTip,35.92,74.06,113.15,0.14,0.10,-0.04,0.98
425.29,R_MiddleTip,38.22,74.80,113.90,0.06,0.09,-0.09,0.99
425.29,R_RingTip,39.94,74.96,112.53,0.07,0.07,-0.13,0.99
425.29,R_LittleTip,41.86,75.34,109.56,-0.02,0.13,-0.18,0.98
425.29,R_ThumbDistal,31.13,75.33,105.73,-0.12,-0.23,0.51,0.82
425.29,R_IndexIntermediate,35.20,75.31,109.03,0.16,0.07,-0.03,0.98
425.29,R_MiddleIntermediate,37.38,75.61,109.15,0.11,0.08,-0.05,0.99
425.29,R_RingIntermediate,39.14,75.60,107.88,0.07,0.10,-0.12,0.98
425.29,R_LittleIntermediate,40.68,75.37,105.79,0.00,0.17,-0.18,0.97
425.29,R_IndexProximal,34.75,76.08,105.60,0.11,0.06,0.00,0.99
425.29,R_MiddleProximal,36.79,76.42,105.26,0.10,0.08,-0.04,0.99
425.29,R_ThumbProximal,31.71,75.57,102.63,-0.01,-0.10,0.46,0.88
425.29,R_RingProximal,38.43,75.99,104.32,0.05,0.10,-0.08,0.99
425.29,L_LittleProximal,-3.73,60.99,92.95,-0.62,-0.44,-0.17,-0.63
425.29,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
425.30,Main Camera,-8.67,118.01,83.99,-0.03,-0.05,0.02,-1.00
425.30,R_Palm,36.27,76.25,102.48,0.02,0.08,-0.03,1.00
425.30,R_ThumbTip,29.94,75.28,107.73,-0.13,-0.23,0.51,0.82
425.30,R_IndexTip,35.95,74.00,113.20,0.14,0.10,-0.04,0.98
425.30,R_MiddleTip,38.23,74.76,113.97,0.05,0.09,-0.09,0.99
425.30,R_RingTip,39.96,74.91,112.60,0.07,0.07,-0.12,0.99
425.30,R_LittleTip,41.87,75.30,109.63,-0.02,0.12,-0.18,0.98
425.30,R_ThumbDistal,31.17,75.26,105.78,-0.13,-0.23,0.51,0.82
425.30,R_IndexIntermediate,35.23,75.24,109.09,0.16,0.07,-0.03,0.98
425.30,R_MiddleIntermediate,37.40,75.55,109.21,0.11,0.08,-0.05,0.99
425.30,R_RingIntermediate,39.17,75.54,107.94,0.07,0.10,-0.12,0.99
425.30,R_LittleIntermediate,40.71,75.32,105.87,0.00,0.17,-0.18,0.97
425.30,R_IndexProximal,34.79,76.01,105.65,0.11,0.06,0.00,0.99
425.30,R_MiddleProximal,36.82,76.36,105.32,0.10,0.08,-0.04,0.99
425.30,R_ThumbProximal,31.75,75.49,102.68,-0.01,-0.10,0.46,0.88
425.30,R_RingProximal,38.47,75.92,104.39,0.05,0.10,-0.08,0.99
425.30,L_LittleProximal,-3.65,61.11,92.90,-0.62,-0.44,-0.17,-0.63
425.30,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
425.31,Main Camera,-8.70,118.00,84.01,-0.03,-0.05,0.02,-1.00
425.31,R_Palm,36.30,76.21,102.51,0.02,0.08,-0.03,1.00
425.31,R_ThumbTip,29.98,75.22,107.75,-0.13,-0.23,0.51,0.82
425.31,R_IndexTip,35.98,73.96,113.23,0.14,0.10,-0.04,0.98
425.31,R_MiddleTip,38.25,74.72,114.00,0.05,0.09,-0.08,0.99
425.31,R_RingTip,39.98,74.87,112.63,0.07,0.07,-0.12,0.99
425.31,R_LittleTip,41.87,75.27,109.68,-0.02,0.12,-0.18,0.98
425.31,R_ThumbDistal,31.20,75.20,105.81,-0.13,-0.23,0.51,0.82
425.31,R_IndexIntermediate,35.26,75.20,109.11,0.16,0.07,-0.03,0.98
425.31,R_MiddleIntermediate,37.43,75.51,109.24,0.11,0.08,-0.05,0.99
425.31,R_RingIntermediate,39.19,75.50,107.98,0.07,0.10,-0.12,0.99
425.31,R_LittleIntermediate,40.73,75.29,105.90,0.00,0.17,-0.18,0.97
425.31,R_IndexProximal,34.82,75.96,105.68,0.11,0.06,0.00,0.99
425.31,R_MiddleProximal,36.85,76.31,105.35,0.10,0.08,-0.04,0.99
425.31,R_ThumbProximal,31.78,75.43,102.71,-0.01,-0.10,0.46,0.88
425.31,R_RingProximal,38.50,75.88,104.42,0.04,0.10,-0.08,0.99
425.31,L_LittleProximal,-3.65,61.12,92.82,-0.62,-0.44,-0.17,-0.63
425.31,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
425.33,Main Camera,-8.74,117.99,84.03,-0.03,-0.05,0.02,-1.00
425.33,R_Palm,36.35,76.15,102.52,0.02,0.08,-0.02,1.00
425.33,R_ThumbTip,30.03,75.15,107.75,-0.13,-0.23,0.52,0.81
425.33,R_IndexTip,36.02,73.90,113.24,0.14,0.10,-0.04,0.98
425.33,R_MiddleTip,38.28,74.69,114.02,0.05,0.09,-0.08,0.99
425.33,R_RingTip,40.01,74.83,112.64,0.07,0.07,-0.12,0.99
425.33,R_LittleTip,41.88,75.24,109.70,-0.02,0.12,-0.18,0.98
425.33,R_ThumbDistal,31.25,75.13,105.81,-0.13,-0.23,0.52,0.81
425.33,R_IndexIntermediate,35.30,75.14,109.12,0.16,0.07,-0.03,0.98
425.33,R_MiddleIntermediate,37.46,75.46,109.25,0.11,0.08,-0.05,0.99
425.33,R_RingIntermediate,39.23,75.45,107.99,0.07,0.10,-0.12,0.99
425.33,R_LittleIntermediate,40.77,75.25,105.92,0.00,0.17,-0.18,0.97
425.33,R_IndexProximal,34.86,75.89,105.68,0.11,0.06,0.00,0.99
425.33,R_MiddleProximal,36.90,76.25,105.36,0.10,0.08,-0.04,0.99
425.33,R_ThumbProximal,31.84,75.36,102.71,-0.01,-0.10,0.46,0.88
425.33,R_RingProximal,38.55,75.83,104.43,0.04,0.10,-0.08,0.99
425.33,L_LittleProximal,-3.65,61.14,92.82,-0.62,-0.44,-0.17,-0.63
425.33,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
425.34,Main Camera,-8.77,117.99,84.05,-0.03,-0.05,0.02,-1.00
425.34,R_Palm,36.41,76.08,102.53,0.02,0.08,-0.02,1.00
425.34,R_ThumbTip,30.08,75.07,107.75,-0.13,-0.23,0.52,0.81
425.34,R_IndexTip,36.07,73.85,113.25,0.14,0.10,-0.04,0.98
425.34,R_MiddleTip,38.32,74.67,114.04,0.05,0.09,-0.08,0.99
425.34,R_RingTip,40.04,74.80,112.66,0.07,0.07,-0.12,0.99
425.34,R_LittleTip,41.90,75.21,109.73,-0.02,0.12,-0.18,0.98
425.34,R_ThumbDistal,31.31,75.06,105.81,-0.13,-0.23,0.52,0.81
425.34,R_IndexIntermediate,35.35,75.08,109.13,0.16,0.07,-0.02,0.98
425.34,R_MiddleIntermediate,37.51,75.42,109.26,0.11,0.08,-0.05,0.99
425.34,R_RingIntermediate,39.27,75.40,108.01,0.07,0.10,-0.11,0.99
425.34,R_LittleIntermediate,40.80,75.21,105.94,0.00,0.16,-0.18,0.97
425.34,R_IndexProximal,34.91,75.83,105.69,0.11,0.06,0.00,0.99
425.34,R_MiddleProximal,36.94,76.19,105.37,0.09,0.07,-0.04,0.99
