Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
435.89,Main Camera,-8.06,117.69,83.45,-0.06,-0.05,0.00,-1.00
435.89,R_Palm,37.74,75.44,103.53,0.06,0.15,0.03,0.99
435.89,R_ThumbTip,32.60,73.32,109.51,0.00,-0.18,0.55,0.82
435.89,R_IndexTip,38.86,73.51,114.36,0.07,0.15,0.01,0.99
435.89,R_MiddleTip,40.89,74.07,114.79,0.02,0.13,-0.03,0.99
435.89,R_RingTip,42.58,74.62,113.12,0.02,0.12,-0.06,0.99
435.89,R_LittleTip,43.80,74.63,109.97,0.00,0.15,-0.12,0.98
435.89,R_ThumbDistal,33.36,73.66,107.36,0.00,-0.18,0.55,0.82
435.89,R_IndexIntermediate,37.62,74.15,110.23,0.10,0.13,0.02,0.99
435.89,R_MiddleIntermediate,39.64,74.59,110.09,0.10,0.12,0.00,0.99
435.89,R_RingIntermediate,41.27,74.87,108.55,0.04,0.15,-0.06,0.99
435.89,R_LittleIntermediate,42.44,74.72,106.27,0.01,0.20,-0.13,0.97
435.89,R_IndexProximal,36.78,74.75,106.84,0.09,0.12,0.05,0.99
435.89,R_MiddleProximal,38.70,75.35,106.26,0.10,0.12,0.01,0.99
435.89,R_ThumbProximal,33.32,74.28,104.27,0.09,-0.04,0.49,0.86
435.89,R_RingProximal,40.23,75.18,105.07,0.04,0.15,-0.02,0.99
435.89,L_LittleProximal,-3.66,61.30,93.38,-0.58,-0.47,-0.21,-0.63
435.89,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
435.90,Main Camera,-8.07,117.71,83.42,-0.06,-0.05,0.00,-1.00
435.90,R_Palm,37.74,75.45,103.54,0.06,0.15,0.03,0.99
435.90,R_ThumbTip,32.61,73.33,109.52,0.00,-0.18,0.55,0.82
435.90,R_IndexTip,38.86,73.51,114.36,0.07,0.15,0.01,0.99
435.90,R_MiddleTip,40.88,74.08,114.80,0.02,0.13,-0.03,0.99
435.90,R_RingTip,42.58,74.63,113.12,0.02,0.12,-0.06,0.99
435.90,R_LittleTip,43.79,74.63,109.98,0.00,0.15,-0.12,0.98
435.90,R_ThumbDistal,33.37,73.67,107.37,0.00,-0.18,0.55,0.82
435.90,R_IndexIntermediate,37.63,74.15,110.23,0.10,0.13,0.02,0.99
435.90,R_MiddleIntermediate,39.64,74.59,110.10,0.10,0.12,0.00,0.99
435.90,R_RingIntermediate,41.27,74.88,108.56,0.04,0.15,-0.06,0.99
435.90,R_LittleIntermediate,42.43,74.73,106.27,0.01,0.20,-0.13,0.97
435.90,R_IndexProximal,36.78,74.76,106.84,0.09,0.12,0.05,0.99
435.90,R_MiddleProximal,38.70,75.35,106.27,0.10,0.12,0.01,0.99
435.90,R_ThumbProximal,33.32,74.29,104.27,0.09,-0.04,0.49,0.86
435.90,R_RingProximal,40.23,75.19,105.08,0.04,0.15,-0.02,0.99
435.90,L_LittleProximal,-3.65,61.29,93.38,-0.58,-0.47,-0.21,-0.63
435.90,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
435.91,Main Camera,-8.07,117.72,83.39,-0.06,-0.05,0.00,-1.00
435.91,R_Palm,37.74,75.46,103.54,0.06,0.15,0.03,0.99
435.91,R_ThumbTip,32.61,73.34,109.52,0.00,-0.18,0.55,0.82
435.91,R_IndexTip,38.86,73.52,114.37,0.07,0.15,0.01,0.99
435.91,R_MiddleTip,40.88,74.09,114.81,0.02,0.13,-0.03,0.99
435.91,R_RingTip,42.58,74.64,113.13,0.02,0.12,-0.06,0.99
435.91,R_LittleTip,43.78,74.64,109.98,0.00,0.15,-0.12,0.98
435.91,R_ThumbDistal,33.37,73.68,107.38,0.00,-0.18,0.55,0.82
435.91,R_IndexIntermediate,37.63,74.16,110.24,0.10,0.13,0.02,0.99
435.91,R_MiddleIntermediate,39.63,74.60,110.10,0.10,0.12,0.00,0.99
435.91,R_RingIntermediate,41.28,74.89,108.56,0.04,0.15,-0.06,0.99
435.91,R_LittleIntermediate,42.43,74.73,106.28,0.01,0.20,-0.13,0.97
435.91,R_IndexProximal,36.79,74.77,106.85,0.09,0.12,0.05,0.99
435.91,R_MiddleProximal,38.71,75.36,106.27,0.10,0.12,0.01,0.99
435.91,R_ThumbProximal,33.33,74.30,104.28,0.09,-0.04,0.49,0.86
435.91,R_RingProximal,40.23,75.20,105.08,0.04,0.15,-0.02,0.99
435.91,L_LittleProximal,-3.64,61.27,93.37,-0.58,-0.47,-0.20,-0.63
435.91,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
435.93,Main Camera,-8.08,117.73,83.37,-0.06,-0.05,0.00,-1.00
