Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
420.33,Main Camera,-8.31,117.26,83.89,-0.07,-0.05,-0.01,-1.00
420.33,R_Palm,34.99,76.16,102.10,0.08,0.10,-0.05,0.99
420.33,R_ThumbTip,28.54,74.82,107.40,-0.08,-0.26,0.48,0.84
420.33,R_IndexTip,35.77,72.15,112.07,0.22,0.18,-0.06,0.96
420.33,R_MiddleTip,37.62,72.30,112.81,0.16,0.14,-0.11,0.97
420.33,R_RingTip,39.06,73.37,111.78,0.12,0.10,-0.14,0.98
420.33,R_LittleTip,40.41,73.70,108.89,0.08,0.13,-0.21,0.97
420.33,R_ThumbDistal,29.74,74.99,105.44,-0.08,-0.26,0.48,0.84
420.33,R_IndexIntermediate,34.51,74.10,108.38,0.25,0.14,-0.05,0.96
420.33,R_MiddleIntermediate,36.47,74.16,108.43,0.22,0.13,-0.08,0.96
420.33,R_RingIntermediate,38.07,74.60,107.29,0.14,0.13,-0.14,0.97
420.33,R_LittleIntermediate,39.37,74.52,105.18,0.10,0.18,-0.21,0.96
420.33,R_IndexProximal,33.63,75.61,105.29,0.22,0.13,-0.03,0.97
420.33,R_MiddleProximal,35.66,75.90,104.90,0.22,0.12,-0.07,0.97
420.33,R_ThumbProximal,30.39,75.52,102.39,0.03,-0.13,0.43,0.89
420.33,R_RingProximal,37.25,75.50,103.85,0.11,0.13,-0.10,0.98
420.33,L_LittleProximal,-4.05,61.59,92.68,-0.60,-0.43,-0.19,-0.64
420.33,Hammer,-2.50,80.12,142.80,0.39,-0.59,0.59,0.39
420.34,Main Camera,-8.34,117.26,83.90,-0.07,-0.05,-0.01,-1.00
420.34,R_Palm,35.00,76.15,102.10,0.08,0.10,-0.05,0.99
420.34,R_ThumbTip,28.56,74.82,107.41,-0.08,-0.26,0.48,0.84
420.34,R_IndexTip,35.88,72.06,112.00,0.23,0.18,-0.06,0.95
420.34,R_MiddleTip,37.71,72.14,112.72,0.17,0.15,-0.11,0.97
420.34,R_RingTip,39.09,73.18,111.70,0.14,0.11,-0.15,0.97
420.34,R_LittleTip,40.43,73.60,108.84,0.09,0.13,-0.21,0.96
420.34,R_ThumbDistal,29.76,74.99,105.45,-0.08,-0.26,0.48,0.84
420.34,R_IndexIntermediate,34.58,74.06,108.36,0.25,0.15,-0.05,0.95
420.34,R_MiddleIntermediate,36.53,74.09,108.39,0.23,0.13,-0.08,0.96
420.34,R_RingIntermediate,38.11,74.53,107.25,0.15,0.13,-0.14,0.97
