Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
148.71,Main Camera,-5.57,118.35,85.99,-0.06,-0.03,-0.01,-1.00
148.71,R_Palm,36.52,76.59,103.78,0.04,0.13,-0.03,0.99
148.71,R_ThumbTip,30.98,75.42,109.71,-0.05,-0.17,0.51,0.84
148.71,R_IndexTip,37.09,74.90,114.68,0.07,0.13,-0.04,0.99
148.71,R_MiddleTip,39.08,75.86,115.25,-0.01,0.10,-0.08,0.99
148.71,R_RingTip,40.91,75.96,113.58,0.00,0.10,-0.11,0.99
148.71,R_LittleTip,41.79,75.72,110.59,-0.02,0.10,-0.18,0.98
148.71,R_ThumbDistal,31.83,75.54,107.57,-0.05,-0.17,0.51,0.84
148.71,R_IndexIntermediate,36.06,75.56,110.50,0.10,0.10,-0.03,0.99
148.71,R_MiddleIntermediate,38.08,76.07,110.46,0.06,0.10,-0.05,0.99
148.71,R_RingIntermediate,39.80,76.01,108.96,0.02,0.13,-0.11,0.99
148.71,R_LittleIntermediate,40.84,75.66,106.77,-0.01,0.14,-0.19,0.97
148.71,R_IndexProximal,35.39,76.20,107.08,0.09,0.10,0.00,0.99
148.71,R_MiddleProximal,37.38,76.56,106.54,0.06,0.09,-0.04,0.99
148.71,R_ThumbProximal,32.04,75.88,104.43,0.03,-0.05,0.45,0.89
148.71,R_RingProximal,38.92,76.17,105.42,0.01,0.12,-0.08,0.99
148.71,L_LittleProximal,2.69,64.03,93.66,-0.30,-0.56,-0.27,-0.72
148.71,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
148.72,Main Camera,-5.59,118.34,86.00,-0.06,-0.03,-0.01,-1.00
148.72,R_Palm,36.53,76.60,103.77,0.04,0.13,-0.03,0.99
148.72,R_ThumbTip,30.99,75.43,109.70,-0.05,-0.17,0.51,0.84
148.72,R_IndexTip,37.09,74.89,114.67,0.07,0.13,-0.04,0.99
148.72,R_MiddleTip,39.08,75.85,115.24,-0.01,0.10,-0.08,0.99
148.72,R_RingTip,40.91,75.96,113.57,0.00,0.10,-0.12,0.99
148.72,R_LittleTip,41.78,75.75,110.58,-0.02,0.09,-0.18,0.98
148.72,R_ThumbDistal,31.83,75.55,107.56,-0.05,-0.17,0.51,0.84
148.72,R_IndexIntermediate,36.06,75.56,110.49,0.10,0.10,-0.03,0.99
148.72,R_MiddleIntermediate,38.08,76.07,110.45,0.06,0.10,-0.05,0.99
148.72,R_RingIntermediate,39.80,76.01,108.94,0.02,0.13,-0.11,0.99
148.72,R_LittleIntermediate,40.84,75.68,106.75,-0.01,0.14,-0.19,0.97
148.72,R_IndexProximal,35.39,76.21,107.07,0.09,0.10,0.00,0.99
148.72,R_MiddleProximal,37.38,76.57,106.53,0.06,0.09,-0.04,0.99
148.72,R_ThumbProximal,32.05,75.89,104.42,0.03,-0.05,0.45,0.89
148.72,R_RingProximal,38.92,76.18,105.41,0.01,0.12,-0.08,0.99
148.72,L_LittleProximal,2.69,64.04,93.66,-0.30,-0.56,-0.27,-0.72
148.72,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
148.74,Main Camera,-5.61,118.34,86.00,-0.06,-0.03,-0.01,-1.00
148.74,R_Palm,36.53,76.60,103.77,0.04,0.13,-0.03,0.99
148.74,R_ThumbTip,30.99,75.42,109.69,-0.05,-0.17,0.51,0.84
148.74,R_IndexTip,37.09,74.87,114.66,0.07,0.13,-0.04,0.99
148.74,R_MiddleTip,39.08,75.83,115.23,-0.01,0.10,-0.08,0.99
148.74,R_RingTip,40.91,75.95,113.56,0.00,0.10,-0.12,0.99
148.74,R_LittleTip,41.78,75.77,110.58,-0.03,0.09,-0.18,0.98
148.74,R_ThumbDistal,31.84,75.55,107.55,-0.05,-0.17,0.51,0.84
148.74,R_IndexIntermediate,36.06,75.54,110.48,0.10,0.10,-0.03,0.99
148.74,R_MiddleIntermediate,38.08,76.05,110.45,0.06,0.09,-0.05,0.99
148.74,R_RingIntermediate,39.80,76.00,108.94,0.02,0.13,-0.11,0.99
148.74,R_LittleIntermediate,40.84,75.68,106.75,-0.01,0.14,-0.19,0.97
148.74,R_IndexProximal,35.40,76.20,107.06,0.09,0.10,0.00,0.99
148.74,R_MiddleProximal,37.38,76.56,106.53,0.06,0.09,-0.04,0.99
148.74,R_ThumbProximal,32.05,75.89,104.42,0.03,-0.06,0.45,0.89
148.74,R_RingProximal,38.92,76.17,105.40,0.01,0.12,-0.08,0.99
148.74,L_LittleProximal,2.68,64.06,93.66,-0.30,-0.56,-0.27,-0.72
148.74,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
148.75,Main Camera,-5.62,118.34,86.00,-0.06,-0.03,-0.01,-1.00
148.75,R_Palm,36.54,76.55,103.73,0.04,0.13,-0.03,0.99
