Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
122.14,Main Camera,-5.81,118.17,83.84,-0.06,-0.03,0.00,-1.00
122.14,R_Palm,36.56,75.83,104.12,0.04,0.10,0.00,0.99
122.14,R_ThumbTip,30.45,74.34,109.55,-0.07,-0.23,0.52,0.82
122.14,R_IndexTip,36.58,73.91,114.99,0.09,0.11,-0.02,0.99
122.14,R_MiddleTip,38.78,74.94,115.66,0.01,0.09,-0.06,0.99
122.14,R_RingTip,40.50,75.22,114.15,0.01,0.08,-0.09,0.99
122.14,R_LittleTip,42.23,75.27,111.06,-0.04,0.12,-0.15,0.98
122.14,R_ThumbDistal,31.52,74.51,107.52,-0.07,-0.23,0.52,0.82
122.14,R_IndexIntermediate,35.75,74.70,110.79,0.11,0.08,-0.01,0.99
122.14,R_MiddleIntermediate,37.88,75.27,110.86,0.07,0.09,-0.03,0.99
122.14,R_RingIntermediate,39.60,75.34,109.48,0.03,0.10,-0.09,0.99
122.14,R_LittleIntermediate,41.06,75.10,107.29,-0.02,0.17,-0.16,0.97
122.14,R_IndexProximal,35.25,75.36,107.34,0.10,0.07,0.02,0.99
122.14,R_MiddleProximal,37.25,75.81,106.93,0.07,0.08,-0.02,0.99
122.14,R_ThumbProximal,31.97,74.96,104.43,0.03,-0.10,0.47,0.88
122.14,R_RingProximal,38.87,75.49,105.91,0.01,0.10,-0.06,0.99
122.14,L_LittleProximal,2.73,63.69,93.11,-0.32,-0.54,-0.33,-0.70
122.14,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
122.16,Main Camera,-5.83,118.15,83.87,-0.06,-0.03,0.00,-1.00
122.16,R_Palm,36.65,75.76,104.01,0.04,0.10,0.00,0.99
122.16,R_ThumbTip,30.55,74.27,109.44,-0.07,-0.23,0.52,0.82
122.16,R_IndexTip,36.69,73.84,114.88,0.09,0.11,-0.02,0.99
122.16,R_MiddleTip,38.87,74.88,115.55,0.01,0.09,-0.06,0.99
122.16,R_RingTip,40.59,75.17,114.04,0.01,0.08,-0.09,0.99
122.16,R_LittleTip,42.32,75.22,110.95,-0.04,0.12,-0.15,0.98
122.16,R_ThumbDistal,31.62,74.45,107.41,-0.07,-0.23,0.52,0.82
122.16,R_IndexIntermediate,35.85,74.64,110.67,0.11,0.08,-0.01,0.99
122.16,R_MiddleIntermediate,37.98,75.21,110.75,0.07,0.09,-0.03,0.99
122.16,R_RingIntermediate,39.70,75.29,109.37,0.03,0.10,-0.09,0.99
122.16,R_LittleIntermediate,41.15,75.05,107.18,-0.02,0.17,-0.16,0.97
122.16,R_IndexProximal,35.34,75.30,107.23,0.10,0.07,0.02,0.99
122.16,R_MiddleProximal,37.34,75.75,106.82,0.07,0.08,-0.02,0.99
122.16,R_ThumbProximal,32.07,74.89,104.31,0.03,-0.10,0.47,0.88
122.16,R_RingProximal,38.96,75.43,105.80,0.01,0.10,-0.06,0.99
122.16,L_LittleProximal,2.74,63.60,93.09,-0.33,-0.54,-0.33,-0.70
122.16,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
122.17,Main Camera,-5.84,118.14,83.89,-0.06,-0.03,0.00,-1.00
122.17,R_Palm,36.64,75.72,104.02,0.04,0.10,0.00,0.99
122.17,R_ThumbTip,30.53,74.22,109.45,-0.07,-0.22,0.52,0.82
122.17,R_IndexTip,36.68,73.79,114.89,0.09,0.11,-0.02,0.99
122.17,R_MiddleTip,38.85,74.83,115.56,0.00,0.09,-0.06,0.99
122.17,R_RingTip,40.58,75.13,114.05,0.01,0.08,-0.09,0.99
122.17,R_LittleTip,42.30,75.18,110.96,-0.04,0.12,-0.15,0.98
122.17,R_ThumbDistal,31.61,74.40,107.42,-0.07,-0.22,0.52,0.82
