Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
133.16,Main Camera,-5.51,117.79,86.77,-0.08,-0.05,0.00,-1.00
133.16,R_Palm,37.35,75.81,103.78,0.03,0.14,-0.03,0.99
133.16,R_ThumbTip,32.00,74.87,109.84,-0.09,-0.17,0.53,0.83
133.16,R_IndexTip,38.03,73.57,114.53,0.10,0.14,-0.05,0.98
133.16,R_MiddleTip,39.68,74.77,115.23,0.01,0.09,-0.09,0.99
133.16,R_RingTip,41.81,75.53,113.54,-0.02,0.10,-0.12,0.99
133.16,R_LittleTip,42.64,75.75,110.49,-0.07,0.09,-0.19,0.98
133.16,R_ThumbDistal,32.90,74.85,107.72,-0.09,-0.17,0.53,0.83
133.16,R_IndexIntermediate,36.95,74.59,110.43,0.14,0.11,-0.04,0.98
133.16,R_MiddleIntermediate,38.81,75.19,110.43,0.08,0.08,-0.06,0.99
133.16,R_RingIntermediate,40.66,75.43,108.92,0.00,0.13,-0.12,0.98
133.16,R_LittleIntermediate,41.68,75.27,106.69,-0.07,0.13,-0.19,0.97
133.16,R_IndexProximal,36.24,75.55,107.09,0.14,0.10,-0.01,0.99
133.16,R_MiddleProximal,38.22,75.88,106.52,0.08,0.08,-0.05,0.99
133.16,R_ThumbProximal,33.03,75.03,104.57,0.02,-0.03,0.47,0.88
133.16,R_RingProximal,39.74,75.44,105.40,-0.01,0.13,-0.08,0.99
133.16,L_LittleProximal,2.86,64.18,93.65,-0.30,-0.56,-0.28,-0.72
133.16,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.17,Main Camera,-5.51,117.79,86.78,-0.08,-0.05,0.00,-1.00
133.17,R_Palm,37.36,75.82,103.77,0.03,0.14,-0.03,0.99
133.17,R_ThumbTip,32.01,74.87,109.83,-0.09,-0.17,0.53,0.83
133.17,R_IndexTip,38.03,73.57,114.52,0.10,0.14,-0.05,0.98
133.17,R_MiddleTip,39.67,74.77,115.22,0.01,0.09,-0.09,0.99
133.17,R_RingTip,41.81,75.54,113.53,-0.02,0.10,-0.12,0.99
133.17,R_LittleTip,42.63,75.76,110.48,-0.07,0.08,-0.19,0.98
133.17,R_ThumbDistal,32.91,74.85,107.71,-0.09,-0.17,0.53,0.83
133.17,R_IndexIntermediate,36.95,74.59,110.42,0.14,0.11,-0.04,0.98
133.17,R_MiddleIntermediate,38.81,75.19,110.43,0.08,0.08,-0.06,0.99
133.17,R_RingIntermediate,40.67,75.43,108.92,0.00,0.13,-0.12,0.98
133.17,R_LittleIntermediate,41.68,75.27,106.68,-0.07,0.13,-0.19,0.97
133.17,R_IndexProximal,36.25,75.55,107.08,0.14,0.10,-0.01,0.99
133.17,R_MiddleProximal,38.23,75.88,106.52,0.08,0.08,-0.05,0.99
133.17,R_ThumbProximal,33.04,75.04,104.56,0.02,-0.03,0.47,0.88
133.17,R_RingProximal,39.75,75.45,105.39,-0.01,0.13,-0.08,0.99
133.17,L_LittleProximal,2.87,64.19,93.69,-0.30,-0.56,-0.29,-0.72
133.17,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.18,Main Camera,-5.50,117.79,86.79,-0.08,-0.05,0.00,-1.00
133.18,R_Palm,37.37,75.82,103.76,0.03,0.14,-0.03,0.99
133.18,R_ThumbTip,32.02,74.87,109.82,-0.08,-0.17,0.53,0.83
133.18,R_IndexTip,38.02,73.58,114.51,0.10,0.14,-0.05,0.98
133.18,R_MiddleTip,39.66,74.78,115.22,0.01,0.09,-0.09,0.99
133.18,R_RingTip,41.81,75.55,113.53,-0.02,0.10,-0.12,0.99
133.18,R_LittleTip,42.63,75.76,110.48,-0.07,0.08,-0.19,0.98
133.18,R_ThumbDistal,32.92,74.85,107.70,-0.08,-0.17,0.53,0.83
133.18,R_IndexIntermediate,36.95,74.59,110.41,0.14,0.11,-0.04,0.98
133.18,R_MiddleIntermediate,38.80,75.19,110.42,0.08,0.08,-0.06,0.99
133.18,R_RingIntermediate,40.67,75.44,108.91,0.00,0.13,-0.12,0.98
133.18,R_LittleIntermediate,41.69,75.28,106.68,-0.07,0.13,-0.19,0.97
133.18,R_IndexProximal,36.25,75.56,107.07,0.14,0.10,-0.01,0.99
133.18,R_MiddleProximal,38.23,75.89,106.51,0.08,0.08,-0.05,0.99
133.18,R_ThumbProximal,33.04,75.04,104.55,0.02,-0.03,0.47,0.88
133.18,R_RingProximal,39.76,75.45,105.38,-0.01,0.13,-0.08,0.99
133.18,L_LittleProximal,2.88,64.19,93.76,-0.30,-0.56,-0.29,-0.72
133.18,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.19,Main Camera,-5.49,117.79,86.80,-0.08,-0.05,0.00,-1.00
133.19,R_Palm,37.37,75.83,103.75,0.03,0.14,-0.03,0.99
133.19,R_ThumbTip,32.03,74.87,109.81,-0.08,-0.17,0.53,0.83
133.19,R_IndexTip,38.03,73.58,114.50,0.10,0.14,-0.05,0.98
133.19,R_MiddleTip,39.66,74.79,115.21,0.01,0.09,-0.09,0.99
133.19,R_RingTip,41.81,75.57,113.52,-0.02,0.10,-0.12,0.99
133.19,R_LittleTip,42.63,75.78,110.47,-0.07,0.08,-0.19,0.98
133.19,R_ThumbDistal,32.92,74.86,107.69,-0.08,-0.17,0.53,0.83
133.19,R_IndexIntermediate,36.95,74.60,110.40,0.14,0.11,-0.04,0.98
133.19,R_MiddleIntermediate,38.80,75.20,110.41,0.08,0.08,-0.06,0.99
133.19,R_RingIntermediate,40.67,75.45,108.90,0.00,0.13,-0.12,0.98
133.19,R_LittleIntermediate,41.69,75.29,106.67,-0.07,0.13,-0.19,0.97
133.19,R_IndexProximal,36.25,75.56,107.06,0.14,0.10,-0.01,0.99
133.19,R_MiddleProximal,38.24,75.89,106.50,0.08,0.08,-0.05,0.99
133.19,R_ThumbProximal,33.05,75.05,104.54,0.02,-0.03,0.47,0.88
133.19,R_RingProximal,39.76,75.46,105.37,-0.01,0.13,-0.08,0.99
133.19,L_LittleProximal,2.89,64.19,93.74,-0.30,-0.56,-0.29,-0.72
133.19,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.21,Main Camera,-5.49,117.78,86.80,-0.08,-0.05,0.00,-1.00
133.21,R_Palm,37.35,75.87,103.70,0.03,0.14,-0.03,0.99
133.21,R_ThumbTip,32.03,74.90,109.76,-0.08,-0.17,0.53,0.83
133.21,R_IndexTip,38.02,73.61,114.45,0.10,0.14,-0.05,0.98
133.21,R_MiddleTip,39.65,74.83,115.16,0.01,0.09,-0.09,0.99
133.21,R_RingTip,41.80,75.62,113.46,-0.02,0.10,-0.12,0.99
133.21,R_LittleTip,42.61,75.82,110.41,-0.07,0.08,-0.19,0.98
133.21,R_ThumbDistal,32.91,74.89,107.64,-0.08,-0.17,0.53,0.83
133.21,R_IndexIntermediate,36.94,74.63,110.35,0.14,0.11,-0.04,0.98
133.21,R_MiddleIntermediate,38.79,75.24,110.36,0.08,0.08,-0.06,0.99
133.21,R_RingIntermediate,40.66,75.49,108.85,-0.01,0.13,-0.12,0.98
133.21,R_LittleIntermediate,41.67,75.33,106.61,-0.07,0.13,-0.19,0.97
133.21,R_IndexProximal,36.24,75.60,107.01,0.14,0.10,-0.01,0.99
133.21,R_MiddleProximal,38.22,75.93,106.44,0.08,0.08,-0.05,0.99
133.21,R_ThumbProximal,33.04,75.09,104.49,0.02,-0.03,0.47,0.88
133.21,R_RingProximal,39.75,75.50,105.32,-0.01,0.13,-0.08,0.99
133.21,L_LittleProximal,2.89,64.18,93.73,-0.30,-0.56,-0.29,-0.72
133.21,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.22,Main Camera,-5.48,117.78,86.81,-0.08,-0.05,0.00,-1.00
133.22,R_Palm,37.32,75.91,103.73,0.03,0.14,-0.03,0.99
133.22,R_ThumbTip,31.99,74.92,109.78,-0.08,-0.17,0.53,0.83
133.22,R_IndexTip,37.98,73.63,114.47,0.11,0.14,-0.05,0.98
133.22,R_MiddleTip,39.61,74.86,115.18,0.01,0.09,-0.09,0.99
133.22,R_RingTip,41.77,75.65,113.49,-0.02,0.10,-0.12,0.99
133.22,R_LittleTip,42.57,75.84,110.44,-0.07,0.08,-0.19,0.98
133.22,R_ThumbDistal,32.88,74.92,107.66,-0.08,-0.17,0.53,0.83
133.22,R_IndexIntermediate,36.90,74.65,110.37,0.14,0.11,-0.04,0.98
133.22,R_MiddleIntermediate,38.75,75.27,110.38,0.08,0.08,-0.06,0.99
133.22,R_RingIntermediate,40.62,75.52,108.87,-0.01,0.13,-0.12,0.98
133.22,R_LittleIntermediate,41.63,75.36,106.64,-0.07,0.13,-0.19,0.97
133.22,R_IndexProximal,36.20,75.63,107.04,0.14,0.10,-0.01,0.99
133.22,R_MiddleProximal,38.19,75.96,106.47,0.08,0.08,-0.05,0.99
133.22,R_ThumbProximal,33.00,75.12,104.51,0.02,-0.03,0.47,0.88
133.22,R_RingProximal,39.71,75.53,105.34,-0.01,0.13,-0.08,0.99
133.22,L_LittleProximal,2.91,64.17,93.73,-0.30,-0.56,-0.29,-0.72
133.22,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.24,Main Camera,-5.48,117.78,86.81,-0.08,-0.05,0.00,-1.00
133.24,R_Palm,37.31,75.88,103.68,0.03,0.14,-0.03,0.99
133.24,R_ThumbTip,31.98,74.85,109.73,-0.08,-0.17,0.53,0.83
133.24,R_IndexTip,37.98,73.52,114.41,0.11,0.14,-0.05,0.98
133.24,R_MiddleTip,39.59,74.75,115.13,0.01,0.09,-0.09,0.99
133.24,R_RingTip,41.76,75.55,113.45,-0.02,0.10,-0.12,0.99
133.24,R_LittleTip,42.56,75.76,110.40,-0.06,0.08,-0.19,0.98
133.24,R_ThumbDistal,32.87,74.86,107.61,-0.08,-0.17,0.53,0.83
133.24,R_IndexIntermediate,36.90,74.57,110.32,0.15,0.11,-0.04,0.98
133.24,R_MiddleIntermediate,38.74,75.19,110.34,0.09,0.08,-0.06,0.99
133.24,R_RingIntermediate,40.62,75.45,108.83,0.00,0.13,-0.12,0.98
133.24,R_LittleIntermediate,41.63,75.31,106.59,-0.06,0.13,-0.19,0.97
133.24,R_IndexProximal,36.20,75.57,106.99,0.14,0.10,-0.01,0.98
133.24,R_MiddleProximal,38.18,75.91,106.43,0.09,0.07,-0.05,0.99
133.24,R_ThumbProximal,33.00,75.09,104.46,0.02,-0.03,0.47,0.88
133.24,R_RingProximal,39.70,75.49,105.30,-0.01,0.13,-0.08,0.99
133.24,L_LittleProximal,2.91,64.15,93.72,-0.30,-0.56,-0.29,-0.72
133.24,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.25,Main Camera,-5.48,117.78,86.81,-0.08,-0.05,0.00,-1.00
133.25,R_Palm,37.27,75.89,103.63,0.04,0.14,-0.03,0.99
133.25,R_ThumbTip,31.93,74.80,109.66,-0.07,-0.17,0.53,0.83
133.25,R_IndexTip,37.93,73.43,114.33,0.11,0.14,-0.05,0.98
133.25,R_MiddleTip,39.53,74.66,115.07,0.01,0.09,-0.09,0.99
133.25,R_RingTip,41.70,75.48,113.39,-0.01,0.10,-0.12,0.99
133.25,R_LittleTip,42.50,75.72,110.35,-0.06,0.08,-0.18,0.98
133.25,R_ThumbDistal,32.82,74.83,107.54,-0.07,-0.17,0.53,0.83
133.25,R_IndexIntermediate,36.85,74.52,110.25,0.15,0.11,-0.04,0.98
133.25,R_MiddleIntermediate,38.69,75.14,110.28,0.09,0.08,-0.06,0.99
133.25,R_RingIntermediate,40.56,75.42,108.77,0.00,0.13,-0.12,0.99
133.25,R_LittleIntermediate,41.58,75.30,106.54,-0.06,0.13,-0.19,0.97
133.25,R_IndexProximal,36.15,75.55,106.93,0.15,0.10,-0.01,0.98
133.25,R_MiddleProximal,38.13,75.89,106.38,0.09,0.07,-0.05,0.99
133.25,R_ThumbProximal,32.95,75.09,104.39,0.03,-0.04,0.47,0.88
133.25,R_RingProximal,39.66,75.48,105.24,0.00,0.13,-0.08,0.99
133.25,L_LittleProximal,2.92,64.14,93.72,-0.30,-0.56,-0.29,-0.72
133.25,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.26,Main Camera,-5.48,117.79,86.82,-0.08,-0.05,0.00,-1.00
133.26,R_Palm,37.22,75.90,103.57,0.04,0.14,-0.03,0.99
133.26,R_ThumbTip,31.88,74.77,109.58,-0.07,-0.17,0.53,0.83
133.26,R_IndexTip,37.87,73.35,114.24,0.12,0.14,-0.05,0.98
133.26,R_MiddleTip,39.46,74.58,115.00,0.02,0.09,-0.09,0.99
133.26,R_RingTip,41.63,75.41,113.33,-0.01,0.10,-0.12,0.99
133.26,R_LittleTip,42.43,75.69,110.29,-0.06,0.08,-0.18,0.98
133.26,R_ThumbDistal,32.77,74.82,107.46,-0.07,-0.17,0.53,0.83
133.26,R_IndexIntermediate,36.79,74.48,110.17,0.15,0.11,-0.04,0.98
133.26,R_MiddleIntermediate,38.63,75.10,110.21,0.09,0.08,-0.06,0.99
133.26,R_RingIntermediate,40.51,75.40,108.71,0.01,0.13,-0.12,0.99
133.26,R_LittleIntermediate,41.52,75.30,106.47,-0.06,0.13,-0.19,0.97
133.26,R_IndexProximal,36.09,75.54,106.86,0.15,0.10,-0.01,0.98
133.26,R_MiddleProximal,38.08,75.88,106.31,0.10,0.07,-0.05,0.99
133.26,R_ThumbProximal,32.90,75.10,104.31,0.03,-0.04,0.47,0.88
133.26,R_RingProximal,39.61,75.48,105.18,0.00,0.13,-0.08,0.99
133.26,L_LittleProximal,2.93,64.14,93.73,-0.30,-0.56,-0.29,-0.72
133.26,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.28,Main Camera,-5.46,117.79,86.83,-0.08,-0.05,0.00,-1.00
133.28,R_Palm,37.11,76.05,103.65,0.04,0.13,-0.03,0.99
133.28,R_ThumbTip,31.77,74.92,109.66,-0.07,-0.17,0.53,0.83
133.28,R_IndexTip,37.75,73.51,114.33,0.12,0.14,-0.04,0.98
133.28,R_MiddleTip,39.33,74.74,115.09,0.02,0.09,-0.09,0.99
133.28,R_RingTip,41.51,75.58,113.43,-0.01,0.10,-0.12,0.99
133.28,R_LittleTip,42.31,75.85,110.39,-0.06,0.08,-0.18,0.98
133.28,R_ThumbDistal,32.66,74.97,107.54,-0.07,-0.17,0.53,0.83
133.28,R_IndexIntermediate,36.68,74.63,110.26,0.15,0.11,-0.04,0.98
133.28,R_MiddleIntermediate,38.51,75.25,110.30,0.09,0.08,-0.06,0.99
133.28,R_RingIntermediate,40.39,75.55,108.80,0.01,0.13,-0.12,0.99
133.28,R_LittleIntermediate,41.40,75.45,106.57,-0.06,0.13,-0.19,0.97
133.28,R_IndexProximal,35.98,75.69,106.95,0.15,0.10,-0.01,0.98
133.28,R_MiddleProximal,37.97,76.03,106.40,0.09,0.07,-0.05,0.99
133.28,R_ThumbProximal,32.80,75.24,104.40,0.03,-0.04,0.47,0.88
133.28,R_RingProximal,39.49,75.63,105.27,0.00,0.12,-0.08,0.99
133.28,L_LittleProximal,2.92,64.10,93.73,-0.30,-0.56,-0.29,-0.72
133.28,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.29,Main Camera,-5.45,117.79,86.83,-0.08,-0.05,0.00,-1.00
133.29,R_Palm,37.07,76.10,103.71,0.04,0.13,-0.03,0.99
133.29,R_ThumbTip,31.72,75.00,109.71,-0.07,-0.17,0.53,0.83
133.29,R_IndexTip,37.69,73.61,114.40,0.12,0.14,-0.04,0.98
133.29,R_MiddleTip,39.26,74.84,115.16,0.02,0.09,-0.09,0.99
133.29,R_RingTip,41.44,75.67,113.50,-0.01,0.10,-0.12,0.99
133.29,R_LittleTip,42.24,75.94,110.46,-0.06,0.08,-0.18,0.98
133.29,R_ThumbDistal,32.62,75.03,107.59,-0.07,-0.17,0.53,0.83
133.29,R_IndexIntermediate,36.62,74.71,110.32,0.15,0.11,-0.04,0.98
133.29,R_MiddleIntermediate,38.45,75.33,110.36,0.09,0.08,-0.06,0.99
133.29,R_RingIntermediate,40.33,75.63,108.87,0.00,0.12,-0.12,0.99
133.29,R_LittleIntermediate,41.35,75.52,106.64,-0.06,0.13,-0.19,0.97
133.29,R_IndexProximal,35.93,75.75,107.00,0.15,0.10,-0.01,0.98
133.29,R_MiddleProximal,37.92,76.09,106.46,0.09,0.07,-0.05,0.99
133.29,R_ThumbProximal,32.76,75.29,104.45,0.03,-0.04,0.47,0.88
133.29,R_RingProximal,39.45,75.69,105.33,0.00,0.12,-0.08,0.99
133.29,L_LittleProximal,2.89,64.07,93.72,-0.30,-0.56,-0.29,-0.72
133.29,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.31,Main Camera,-5.44,117.78,86.84,-0.08,-0.05,0.00,-1.00
133.31,R_Palm,37.05,76.10,103.69,0.04,0.13,-0.03,0.99
133.31,R_ThumbTip,31.70,75.01,109.69,-0.08,-0.17,0.53,0.83
133.31,R_IndexTip,37.66,73.62,114.38,0.11,0.14,-0.04,0.98
133.31,R_MiddleTip,39.22,74.85,115.14,0.01,0.09,-0.09,0.99
133.31,R_RingTip,41.41,75.69,113.48,-0.01,0.10,-0.12,0.99
133.31,R_LittleTip,42.20,75.96,110.44,-0.06,0.08,-0.18,0.98
133.31,R_ThumbDistal,32.60,75.04,107.57,-0.08,-0.17,0.53,0.83
133.31,R_IndexIntermediate,36.59,74.72,110.30,0.15,0.11,-0.04,0.98
133.31,R_MiddleIntermediate,38.42,75.34,110.35,0.09,0.08,-0.06,0.99
133.31,R_RingIntermediate,40.31,75.63,108.85,0.00,0.12,-0.12,0.99
133.31,R_LittleIntermediate,41.32,75.53,106.62,-0.06,0.13,-0.19,0.97
133.31,R_IndexProximal,35.90,75.75,106.98,0.15,0.10,-0.01,0.98
133.31,R_MiddleProximal,37.89,76.10,106.44,0.09,0.07,-0.05,0.99
133.31,R_ThumbProximal,32.74,75.29,104.42,0.03,-0.04,0.47,0.88
133.31,R_RingProximal,39.42,75.69,105.31,0.00,0.12,-0.08,0.99
133.31,L_LittleProximal,2.89,64.03,93.71,-0.30,-0.56,-0.29,-0.72
133.31,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.32,Main Camera,-5.44,117.77,86.85,-0.08,-0.05,0.00,-1.00
133.32,R_Palm,37.03,76.12,103.73,0.03,0.13,-0.03,0.99
133.32,R_ThumbTip,31.68,75.07,109.73,-0.08,-0.17,0.53,0.83
133.32,R_IndexTip,37.63,73.73,114.44,0.11,0.14,-0.04,0.98
133.32,R_MiddleTip,39.18,74.96,115.20,0.01,0.09,-0.09,0.99
133.32,R_RingTip,41.37,75.79,113.54,-0.02,0.09,-0.12,0.99
133.32,R_LittleTip,42.17,76.05,110.50,-0.06,0.07,-0.18,0.98
133.32,R_ThumbDistal,32.58,75.09,107.61,-0.08,-0.17,0.53,0.83
133.32,R_IndexIntermediate,36.57,74.79,110.36,0.15,0.11,-0.04,0.98
133.32,R_MiddleIntermediate,38.39,75.42,110.40,0.09,0.07,-0.06,0.99
133.32,R_RingIntermediate,40.28,75.70,108.91,0.00,0.12,-0.12,0.99
133.32,R_LittleIntermediate,41.30,75.58,106.68,-0.06,0.12,-0.19,0.97
133.32,R_IndexProximal,35.88,75.80,107.03,0.14,0.10,-0.01,0.98
133.32,R_MiddleProximal,37.87,76.15,106.49,0.09,0.07,-0.05,0.99
133.32,R_ThumbProximal,32.72,75.32,104.47,0.02,-0.04,0.47,0.88
133.32,R_RingProximal,39.41,75.73,105.37,-0.01,0.12,-0.08,0.99
133.32,L_LittleProximal,2.91,64.02,93.69,-0.31,-0.56,-0.29,-0.71
133.32,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.33,Main Camera,-5.43,117.77,86.86,-0.08,-0.05,0.00,-1.00
133.33,R_Palm,37.04,76.12,103.75,0.03,0.13,-0.03,0.99
133.33,R_ThumbTip,31.70,75.07,109.75,-0.08,-0.17,0.53,0.83
133.33,R_IndexTip,37.64,73.74,114.46,0.11,0.14,-0.04,0.98
133.33,R_MiddleTip,39.18,74.98,115.22,0.01,0.08,-0.09,0.99
133.33,R_RingTip,41.38,75.81,113.55,-0.02,0.09,-0.12,0.99
133.33,R_LittleTip,42.17,76.06,110.51,-0.07,0.07,-0.18,0.98
133.33,R_ThumbDistal,32.60,75.09,107.63,-0.08,-0.17,0.53,0.83
133.33,R_IndexIntermediate,36.58,74.79,110.37,0.15,0.11,-0.04,0.98
133.33,R_MiddleIntermediate,38.39,75.42,110.41,0.09,0.07,-0.06,0.99
133.33,R_RingIntermediate,40.29,75.71,108.92,0.00,0.12,-0.12,0.99
133.33,R_LittleIntermediate,41.31,75.58,106.69,-0.07,0.12,-0.19,0.97
133.33,R_IndexProximal,35.89,75.80,107.04,0.14,0.10,-0.01,0.98
133.33,R_MiddleProximal,37.88,76.14,106.50,0.09,0.07,-0.05,0.99
133.33,R_ThumbProximal,32.73,75.31,104.48,0.02,-0.04,0.47,0.88
133.33,R_RingProximal,39.42,75.73,105.38,-0.01,0.12,-0.08,0.99
133.33,L_LittleProximal,2.92,64.02,93.71,-0.30,-0.56,-0.29,-0.71
133.33,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.35,Main Camera,-5.42,117.77,86.87,-0.08,-0.05,0.00,-1.00
133.35,R_Palm,37.05,76.10,103.76,0.03,0.13,-0.03,0.99
133.35,R_ThumbTip,31.72,75.06,109.76,-0.08,-0.17,0.53,0.83
133.35,R_IndexTip,37.65,73.74,114.47,0.11,0.14,-0.04,0.98
133.35,R_MiddleTip,39.19,74.98,115.23,0.01,0.08,-0.09,0.99
133.35,R_RingTip,41.39,75.81,113.56,-0.02,0.09,-0.12,0.99
133.35,R_LittleTip,42.18,76.06,110.52,-0.07,0.07,-0.18,0.98
133.35,R_ThumbDistal,32.61,75.08,107.64,-0.08,-0.17,0.53,0.83
133.35,R_IndexIntermediate,36.59,74.79,110.38,0.14,0.11,-0.04,0.98
133.35,R_MiddleIntermediate,38.40,75.42,110.43,0.08,0.07,-0.06,0.99
133.35,R_RingIntermediate,40.30,75.70,108.93,0.00,0.12,-0.12,0.99
133.35,R_LittleIntermediate,41.32,75.58,106.70,-0.07,0.12,-0.19,0.97
133.35,R_IndexProximal,35.90,75.79,107.05,0.14,0.10,-0.01,0.98
133.35,R_MiddleProximal,37.89,76.13,106.51,0.09,0.07,-0.05,0.99
133.35,R_ThumbProximal,32.74,75.30,104.49,0.02,-0.04,0.47,0.88
133.35,R_RingProximal,39.43,75.71,105.39,-0.01,0.12,-0.08,0.99
133.35,L_LittleProximal,2.93,64.03,93.76,-0.30,-0.56,-0.29,-0.71
133.35,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.36,Main Camera,-5.41,117.77,86.88,-0.08,-0.05,0.00,-1.00
133.36,R_Palm,37.06,76.10,103.79,0.03,0.13,-0.03,0.99
133.36,R_ThumbTip,31.72,75.07,109.80,-0.08,-0.17,0.53,0.83
133.36,R_IndexTip,37.65,73.83,114.53,0.10,0.14,-0.05,0.98
133.36,R_MiddleTip,39.18,75.04,115.27,0.01,0.08,-0.09,0.99
133.36,R_RingTip,41.39,75.83,113.60,-0.02,0.09,-0.12,0.99
133.36,R_LittleTip,42.17,76.08,110.56,-0.07,0.07,-0.19,0.98
133.36,R_ThumbDistal,32.61,75.08,107.67,-0.08,-0.17,0.53,0.83
133.36,R_IndexIntermediate,36.59,74.83,110.43,0.14,0.11,-0.04,0.98
133.36,R_MiddleIntermediate,38.40,75.44,110.46,0.08,0.07,-0.06,0.99
133.36,R_RingIntermediate,40.30,75.71,108.97,0.00,0.12,-0.12,0.99
133.36,R_LittleIntermediate,41.31,75.58,106.74,-0.07,0.12,-0.19,0.97
133.36,R_IndexProximal,35.90,75.79,107.08,0.14,0.10,-0.01,0.99
133.36,R_MiddleProximal,37.89,76.13,106.54,0.08,0.07,-0.05,0.99
133.36,R_ThumbProximal,32.75,75.31,104.52,0.02,-0.04,0.47,0.88
133.36,R_RingProximal,39.43,75.71,105.43,-0.01,0.12,-0.08,0.99
133.36,L_LittleProximal,2.92,64.04,93.78,-0.30,-0.56,-0.29,-0.71
133.36,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
133.37,Main Camera,-5.40,117.79,86.87,-0.08,-0.04,0.00,-1.00
133.37,R_Palm,37.07,76.09,103.76,0.03,0.13,-0.03,0.99
133.37,R_ThumbTip,31.74,75.05,109.77,-0.08,-0.17,0.53,0.83
133.37,R_IndexTip,37.67,73.87,114.52,0.10,0.14,-0.05,0.98
133.37,R_MiddleTip,39.20,75.04,115.25,0.00,0.08,-0.09,0.99
133.37,R_RingTip,41.40,75.82,113.57,-0.02,0.09,-0.12,0.99
133.37,R_LittleTip,42.18,76.07,110.54,-0.07,0.07,-0.19,0.98
133.37,R_ThumbDistal,32.63,75.07,107.64,-0.08,-0.17,0.53,0.83
133.37,R_IndexIntermediate,36.61,74.84,110.41,0.14,0.11,-0.04,0.98
