Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
138.57,Main Camera,-5.33,118.28,86.13,-0.05,-0.02,-0.01,-1.00
138.57,R_Palm,35.85,76.71,103.45,0.04,0.10,-0.01,0.99
138.57,R_ThumbTip,30.09,75.10,108.97,-0.03,-0.20,0.53,0.83
138.57,R_IndexTip,35.73,75.22,114.40,0.05,0.10,-0.02,0.99
138.57,R_MiddleTip,37.98,75.84,115.00,0.00,0.09,-0.06,0.99
138.57,R_RingTip,39.65,76.11,113.50,0.01,0.07,-0.10,0.99
138.57,R_LittleTip,41.04,75.93,110.52,-0.02,0.09,-0.16,0.98
138.57,R_ThumbDistal,30.99,75.36,106.87,-0.03,-0.20,0.53,0.83
138.57,R_IndexIntermediate,34.97,75.73,110.14,0.08,0.07,-0.01,0.99
138.57,R_MiddleIntermediate,37.12,76.12,110.19,0.07,0.08,-0.03,0.99
138.57,R_RingIntermediate,38.82,76.18,108.82,0.02,0.10,-0.09,0.99
138.57,R_LittleIntermediate,40.14,75.87,106.68,0.00,0.14,-0.16,0.98
138.57,R_IndexProximal,34.52,76.24,106.66,0.07,0.06,0.02,1.00
138.57,R_MiddleProximal,36.52,76.68,106.26,0.07,0.08,-0.02,0.99
138.57,R_ThumbProximal,31.31,75.86,103.77,0.05,-0.08,0.47,0.88
138.57,R_RingProximal,38.15,76.35,105.24,0.02,0.09,-0.06,0.99
138.57,L_LittleProximal,2.86,64.07,93.32,-0.31,-0.56,-0.29,-0.71
138.57,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
138.58,Main Camera,-5.34,118.27,86.17,-0.05,-0.02,-0.01,-1.00
138.58,R_Palm,35.88,76.70,103.42,0.04,0.10,-0.01,0.99
138.58,R_ThumbTip,30.14,75.08,108.96,-0.03,-0.20,0.53,0.83
138.58,R_IndexTip,35.78,75.21,114.37,0.05,0.10,-0.02,0.99
138.58,R_MiddleTip,38.03,75.83,114.97,0.00,0.09,-0.06,0.99
138.58,R_RingTip,39.70,76.10,113.46,0.01,0.07,-0.10,0.99
138.58,R_LittleTip,41.08,75.92,110.48,-0.02,0.09,-0.16,0.98
138.58,R_ThumbDistal,31.03,75.35,106.85,-0.03,-0.20,0.53,0.83
138.58,R_IndexIntermediate,35.01,75.72,110.11,0.08,0.07,-0.01,0.99
138.58,R_MiddleIntermediate,37.16,76.11,110.16,0.07,0.08,-0.03,0.99
138.58,R_RingIntermediate,38.86,76.17,108.78,0.02,0.10,-0.09,0.99
138.58,R_LittleIntermediate,40.17,75.86,106.64,0.00,0.14,-0.16,0.98
138.58,R_IndexProximal,34.56,76.23,106.63,0.07,0.06,0.02,1.00
138.58,R_MiddleProximal,36.56,76.67,106.23,0.07,0.08,-0.02,0.99
138.58,R_ThumbProximal,31.35,75.84,103.75,0.05,-0.08,0.47,0.88
138.58,R_RingProximal,38.18,76.34,105.20,0.02,0.10,-0.06,0.99
138.58,L_LittleProximal,2.86,64.07,93.31,-0.31,-0.56,-0.29,-0.71
138.58,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
138.60,Main Camera,-5.36,118.26,86.21,-0.05,-0.02,-0.01,-1.00
138.60,R_Palm,35.91,76.67,103.41,0.04,0.10,-0.01,0.99
138.60,R_ThumbTip,30.18,75.04,108.96,-0.03,-0.20,0.53,0.83
138.60,R_IndexTip,35.83,75.17,114.36,0.05,0.10,-0.02,0.99
138.60,R_MiddleTip,38.07,75.80,114.96,0.00,0.09,-0.06,0.99
138.60,R_RingTip,39.74,76.08,113.45,0.01,0.07,-0.10,0.99
138.60,R_LittleTip,41.11,75.91,110.46,-0.02,0.09,-0.16,0.98
138.60,R_ThumbDistal,31.07,75.30,106.85,-0.03,-0.20,0.53,0.83
138.60,R_IndexIntermediate,35.05,75.68,110.10,0.08,0.07,-0.01,0.99
138.60,R_MiddleIntermediate,37.20,76.08,110.15,0.07,0.08,-0.03,0.99
138.60,R_RingIntermediate,38.90,76.15,108.77,0.02,0.10,-0.09,0.99
138.60,R_LittleIntermediate,40.20,75.85,106.63,0.00,0.14,-0.16,0.98
138.60,R_IndexProximal,34.59,76.20,106.62,0.07,0.06,0.02,0.99
138.60,R_MiddleProximal,36.59,76.64,106.22,0.07,0.08,-0.02,0.99
138.60,R_ThumbProximal,31.38,75.80,103.75,0.05,-0.08,0.47,0.88
138.60,R_RingProximal,38.21,76.32,105.19,0.02,0.10,-0.06,0.99
138.60,L_LittleProximal,2.87,64.07,93.31,-0.31,-0.55,-0.30,-0.72
138.60,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
138.61,Main Camera,-5.38,118.24,86.24,-0.05,-0.02,-0.01,-1.00
138.61,R_Palm,35.93,76.67,103.44,0.04,0.10,0.00,0.99
138.61,R_ThumbTip,30.21,75.02,109.00,-0.03,-0.20,0.53,0.82
138.61,R_IndexTip,35.86,75.17,114.39,0.05,0.10,-0.02,0.99
138.61,R_MiddleTip,38.09,75.82,114.99,0.00,0.09,-0.06,0.99
138.61,R_RingTip,39.76,76.11,113.49,0.00,0.07,-0.09,0.99
138.61,R_LittleTip,41.13,75.94,110.50,-0.02,0.09,-0.16,0.98
138.61,R_ThumbDistal,31.10,75.28,106.89,-0.03,-0.20,0.53,0.82
138.61,R_IndexIntermediate,35.08,75.68,110.14,0.08,0.07,-0.01,0.99
138.61,R_MiddleIntermediate,37.22,76.09,110.18,0.07,0.08,-0.03,0.99
138.61,R_RingIntermediate,38.92,76.17,108.80,0.02,0.10,-0.09,0.99
138.61,R_LittleIntermediate,40.22,75.87,106.66,0.00,0.14,-0.16,0.98
138.61,R_IndexProximal,34.61,76.19,106.66,0.07,0.06,0.02,0.99
138.61,R_MiddleProximal,36.61,76.64,106.25,0.07,0.08,-0.02,0.99
138.61,R_ThumbProximal,31.40,75.77,103.78,0.05,-0.08,0.47,0.88
138.61,R_RingProximal,38.23,76.33,105.23,0.02,0.10,-0.06,0.99
138.61,L_LittleProximal,2.89,64.06,93.31,-0.31,-0.55,-0.30,-0.72
138.61,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
138.62,Main Camera,-5.41,118.24,86.28,-0.05,-0.02,-0.01,-1.00
138.62,R_Palm,35.95,76.66,103.51,0.04,0.10,0.00,0.99
138.62,R_ThumbTip,30.25,74.98,109.07,-0.03,-0.20,0.53,0.82
138.62,R_IndexTip,35.90,75.18,114.47,0.05,0.10,-0.01,0.99
138.62,R_MiddleTip,38.13,75.85,115.06,0.00,0.09,-0.06,0.99
138.62,R_RingTip,39.79,76.15,113.56,0.00,0.07,-0.09,0.99
138.62,R_LittleTip,41.15,75.98,110.57,-0.02,0.09,-0.16,0.98
138.62,R_ThumbDistal,31.14,75.25,106.97,-0.03,-0.20,0.53,0.82
138.62,R_IndexIntermediate,35.11,75.68,110.21,0.08,0.07,0.00,0.99
138.62,R_MiddleIntermediate,37.25,76.10,110.26,0.07,0.08,-0.02,0.99
138.62,R_RingIntermediate,38.95,76.19,108.88,0.02,0.10,-0.09,0.99
138.62,R_LittleIntermediate,40.25,75.89,106.73,-0.01,0.14,-0.16,0.98
138.62,R_IndexProximal,34.64,76.18,106.73,0.07,0.07,0.02,0.99
138.62,R_MiddleProximal,36.64,76.64,106.33,0.07,0.08,-0.01,0.99
138.62,R_ThumbProximal,31.44,75.73,103.86,0.05,-0.08,0.48,0.87
138.62,R_RingProximal,38.26,76.34,105.30,0.02,0.10,-0.05,0.99
138.62,L_LittleProximal,2.91,64.05,93.32,-0.30,-0.55,-0.30,-0.72
138.62,MediumCube,0.00,78.17,145.00,0.00,0.00,0.00,1.00
