Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
321.85,Main Camera,-6.96,117.17,87.67,-0.08,-0.07,0.01,-0.99
321.85,R_Palm,37.15,75.93,104.29,0.05,0.15,0.00,0.99
321.85,R_ThumbTip,31.96,74.17,110.33,-0.02,-0.18,0.53,0.83
321.85,R_IndexTip,38.28,74.02,115.10,0.08,0.16,-0.02,0.98
321.85,R_MiddleTip,40.31,74.72,115.56,0.01,0.13,-0.06,0.99
321.85,R_RingTip,41.99,75.13,113.87,0.02,0.12,-0.09,0.99
321.85,R_LittleTip,43.28,75.15,110.68,-0.02,0.16,-0.15,0.98
321.85,R_ThumbDistal,32.75,74.43,108.18,-0.02,-0.18,0.53,0.83
321.85,R_IndexIntermediate,37.03,74.73,110.99,0.11,0.13,-0.01,0.99
321.85,R_MiddleIntermediate,39.05,75.16,110.86,0.09,0.12,-0.03,0.99
321.85,R_RingIntermediate,40.68,75.33,109.30,0.03,0.15,-0.09,0.98
321.85,R_LittleIntermediate,41.87,75.14,107.00,-0.01,0.21,-0.15,0.97
321.85,R_IndexProximal,36.18,75.38,107.61,0.09,0.12,0.02,0.99
321.85,R_MiddleProximal,38.12,75.85,107.01,0.08,0.12,-0.02,0.99
321.85,R_ThumbProximal,32.71,74.99,105.07,0.08,-0.04,0.47,0.88
321.85,R_RingProximal,39.63,75.58,105.82,0.03,0.15,-0.05,0.99
321.85,L_LittleProximal,-2.70,61.99,93.19,-0.60,-0.43,-0.18,-0.65
321.85,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
321.86,Main Camera,-6.98,117.18,87.69,-0.08,-0.07,0.01,-0.99
321.86,R_Palm,37.16,75.93,104.31,0.05,0.15,0.00,0.99
321.86,R_ThumbTip,31.96,74.19,110.35,-0.02,-0.18,0.53,0.83
321.86,R_IndexTip,38.26,74.03,115.13,0.07,0.16,-0.02,0.98
321.86,R_MiddleTip,40.28,74.73,115.59,0.01,0.13,-0.06,0.99
321.86,R_RingTip,41.98,75.15,113.90,0.01,0.12,-0.09,0.99
321.86,R_LittleTip,43.27,75.17,110.71,-0.02,0.16,-0.15,0.98
321.86,R_ThumbDistal,32.74,74.44,108.20,-0.02,-0.18,0.53,0.83
321.86,R_IndexIntermediate,37.02,74.74,111.01,0.11,0.13,-0.01,0.99
321.86,R_MiddleIntermediate,39.03,75.17,110.88,0.08,0.12,-0.03,0.99
321.86,R_RingIntermediate,40.67,75.34,109.33,0.03,0.15,-0.09,0.98
321.86,R_LittleIntermediate,41.86,75.15,107.03,-0.01,0.20,-0.15,0.97
321.86,R_IndexProximal,36.17,75.38,107.63,0.09,0.12,0.02,0.99
321.86,R_MiddleProximal,38.12,75.85,107.04,0.08,0.12,-0.02,0.99
321.86,R_ThumbProximal,32.71,74.99,105.09,0.08,-0.04,0.47,0.88
321.86,R_RingProximal,39.63,75.57,105.84,0.03,0.15,-0.05,0.99
321.86,L_LittleProximal,-2.61,61.74,93.04,-0.60,-0.43,-0.18,-0.65
321.86,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
321.87,Main Camera,-7.00,117.18,87.71,-0.08,-0.07,0.01,-0.99
321.87,R_Palm,37.16,75.93,104.33,0.05,0.15,0.00,0.99
321.87,R_ThumbTip,31.94,74.22,110.36,-0.02,-0.18,0.53,0.83
321.87,R_IndexTip,38.23,74.05,115.16,0.07,0.15,-0.02,0.99
321.87,R_MiddleTip,40.24,74.76,115.63,0.01,0.13,-0.06,0.99
321.87,R_RingTip,41.94,75.18,113.95,0.01,0.12,-0.09,0.99
321.87,R_LittleTip,43.25,75.20,110.76,-0.03,0.15,-0.15,0.98
321.87,R_ThumbDistal,32.73,74.46,108.21,-0.02,-0.18,0.53,0.83
321.87,R_IndexIntermediate,37.00,74.75,111.04,0.11,0.13,-0.01,0.99
321.87,R_MiddleIntermediate,39.01,75.18,110.92,0.08,0.12,-0.03,0.99
321.87,R_RingIntermediate,40.66,75.35,109.37,0.03,0.15,-0.09,0.98
321.87,R_LittleIntermediate,41.85,75.16,107.07,-0.01,0.20,-0.15,0.97
321.87,R_IndexProximal,36.16,75.39,107.65,0.09,0.12,0.02,0.99
321.87,R_MiddleProximal,38.11,75.86,107.06,0.08,0.11,-0.02,0.99
321.87,R_ThumbProximal,32.71,75.01,105.10,0.08,-0.04,0.47,0.88
321.87,R_RingProximal,39.63,75.57,105.88,0.02,0.14,-0.05,0.99
321.87,L_LittleProximal,-2.54,61.54,92.90,-0.59,-0.43,-0.19,-0.65
321.87,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
321.89,Main Camera,-7.03,117.19,87.74,-0.08,-0.07,0.01,-0.99
321.89,R_Palm,37.16,75.94,104.32,0.05,0.15,0.00,0.99
321.89,R_ThumbTip,31.93,74.25,110.35,-0.02,-0.18,0.53,0.83
321.89,R_IndexTip,38.21,74.07,115.15,0.07,0.15,-0.02,0.99
321.89,R_MiddleTip,40.21,74.78,115.63,0.01,0.13,-0.06,0.99
321.89,R_RingTip,41.93,75.20,113.94,0.01,0.12,-0.09,0.99
321.89,R_LittleTip,43.23,75.23,110.75,-0.03,0.15,-0.15,0.98
321.89,R_ThumbDistal,32.72,74.49,108.20,-0.02,-0.18,0.53,0.83
321.89,R_IndexIntermediate,36.99,74.77,111.03,0.11,0.13,-0.01,0.99
321.89,R_MiddleIntermediate,39.00,75.20,110.91,0.08,0.12,-0.03,0.99
321.89,R_RingIntermediate,40.65,75.36,109.36,0.03,0.15,-0.09,0.98
321.89,R_LittleIntermediate,41.84,75.18,107.06,-0.01,0.20,-0.16,0.97
321.89,R_IndexProximal,36.16,75.41,107.64,0.09,0.12,0.02,0.99
321.89,R_MiddleProximal,38.11,75.88,107.06,0.08,0.11,-0.02,0.99
321.89,R_ThumbProximal,32.70,75.03,105.09,0.08,-0.04,0.47,0.88
321.89,R_RingProximal,39.62,75.58,105.87,0.02,0.14,-0.06,0.99
321.89,L_LittleProximal,-2.54,61.49,92.86,-0.59,-0.43,-0.19,-0.65
321.89,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
321.90,Main Camera,-7.05,117.20,87.76,-0.08,-0.07,0.01,-0.99
321.90,R_Palm,37.15,75.96,104.32,0.05,0.15,-0.01,0.99
321.90,R_ThumbTip,31.92,74.29,110.34,-0.02,-0.18,0.53,0.83
321.90,R_IndexTip,38.20,74.09,115.15,0.07,0.15,-0.02,0.99
321.90,R_MiddleTip,40.19,74.81,115.63,0.01,0.13,-0.06,0.99
321.90,R_RingTip,41.92,75.23,113.94,0.01,0.12,-0.09,0.99
321.90,R_LittleTip,43.20,75.25,110.75,-0.03,0.15,-0.15,0.98
321.90,R_ThumbDistal,32.71,74.52,108.20,-0.02,-0.18,0.53,0.83
321.90,R_IndexIntermediate,36.98,74.79,111.02,0.11,0.13,-0.01,0.99
321.90,R_MiddleIntermediate,38.98,75.22,110.90,0.08,0.12,-0.03,0.99
321.90,R_RingIntermediate,40.64,75.38,109.36,0.03,0.15,-0.09,0.98
321.90,R_LittleIntermediate,41.83,75.19,107.06,-0.01,0.20,-0.16,0.97
321.90,R_IndexProximal,36.15,75.43,107.64,0.09,0.12,0.02,0.99
321.90,R_MiddleProximal,38.10,75.89,107.05,0.08,0.11,-0.02,0.99
321.90,R_ThumbProximal,32.70,75.06,105.08,0.08,-0.04,0.47,0.88
321.90,R_RingProximal,39.61,75.60,105.86,0.02,0.14,-0.06,0.99
321.90,L_LittleProximal,-2.55,61.45,92.82,-0.59,-0.43,-0.19,-0.66
321.90,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
321.91,Main Camera,-7.07,117.20,87.78,-0.08,-0.07,0.01,-0.99
321.91,R_Palm,37.14,75.96,104.32,0.05,0.15,-0.01,0.99
321.91,R_ThumbTip,31.91,74.30,110.36,-0.02,-0.18,0.53,0.83
321.91,R_IndexTip,38.19,74.09,115.15,0.07,0.15,-0.02,0.99
321.91,R_MiddleTip,40.18,74.82,115.64,0.01,0.13,-0.06,0.99
321.91,R_RingTip,41.91,75.26,113.94,0.01,0.12,-0.09,0.99
321.91,R_LittleTip,43.18,75.27,110.76,-0.03,0.15,-0.15,0.98
321.91,R_ThumbDistal,32.71,74.53,108.21,-0.02,-0.18,0.53,0.83
321.91,R_IndexIntermediate,36.97,74.79,111.03,0.11,0.13,-0.01,0.99
321.91,R_MiddleIntermediate,38.97,75.22,110.91,0.08,0.12,-0.03,0.99
321.91,R_RingIntermediate,40.63,75.39,109.36,0.03,0.15,-0.09,0.98
321.91,R_LittleIntermediate,41.81,75.20,107.06,-0.01,0.20,-0.16,0.97
321.91,R_IndexProximal,36.14,75.44,107.64,0.09,0.12,0.02,0.99
321.91,R_MiddleProximal,38.09,75.89,107.05,0.08,0.11,-0.02,0.99
321.91,R_ThumbProximal,32.69,75.06,105.09,0.08,-0.04,0.47,0.88
321.91,R_RingProximal,39.61,75.59,105.87,0.02,0.14,-0.06,0.99
321.91,L_LittleProximal,-2.57,61.43,92.85,-0.58,-0.43,-0.20,-0.66
321.91,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
321.93,Main Camera,-7.09,117.20,87.80,-0.08,-0.07,0.01,-0.99
321.93,R_Palm,37.13,75.97,104.31,0.05,0.15,-0.01,0.99
321.93,R_ThumbTip,31.90,74.31,110.35,-0.03,-0.18,0.53,0.83
321.93,R_IndexTip,38.18,74.11,115.14,0.07,0.15,-0.02,0.99
321.93,R_MiddleTip,40.16,74.83,115.63,0.01,0.13,-0.06,0.99
321.93,R_RingTip,41.90,75.27,113.93,0.01,0.12,-0.09,0.99
321.93,R_LittleTip,43.16,75.27,110.75,-0.03,0.15,-0.16,0.98
321.93,R_ThumbDistal,32.69,74.54,108.20,-0.03,-0.18,0.53,0.83
321.93,R_IndexIntermediate,36.96,74.80,111.02,0.11,0.13,-0.01,0.99
321.93,R_MiddleIntermediate,38.96,75.23,110.90,0.08,0.12,-0.03,0.99
321.93,R_RingIntermediate,40.62,75.40,109.35,0.02,0.15,-0.09,0.98
321.93,R_LittleIntermediate,41.79,75.20,107.05,-0.01,0.20,-0.16,0.97
321.93,R_IndexProximal,36.13,75.44,107.63,0.09,0.12,0.02,0.99
321.93,R_MiddleProximal,38.08,75.90,107.04,0.08,0.11,-0.02,0.99
321.93,R_ThumbProximal,32.68,75.07,105.08,0.08,-0.04,0.47,0.88
321.93,R_RingProximal,39.59,75.60,105.85,0.02,0.14,-0.06,0.99
321.93,L_LittleProximal,-2.60,61.45,92.85,-0.58,-0.42,-0.20,-0.67
321.93,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
321.94,Main Camera,-7.10,117.19,87.82,-0.08,-0.07,0.01,-0.99
321.94,R_Palm,37.10,75.99,104.31,0.05,0.15,-0.01,0.99
321.94,R_ThumbTip,31.87,74.40,110.35,-0.03,-0.18,0.52,0.83
321.94,R_IndexTip,38.13,74.17,115.15,0.07,0.15,-0.02,0.99
321.94,R_MiddleTip,40.11,74.90,115.63,0.00,0.12,-0.06,0.99
321.94,R_RingTip,41.86,75.33,113.93,0.00,0.12,-0.10,0.99
321.94,R_LittleTip,43.10,75.30,110.76,-0.03,0.15,-0.16,0.98
321.94,R_ThumbDistal,32.66,74.61,108.20,-0.03,-0.18,0.52,0.83
321.94,R_IndexIntermediate,36.92,74.85,111.02,0.10,0.13,-0.01,0.99
321.94,R_MiddleIntermediate,38.92,75.28,110.90,0.08,0.12,-0.04,0.99
321.94,R_RingIntermediate,40.58,75.43,109.35,0.02,0.15,-0.10,0.98
321.94,R_LittleIntermediate,41.75,75.21,107.06,-0.02,0.19,-0.16,0.97
321.94,R_IndexProximal,36.10,75.49,107.63,0.09,0.12,0.01,0.99
321.94,R_MiddleProximal,38.05,75.93,107.04,0.08,0.11,-0.03,0.99
321.94,R_ThumbProximal,32.65,75.13,105.08,0.07,-0.04,0.47,0.88
321.94,R_RingProximal,39.56,75.61,105.86,0.02,0.14,-0.06,0.99
321.94,L_LittleProximal,-2.61,61.45,92.87,-0.57,-0.42,-0.20,-0.67
321.94,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
321.95,Main Camera,-7.12,117.19,87.84,-0.08,-0.07,0.01,-0.99
321.95,R_Palm,37.07,76.02,104.31,0.05,0.15,-0.01,0.99
321.95,R_ThumbTip,31.82,74.50,110.35,-0.03,-0.17,0.52,0.83
321.95,R_IndexTip,38.08,74.26,115.16,0.07,0.15,-0.03,0.99
321.95,R_MiddleTip,40.06,74.98,115.64,0.00,0.12,-0.07,0.99
321.95,R_RingTip,41.82,75.39,113.94,0.00,0.12,-0.10,0.99
321.95,R_LittleTip,43.05,75.34,110.77,-0.04,0.15,-0.16,0.98
321.95,R_ThumbDistal,32.62,74.70,108.21,-0.03,-0.17,0.52,0.83
321.95,R_IndexIntermediate,36.88,74.92,111.03,0.10,0.12,-0.02,0.99
321.95,R_MiddleIntermediate,38.88,75.34,110.91,0.08,0.11,-0.04,0.99
321.95,R_RingIntermediate,40.55,75.47,109.36,0.02,0.14,-0.10,0.98
321.95,R_LittleIntermediate,41.71,75.23,107.07,-0.02,0.19,-0.17,0.97
321.95,R_IndexProximal,36.06,75.55,107.63,0.09,0.12,0.01,0.99
321.95,R_MiddleProximal,38.02,75.97,107.04,0.08,0.11,-0.03,0.99
321.95,R_ThumbProximal,32.62,75.20,105.08,0.07,-0.04,0.47,0.88
