Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
316.53,Main Camera,-6.40,118.09,83.39,-0.03,-0.05,0.01,-1.00
316.53,R_Palm,36.41,76.59,103.85,0.05,0.13,0.00,0.99
316.53,R_ThumbTip,30.91,74.96,109.67,-0.04,-0.20,0.53,0.83
316.53,R_IndexTip,36.38,74.79,114.85,0.07,0.09,-0.02,0.99
316.53,R_MiddleTip,38.86,75.85,115.35,-0.01,0.10,-0.06,0.99
316.53,R_RingTip,40.80,75.99,113.66,0.01,0.10,-0.09,0.99
316.53,R_LittleTip,42.56,75.69,110.41,-0.01,0.16,-0.15,0.98
316.53,R_ThumbDistal,31.81,75.17,107.56,-0.04,-0.20,0.53,0.83
316.53,R_IndexIntermediate,35.68,75.45,110.60,0.10,0.07,-0.01,0.99
316.53,R_MiddleIntermediate,37.92,76.03,110.55,0.06,0.09,-0.03,0.99
316.53,R_RingIntermediate,39.70,76.10,109.03,0.02,0.13,-0.09,0.99
316.53,R_LittleIntermediate,41.14,75.78,106.73,0.00,0.21,-0.15,0.97
316.53,R_IndexProximal,35.28,76.05,107.13,0.09,0.06,0.02,0.99
316.53,R_MiddleProximal,37.25,76.51,106.62,0.06,0.08,-0.02,0.99
316.53,R_ThumbProximal,31.95,75.68,104.44,0.06,-0.06,0.47,0.88
316.53,R_RingProximal,38.81,76.22,105.50,0.01,0.12,-0.05,0.99
316.53,L_LittleProximal,-2.63,60.63,92.71,-0.55,-0.40,-0.15,-0.71
316.53,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
316.54,Main Camera,-6.41,118.08,83.41,-0.03,-0.05,0.01,-1.00
316.54,R_Palm,36.42,76.57,103.84,0.05,0.13,0.00,0.99
316.54,R_ThumbTip,30.92,74.94,109.65,-0.04,-0.20,0.53,0.83
316.54,R_IndexTip,36.39,74.77,114.83,0.07,0.09,-0.02,0.99
316.54,R_MiddleTip,38.86,75.83,115.33,-0.01,0.10,-0.06,0.99
316.54,R_RingTip,40.81,75.98,113.65,0.01,0.10,-0.09,0.99
316.54,R_LittleTip,42.57,75.68,110.39,-0.01,0.16,-0.15,0.98
316.54,R_ThumbDistal,31.82,75.15,107.55,-0.04,-0.20,0.53,0.83
316.54,R_IndexIntermediate,35.69,75.43,110.58,0.10,0.07,-0.01,0.99
316.54,R_MiddleIntermediate,37.92,76.01,110.53,0.06,0.09,-0.03,0.99
316.54,R_RingIntermediate,39.71,76.08,109.02,0.02,0.13,-0.09,0.99
316.54,R_LittleIntermediate,41.14,75.77,106.71,0.00,0.21,-0.15,0.97
316.54,R_IndexProximal,35.28,76.03,107.11,0.09,0.06,0.02,0.99
316.54,R_MiddleProximal,37.26,76.49,106.61,0.06,0.08,-0.02,0.99
316.54,R_ThumbProximal,31.95,75.66,104.43,0.06,-0.06,0.47,0.88
316.54,R_RingProximal,38.82,76.20,105.48,0.01,0.12,-0.05,0.99
316.54,L_LittleProximal,-2.64,60.63,92.71,-0.55,-0.40,-0.15,-0.71
316.54,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
316.55,Main Camera,-6.44,118.07,83.41,-0.03,-0.05,0.01,-1.00
316.55,R_Palm,36.41,76.57,103.86,0.05,0.13,0.00,0.99
316.55,R_ThumbTip,30.90,74.96,109.67,-0.04,-0.20,0.53,0.83
316.55,R_IndexTip,36.38,74.78,114.86,0.07,0.09,-0.02,0.99
