Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
305.88,Main Camera,-6.16,118.05,87.32,-0.05,-0.03,0.00,-1.00
305.88,R_Palm,36.20,76.20,103.47,0.05,0.11,-0.02,0.99
305.88,R_ThumbTip,30.20,74.95,109.00,-0.06,-0.21,0.50,0.84
305.88,R_IndexTip,36.21,74.91,114.46,0.04,0.10,-0.03,0.99
305.88,R_MiddleTip,38.69,75.65,114.98,-0.02,0.10,-0.07,0.99
305.88,R_RingTip,40.47,75.71,113.40,0.00,0.09,-0.10,0.99
305.88,R_LittleTip,42.31,75.65,110.17,-0.05,0.16,-0.16,0.97
305.88,R_ThumbDistal,31.23,75.09,106.94,-0.06,-0.21,0.50,0.84
305.88,R_IndexIntermediate,35.41,75.33,110.20,0.07,0.08,-0.02,0.99
305.88,R_MiddleIntermediate,37.66,75.74,110.20,0.05,0.10,-0.04,0.99
305.88,R_RingIntermediate,39.40,75.71,108.76,0.01,0.12,-0.10,0.99
305.88,R_LittleIntermediate,40.88,75.42,106.51,-0.03,0.20,-0.16,0.97
305.88,R_IndexProximal,34.93,75.74,106.71,0.06,0.07,0.01,1.00
305.88,R_MiddleProximal,36.94,76.14,106.27,0.05,0.09,-0.03,0.99
305.88,R_ThumbProximal,31.58,75.56,103.84,0.04,-0.08,0.45,0.89
305.88,R_RingProximal,38.53,75.78,105.22,0.00,0.12,-0.07,0.99
305.88,L_LittleProximal,-2.61,60.92,92.66,-0.55,-0.40,-0.18,-0.71
305.88,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
305.89,Main Camera,-6.20,118.05,87.35,-0.05,-0.03,0.00,-1.00
305.89,R_Palm,36.19,76.21,103.49,0.05,0.11,-0.02,0.99
305.89,R_ThumbTip,30.18,74.98,109.01,-0.07,-0.21,0.50,0.84
305.89,R_IndexTip,36.17,74.95,114.48,0.04,0.10,-0.03,0.99
305.89,R_MiddleTip,38.64,75.68,115.01,-0.02,0.10,-0.07,0.99
305.89,R_RingTip,40.43,75.75,113.43,-0.01,0.09,-0.10,0.99
305.89,R_LittleTip,42.27,75.67,110.21,-0.05,0.15,-0.16,0.97
305.89,R_ThumbDistal,31.21,75.11,106.95,-0.07,-0.21,0.50,0.84
305.89,R_IndexIntermediate,35.39,75.35,110.22,0.07,0.07,-0.02,0.99
305.89,R_MiddleIntermediate,37.63,75.76,110.22,0.05,0.10,-0.04,0.99
305.89,R_RingIntermediate,39.37,75.72,108.79,0.01,0.12,-0.10,0.99
305.89,R_LittleIntermediate,40.86,75.43,106.54,-0.04,0.20,-0.16,0.97
305.89,R_IndexProximal,34.92,75.76,106.72,0.06,0.07,0.01,1.00
305.89,R_MiddleProximal,36.92,76.15,106.29,0.05,0.09,-0.03,0.99
305.89,R_ThumbProximal,31.57,75.57,103.85,0.04,-0.08,0.45,0.89
