Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
311.54,Main Camera,-6.29,117.69,86.00,-0.05,-0.04,0.00,-1.00
311.54,R_Palm,37.19,76.10,103.97,0.06,0.12,0.01,0.99
311.54,R_ThumbTip,31.79,74.45,109.80,-0.02,-0.18,0.53,0.83
311.54,R_IndexTip,37.31,74.21,114.91,0.07,0.10,-0.01,0.99
311.54,R_MiddleTip,39.53,75.22,115.47,0.00,0.09,-0.05,0.99
311.54,R_RingTip,41.44,75.50,113.82,0.01,0.09,-0.08,0.99
311.54,R_LittleTip,42.62,75.20,110.77,0.00,0.11,-0.15,0.98
311.54,R_ThumbDistal,32.57,74.71,107.65,-0.02,-0.18,0.53,0.83
311.54,R_IndexIntermediate,36.52,74.87,110.68,0.10,0.08,0.00,0.99
311.54,R_MiddleIntermediate,38.64,75.46,110.67,0.07,0.08,-0.02,0.99
311.54,R_RingIntermediate,40.41,75.58,109.18,0.02,0.12,-0.08,0.99
311.54,R_LittleIntermediate,41.62,75.31,106.96,0.02,0.15,-0.15,0.98
311.54,R_IndexProximal,36.04,75.51,107.22,0.09,0.07,0.03,0.99
311.54,R_MiddleProximal,38.01,76.01,106.74,0.07,0.08,-0.01,0.99
311.54,R_ThumbProximal,32.77,75.16,104.52,0.05,-0.06,0.48,0.88
311.54,R_RingProximal,39.58,75.76,105.63,0.02,0.12,-0.05,0.99
311.54,L_LittleProximal,-2.44,60.60,92.65,-0.50,-0.39,-0.19,-0.75
311.54,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
311.55,Main Camera,-6.33,117.67,86.02,-0.05,-0.04,0.00,-1.00
311.55,R_Palm,37.21,76.08,103.95,0.06,0.12,0.01,0.99
311.55,R_ThumbTip,31.81,74.43,109.78,-0.02,-0.18,0.53,0.83
311.55,R_IndexTip,37.34,74.18,114.89,0.07,0.10,-0.01,0.99
311.55,R_MiddleTip,39.54,75.19,115.45,0.00,0.09,-0.05,0.99
311.55,R_RingTip,41.45,75.48,113.80,0.01,0.09,-0.08,0.99
311.55,R_LittleTip,42.61,75.19,110.76,0.00,0.10,-0.15,0.98
311.55,R_ThumbDistal,32.59,74.69,107.62,-0.02,-0.18,0.53,0.83
311.55,R_IndexIntermediate,36.54,74.84,110.65,0.10,0.08,0.00,0.99
311.55,R_MiddleIntermediate,38.65,75.44,110.64,0.07,0.08,-0.02,0.99
311.55,R_RingIntermediate,40.43,75.56,109.15,0.02,0.12,-0.08,0.99
311.55,R_LittleIntermediate,41.62,75.29,106.94,0.02,0.15,-0.15,0.98
311.55,R_IndexProximal,36.06,75.49,107.20,0.09,0.07,0.03,0.99
311.55,R_MiddleProximal,38.03,75.99,106.72,0.07,0.08,-0.01,0.99
311.55,R_ThumbProximal,32.79,75.14,104.50,0.05,-0.06,0.48,0.88
311.55,R_RingProximal,39.60,75.74,105.61,0.02,0.12,-0.05,0.99
311.55,L_LittleProximal,-2.41,60.64,92.66,-0.50,-0.39,-0.19,-0.75
311.55,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
311.57,Main Camera,-6.35,117.65,86.04,-0.05,-0.04,0.00,-1.00
311.57,R_Palm,37.23,76.07,103.92,0.06,0.13,0.01,0.99
311.57,R_ThumbTip,31.83,74.41,109.76,-0.02,-0.18,0.53,0.83
311.57,R_IndexTip,37.36,74.15,114.86,0.07,0.10,-0.01,0.99
311.57,R_MiddleTip,39.56,75.17,115.43,0.00,0.09,-0.05,0.99
311.57,R_RingTip,41.47,75.47,113.78,0.01,0.09,-0.08,0.99
311.57,R_LittleTip,42.60,75.17,110.74,0.00,0.10,-0.15,0.98
311.57,R_ThumbDistal,32.60,74.68,107.60,-0.02,-0.18,0.53,0.83
311.57,R_IndexIntermediate,36.56,74.82,110.63,0.10,0.08,0.00,0.99
311.57,R_MiddleIntermediate,38.67,75.42,110.62,0.07,0.08,-0.02,0.99
311.57,R_RingIntermediate,40.45,75.54,109.13,0.02,0.12,-0.08,0.99
311.57,R_LittleIntermediate,41.63,75.28,106.92,0.02,0.15,-0.15,0.98
311.57,R_IndexProximal,36.07,75.47,107.18,0.09,0.07,0.03,0.99
311.57,R_MiddleProximal,38.04,75.97,106.70,0.07,0.08,-0.01,0.99
311.57,R_ThumbProximal,32.81,75.12,104.48,0.05,-0.06,0.48,0.88
311.57,R_RingProximal,39.62,75.72,105.58,0.02,0.12,-0.05,0.99
311.57,L_LittleProximal,-2.45,60.67,92.61,-0.50,-0.39,-0.19,-0.75
311.57,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
311.58,Main Camera,-6.38,117.64,86.05,-0.05,-0.04,0.00,-1.00
311.58,R_Palm,37.22,76.07,103.95,0.06,0.13,0.01,0.99
311.58,R_ThumbTip,31.83,74.42,109.78,-0.02,-0.17,0.53,0.83
311.58,R_IndexTip,37.37,74.15,114.88,0.07,0.10,-0.01,0.99
311.58,R_MiddleTip,39.55,75.17,115.45,0.00,0.09,-0.05,0.99
311.58,R_RingTip,41.47,75.47,113.80,0.00,0.09,-0.08,0.99
311.58,R_LittleTip,42.57,75.18,110.77,0.00,0.10,-0.15,0.98
311.58,R_ThumbDistal,32.60,74.68,107.63,-0.02,-0.17,0.53,0.83
311.58,R_IndexIntermediate,36.56,74.82,110.65,0.10,0.08,0.00,0.99
311.58,R_MiddleIntermediate,38.66,75.42,110.64,0.07,0.08,-0.02,0.99
311.58,R_RingIntermediate,40.44,75.54,109.15,0.02,0.12,-0.08,0.99
311.58,R_LittleIntermediate,41.61,75.28,106.95,0.02,0.15,-0.15,0.98
311.58,R_IndexProximal,36.07,75.47,107.20,0.10,0.07,0.03,0.99
311.58,R_MiddleProximal,38.04,75.97,106.72,0.07,0.08,-0.01,0.99
311.58,R_ThumbProximal,32.80,75.13,104.51,0.05,-0.06,0.48,0.88
311.58,R_RingProximal,39.61,75.72,105.61,0.02,0.12,-0.05,0.99
311.58,L_LittleProximal,-2.43,60.70,92.61,-0.50,-0.39,-0.19,-0.75
311.58,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
311.59,Main Camera,-6.41,117.63,86.06,-0.05,-0.04,0.00,-1.00
311.59,R_Palm,37.21,76.07,103.97,0.06,0.13,0.01,0.99
311.59,R_ThumbTip,31.82,74.43,109.81,-0.02,-0.17,0.53,0.83
311.59,R_IndexTip,37.37,74.15,114.90,0.07,0.11,-0.01,0.99
311.59,R_MiddleTip,39.54,75.17,115.47,0.00,0.09,-0.05,0.99
311.59,R_RingTip,41.46,75.47,113.82,0.00,0.09,-0.08,0.99
311.59,R_LittleTip,42.53,75.19,110.80,0.00,0.10,-0.15,0.98
311.59,R_ThumbDistal,32.59,74.69,107.65,-0.02,-0.17,0.53,0.83
311.59,R_IndexIntermediate,36.55,74.82,110.68,0.10,0.08,0.00,0.99
311.59,R_MiddleIntermediate,38.66,75.42,110.67,0.07,0.08,-0.02,0.99
311.59,R_RingIntermediate,40.43,75.55,109.18,0.02,0.12,-0.08,0.99
311.59,R_LittleIntermediate,41.59,75.29,106.97,0.02,0.15,-0.15,0.98
311.59,R_IndexProximal,36.06,75.47,107.23,0.10,0.07,0.03,0.99
311.59,R_MiddleProximal,38.03,75.97,106.74,0.07,0.08,-0.01,0.99
311.59,R_ThumbProximal,32.79,75.13,104.53,0.05,-0.06,0.48,0.88
311.59,R_RingProximal,39.60,75.72,105.63,0.02,0.12,-0.05,0.99
311.59,L_LittleProximal,-2.41,60.73,92.61,-0.50,-0.39,-0.19,-0.75
311.59,Mug,2.30,76.12,142.70,0.00,0.71,0.71,0.00
311.61,Main Camera,-6.42,117.63,86.08,-0.05,-0.04,0.00,-1.00
311.61,R_Palm,37.24,76.06,103.97,0.06,0.13,0.01,0.99
311.61,R_ThumbTip,31.84,74.42,109.81,-0.02,-0.17,0.53,0.83
311.61,R_IndexTip,37.40,74.13,114.90,0.07,0.11,-0.01,0.99
311.61,R_MiddleTip,39.57,75.16,115.47,0.00,0.09,-0.05,0.99
311.61,R_RingTip,41.48,75.46,113.82,0.00,0.09,-0.08,0.99
311.61,R_LittleTip,42.53,75.19,110.80,0.00,0.10,-0.15,0.98
311.61,R_ThumbDistal,32.61,74.68,107.65,-0.02,-0.17,0.53,0.83
311.61,R_IndexIntermediate,36.58,74.80,110.67,0.10,0.08,0.00,0.99
311.61,R_MiddleIntermediate,38.68,75.41,110.67,0.07,0.08,-0.02,0.99
311.61,R_RingIntermediate,40.46,75.53,109.17,0.02,0.12,-0.08,0.99
311.61,R_LittleIntermediate,41.60,75.28,106.97,0.02,0.14,-0.15,0.98
311.61,R_IndexProximal,36.08,75.46,107.23,0.10,0.07,0.03,0.99
311.61,R_MiddleProximal,38.05,75.96,106.74,0.07,0.08,-0.01,0.99
