Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
234.95,Main Camera,-4.30,118.13,83.22,-0.06,-0.04,0.01,-1.00
234.95,R_Palm,36.28,76.15,103.01,0.04,0.12,0.00,0.99
234.95,R_ThumbTip,30.84,74.54,108.77,-0.03,-0.19,0.52,0.83
234.95,R_IndexTip,36.87,74.69,113.92,0.05,0.13,-0.02,0.99
234.95,R_MiddleTip,39.09,75.37,114.43,-0.01,0.12,-0.06,0.99
234.95,R_RingTip,40.61,75.52,112.87,0.01,0.10,-0.09,0.99
234.95,R_LittleTip,42.35,75.64,109.66,-0.05,0.15,-0.15,0.98
234.95,R_ThumbDistal,31.67,74.79,106.63,-0.03,-0.19,0.52,0.83
234.95,R_IndexIntermediate,35.80,75.18,109.72,0.08,0.11,-0.01,0.99
234.95,R_MiddleIntermediate,37.93,75.60,109.69,0.06,0.11,-0.03,0.99
234.95,R_RingIntermediate,39.53,75.64,108.24,0.02,0.12,-0.09,0.99
234.95,R_LittleIntermediate,40.95,75.43,105.98,-0.03,0.20,-0.15,0.97
234.95,R_IndexProximal,35.10,75.66,106.28,0.07,0.10,0.02,0.99
234.95,R_MiddleProximal,37.08,76.11,105.80,0.06,0.11,-0.02,0.99
234.95,R_ThumbProximal,31.75,75.33,103.52,0.07,-0.05,0.47,0.88
234.95,R_RingProximal,38.66,75.80,104.70,0.02,0.12,-0.05,0.99
234.95,L_LittleProximal,9.18,62.90,93.11,-0.50,-0.54,0.02,-0.68
234.95,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
234.96,Main Camera,-4.33,118.13,83.25,-0.06,-0.03,0.01,-1.00
234.96,R_Palm,36.28,76.12,102.89,0.05,0.12,0.00,0.99
234.96,R_ThumbTip,30.86,74.49,108.65,-0.02,-0.19,0.52,0.83
234.96,R_IndexTip,36.89,74.63,113.79,0.05,0.14,-0.02,0.99
234.96,R_MiddleTip,39.11,75.31,114.30,-0.01,0.12,-0.06,0.99
234.96,R_RingTip,40.63,75.48,112.74,0.01,0.10,-0.09,0.99
234.96,R_LittleTip,42.36,75.60,109.52,-0.05,0.15,-0.15,0.98
234.96,R_ThumbDistal,31.68,74.75,106.52,-0.02,-0.19,0.52,0.83
234.96,R_IndexIntermediate,35.82,75.13,109.59,0.08,0.11,-0.01,0.99
234.96,R_MiddleIntermediate,37.94,75.55,109.56,0.06,0.11,-0.03,0.99
234.96,R_RingIntermediate,39.55,75.60,108.11,0.03,0.13,-0.09,0.99
234.96,R_LittleIntermediate,40.96,75.40,105.84,-0.03,0.20,-0.15,0.97
234.96,R_IndexProximal,35.11,75.62,106.15,0.07,0.10,0.02,0.99
234.96,R_MiddleProximal,37.09,76.08,105.67,0.06,0.11,-0.02,0.99
234.96,R_ThumbProximal,31.76,75.30,103.41,0.07,-0.05,0.47,0.88
234.96,R_RingProximal,38.67,75.77,104.57,0.02,0.12,-0.05,0.99
234.96,L_LittleProximal,9.19,62.84,93.17,-0.51,-0.53,0.01,-0.68
234.96,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
