Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
207.72,Main Camera,-4.13,117.82,82.27,-0.07,-0.02,0.00,-1.00
207.72,R_Palm,36.96,75.99,103.43,0.04,0.11,0.00,0.99
207.72,R_ThumbTip,31.23,74.31,109.08,-0.06,-0.21,0.54,0.82
207.72,R_IndexTip,37.30,74.04,114.27,0.09,0.12,-0.02,0.99
207.72,R_MiddleTip,39.29,75.14,114.94,0.00,0.10,-0.06,0.99
207.72,R_RingTip,41.07,75.32,113.37,0.02,0.09,-0.09,0.99
207.72,R_LittleTip,42.85,75.07,110.22,-0.01,0.14,-0.16,0.98
207.72,R_ThumbDistal,32.21,74.52,107.01,-0.06,-0.21,0.54,0.82
207.72,R_IndexIntermediate,36.33,74.88,110.10,0.12,0.10,-0.01,0.99
207.72,R_MiddleIntermediate,38.36,75.43,110.14,0.07,0.09,-0.03,0.99
207.72,R_RingIntermediate,40.09,75.48,108.72,0.03,0.11,-0.09,0.99
207.72,R_LittleIntermediate,41.57,75.18,106.49,0.01,0.19,-0.16,0.97
207.72,R_IndexProximal,35.71,75.54,106.68,0.10,0.09,0.02,0.99
207.72,R_MiddleProximal,37.70,76.00,106.22,0.07,0.08,-0.02,0.99
207.72,R_ThumbProximal,32.50,74.97,103.89,0.04,-0.08,0.48,0.87
207.72,R_RingProximal,39.30,75.69,105.16,0.02,0.11,-0.05,0.99
207.72,L_LittleProximal,8.44,63.17,92.71,-0.22,-0.51,-0.17,-0.81
207.72,Parallelepiped,0.00,80.26,142.95,-0.71,0.00,0.00,0.71
207.74,Main Camera,-4.15,117.82,82.29,-0.07,-0.02,0.00,-1.00
207.74,R_Palm,36.97,76.00,103.41,0.04,0.11,0.00,0.99
207.74,R_ThumbTip,31.24,74.31,109.06,-0.06,-0.21,0.54,0.82
207.74,R_IndexTip,37.30,74.05,114.25,0.09,0.12,-0.02,0.99
207.74,R_MiddleTip,39.28,75.14,114.92,0.00,0.10,-0.06,0.99
207.74,R_RingTip,41.07,75.33,113.35,0.01,0.09,-0.09,0.99
207.74,R_LittleTip,42.85,75.08,110.20,0.00,0.14,-0.15,0.98
207.74,R_ThumbDistal,32.22,74.52,106.99,-0.06,-0.21,0.54,0.82
207.74,R_IndexIntermediate,36.34,74.89,110.09,0.12,0.10,-0.01,0.99
207.74,R_MiddleIntermediate,38.36,75.44,110.12,0.07,0.09,-0.03,0.99
207.74,R_RingIntermediate,40.09,75.48,108.70,0.03,0.11,-0.09,0.99
207.74,R_LittleIntermediate,41.57,75.19,106.47,0.01,0.19,-0.16,0.97
207.74,R_IndexProximal,35.72,75.54,106.66,0.10,0.09,0.02,0.99
207.74,R_MiddleProximal,37.70,76.00,106.20,0.07,0.08,-0.01,0.99
207.74,R_ThumbProximal,32.51,74.97,103.88,0.04,-0.08,0.48,0.87
207.74,R_RingProximal,39.30,75.69,105.14,0.02,0.11,-0.05,0.99
207.74,L_LittleProximal,8.47,63.20,92.69,-0.23,-0.51,-0.17,-0.81
207.74,Parallelepiped,0.00,80.26,142.95,-0.71,0.00,0.00,0.71
207.75,Main Camera,-4.16,117.82,82.30,-0.07,-0.02,0.00,-1.00
207.75,R_Palm,36.97,76.01,103.41,0.04,0.11,0.00,0.99
207.75,R_ThumbTip,31.25,74.32,109.06,-0.06,-0.21,0.54,0.82
207.75,R_IndexTip,37.31,74.07,114.25,0.09,0.12,-0.01,0.99
207.75,R_MiddleTip,39.27,75.16,114.92,0.00,0.09,-0.06,0.99
207.75,R_RingTip,41.07,75.35,113.35,0.01,0.09,-0.09,0.99
207.75,R_LittleTip,42.83,75.10,110.20,0.00,0.14,-0.15,0.98
207.75,R_ThumbDistal,32.23,74.53,106.99,-0.06,-0.21,0.54,0.82
207.75,R_IndexIntermediate,36.35,74.90,110.08,0.12,0.10,0.00,0.99
207.75,R_MiddleIntermediate,38.36,75.45,110.12,0.07,0.09,-0.03,0.99
207.75,R_RingIntermediate,40.10,75.50,108.69,0.03,0.11,-0.09,0.99
207.75,R_LittleIntermediate,41.57,75.21,106.47,0.01,0.19,-0.16,0.97
207.75,R_IndexProximal,35.72,75.55,106.65,0.09,0.09,0.02,0.99
207.75,R_MiddleProximal,37.71,76.02,106.20,0.07,0.08,-0.01,0.99
207.75,R_ThumbProximal,32.52,74.98,103.88,0.04,-0.08,0.49,0.87
207.75,R_RingProximal,39.31,75.71,105.14,0.02,0.11,-0.05,0.99
207.75,L_LittleProximal,8.46,63.20,92.69,-0.23,-0.51,-0.17,-0.81
207.75,Parallelepiped,0.00,80.26,142.95,-0.71,0.00,0.00,0.71
207.76,Main Camera,-4.19,117.83,82.32,-0.07,-0.02,0.00,-1.00
207.76,R_Palm,36.95,76.01,103.42,0.04,0.11,0.00,0.99
207.76,R_ThumbTip,31.23,74.33,109.09,-0.06,-0.21,0.54,0.82
207.76,R_IndexTip,37.30,74.08,114.27,0.09,0.12,-0.01,0.99
207.76,R_MiddleTip,39.25,75.17,114.94,0.00,0.09,-0.06,0.99
207.76,R_RingTip,41.06,75.36,113.36,0.01,0.09,-0.09,0.99
207.76,R_LittleTip,42.80,75.11,110.22,0.00,0.14,-0.16,0.98
207.76,R_ThumbDistal,32.21,74.54,107.01,-0.06,-0.21,0.54,0.82
207.76,R_IndexIntermediate,36.33,74.91,110.10,0.12,0.10,-0.01,0.99
207.76,R_MiddleIntermediate,38.34,75.46,110.14,0.07,0.09,-0.03,0.99
207.76,R_RingIntermediate,40.08,75.51,108.71,0.03,0.11,-0.09,0.99
207.76,R_LittleIntermediate,41.55,75.22,106.48,0.01,0.19,-0.16,0.97
207.76,R_IndexProximal,35.71,75.56,106.67,0.09,0.09,0.02,0.99
207.76,R_MiddleProximal,37.70,76.02,106.22,0.07,0.08,-0.01,0.99
207.76,R_ThumbProximal,32.51,74.98,103.90,0.04,-0.07,0.49,0.87
207.76,R_RingProximal,39.30,75.71,105.15,0.02,0.11,-0.05,0.99
207.76,L_LittleProximal,8.46,63.20,92.68,-0.23,-0.51,-0.17,-0.81
207.76,Parallelepiped,0.00,80.26,142.95,-0.71,0.00,0.00,0.71
207.78,Main Camera,-4.21,117.83,82.33,-0.07,-0.02,0.00,-1.00
207.78,R_Palm,36.94,76.02,103.44,0.04,0.11,0.00,0.99
207.78,R_ThumbTip,31.22,74.35,109.11,-0.06,-0.21,0.54,0.82
207.78,R_IndexTip,37.30,74.10,114.29,0.09,0.12,-0.02,0.99
207.78,R_MiddleTip,39.24,75.18,114.95,0.00,0.09,-0.06,0.99
207.78,R_RingTip,41.05,75.38,113.38,0.01,0.09,-0.09,0.99
207.78,R_LittleTip,42.78,75.12,110.24,0.00,0.14,-0.16,0.98
207.78,R_ThumbDistal,32.20,74.55,107.04,-0.06,-0.21,0.54,0.82
207.78,R_IndexIntermediate,36.33,74.92,110.12,0.12,0.10,-0.01,0.99
207.78,R_MiddleIntermediate,38.33,75.47,110.15,0.07,0.09,-0.03,0.99
207.78,R_RingIntermediate,40.07,75.51,108.72,0.03,0.11,-0.09,0.99
207.78,R_LittleIntermediate,41.53,75.22,106.50,0.01,0.19,-0.16,0.97
207.78,R_IndexProximal,35.70,75.57,106.69,0.09,0.09,0.02,0.99
207.78,R_MiddleProximal,37.69,76.03,106.23,0.07,0.08,-0.01,0.99
207.78,R_ThumbProximal,32.49,74.99,103.92,0.04,-0.07,0.48,0.87
207.78,R_RingProximal,39.28,75.72,105.17,0.02,0.11,-0.05,0.99
207.78,L_LittleProximal,8.46,63.19,92.67,-0.23,-0.51,-0.17,-0.81
207.78,Parallelepiped,0.00,80.26,142.95,-0.71,0.00,0.00,0.71
207.79,Main Camera,-4.23,117.83,82.36,-0.07,-0.02,0.00,-1.00
207.79,R_Palm,36.83,76.06,103.52,0.04,0.11,0.00,0.99
207.79,R_ThumbTip,31.11,74.41,109.19,-0.06,-0.21,0.54,0.82
207.79,R_IndexTip,37.19,74.16,114.37,0.09,0.12,-0.02,0.99
207.79,R_MiddleTip,39.13,75.23,115.03,0.00,0.09,-0.06,0.99
