Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
196.28,Main Camera,-4.80,117.65,83.08,-0.07,-0.04,0.00,-1.00
196.28,R_Palm,36.57,75.16,105.19,0.04,0.14,-0.02,0.99
196.28,R_ThumbTip,30.88,73.52,111.10,-0.05,-0.20,0.53,0.82
196.28,R_IndexTip,37.04,73.94,116.21,0.04,0.12,-0.03,0.99
196.28,R_MiddleTip,39.38,74.72,116.61,-0.02,0.11,-0.07,0.99
196.28,R_RingTip,41.24,74.88,114.89,-0.01,0.11,-0.11,0.99
196.28,R_LittleTip,43.16,74.83,111.44,-0.05,0.19,-0.16,0.97
196.28,R_ThumbDistal,31.82,73.73,109.01,-0.05,-0.20,0.53,0.82
196.28,R_IndexIntermediate,36.10,74.38,111.98,0.07,0.09,-0.02,0.99
196.28,R_MiddleIntermediate,38.27,74.80,111.85,0.04,0.11,-0.04,0.99
196.28,R_RingIntermediate,40.00,74.82,110.29,0.00,0.14,-0.10,0.98
196.28,R_LittleIntermediate,41.47,74.56,107.89,-0.05,0.24,-0.16,0.96
196.28,R_IndexProximal,35.50,74.77,108.50,0.06,0.08,0.00,0.99
196.28,R_MiddleProximal,37.47,75.17,107.93,0.04,0.10,-0.03,0.99
196.28,R_ThumbProximal,32.06,74.19,105.89,0.05,-0.07,0.47,0.88
196.28,R_RingProximal,39.00,74.80,106.78,-0.01,0.14,-0.07,0.99
196.28,L_LittleProximal,8.87,63.21,92.75,-0.17,-0.52,-0.17,-0.82
196.28,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.29,Main Camera,-4.81,117.64,83.10,-0.07,-0.04,0.00,-1.00
196.29,R_Palm,36.58,75.14,105.21,0.04,0.14,-0.02,0.99
196.29,R_ThumbTip,30.88,73.52,111.12,-0.05,-0.20,0.53,0.82
196.29,R_IndexTip,37.05,73.92,116.23,0.04,0.12,-0.03,0.99
196.29,R_MiddleTip,39.39,74.71,116.64,-0.02,0.11,-0.07,0.99
196.29,R_RingTip,41.24,74.87,114.91,-0.01,0.11,-0.11,0.99
196.29,R_LittleTip,43.17,74.80,111.47,-0.05,0.19,-0.16,0.97
196.29,R_ThumbDistal,31.82,73.72,109.03,-0.05,-0.20,0.53,0.82
196.29,R_IndexIntermediate,36.11,74.36,112.00,0.07,0.09,-0.02,0.99
196.29,R_MiddleIntermediate,38.28,74.78,111.87,0.04,0.11,-0.04,0.99
196.29,R_RingIntermediate,40.01,74.80,110.31,0.00,0.14,-0.10,0.98
196.29,R_LittleIntermediate,41.48,74.55,107.91,-0.05,0.24,-0.16,0.96
196.29,R_IndexProximal,35.51,74.75,108.53,0.06,0.08,0.00,0.99
196.29,R_MiddleProximal,37.48,75.15,107.96,0.04,0.10,-0.03,0.99
196.29,R_ThumbProximal,32.08,74.17,105.92,0.04,-0.07,0.47,0.88
196.29,R_RingProximal,39.01,74.78,106.81,-0.01,0.14,-0.07,0.99
196.29,L_LittleProximal,8.84,63.21,92.76,-0.17,-0.52,-0.17,-0.82
196.29,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.30,Main Camera,-4.81,117.63,83.14,-0.07,-0.04,0.00,-1.00
196.30,R_Palm,36.59,75.13,105.21,0.04,0.14,-0.02,0.99
196.30,R_ThumbTip,30.89,73.51,111.13,-0.05,-0.20,0.53,0.82
196.30,R_IndexTip,37.05,73.91,116.24,0.04,0.12,-0.03,0.99
196.30,R_MiddleTip,39.38,74.70,116.64,-0.02,0.11,-0.07,0.99
196.30,R_RingTip,41.24,74.86,114.91,-0.01,0.11,-0.11,0.99
196.30,R_LittleTip,43.16,74.79,111.47,-0.05,0.19,-0.16,0.97
196.30,R_ThumbDistal,31.83,73.71,109.04,-0.05,-0.20,0.53,0.82
196.30,R_IndexIntermediate,36.11,74.35,112.00,0.07,0.09,-0.02,0.99
196.30,R_MiddleIntermediate,38.28,74.77,111.87,0.04,0.11,-0.04,0.99
196.30,R_RingIntermediate,40.01,74.79,110.31,0.00,0.14,-0.10,0.99
196.30,R_LittleIntermediate,41.49,74.54,107.91,-0.05,0.24,-0.16,0.96
196.30,R_IndexProximal,35.52,74.74,108.53,0.06,0.08,0.00,0.99
196.30,R_MiddleProximal,37.49,75.13,107.96,0.04,0.10,-0.03,0.99
196.30,R_ThumbProximal,32.08,74.16,105.92,0.04,-0.07,0.47,0.88
196.30,R_RingProximal,39.01,74.76,106.81,-0.01,0.14,-0.07,0.99
196.30,L_LittleProximal,8.84,63.21,92.76,-0.17,-0.52,-0.17,-0.82
196.30,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.32,Main Camera,-4.82,117.62,83.17,-0.07,-0.04,0.00,-1.00
196.32,R_Palm,36.59,75.11,105.21,0.04,0.14,-0.02,0.99
196.32,R_ThumbTip,30.90,73.51,111.13,-0.05,-0.20,0.53,0.82
196.32,R_IndexTip,37.05,73.90,116.24,0.04,0.12,-0.03,0.99
196.32,R_MiddleTip,39.38,74.69,116.65,-0.03,0.11,-0.07,0.99
196.32,R_RingTip,41.24,74.85,114.91,-0.01,0.11,-0.11,0.99
196.32,R_LittleTip,43.16,74.77,111.48,-0.05,0.19,-0.16,0.97
196.32,R_ThumbDistal,31.84,73.70,109.04,-0.05,-0.20,0.53,0.82
196.32,R_IndexIntermediate,36.11,74.34,112.01,0.07,0.09,-0.02,0.99
196.32,R_MiddleIntermediate,38.28,74.76,111.88,0.04,0.10,-0.04,0.99
196.32,R_RingIntermediate,40.02,74.78,110.32,0.00,0.14,-0.10,0.99
196.32,R_LittleIntermediate,41.49,74.53,107.91,-0.05,0.24,-0.16,0.96
196.32,R_IndexProximal,35.52,74.72,108.53,0.06,0.08,0.00,0.99
196.32,R_MiddleProximal,37.49,75.12,107.96,0.04,0.10,-0.03,0.99
196.32,R_ThumbProximal,32.09,74.14,105.92,0.04,-0.07,0.47,0.88
196.32,R_RingProximal,39.02,74.75,106.81,-0.01,0.14,-0.07,0.99
196.32,L_LittleProximal,8.84,63.21,92.75,-0.17,-0.52,-0.17,-0.82
196.32,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.33,Main Camera,-4.81,117.62,83.20,-0.07,-0.04,0.00,-1.00
196.33,R_Palm,36.57,75.12,105.21,0.04,0.14,-0.02,0.99
196.33,R_ThumbTip,30.88,73.53,111.13,-0.05,-0.20,0.53,0.82
196.33,R_IndexTip,37.02,73.91,116.24,0.04,0.12,-0.03,0.99
196.33,R_MiddleTip,39.35,74.71,116.64,-0.03,0.11,-0.07,0.99
196.33,R_RingTip,41.22,74.87,114.91,-0.01,0.11,-0.11,0.99
196.33,R_LittleTip,43.13,74.79,111.48,-0.05,0.19,-0.16,0.97
196.33,R_ThumbDistal,31.82,73.72,109.03,-0.05,-0.20,0.53,0.82
196.33,R_IndexIntermediate,36.09,74.35,112.00,0.07,0.09,-0.02,0.99
196.33,R_MiddleIntermediate,38.26,74.77,111.87,0.04,0.10,-0.04,0.99
196.33,R_RingIntermediate,39.99,74.80,110.31,0.00,0.14,-0.10,0.99
196.33,R_LittleIntermediate,41.47,74.55,107.91,-0.05,0.23,-0.16,0.96
196.33,R_IndexProximal,35.50,74.74,108.53,0.05,0.08,0.00,1.00
196.33,R_MiddleProximal,37.47,75.13,107.95,0.04,0.10,-0.03,0.99
196.33,R_ThumbProximal,32.08,74.15,105.92,0.04,-0.07,0.47,0.88
196.33,R_RingProximal,39.00,74.76,106.81,-0.01,0.14,-0.07,0.99
196.33,L_LittleProximal,8.84,63.18,92.73,-0.18,-0.52,-0.17,-0.82
196.33,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.35,Main Camera,-4.81,117.60,83.23,-0.08,-0.04,0.00,-1.00
196.35,R_Palm,36.56,75.14,105.19,0.04,0.14,-0.02,0.99
196.35,R_ThumbTip,30.87,73.54,111.11,-0.05,-0.20,0.53,0.82
196.35,R_IndexTip,36.99,73.93,116.22,0.04,0.12,-0.03,0.99
196.35,R_MiddleTip,39.32,74.74,116.63,-0.03,0.11,-0.07,0.99
196.35,R_RingTip,41.19,74.90,114.90,-0.01,0.11,-0.11,0.99
196.35,R_LittleTip,43.10,74.81,111.47,-0.05,0.18,-0.16,0.97
196.35,R_ThumbDistal,31.81,73.73,109.01,-0.05,-0.20,0.53,0.82
196.35,R_IndexIntermediate,36.07,74.37,111.98,0.07,0.09,-0.02,0.99
196.35,R_MiddleIntermediate,38.23,74.79,111.86,0.04,0.10,-0.04,0.99
196.35,R_RingIntermediate,39.97,74.83,110.30,0.00,0.14,-0.10,0.99
196.35,R_LittleIntermediate,41.45,74.58,107.90,-0.05,0.23,-0.16,0.96
196.35,R_IndexProximal,35.49,74.75,108.50,0.05,0.08,0.01,1.00
196.35,R_MiddleProximal,37.46,75.15,107.93,0.04,0.10,-0.03,0.99
196.35,R_ThumbProximal,32.06,74.17,105.89,0.04,-0.07,0.47,0.88
196.35,R_RingProximal,38.98,74.79,106.79,-0.01,0.14,-0.07,0.99
196.35,L_LittleProximal,8.83,63.22,92.71,-0.18,-0.52,-0.17,-0.82
196.35,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.36,Main Camera,-4.82,117.59,83.26,-0.08,-0.04,0.00,-1.00
196.36,R_Palm,36.52,75.23,105.18,0.04,0.14,-0.02,0.99
196.36,R_ThumbTip,30.84,73.64,111.10,-0.05,-0.20,0.53,0.82
196.36,R_IndexTip,36.95,74.02,116.21,0.04,0.12,-0.03,0.99
196.36,R_MiddleTip,39.27,74.83,116.62,-0.03,0.11,-0.07,0.99
196.36,R_RingTip,41.15,75.00,114.89,-0.01,0.11,-0.11,0.99
196.36,R_LittleTip,43.06,74.90,111.46,-0.05,0.18,-0.16,0.97
196.36,R_ThumbDistal,31.77,73.82,109.00,-0.05,-0.20,0.53,0.82
196.36,R_IndexIntermediate,36.03,74.46,111.97,0.07,0.09,-0.02,0.99
196.36,R_MiddleIntermediate,38.20,74.88,111.84,0.04,0.10,-0.04,0.99
196.36,R_RingIntermediate,39.94,74.92,110.28,0.00,0.14,-0.10,0.99
196.36,R_LittleIntermediate,41.41,74.67,107.88,-0.05,0.23,-0.16,0.96
196.36,R_IndexProximal,35.45,74.84,108.49,0.05,0.08,0.01,1.00
196.36,R_MiddleProximal,37.42,75.24,107.92,0.04,0.10,-0.03,0.99
196.36,R_ThumbProximal,32.03,74.26,105.88,0.04,-0.07,0.47,0.88
196.36,R_RingProximal,38.95,74.88,106.77,-0.02,0.14,-0.07,0.99
196.36,L_LittleProximal,8.82,63.24,92.72,-0.19,-0.52,-0.17,-0.82
196.36,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.37,Main Camera,-4.83,117.57,83.30,-0.08,-0.04,0.00,-1.00
196.37,R_Palm,36.49,75.29,105.15,0.04,0.14,-0.02,0.99
196.37,R_ThumbTip,30.80,73.71,111.07,-0.05,-0.20,0.53,0.82
196.37,R_IndexTip,36.92,74.08,116.18,0.04,0.12,-0.03,0.99
196.37,R_MiddleTip,39.23,74.89,116.59,-0.03,0.11,-0.07,0.99
196.37,R_RingTip,41.12,75.06,114.86,-0.01,0.11,-0.11,0.99
196.37,R_LittleTip,43.02,74.96,111.43,-0.05,0.18,-0.16,0.97
196.37,R_ThumbDistal,31.74,73.90,108.98,-0.05,-0.20,0.53,0.82
196.37,R_IndexIntermediate,36.00,74.52,111.94,0.07,0.09,-0.02,0.99
196.37,R_MiddleIntermediate,38.16,74.95,111.82,0.04,0.10,-0.04,0.99
196.37,R_RingIntermediate,39.90,74.99,110.25,0.00,0.14,-0.10,0.99
196.37,R_LittleIntermediate,41.38,74.73,107.85,-0.05,0.23,-0.16,0.96
196.37,R_IndexProximal,35.42,74.91,108.46,0.06,0.08,0.01,1.00
196.37,R_MiddleProximal,37.39,75.31,107.89,0.04,0.10,-0.03,0.99
196.37,R_ThumbProximal,32.00,74.33,105.86,0.04,-0.07,0.47,0.88
196.37,R_RingProximal,38.91,74.94,106.74,-0.02,0.14,-0.07,0.99
196.37,L_LittleProximal,8.83,63.23,92.72,-0.19,-0.52,-0.17,-0.82
196.37,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.39,Main Camera,-4.83,117.56,83.34,-0.08,-0.04,0.00,-1.00
196.39,R_Palm,36.45,75.36,105.12,0.04,0.14,-0.02,0.99
196.39,R_ThumbTip,30.77,73.79,111.05,-0.05,-0.20,0.53,0.82
196.39,R_IndexTip,36.88,74.14,116.15,0.04,0.12,-0.03,0.99
196.39,R_MiddleTip,39.20,74.96,116.56,-0.03,0.11,-0.07,0.99
196.39,R_RingTip,41.08,75.13,114.83,-0.01,0.11,-0.11,0.99
196.39,R_LittleTip,42.98,75.02,111.40,-0.05,0.18,-0.16,0.97
196.39,R_ThumbDistal,31.71,73.97,108.95,-0.05,-0.20,0.53,0.82
196.39,R_IndexIntermediate,35.96,74.59,111.91,0.07,0.09,-0.02,0.99
196.39,R_MiddleIntermediate,38.12,75.01,111.79,0.04,0.10,-0.04,0.99
196.39,R_RingIntermediate,39.87,75.05,110.22,0.00,0.14,-0.10,0.99
196.39,R_LittleIntermediate,41.34,74.80,107.82,-0.05,0.23,-0.16,0.96
196.39,R_IndexProximal,35.39,74.97,108.44,0.06,0.08,0.00,1.00
196.39,R_MiddleProximal,37.36,75.37,107.86,0.04,0.10,-0.03,0.99
196.39,R_ThumbProximal,31.96,74.40,105.83,0.04,-0.07,0.47,0.88
196.39,R_RingProximal,38.88,75.00,106.71,-0.02,0.14,-0.07,0.99
196.39,L_LittleProximal,8.83,63.24,92.72,-0.19,-0.52,-0.17,-0.82
196.39,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.40,Main Camera,-4.84,117.56,83.38,-0.08,-0.03,0.00,-1.00
196.40,R_Palm,36.42,75.42,105.09,0.04,0.14,-0.02,0.99
196.40,R_ThumbTip,30.74,73.86,111.02,-0.05,-0.20,0.53,0.83
196.40,R_IndexTip,36.85,74.19,116.12,0.04,0.12,-0.04,0.99
196.40,R_MiddleTip,39.17,75.00,116.53,-0.03,0.11,-0.07,0.99
196.40,R_RingTip,41.06,75.18,114.79,-0.01,0.11,-0.11,0.99
196.40,R_LittleTip,42.95,75.06,111.37,-0.04,0.18,-0.16,0.97
196.40,R_ThumbDistal,31.68,74.04,108.93,-0.05,-0.20,0.53,0.83
196.40,R_IndexIntermediate,35.94,74.64,111.89,0.07,0.09,-0.02,0.99
196.40,R_MiddleIntermediate,38.10,75.06,111.76,0.04,0.10,-0.04,0.99
196.40,R_RingIntermediate,39.84,75.10,110.19,0.00,0.14,-0.10,0.99
196.40,R_LittleIntermediate,41.31,74.84,107.79,-0.05,0.23,-0.16,0.96
196.40,R_IndexProximal,35.36,75.03,108.41,0.06,0.08,0.00,1.00
196.40,R_MiddleProximal,37.33,75.42,107.83,0.04,0.10,-0.03,0.99
196.40,R_ThumbProximal,31.93,74.47,105.81,0.04,-0.07,0.47,0.88
196.40,R_RingProximal,38.85,75.05,106.68,-0.02,0.14,-0.07,0.99
196.40,L_LittleProximal,8.82,63.26,92.73,-0.18,-0.52,-0.17,-0.82
196.40,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.42,Main Camera,-4.86,117.55,83.42,-0.08,-0.03,0.00,-1.00
196.42,R_Palm,36.39,75.42,105.11,0.04,0.14,-0.02,0.99
196.42,R_ThumbTip,30.72,73.88,111.05,-0.05,-0.20,0.53,0.83
196.42,R_IndexTip,36.83,74.19,116.14,0.04,0.12,-0.04,0.99
196.42,R_MiddleTip,39.15,75.01,116.54,-0.03,0.11,-0.07,0.99
196.42,R_RingTip,41.04,75.18,114.80,-0.01,0.11,-0.11,0.99
196.42,R_LittleTip,42.93,75.05,111.38,-0.04,0.18,-0.16,0.97
196.42,R_ThumbDistal,31.65,74.06,108.96,-0.05,-0.20,0.53,0.83
196.42,R_IndexIntermediate,35.91,74.65,111.90,0.07,0.09,-0.03,0.99
196.42,R_MiddleIntermediate,38.07,75.06,111.77,0.04,0.10,-0.04,0.99
196.42,R_RingIntermediate,39.82,75.10,110.20,-0.01,0.14,-0.10,0.98
196.42,R_LittleIntermediate,41.28,74.84,107.80,-0.05,0.23,-0.16,0.96
196.42,R_IndexProximal,35.33,75.04,108.43,0.06,0.08,0.00,1.00
196.42,R_MiddleProximal,37.30,75.42,107.85,0.04,0.10,-0.03,0.99
196.42,R_ThumbProximal,31.90,74.48,105.83,0.04,-0.07,0.47,0.88
196.42,R_RingProximal,38.82,75.05,106.69,-0.02,0.14,-0.07,0.99
196.42,L_LittleProximal,8.78,63.22,92.71,-0.18,-0.52,-0.17,-0.82
196.42,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.43,Main Camera,-4.86,117.54,83.45,-0.08,-0.03,0.00,-1.00
196.43,R_Palm,36.39,75.43,105.09,0.04,0.14,-0.02,0.99
196.43,R_ThumbTip,30.72,73.91,111.05,-0.05,-0.20,0.52,0.83
196.43,R_IndexTip,36.84,74.20,116.12,0.04,0.12,-0.04,0.99
196.43,R_MiddleTip,39.16,75.02,116.53,-0.03,0.11,-0.08,0.99
196.43,R_RingTip,41.06,75.19,114.78,-0.01,0.11,-0.11,0.99
196.43,R_LittleTip,42.93,75.06,111.35,-0.04,0.18,-0.16,0.97
196.43,R_ThumbDistal,31.65,74.08,108.95,-0.05,-0.20,0.52,0.83
196.43,R_IndexIntermediate,35.92,74.66,111.89,0.07,0.09,-0.03,0.99
196.43,R_MiddleIntermediate,38.08,75.07,111.75,0.04,0.10,-0.05,0.99
196.43,R_RingIntermediate,39.82,75.11,110.18,-0.01,0.14,-0.10,0.98
196.43,R_LittleIntermediate,41.28,74.85,107.77,-0.05,0.23,-0.16,0.96
196.43,R_IndexProximal,35.34,75.05,108.41,0.06,0.08,0.00,1.00
196.43,R_MiddleProximal,37.31,75.43,107.83,0.04,0.10,-0.03,0.99
196.43,R_ThumbProximal,31.90,74.50,105.83,0.04,-0.07,0.47,0.88
196.43,R_RingProximal,38.82,75.06,106.68,-0.02,0.14,-0.07,0.99
196.43,L_LittleProximal,8.78,63.21,92.72,-0.18,-0.52,-0.17,-0.82
196.43,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.44,Main Camera,-4.87,117.52,83.48,-0.08,-0.03,0.00,-1.00
196.44,R_Palm,36.40,75.42,105.10,0.04,0.14,-0.02,0.99
196.44,R_ThumbTip,30.73,73.91,111.06,-0.05,-0.20,0.52,0.83
196.44,R_IndexTip,36.84,74.20,116.13,0.04,0.12,-0.04,0.99
196.44,R_MiddleTip,39.16,75.02,116.54,-0.03,0.11,-0.08,0.99
196.44,R_RingTip,41.06,75.19,114.79,-0.01,0.11,-0.11,0.99
196.44,R_LittleTip,42.93,75.05,111.36,-0.04,0.18,-0.16,0.97
196.44,R_ThumbDistal,31.66,74.08,108.96,-0.05,-0.20,0.52,0.83
196.44,R_IndexIntermediate,35.93,74.65,111.90,0.07,0.09,-0.03,0.99
196.44,R_MiddleIntermediate,38.08,75.07,111.76,0.04,0.10,-0.05,0.99
196.44,R_RingIntermediate,39.83,75.10,110.19,-0.01,0.14,-0.10,0.98
196.44,R_LittleIntermediate,41.28,74.84,107.78,-0.05,0.23,-0.16,0.96
196.44,R_IndexProximal,35.34,75.04,108.42,0.06,0.08,0.00,1.00
196.44,R_MiddleProximal,37.31,75.43,107.84,0.04,0.10,-0.03,0.99
196.44,R_ThumbProximal,31.91,74.49,105.84,0.04,-0.07,0.47,0.88
196.44,R_RingProximal,38.83,75.05,106.68,-0.02,0.14,-0.07,0.99
196.44,L_LittleProximal,8.76,63.15,92.71,-0.19,-0.52,-0.17,-0.82
196.44,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.46,Main Camera,-4.87,117.52,83.50,-0.08,-0.03,0.00,-1.00
196.46,R_Palm,36.41,75.41,105.11,0.04,0.14,-0.02,0.99
196.46,R_ThumbTip,30.74,73.90,111.07,-0.05,-0.20,0.52,0.83
196.46,R_IndexTip,36.85,74.18,116.15,0.04,0.12,-0.04,0.99
196.46,R_MiddleTip,39.17,75.00,116.55,-0.03,0.11,-0.08,0.99
196.46,R_RingTip,41.07,75.18,114.80,-0.01,0.11,-0.11,0.99
196.46,R_LittleTip,42.93,75.04,111.38,-0.04,0.18,-0.16,0.97
196.46,R_ThumbDistal,31.67,74.07,108.97,-0.05,-0.20,0.52,0.83
196.46,R_IndexIntermediate,35.94,74.64,111.91,0.07,0.09,-0.03,0.99
196.46,R_MiddleIntermediate,38.09,75.05,111.78,0.04,0.10,-0.05,0.99
196.46,R_RingIntermediate,39.84,75.09,110.20,-0.01,0.14,-0.10,0.98
196.46,R_LittleIntermediate,41.29,74.83,107.80,-0.05,0.23,-0.16,0.96
196.46,R_IndexProximal,35.36,75.03,108.43,0.06,0.08,0.00,1.00
196.46,R_MiddleProximal,37.33,75.41,107.85,0.04,0.10,-0.03,0.99
196.46,R_ThumbProximal,31.92,74.48,105.85,0.04,-0.07,0.47,0.88
196.46,R_RingProximal,38.84,75.03,106.70,-0.02,0.14,-0.07,0.99
196.46,L_LittleProximal,8.75,63.07,92.71,-0.19,-0.52,-0.16,-0.82
196.46,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.47,Main Camera,-4.87,117.52,83.52,-0.08,-0.03,0.00,-1.00
196.47,R_Palm,36.43,75.39,105.13,0.04,0.14,-0.02,0.99
196.47,R_ThumbTip,30.75,73.89,111.08,-0.06,-0.20,0.52,0.83
196.47,R_IndexTip,36.86,74.16,116.16,0.04,0.12,-0.04,0.99
196.47,R_MiddleTip,39.18,74.99,116.57,-0.03,0.11,-0.08,0.99
196.47,R_RingTip,41.08,75.16,114.81,-0.01,0.11,-0.11,0.99
196.47,R_LittleTip,42.93,75.03,111.40,-0.04,0.18,-0.16,0.97
196.47,R_ThumbDistal,31.68,74.06,108.99,-0.06,-0.20,0.52,0.83
196.47,R_IndexIntermediate,35.95,74.62,111.93,0.07,0.09,-0.03,0.99
196.47,R_MiddleIntermediate,38.11,75.03,111.79,0.04,0.10,-0.05,0.99
196.47,R_RingIntermediate,39.86,75.07,110.22,-0.01,0.14,-0.10,0.98
196.47,R_LittleIntermediate,41.30,74.82,107.81,-0.05,0.23,-0.16,0.96
196.47,R_IndexProximal,35.37,75.01,108.45,0.06,0.08,0.00,1.00
196.47,R_MiddleProximal,37.34,75.39,107.87,0.04,0.10,-0.03,0.99
196.47,R_ThumbProximal,31.94,74.47,105.86,0.04,-0.07,0.47,0.88
196.47,R_RingProximal,38.86,75.02,106.71,-0.02,0.14,-0.07,0.99
196.47,L_LittleProximal,8.73,63.02,92.72,-0.20,-0.51,-0.16,-0.82
196.47,Parallelepiped,0.00,78.17,145.00,0.00,0.00,0.00,1.00
196.48,Main Camera,-4.87,117.52,83.55,-0.08,-0.03,0.00,-1.00
196.48,R_Palm,36.45,75.36,105.14,0.04,0.14,-0.02,0.99
196.48,R_ThumbTip,30.77,73.87,111.09,-0.06,-0.20,0.52,0.83
196.48,R_IndexTip,36.88,74.13,116.17,0.04,0.12,-0.04,0.99
