Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
202.34,Main Camera,-5.91,117.27,85.63,-0.08,-0.04,0.00,-1.00
202.34,R_Palm,35.70,76.26,102.22,0.03,0.13,-0.02,0.99
202.34,R_ThumbTip,30.49,75.15,108.19,-0.04,-0.15,0.52,0.84
202.34,R_IndexTip,36.66,74.66,113.03,0.06,0.16,-0.04,0.98
202.34,R_MiddleTip,38.61,75.54,113.61,-0.01,0.13,-0.08,0.99
202.34,R_RingTip,40.13,75.85,112.03,-0.01,0.10,-0.11,0.99
202.34,R_LittleTip,41.48,75.96,108.89,-0.07,0.13,-0.17,0.97
202.34,R_ThumbDistal,31.22,75.27,106.01,-0.04,-0.15,0.52,0.84
202.34,R_IndexIntermediate,35.41,75.30,108.91,0.10,0.13,-0.03,0.99
202.34,R_MiddleIntermediate,37.41,75.77,108.87,0.06,0.12,-0.05,0.99
202.34,R_RingIntermediate,38.99,75.81,107.41,0.01,0.13,-0.11,0.99
202.34,R_LittleIntermediate,40.23,75.57,105.17,-0.05,0.17,-0.18,0.97
202.34,R_IndexProximal,34.56,75.94,105.52,0.09,0.12,0.00,0.99
202.34,R_MiddleProximal,36.55,76.30,104.99,0.06,0.11,-0.04,0.99
202.34,R_ThumbProximal,31.22,75.63,102.88,0.05,-0.03,0.45,0.89
202.34,R_RingProximal,38.09,75.90,103.88,0.00,0.13,-0.08,0.99
202.34,L_LittleProximal,8.56,63.92,92.37,-0.20,-0.53,-0.18,-0.80
202.34,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
202.35,Main Camera,-5.91,117.26,85.64,-0.08,-0.04,0.00,-1.00
202.35,R_Palm,35.70,76.28,102.20,0.03,0.13,-0.03,0.99
202.35,R_ThumbTip,30.51,75.21,108.18,-0.04,-0.15,0.51,0.84
202.35,R_IndexTip,36.68,74.70,113.00,0.06,0.16,-0.04,0.98
202.35,R_MiddleTip,38.63,75.58,113.58,-0.02,0.13,-0.08,0.99
202.35,R_RingTip,40.14,75.88,111.99,-0.01,0.10,-0.11,0.99
202.35,R_LittleTip,41.49,75.98,108.85,-0.07,0.13,-0.17,0.97
202.35,R_ThumbDistal,31.23,75.32,106.00,-0.04,-0.15,0.51,0.84
202.35,R_IndexIntermediate,35.42,75.33,108.88,0.10,0.13,-0.03,0.99
202.35,R_MiddleIntermediate,37.42,75.79,108.84,0.06,0.12,-0.05,0.99
202.35,R_RingIntermediate,39.00,75.83,107.38,0.01,0.13,-0.11,0.99
202.35,R_LittleIntermediate,40.23,75.59,105.13,-0.05,0.17,-0.18,0.97
202.35,R_IndexProximal,34.56,75.97,105.50,0.09,0.12,0.00,0.99
202.35,R_MiddleProximal,36.55,76.32,104.96,0.06,0.11,-0.04,0.99
202.35,R_ThumbProximal,31.22,75.67,102.86,0.05,-0.02,0.45,0.89
202.35,R_RingProximal,38.09,75.91,103.85,0.00,0.13,-0.08,0.99
202.35,L_LittleProximal,8.54,63.89,92.39,-0.20,-0.53,-0.19,-0.80
202.35,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
202.36,Main Camera,-5.93,117.25,85.64,-0.08,-0.04,0.00,-1.00
202.36,R_Palm,35.69,76.27,102.19,0.03,0.13,-0.03,0.99
202.36,R_ThumbTip,30.50,75.21,108.18,-0.04,-0.15,0.51,0.84
202.36,R_IndexTip,36.67,74.69,113.00,0.06,0.16,-0.04,0.98
202.36,R_MiddleTip,38.62,75.56,113.57,-0.02,0.13,-0.08,0.99
202.36,R_RingTip,40.13,75.87,111.99,-0.01,0.10,-0.11,0.99
202.36,R_LittleTip,41.47,75.97,108.84,-0.07,0.13,-0.17,0.97
202.36,R_ThumbDistal,31.23,75.32,106.00,-0.04,-0.15,0.51,0.84
202.36,R_IndexIntermediate,35.41,75.32,108.87,0.10,0.13,-0.03,0.99
202.36,R_MiddleIntermediate,37.41,75.78,108.83,0.06,0.12,-0.05,0.99
202.36,R_RingIntermediate,38.99,75.81,107.37,0.01,0.13,-0.11,0.99
202.36,R_LittleIntermediate,40.22,75.57,105.12,-0.05,0.17,-0.18,0.97
202.36,R_IndexProximal,34.55,75.95,105.49,0.09,0.12,0.00,0.99
202.36,R_MiddleProximal,36.54,76.31,104.95,0.06,0.11,-0.04,0.99
202.36,R_ThumbProximal,31.22,75.67,102.86,0.05,-0.02,0.45,0.89
202.36,R_RingProximal,38.08,75.89,103.84,0.00,0.13,-0.08,0.99
202.36,L_LittleProximal,8.54,63.87,92.40,-0.20,-0.53,-0.19,-0.80
202.36,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
202.37,Main Camera,-5.94,117.24,85.65,-0.08,-0.04,0.00,-1.00
202.37,R_Palm,35.68,76.27,102.18,0.03,0.13,-0.03,0.99
202.37,R_ThumbTip,30.49,75.22,108.17,-0.04,-0.15,0.51,0.84
202.37,R_IndexTip,36.67,74.69,112.99,0.06,0.16,-0.04,0.98
202.37,R_MiddleTip,38.61,75.57,113.56,-0.02,0.13,-0.08,0.99
202.37,R_RingTip,40.12,75.88,111.98,-0.02,0.10,-0.11,0.99
202.37,R_LittleTip,41.46,75.98,108.83,-0.07,0.13,-0.17,0.97
202.37,R_ThumbDistal,31.22,75.32,105.99,-0.04,-0.15,0.51,0.84
202.37,R_IndexIntermediate,35.40,75.32,108.87,0.10,0.13,-0.03,0.99
202.37,R_MiddleIntermediate,37.40,75.78,108.83,0.06,0.12,-0.05,0.99
202.37,R_RingIntermediate,38.98,75.82,107.36,0.01,0.13,-0.11,0.99
202.37,R_LittleIntermediate,40.21,75.58,105.11,-0.06,0.17,-0.18,0.97
202.37,R_IndexProximal,34.55,75.96,105.48,0.09,0.12,0.00,0.99
202.37,R_MiddleProximal,36.53,76.31,104.94,0.06,0.11,-0.04,0.99
202.37,R_ThumbProximal,31.21,75.67,102.85,0.05,-0.02,0.45,0.89
202.37,R_RingProximal,38.07,75.90,103.83,0.00,0.13,-0.08,0.99
202.37,L_LittleProximal,8.52,63.88,92.40,-0.20,-0.53,-0.19,-0.80
202.37,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
202.39,Main Camera,-5.95,117.23,85.64,-0.08,-0.04,0.00,-1.00
202.39,R_Palm,35.68,76.28,102.20,0.03,0.13,-0.03,0.99
202.39,R_ThumbTip,30.49,75.24,108.18,-0.04,-0.15,0.51,0.84
202.39,R_IndexTip,36.67,74.71,113.01,0.06,0.16,-0.04,0.98
202.39,R_MiddleTip,38.60,75.58,113.58,-0.02,0.12,-0.08,0.99
202.39,R_RingTip,40.11,75.89,112.00,-0.02,0.10,-0.11,0.99
202.39,R_LittleTip,41.46,75.99,108.86,-0.07,0.13,-0.17,0.97
202.39,R_ThumbDistal,31.23,75.34,106.00,-0.04,-0.15,0.51,0.84
202.39,R_IndexIntermediate,35.41,75.33,108.88,0.10,0.13,-0.03,0.99
202.39,R_MiddleIntermediate,37.40,75.79,108.85,0.06,0.12,-0.05,0.99
202.39,R_RingIntermediate,38.98,75.82,107.38,0.00,0.13,-0.11,0.99
202.39,R_LittleIntermediate,40.21,75.59,105.14,-0.06,0.17,-0.18,0.97
202.39,R_IndexProximal,34.55,75.96,105.50,0.09,0.12,0.00,0.99
202.39,R_MiddleProximal,36.54,76.31,104.96,0.06,0.11,-0.04,0.99
202.39,R_ThumbProximal,31.22,75.68,102.86,0.05,-0.02,0.45,0.89
202.39,R_RingProximal,38.08,75.90,103.85,0.00,0.12,-0.08,0.99
202.39,L_LittleProximal,8.39,63.79,92.35,-0.20,-0.53,-0.19,-0.80
202.39,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
202.40,Main Camera,-5.97,117.22,85.64,-0.08,-0.04,0.00,-1.00
202.40,R_Palm,35.69,76.28,102.22,0.03,0.13,-0.03,0.99
202.40,R_ThumbTip,30.49,75.26,108.20,-0.04,-0.15,0.51,0.84
202.40,R_IndexTip,36.66,74.73,113.03,0.06,0.16,-0.04,0.98
202.40,R_MiddleTip,38.58,75.60,113.61,-0.02,0.12,-0.08,0.99
202.40,R_RingTip,40.10,75.91,112.03,-0.02,0.10,-0.11,0.99
202.40,R_LittleTip,41.45,76.01,108.88,-0.07,0.13,-0.17,0.97
202.40,R_ThumbDistal,31.23,75.35,106.02,-0.04,-0.15,0.51,0.84
202.40,R_IndexIntermediate,35.40,75.34,108.90,0.09,0.13,-0.03,0.99
202.40,R_MiddleIntermediate,37.39,75.80,108.87,0.06,0.11,-0.05,0.99
202.40,R_RingIntermediate,38.97,75.84,107.41,0.00,0.13,-0.11,0.99
202.40,R_LittleIntermediate,40.21,75.60,105.16,-0.06,0.17,-0.18,0.97
202.40,R_IndexProximal,34.55,75.97,105.52,0.09,0.12,0.00,0.99
202.40,R_MiddleProximal,36.54,76.32,104.98,0.06,0.11,-0.04,0.99
202.40,R_ThumbProximal,31.22,75.69,102.88,0.05,-0.02,0.45,0.89
202.40,R_RingProximal,38.08,75.91,103.87,0.00,0.12,-0.08,0.99
202.40,L_LittleProximal,8.23,63.68,92.30,-0.21,-0.53,-0.19,-0.80
202.40,Parallelepiped,0.00,78.17,145.00,0.00,0.71,0.00,0.71
202.42,Main Camera,-5.98,117.21,85.63,-0.08,-0.04,0.00,-1.00
202.42,R_Palm,35.69,76.26,102.20,0.03,0.13,-0.03,0.99
202.42,R_ThumbTip,30.49,75.24,108.18,-0.04,-0.15,0.51,0.84
202.42,R_IndexTip,36.66,74.71,113.01,0.06,0.16,-0.04,0.98
202.42,R_MiddleTip,38.57,75.58,113.60,-0.02,0.12,-0.08,0.99
202.42,R_RingTip,40.09,75.89,112.02,-0.02,0.10,-0.11,0.99
202.42,R_LittleTip,41.45,76.00,108.87,-0.08,0.13,-0.17,0.97
202.42,R_ThumbDistal,31.23,75.33,106.00,-0.04,-0.15,0.51,0.84
202.42,R_IndexIntermediate,35.40,75.32,108.89,0.09,0.13,-0.03,0.99
202.42,R_MiddleIntermediate,37.39,75.78,108.86,0.06,0.11,-0.05,0.99
202.42,R_RingIntermediate,38.97,75.82,107.39,0.00,0.13,-0.11,0.99
202.42,R_LittleIntermediate,40.21,75.58,105.15,-0.06,0.17,-0.18,0.97
202.42,R_IndexProximal,34.55,75.95,105.50,0.09,0.12,0.00,0.99
202.42,R_MiddleProximal,36.54,76.30,104.97,0.06,0.11,-0.04,0.99
202.42,R_ThumbProximal,31.22,75.67,102.86,0.05,-0.02,0.45,0.89
