Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
409.12,Main Camera,-8.66,117.13,85.56,-0.08,-0.05,0.00,-0.99
409.12,R_Palm,39.00,74.07,104.98,0.05,0.20,-0.03,0.98
409.12,R_ThumbTip,34.11,73.03,111.66,-0.04,-0.13,0.52,0.84
409.12,R_IndexTip,39.98,72.18,115.99,0.08,0.13,-0.05,0.99
409.12,R_MiddleTip,42.58,73.13,116.13,0.00,0.14,-0.09,0.99
409.12,R_RingTip,44.70,73.06,114.02,0.02,0.17,-0.12,0.98
409.12,R_LittleTip,45.97,72.71,110.53,0.02,0.23,-0.19,0.96
409.12,R_ThumbDistal,34.76,73.07,109.45,-0.04,-0.13,0.52,0.84
409.12,R_IndexIntermediate,38.99,72.93,111.81,0.10,0.10,-0.04,0.99
409.12,R_MiddleIntermediate,41.23,73.44,111.43,0.06,0.13,-0.06,0.99
409.12,R_RingIntermediate,42.97,73.35,109.60,0.02,0.20,-0.12,0.97
409.12,R_LittleIntermediate,44.06,73.05,107.09,0.01,0.28,-0.18,0.94
409.12,R_IndexProximal,38.35,73.62,108.39,0.10,0.09,-0.02,0.99
409.12,R_MiddleProximal,40.24,73.99,107.58,0.06,0.13,-0.05,0.99
409.12,R_ThumbProximal,34.77,73.24,106.30,0.02,-0.01,0.46,0.89
409.12,R_RingProximal,41.59,73.62,106.23,0.02,0.19,-0.08,0.98
409.12,L_LittleProximal,-3.73,61.81,93.08,-0.59,-0.46,-0.19,-0.63
409.12,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
409.14,Main Camera,-8.66,117.13,85.58,-0.08,-0.05,0.00,-1.00
409.14,R_Palm,39.02,74.05,104.99,0.05,0.20,-0.03,0.98
409.14,R_ThumbTip,34.12,73.01,111.67,-0.04,-0.13,0.52,0.84
409.14,R_IndexTip,39.99,72.16,116.00,0.08,0.13,-0.05,0.99
409.14,R_MiddleTip,42.59,73.11,116.14,0.00,0.14,-0.09,0.99
409.14,R_RingTip,44.72,73.05,114.03,0.02,0.17,-0.12,0.98
409.14,R_LittleTip,45.98,72.70,110.54,0.02,0.23,-0.19,0.96
409.14,R_ThumbDistal,34.77,73.05,109.46,-0.04,-0.13,0.52,0.84
409.14,R_IndexIntermediate,39.00,72.91,111.82,0.10,0.10,-0.04,0.99
409.14,R_MiddleIntermediate,41.24,73.42,111.44,0.06,0.13,-0.06,0.99
409.14,R_RingIntermediate,42.99,73.34,109.61,0.02,0.20,-0.11,0.97
409.14,R_LittleIntermediate,44.07,73.04,107.10,0.00,0.28,-0.18,0.94
409.14,R_IndexProximal,38.37,73.60,108.40,0.10,0.09,-0.02,0.99
409.14,R_MiddleProximal,40.26,73.97,107.59,0.06,0.13,-0.05,0.99
409.14,R_ThumbProximal,34.79,73.22,106.30,0.02,-0.01,0.46,0.89
409.14,R_RingProximal,41.61,73.60,106.24,0.02,0.19,-0.08,0.98
409.14,L_LittleProximal,-3.72,61.79,93.08,-0.59,-0.46,-0.19,-0.63
409.14,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
409.15,Main Camera,-8.67,117.14,85.60,-0.08,-0.05,0.00,-1.00
409.15,R_Palm,39.05,74.02,105.00,0.05,0.20,-0.03,0.98
409.15,R_ThumbTip,34.14,72.98,111.67,-0.04,-0.13,0.52,0.84
409.15,R_IndexTip,40.01,72.13,116.01,0.08,0.13,-0.05,0.99
409.15,R_MiddleTip,42.61,73.09,116.15,0.00,0.14,-0.09,0.99
409.15,R_RingTip,44.74,73.03,114.05,0.02,0.17,-0.12,0.98
409.15,R_LittleTip,46.01,72.68,110.55,0.02,0.23,-0.19,0.96
409.15,R_ThumbDistal,34.80,73.02,109.47,-0.04,-0.13,0.52,0.84
409.15,R_IndexIntermediate,39.03,72.88,111.83,0.10,0.10,-0.04,0.99
409.15,R_MiddleIntermediate,41.26,73.39,111.45,0.06,0.13,-0.06,0.99
409.15,R_RingIntermediate,43.01,73.31,109.62,0.02,0.20,-0.11,0.97
409.15,R_LittleIntermediate,44.10,73.01,107.11,0.00,0.28,-0.18,0.94
409.15,R_IndexProximal,38.40,73.57,108.41,0.10,0.09,-0.02,0.99
