Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
380.86,Main Camera,-7.56,117.54,84.86,-0.07,-0.09,0.01,-0.99
380.86,R_Palm,36.45,75.56,104.15,0.05,0.15,0.01,0.99
380.86,R_ThumbTip,31.75,73.76,110.25,-0.01,-0.15,0.55,0.82
380.86,R_IndexTip,37.11,74.00,115.12,0.05,0.13,-0.01,0.99
380.86,R_MiddleTip,39.62,74.66,115.45,0.00,0.13,-0.04,0.99
380.86,R_RingTip,41.34,75.15,113.75,0.00,0.12,-0.08,0.99
380.86,R_LittleTip,43.13,75.22,110.34,-0.05,0.20,-0.13,0.97
380.86,R_ThumbDistal,32.40,74.02,108.05,-0.01,-0.15,0.55,0.82
380.86,R_IndexIntermediate,36.10,74.53,110.91,0.09,0.10,0.00,0.99
380.86,R_MiddleIntermediate,38.34,74.95,110.74,0.07,0.13,-0.02,0.99
380.86,R_RingIntermediate,39.99,75.18,109.19,0.02,0.15,-0.07,0.99
380.86,R_LittleIntermediate,41.39,75.01,106.80,-0.03,0.24,-0.13,0.96
380.86,R_IndexProximal,35.44,75.02,107.46,0.07,0.09,0.03,0.99
380.86,R_MiddleProximal,37.38,75.54,106.88,0.07,0.12,0.00,0.99
380.86,R_ThumbProximal,32.14,74.54,104.95,0.09,-0.01,0.49,0.87
380.86,R_RingProximal,38.91,75.28,105.71,0.01,0.15,-0.04,0.99
380.86,L_LittleProximal,-3.64,62.07,93.31,-0.61,-0.46,-0.19,-0.62
380.86,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
380.87,Main Camera,-7.57,117.53,84.89,-0.07,-0.08,0.01,-0.99
380.87,R_Palm,36.45,75.56,104.17,0.05,0.15,0.01,0.99
380.87,R_ThumbTip,31.74,73.77,110.27,-0.01,-0.15,0.55,0.82
380.87,R_IndexTip,37.11,74.01,115.14,0.05,0.13,-0.01,0.99
380.87,R_MiddleTip,39.61,74.72,115.48,-0.01,0.13,-0.04,0.99
