Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
370.96,Main Camera,-8.11,118.46,85.79,-0.05,-0.05,0.00,-1.00
370.96,R_Palm,36.97,75.89,104.29,0.05,0.16,-0.01,0.99
370.96,R_ThumbTip,31.57,74.16,110.40,-0.04,-0.19,0.53,0.83
370.96,R_IndexTip,37.29,74.19,115.34,0.06,0.10,-0.03,0.99
370.96,R_MiddleTip,40.04,75.23,115.63,-0.02,0.12,-0.06,0.99
370.96,R_RingTip,42.15,75.13,113.72,0.01,0.14,-0.09,0.99
370.96,R_LittleTip,44.18,74.47,110.05,0.02,0.25,-0.16,0.96
370.96,R_ThumbDistal,32.45,74.37,108.28,-0.04,-0.19,0.53,0.83
370.96,R_IndexIntermediate,36.51,74.78,111.10,0.09,0.07,-0.02,0.99
370.96,R_MiddleIntermediate,38.85,75.36,110.89,0.05,0.11,-0.03,0.99
370.96,R_RingIntermediate,40.65,75.30,109.21,0.03,0.17,-0.09,0.98
370.96,R_LittleIntermediate,42.15,74.88,106.69,0.03,0.30,-0.16,0.94
370.96,R_IndexProximal,36.05,75.36,107.63,0.08,0.06,0.01,0.99
370.96,R_MiddleProximal,37.99,75.81,106.99,0.05,0.11,-0.02,0.99
370.96,R_ThumbProximal,32.54,74.89,105.16,0.06,-0.05,0.47,0.88
370.96,R_RingProximal,39.47,75.51,105.77,0.02,0.17,-0.06,0.98
370.96,L_LittleProximal,-3.37,61.15,93.54,-0.62,-0.45,-0.18,-0.62
370.96,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
370.97,Main Camera,-8.12,118.46,85.80,-0.05,-0.05,0.00,-1.00
370.97,R_Palm,36.97,75.89,104.30,0.05,0.16,-0.01,0.99
370.97,R_ThumbTip,31.57,74.14,110.40,-0.04,-0.19,0.53,0.83
370.97,R_IndexTip,37.29,74.17,115.35,0.06,0.10,-0.03,0.99
370.97,R_MiddleTip,40.04,75.22,115.63,-0.02,0.12,-0.06,0.99
370.97,R_RingTip,42.15,75.11,113.73,0.01,0.14,-0.09,0.99
370.97,R_LittleTip,44.18,74.45,110.05,0.02,0.25,-0.16,0.96
370.97,R_ThumbDistal,32.45,74.36,108.28,-0.04,-0.19,0.53,0.83
370.97,R_IndexIntermediate,36.51,74.76,111.10,0.09,0.07,-0.02,0.99
370.97,R_MiddleIntermediate,38.85,75.35,110.89,0.05,0.11,-0.03,0.99
370.97,R_RingIntermediate,40.66,75.28,109.21,0.03,0.17,-0.09,0.98
370.97,R_LittleIntermediate,42.15,74.87,106.69,0.03,0.30,-0.16,0.94
370.97,R_IndexProximal,36.05,75.34,107.64,0.08,0.06,0.01,0.99
370.97,R_MiddleProximal,37.99,75.80,107.00,0.05,0.11,-0.02,0.99
370.97,R_ThumbProximal,32.54,74.88,105.17,0.07,-0.05,0.47,0.88
370.97,R_RingProximal,39.47,75.50,105.77,0.02,0.17,-0.06,0.98
370.97,L_LittleProximal,-3.38,61.13,93.55,-0.62,-0.45,-0.18,-0.62
370.97,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
370.98,Main Camera,-8.13,118.46,85.81,-0.05,-0.05,0.00,-1.00
370.98,R_Palm,36.97,75.87,104.30,0.06,0.16,-0.01,0.99
370.98,R_ThumbTip,31.57,74.11,110.40,-0.04,-0.19,0.53,0.83
370.98,R_IndexTip,37.29,74.14,115.35,0.06,0.10,-0.03,0.99
370.98,R_MiddleTip,40.05,75.19,115.64,-0.02,0.12,-0.06,0.99
370.98,R_RingTip,42.16,75.09,113.73,0.01,0.14,-0.09,0.99
370.98,R_LittleTip,44.18,74.43,110.05,0.02,0.25,-0.16,0.96
370.98,R_ThumbDistal,32.45,74.34,108.29,-0.04,-0.19,0.53,0.83
370.98,R_IndexIntermediate,36.52,74.73,111.11,0.09,0.07,-0.02,0.99
370.98,R_MiddleIntermediate,38.86,75.32,110.89,0.05,0.12,-0.03,0.99
370.98,R_RingIntermediate,40.66,75.26,109.21,0.03,0.17,-0.09,0.98
370.98,R_LittleIntermediate,42.15,74.85,106.69,0.03,0.30,-0.16,0.94
370.98,R_IndexProximal,36.05,75.32,107.64,0.08,0.06,0.01,0.99
370.98,R_MiddleProximal,37.99,75.78,107.00,0.05,0.11,-0.02,0.99
370.98,R_ThumbProximal,32.54,74.86,105.17,0.07,-0.05,0.47,0.88
